metadata,metadata,metadata
event_id,station_code,location_code
EMSC-20161030_0000029,T1212,0
EMSC-20161030_0000029,SSO,0
EMSC-20160824_0000013,PAN,0
EMSC-20161026_0000095,ASP,0
IT-2012-0011,LEC,0
EMSC-20160824_0000006,PAN,0
EMSC-20161030_0000029,PTI,0
EMSC-20161026_0000095,GBB,0
EMSC-20161030_0000029,SNO,0
EMSC-20161030_0000029,SDM,0
EMSC-20160824_0000006,SPM,0
IT-2013-0005,PAN,0
IT-2012-0061,SMR,0
TK-1999-0415,3401,0
IT-2012-0008,SDV,0
EMSC-20160824_0000006,CSC,0
IT-2009-0009,PDM,0
EMSC-20161026_0000095,ASS,0
TK-2004-0020,2406,0
EMSC-20161026_0000095,SSG,0
EMSC-20160824_0000006,NRN,0
IT-2012-0011,BRM,0
TK-2001-0091,1001,0
EMSC-20160824_0000006,MNTP,0
EMSC-20161026_0000095,GUMA,0
IT-2012-0008,BRH,0
TK-2005-0054,1208,0
IT-2013-0005,CAFI,0
TK-2007-0024,1201,0
EMSC-20141122_0000066,ODBI,0
EMSC-20161030_0000029,CLN,0
TK-1999-0415,5401,0
EMSC-20160824_0000013,PRG,0
EMSC-20160824_0000006,FMG,0
EMSC-20161030_0000029,MNF,0
EMSC-20160824_0000013,CSC,0
IT-2009-0009,CLN,0
EMSC-20161026_0000077,CAFI,0
TK-2007-0024,4401,0
IT-2013-0005,PRG,0
EMSC-20161030_0000029,GRN,0
IT-2012-0008,FIE,0
IT-1997-0137,AQM,0
TK-1999-0415,C1060,0
IT-2012-0010,MIR06,0
EMSC-20151117_0000025,AGRP,0
EMSC-20161026_0000095,TRE1,0
EMSC-20160824_0000006,PZI1,0
IT-2012-0010,PVF,0
EMSC-20160824_0000006,GBB,0
IT-2012-0061,SNZ,0
IT-2012-0011,CSN,0
EMSC-20160824_0000006,GNU,0
IT-2009-0121,RM02,0
EMSC-20161026_0000077,NOR,0
EMSC-20161030_0000029,CSC,0
IT-2012-0061,CVL,0
IT-2012-0010,MRZ,0
EMSC-20160824_0000006,CPS,0
EMSC-20160824_0000006,ANT,0
EMSC-20161026_0000095,APEC,0
EMSC-20161030_0000029,0REN,0
EMSC-20161030_0000029,TRN1,0
EMSC-20160824_0000006,SSC,0
EMSC-20161030_0000029,ATPC,0
TK-1999-0077,4106,0
IT-2012-0011,FIN0,0
EMSC-20161030_0000029,T1299,0
EMSC-20130807_0000038,NOAC,0
EMSC-20161026_0000095,STF,0
IT-2009-0121,RM05,0
IT-2012-0011,ASOL,0
IT-2009-0009,MNN,0
IT-2009-0121,ORC,0
IT-2002-0047,SCV,0
EMSC-20161030_0000029,ORC,0
EMSC-20160824_0000013,AQG,0
EMSC-20161026_0000095,UMB,0
IT-2012-0011,BBN,0
EMSC-20161030_0000029,FLT,0
EMSC-20160824_0000006,GRN,0
EMSC-20161026_0000095,MDAR,0
TK-2003-0191,4401,0
IT-2012-0008,MTRZ,0
EMSC-20161026_0000095,MMUR,0
EMSC-20160824_0000006,COR1,0
EMSC-20161030_0000029,SPD,0
IT-2012-0011,MIR06,0
IT-2012-0061,0MOR,0
IT-2013-0005,PNM,0
EMSC-20160824_0000006,VAL,0
IT-2012-0061,VGG,0
IT-2012-0061,SERS,0
EMSC-20161030_0000029,CMB,0
EMSC-20161030_0000029,T1201,0
IT-2009-0009,GSA,0
EMSC-20161030_0000029,CPS,0
EMSC-20160824_0000006,CIMA,0
IT-2009-0121,RM03,0
EMSC-20160824_0000013,ANT,0
EMSC-20160824_0000013,CSS,0
IT-2009-0102,GSA,0
TK-1999-0077,ARC,0
EMSC-20151117_0000025,JAN,0
EMSC-20161030_0000029,ANT,0
EMSC-20160824_0000006,GLT,0
EMSC-20160824_0000013,AMT,0
EMSC-20160824_0000006,MCS,0
EMSC-20161026_0000077,MMP1,0
EMSC-20160824_0000006,SDM,0
EMSC-20120912_0000014,ANKY,0
TK-1999-0415,MSK,0
IT-2009-0102,RM14,0
EMSC-20160824_0000006,RM33,0
EMSC-20161030_0000029,CTD,0
EMSC-20161026_0000077,T1212,0
EMSC-20161030_0000029,NRN,0
EMSC-20161026_0000095,PRG,0
EMSC-20161026_0000077,NRC,0
EMSC-20160824_0000006,CVM,0
IT-2012-0061,LRS,0
TK-1999-0415,ARC,0
EMSC-20130615_0000050,IMMV,0
EMSC-20160824_0000006,LSS,0
IT-2009-0140,RM03,0
EMSC-20160824_0000013,PIEI,0
EMSC-20161030_0000029,AMT,0
EMSC-20161026_0000077,T1217,0
IT-2009-0121,MI05,0
IT-2009-0140,AQG,0
EMSC-20161026_0000077,LSS,0
IT-2009-0102,CMR,0
IT-2009-0102,CLN,0
EMSC-20160824_0000006,GRD,0
EMSC-20161030_0000029,MVB,0
EMSC-20161030_0000029,LSS,0
EMSC-20161026_0000095,TLN,0
IT-2012-0011,ZEN8,0
EMSC-20160824_0000013,RM33,0
EMSC-20110913_0000057,GVD,0
IT-2009-0140,ANT,0
EMSC-20130916_0000088,TRIZ,0
TK-1999-0415,C1062,0
IT-2009-0140,AQP,0
SI-1998-0010,GESC,0
IT-2009-0102,MI01,0
EMSC-20161026_0000095,MMO,0
IT-2012-0011,STS,0
EMSC-20161030_0000029,FOPC,0
EMSC-20110913_0000057,ANKY,0
EMSC-20160824_0000006,BRS,0
IT-2012-0010,LEC,0
EMSC-20161026_0000095,MNF,0
EMSC-20160824_0000006,0CAN,0
EMSC-20161026_0000077,T1211,0
TK-2005-0054,1201,0
EMSC-20161026_0000077,ATTE,0
EMSC-20161026_0000095,T1201,0
TK-2005-0030,2406,0
EMSC-20140126_0000046,MGNA,0
IT-2009-0102,FMG,0
TK-1999-0415,C1061,0
TK-1999-0348,4802,0
IT-2009-0102,AQF,0
EMSC-20161030_0000029,CIT,0
IT-1976-0002,TLM1,0
EMSC-20160824_0000006,TER,0
IT-2012-0008,STF,0
EMSC-20161026_0000095,SNO,0
IT-2012-0010,SSU,0
IT-2012-0061,MLR,0
IT-2012-0008,STS,0
IT-2008-0004,PNM,0
EMSC-20160824_0000006,MNF,0
TK-2004-0089,4401,0
TK-1999-0389,1604,0
EMSC-20160824_0000006,FEMA,0
SI-1998-0010,LJU,0
IT-2012-0008,BGN,0
EMSC-20161026_0000095,PRE,0
EMSC-20160824_0000006,MTR,0
EMSC-20160824_0000013,AQV,0
IT-1997-0137,AQP,0
IT-2009-0102,AQG,0
IT-2012-0061,VNN,0
EMSC-20160824_0000006,MCT,0
GR-1986-0011,KALA,0
EMSC-20150416_0000081,ZKR,0
EMSC-20161030_0000029,PZI1,0
IT-1976-0030,SRC0,0
EMSC-20161026_0000077,CSC,0
EMSC-20160824_0000006,TRE1,0
IT-2009-0121,AQP,0
EMSC-20161026_0000095,ATLO,0
EMSC-20161026_0000095,SLO,0
EMSC-20130108_0000044,GOKC,0
IT-2009-0102,RM02,0
TK-2003-0038,1201,0
EMSC-20161030_0000029,T1216,0
EMSC-20160824_0000006,AQG,0
ME-1979-0012,BUD,0
IT-2012-0011,VLM,0
EMSC-20160824_0000006,FOSV,0
EMSC-20161026_0000095,PTL,0
TK-1999-0077,YPT,0
IT-2012-0011,ZOVE,0
IT-1980-0012,BNV,0
IT-2012-0061,MRV,0
IT-2009-0102,AQK,0
EMSC-20160824_0000006,MVB,0
IT-2009-0174,AQU,0
EMSC-20161030_0000029,GBC,0
EMSC-20161026_0000077,TRE1,0
EMSC-20160824_0000013,TRN1,0
