NGAsubRSN,count
1002963,16
1002882,12
6003695,10
1000040,8
6001688,8
4007351,7
3001312,7
4022449,7
6001689,7
7001981,6
4040123,6
7004707,6
4032627,5
7004710,5
3000362,5
4017056,5
4032479,5
3001307,5
3001494,5
6003796,5
4007211,5
1000052,4
6001706,4
4008104,4
6003748,4
7006133,4
6001373,4
7004750,4
4034540,4
4033810,4
1002861,4
4035517,4
7004749,4
7001735,4
7004863,4
3000436,4
3000363,4
7006718,4
3001314,4
4032484,4
3001311,4
3001593,4
3001797,4
4038266,4
7006540,3
6001193,3
6001673,3
6001676,3
7006427,3
7006413,3
4030539,3
1002267,3
4034781,3
1002808,3
4008218,3
6001826,3
6001851,3
6001857,3
3001292,3
3001031,3
7007969,3
5004040,3
4019385,3
7001812,3
4032633,3
4032634,3
3001647,3
4032463,3
7006640,3
5001510,3
4040303,3
4040297,3
7004862,3
4040125,3
1002979,3
4025906,3
4025895,3
2000810,3
7008053,3
7008138,3
1002869,3
4034432,3
7011987,2
1001754,2
7004725,2
4025829,2
4023585,2
7004708,2
7004700,2
7004691,2
7004779,2
7004851,2
7004849,2
7004843,2
7004632,2
4027491,2
4027411,2
7001900,2
7004868,2
7001833,2
7001784,2
7001782,2
7001741,2
7001230,2
4028074,2
7004985,2
7004939,2
7006041,2
7006034,2
7006009,2
4017053,2
6004610,2
6004599,2
4028563,2
6002715,2
7006092,2
7006088,2
4016856,2
4016798,2
7006051,2
6002710,2
4028789,2
4028604,2
4028601,2
4028566,2
7006195,2
7006169,2
7006165,2
7006094,2
6002303,2
4009694,2
4008215,2
6001712,2
6001697,2
6001692,2
6001690,2
4007510,2
7006397,2
7006391,2
7006418,2
4007307,2
6001395,2
4007223,2
7006511,2
3001963,2
6001153,2
4032473,2
4032471,2
6001148,2
3001656,2
7006665,2
3001403,2
3001009,2
4032659,2
3000373,2
7006734,2
4040493,2
4040357,2
2000774,2
7007981,2
7007979,2
4040110,2
4033787,2
4033737,2
1002976,2
7008017,2
7008070,2
1002959,2
4034338,2
4038522,2
4038521,2
4038398,2
7008146,2
1002858,2
1002830,2
1002580,2
7010396,2
7010384,2
7008235,2
4034590,2
1002141,1
1001926,1
1001784,1
1001758,1
1001739,1
1001140,1
7011355,1
7011321,1
7011309,1
7011308,1
4035233,1
4034792,1
4034791,1
4034758,1
4034732,1
4034725,1
4034675,1
4034640,1
4034635,1
4034544,1
4034538,1
4038638,1
4038520,1
4038519,1
4038517,1
4038515,1
4038478,1
4038406,1
4038394,1
4038372,1
4038299,1
4038259,1
4038246,1
4037245,1
4036910,1
4034515,1
4034513,1
4034405,1
4034396,1
4033943,1
4033936,1
4033930,1
4033912,1
4033883,1
4040055,1
4039434,1
4039342,1
4039279,1
4040603,1
4040498,1
4040393,1
4040358,1
4040320,1
4040280,1
4040121,1
4040100,1
4033839,1
4033732,1
4033719,1
4033694,1
4033669,1
4033628,1
4033535,1
4033523,1
4033519,1
4033488,1
4033375,1
4040876,1
4040803,1
4040725,1
4040718,1
4032646,1
4032632,1
4032631,1
4032529,1
6000029,1
6000028,1
5001776,1
5001611,1
5001606,1
4033702,1
4032016,1
6001147,1
6001145,1
6001136,1
4032952,1
4032687,1
4032677,1
4032666,1
4032654,1
4032648,1
4031802,1
4031788,1
4031779,1
4031743,1
6001397,1
6001268,1
4032524,1
4032493,1
4032490,1
4032489,1
4032480,1
4032464,1
4032344,1
4032217,1
6001578,1
6001549,1
6001542,1
6001521,1
6001412,1
4031834,1
4031831,1
4031821,1
4031386,1
4031322,1
4031143,1
4031079,1
4030991,1
4030924,1
4030907,1
4030598,1
4030538,1
4030537,1
6001705,1
6001696,1
6001694,1
6002218,1
6002165,1
6001858,1
6001804,1
6001753,1
6001727,1
4031711,1
4031690,1
4031389,1
4030512,1
4030504,1
4030502,1
4030498,1
4030492,1
4029084,1
4029081,1
4028906,1
4028881,1
6002322,1
6002312,1
6002300,1
6002262,1
4028327,1
4028304,1
6002711,1
6002708,1
6002700,1
6002644,1
6002593,1
4028844,1
4028739,1
4028605,1
4028572,1
6006428,1
6005374,1
6004635,1
6004628,1
6004329,1
6003875,1
6003451,1
4028561,1
4028538,1
4028537,1
4028166,1
4028151,1
4028150,1
4028124,1
4028119,1
7001174,1
7000975,1
7001843,1
7001496,1
4028063,1
4028057,1
4027534,1
4028266,1
4028250,1
4027390,1
4027356,1
4027350,1
4027349,1
4027345,1
7002316,1
7002045,1
7002042,1
7001978,1
7001962,1
7001960,1
4025921,1
4025901,1
4025882,1
4025856,1
7004682,1
7004681,1
7004646,1
7004615,1
7003468,1
7002931,1
7002771,1
7002763,1
4027472,1
4024735,1
4024734,1
4024718,1
4024696,1
4023423,1
7004703,1
4027146,1
4026042,1
4026038,1
4023047,1
4022996,1
4022988,1
4022921,1
7004744,1
7004721,1
7004717,1
4025849,1
4025506,1
4024737,1
4022726,1
4022581,1
7004770,1
7004767,1
7004753,1
4023180,1
4023096,1
4023091,1
4023066,1
4019715,1
4019403,1
7004856,1
7004815,1
7004814,1
7004813,1
7004811,1
4022444,1
4022443,1
4022440,1
4022434,1
7004900,1
7004897,1
7004892,1
7004891,1
7004886,1
7004885,1
7004876,1
7004874,1
4019934,1
4019919,1
4019879,1
4019871,1
7005369,1
7005363,1
7005196,1
