site,im
1,AvgSA_03
2,AvgSA_03
3,AvgSA_03
4,AvgSA_03
5,AvgSA_03
6,AvgSA_03
8,AvgSA_03
9,AvgSA_03
10,AvgSA_03
11,AvgSA_03
14,AvgSA_03
15,AvgSA_03
16,AvgSA_03
21,AvgSA_03
23,AvgSA_03
25,AvgSA_03
26,AvgSA_03
29,AvgSA_03
30,AvgSA_03
32,AvgSA_03
33,AvgSA_03
35,AvgSA_03
36,AvgSA_03
37,AvgSA_03
39,AvgSA_03
40,AvgSA_03
43,AvgSA_03
45,AvgSA_03
46,AvgSA_03
51,AvgSA_03
53,AvgSA_03
54,AvgSA_03
1,AvgSA_06
2,AvgSA_06
3,AvgSA_06
4,AvgSA_06
5,AvgSA_06
6,AvgSA_06
8,AvgSA_06
9,AvgSA_06
10,AvgSA_06
11,AvgSA_06
13,AvgSA_06
14,AvgSA_06
15,AvgSA_06
16,AvgSA_06
19,AvgSA_06
21,AvgSA_06
23,AvgSA_06
25,AvgSA_06
26,AvgSA_06
29,AvgSA_06
30,AvgSA_06
32,AvgSA_06
33,AvgSA_06
36,AvgSA_06
37,AvgSA_06
39,AvgSA_06
40,AvgSA_06
43,AvgSA_06
45,AvgSA_06
46,AvgSA_06
51,AvgSA_06
53,AvgSA_06
54,AvgSA_06
