record_identifier,component
EMSC-20160824_0000013_MSCT_0,U
EMSC-20161026_0000095_MNF_0,V
IT-2013-0005_FIVI_0,U
IT-2012-0061_SDN_0,V
TK-1999-0389_5401_0,V
IT-2009-0121_GSA_0,U
IT-2009-0121_AQV_0,V
EMSC-20161026_0000077_NRC_0,U
EMSC-20161026_0000095_MMO_0,V
GR-1988-0020_PYR1_0,V
ME-1979-0003_ULA_0,U
GR-1997-0019_KYP1_0,V
IT-2012-0008_ZCCA_0,V
GR-1983-0001_AGR1_0,V
EMSC-20160824_0000006_PZI1_0,U
TK-2004-0071_4802_0,V
IT-1976-0030_SRC0_0,V
IT-2009-0121_AQM_0,U
EMSC-20161026_0000095_CLO_0,V
EMSC-20160824_0000013_MSC_0,U
IT-2012-0061_LTR_0,V
EMSC-20161026_0000077_NOR_0,U
IT-2009-0009_PTF_0,U
IT-2013-0005_VLM_0,U
IT-2012-0061_SLC1_0,U
IT-2012-0011_FIN0_0,V
GR-1999-0001_RFNA_0,U
EMSC-20161030_0000029_FRT_0,V
EMSC-20161026_0000077_CSC_0,V
EMSC-20160824_0000013_RM33_0,U
EMSC-20161030_0000029_PZI1_0,V
GR-1999-0001_ATH4_0,U
ME-1979-0003_ULA_0,V
TK-2003-0003_2301_0,U
IT-2009-0009_CLN_0,V
IT-1997-0006_MTL_0,V
IT-1997-0137_CSC_0,U
EMSC-20161030_0000029_FLT_0,U
IT-2009-0009_ORC_0,V
IT-2009-0121_FMG_0,U
EMSC-20160824_0000006_RM33_0,U
TK-2003-0038_1201_0,U
ME-1979-0012_BUD_0,V
IT-2009-0121_AQG_0,V
IT-2009-0009_FMG_0,U
EMSC-20161030_0000029_NRC_0,U
EMSC-20161030_0000029_SPD_0,V
GR-1999-0001_ATH3_0,V
AM-1988-0001_GUK_0,U
IT-1976-0025_GMN_0,U
EMSC-20161026_0000095_TLN_0,U
EMSC-20161030_0000029_CIT_0,U
EMSC-20160824_0000006_SPD_0,V
EMSC-20161030_0000029_NRC_0,V
IT-2013-0005_NEVI_0,V
EMSC-20161026_0000095_MDAR_0,U
IT-2009-0102_GSA_0,V
IT-2012-0061_0MOR_0,V
IT-2012-0061_LTR_0,U
EMSC-20161030_0000029_MSCT_0,U
TK-2005-0030_1208_0,U
EMSC-20161030_0000029_T1201_0,V
EMSC-20160824_0000013_NRC_0,U
EMSC-20161030_0000029_AQU_0,V
IT-1976-0002_TLM1_0,V
IT-2013-0005_VLM_0,V
EMSC-20160824_0000006_RM33_0,V
EMSC-20120610_0000062_KSL_0,U
IT-2009-0102_CLN_0,U
IT-1976-0030_CRD_0,V
IT-2009-0102_AQU_0,U
GR-1995-0047_PYR1_0,V
IT-1976-0030_SRC0_0,U
EMSC-20161026_0000095_T1201_0,U
GR-1990-0014_ABS1_0,U
ME-1979-0012_PET_0,V
EMSC-20161030_0000029_LSS_0,V
EMSC-20141122_0000066_ODBI_0,U
TK-1983-0001_1012_0,V
IT-1976-0002_CST_0,V
GR-1986-0011_KALA_0,U
GR-1999-0001_ATH3_0,U
EMSC-20160824_0000006_BZZ_0,V
GE-1991-0003_SAMB_0,V
EMSC-20160824_0000013_SPD_0,U
EMSC-20161030_0000029_BZZ_0,V
TK-2004-0071_4802_0,U
EMSC-20161030_0000029_T1201_0,U
GR-1995-0047_AIGA_0,V
IT-1978-0004_PTT1_0,U
GR-1995-0017_VER1_0,U
IT-2012-0008_STS_0,V
IT-1976-0027_SRC0_0,V
IT-1976-0030_CRD_0,U
EMSC-20160824_0000006_ANT_0,V
IT-1979-0009_CSC_0,U
TK-2003-0003_1201_0,V
IT-1976-0030_TRC_0,U
IT-2009-0121_AQG_0,U
EMSC-20141122_0000066_BISRR_0,V
TK-2005-0032_2406_0,V
TK-1998-0063_3102_0,U
IT-1976-0025_SMT_0,V
IT-2009-0121_AQA_0,V
EMSC-20161026_0000095_TRE1_0,U
EMSC-20161026_0000077_T1214_0,V
IT-1997-0137_CLC_0,U
EMSC-20160824_0000006_MTR_0,U
IT-1980-0012_BGI_0,V
IT-1997-0137_CESM_0,U
IT-1980-0012_CLT_0,V
IT-2012-0011_MIR06_0,V
EMSC-20161026_0000095_PRE_0,V
EMSC-20161026_0000095_NOR_0,V
EMSC-20161026_0000095_CLO_0,U
IT-2009-0121_AQU_0,V
EMSC-20160824_0000006_MSC_0,U
EMSC-20161026_0000095_SLO_0,U
TK-2003-0038_1201_0,V
IT-1997-0137_NRC_0,V
IT-1980-0012_CLT_0,U
EMSC-20161026_0000095_PRE_0,U
IT-2009-0121_PCB_0,U
