metadata,metadata,metadata
event_id,station_code,location_code
IT-1997-0137,CESM,0
IR-2005-0044,CMZ,0
IT-1997-0137,CSC,0
IT-2013-0010,PCRO,0
EMSC-20141122_0000066,ODBI,0
IT-2012-0010,CST,0
IT-2013-0005,VLM,0
EMSC-20160824_0000006,VAL,0
EMSC-20161030_0000029,SNO,0
IT-2009-0121,AQA,0
EMSC-20161026_0000095,GLT,0
EMSC-20160824_0000006,MNF,0
IT-1984-0004,CSN0,0
IR-1999-0032,SHI03,0
TK-2003-0003,1201,0
EMSC-20161026_0000095,TER,0
IT-2009-0121,RM04,0
GR-1997-0019,KYP1,0
IT-2009-0102,AQG,0
TK-1998-0063,4603,0
IT-2012-0061,CVL,0
IT-2013-0005,LNG,0
IT-2009-0009,CLN,0
IR-1994-0020,A3296,0
EMSC-20161026_0000077,ACC,0
IT-1981-0001,CNB,0
ES-1993-0002,SADR,0
EMSC-20161026_0000095,TERO,0
IT-2013-0005,PNM,0
IT-1978-0004,PTT1,0
GR-1983-0001,AGR1,0
EMSC-20160824_0000006,TERO,0
EMSC-20161026_0000077,PCB,0
TK-1983-0001,1012,0
IR-2004-0043,RSJ,0
EMSC-20161030_0000029,GNU,0
EMSC-20161026_0000077,MCT,0
IT-2009-0102,CLN,0
EMSC-20161030_0000029,T1299,0
IT-2012-0011,GAI,0
TK-1999-0077,4106,0
IT-2009-0009,GSA,0
EMSC-20161026_0000095,SLO,0
IT-2009-0121,RM02,0
EMSC-20161026_0000095,MDAR,0
IT-2009-0009,ORC,0
ME-1979-0012,BUD,0
EMSC-20160824_0000006,SNO,0
AM-1990-0013,SBKR,0
IT-2009-0121,AQP,0
IR-1997-0029,GOR,0
TK-2005-0054,1208,0
AM-1990-0013,SBGD,0
IT-1997-0091,ASS,0
IT-1997-0137,SER,0
GR-1999-0001,ATH4,0
EMSC-20160824_0000006,BRS,0
EMSC-20161030_0000029,TSC,0
GR-1999-0001,ATH2,0
IT-1984-0002,GBB,0
