NGAsubRSN,Station_Name
7010475,TCU127
7006522,KAU067
5001370,EAZ
4033734,TSUKUMI
6004532,MJN
3001966,LA VENTA
4031293,OHKUMA
7008140,TAP072
4023026,OKETO-E
7008080,MTN135
3000051,3568
4012376,TSUBAKIDAI
3001969,COYUCA
4001342,ASHIRO
4016595,ICHINOSEKI
4033695,TAKACHIHO
4016745,TSUKIDATE
7008065,MTN108
7004997,TTN014
6001446,CRIOS
3001290,638
7006533,KAU082
1002974,AK:Anchorage;Rabbit Creek FS10
7004702,HWA020
4024825,ROKKASYO
7008066,MTN109
4033920,AKAN
4033699,HYUHGA
6002217,PB02
4040842,HIKAWA
6003348,MT05
4040380,Ground Observation Point
4022762,OKOPPE-E
4028991,TAIKI
7004684,ILA025
7004752,ILA025
4018055,SHIMODATE
7008046,ILA053
7000399,TCU007
4032990,ASYORO-E
6002910,T08A
1000061,ATKA
4003200,SHITADA
7004991,TCU151
6006198,SPED
4032007,MIYAKE
7001245,TCU088
7010201,ILA022
7011564,CHGB
4033698,MANGOH
4024988,TAJIRI
6001025,POCONCHILE RETEN DE CARABINEROS (ETNA)
6001737,POCONCHILE RETEN DE CARABINEROS (ETNA)
4040686,SAKAMOTO
6001232,PUERTO PATACHE
3001442,POZU
7008144,TAP076
6002707,AMNT0
4023068,SHIZUNAI
6004606,44287
4028824,HOMBETSU
6001021,ARICA CEMENTERIO
6001733,ARICA CEMENTERIO
4018310,FUJISATO
4008562,KAWAUCHI
7008193,TCU021
6004613,AV21
7001970,HWA029
6005438,R02M
4008565,ROKKASYO
7001953,HWA009
2000885,JCC
7006498,KAU038
4028660,JOHZANKEI
3001973,TEACALCO
4012453,KAWAJIRI
7004903,TCU018
4030725,IWAKI
7008174,TAP117
4002032,HAKKOHDA
4032887,RUBESHIBE
6001224,EL LOA ADUANA (SMA-1)
3000377,ASCS
4023049,ROKKASYO
3000429,SHTH
3001954,"ATOYAC, Iglesia"
7004736,HWA062
3001958,COYUCA
6001762,COLBUN
6005167,C13O
6001380,PB06
6006374,Poconchile
6001385,PB11
2000004,SEF0
3001291,640
4022893,SHIMOKAWA-W
7004720,HWA041
4030513,AKAN
4009175,KANEGASAKI
7004730,HWA056
4003049,OOMORI
6002254,MT09
7008181,TCU007
4024661,SAMANI
4032960,SHIBETSU-N
4030898,UTATSU
6001408,PB12
4028652,HAMAMASU
4030744,KAWAUCHI
4003051,KAWAUCHI
7001197,TCU017
7006486,KAU021
5003990,THZ
7004866,TAP071
7004911,TCU028
3000253,3567
4022833,BIRATORI-E
4036908,OHMIYA
3000382,CCRT
6001018,MOQ1
6003268,VA01
3000378,ASRM
4022771,RUBESHIBE
4028874,NISEKO
3000254,3569
4030526,TAIKI
3001972,EL SUCHIL
7008172,TAP115
4040873,ENZAN
5000329,MOSS
6002214,T12A
7004870,TAP080
6002702,ALIB
7001819,TAP042
7006211,TCU148
7008045,ILA052
4006938,SHIZUKUISHI
6001208,PUENTE AMOLANAS
6001764,SANTIAGO EDIFICIO ENDESA (BSMT)
7008180,TCU006
4019400,OGAWA
4040096,AKAN
3001971,PAPANOA
7008050,ILA057
4040442,Ground Observation Point
6001777,SANTIAGO EDIFICIO ENDESA (BSMT)
6004644,EPNL
7004908,TCU025
3000391,GJTS
7001202,TCU025
6001220,ALTO HOSPICIO
7008164,TAP101
7004842,TAP040
4040662,SHIMOGOH
7008162,TAP098
4024720,SHIRANUKA-N
3000052,2894
7001828,TAP053
7004712,HWA032
7008161,TAP097
7007997,HWA051
4028832,TAIKI
6001388,PB16
4032449,47421
7008168,TAP109
7004719,HWA039
7004869,TAP075
3001398,CPDR
7004956,TCU095
4040656,TANAGURA
6001404,PB08
6001863,CTRUJ
4003091,KANEGASAKI
6001221,ANTOFAGASTA UCN
4039224,SAMANI
7001747,HWA028
4022989,ASYORO-E
7004889,TAP109
4028564,AKAN
4033700,TSUNO
3000400,HHDA
3001475,PAPN
7005846,CHY006
7004899,TCU013
4010044,JYUUOH
2000892,89530
7008075,MTN123
7008192,TCU019
4013765,KUROISO
4033836,MANGOH
4008651,KANEGASAKI
7004697,HWA015
4040099,FUTAMATA
7000401,TCU012
1002139,OKCE
4033925,HOMBETSU
7002051,TCU095
4037712,IWAKI
4033837,HYUHGA
5001383,MLZ
3000385,CSRH
6006013,I
4003160,ATSUSHIOKANOU
7001961,HWA017
6001257,MEJILLONES PUERTO
4028983,FUTAMATA
3001439,COYC
6001765,HUALANE IGLESIA
6001853,CCAL6
7006916,ILA051
4027351,TOYOHIRA
4026468,KANEGASAKI
6001745,NNA
6004594,AIB1
3001961,PAPANOA
4028964,KUMBETSU
3001654,SLUI
4019122,OGAWA
4030659,TAMAGAWA
1002116,ADK
7004771,ILA054
4031005,UTSUNOMIYA
4028754,FUKUURA
7004722,HWA043
4040383,Ground Observation Point
4039344,SHINTOKU-S
4033735,TAKEDA
7005136,ILA017
7006717,TTN028
4040872,FUJIYOSHIDA
5001379,LPLS
7004729,HWA052
7008237,TCU132
4023088,NINOHE-W
4033866,TAKEDA
6005512,C10O
4030516,RIKUBETSU
4033901,KUMBETSU
6002129,GO02
4022835,NIIKAPPU
6004607,44288
6005524,CO03
4023122,NAKAFURANO
7004910,TCU027
7004688,HWA005
4023069,SAMANI
6005384,R14M
4022991,SHINTOKU-S
7004957,TCU096
4018418,TAIKI
3001962,EL SUCHIL
3001306,3115
6005525,GO04
7004769,ILA052
7004932,TCU057
7004901,TCU015
7007993,HWA047
4024819,OOMORI
4003089,SHIZUKUISHI
3000369,AALA
4038115,SAMANI
6004592,AES2
4028854,YUHBARI
4022836,SHIZUNAI
4040694,MITO
4039223,SHIZUNAI
4022773,OKETO-E
4028567,FUTAMATA
4002211,ICHINOSEKI
4030515,FUTAMATA
3000367,SISD
4022900,BIEI-E
6001219,MEJILLONES PUERTO
4028570,HOMBETSU
3000384,CPAR
4024938,SHIZUKUISHI
4030541,MEGURO
7004882,TAP098
3001992,EL PARAISO
4040376,Ground Observation Point
7007986,HWA028
6001064,PUENTE AMOLANAS
6000858,QF19
4033933,TAIKI
4032909,SHIZUNAI
4022948,RANKOSHI
1002969,AK:Anchorage;Scenic Prk Bib Ch
7006419,HWA044
7005904,CHY087
7004929,TCU053
7007985,HWA027
7008171,TAP114
4022903,KAMIKAWA
6001781,SAN FERNANDO EDIFICIO MUNICIPAL
5003382,NSPS
6001141,TAC1
7006078,KAU082
4023054,TOWADAKO-W
6001377,PB03
6005734,PICA CONSULTORIO
7004747,ILA015
7001738,HWA015
7004877,TAP089
6005811,Poconchile
7008186,TCU012
3000392,GLCR
7004940,TCU075
7004923,TCU047
4023064,BIRATORI-E
3000386,CTBA
4018354,HAKKOHDA
7006719,TTN030
7011024,YULB
7011578,YULB
4025961,NAGAWA
4019024,YAMATSURI
4028522,TENNINKYO
4029156,OHKUMA
7004872,TAP083
4018860,KAKUNODATE
4002243,TSUKIDATE
4033713,KITAGOH
4009374,KANEGASAKI
6001361,TAC1
4024766,RIKUBETSU
4030654,YOKOTE
4003195,KAWAKAMI
4033838,TSUNO
4040382,Ground Observation Point
6000994,ANTOFAGASTA UCN
6004346,PATCX
7004925,TCU049
4031160,ICHINOSEKI
6002226,T08A
4018945,ICHINOSEKI
7001963,HWA019
7006364,CHY109
4030660,TSUBAKIDAI
4018891,HAKKOHDA
4029080,TSURUI
4040667,KANEYAMA
3001469,ATYC
6005160,C04O
4040441,Ground Observation Point
4023067,NIIKAPPU
7004846,TAP045
6002718,EPNL
6002223,T05A
3000403,LBTN
7004959,TCU099
4032989,RIKUBETSU
4023184,SHINTOKU-S
7008018,ILA020
6002142,MNMCX
3000387,CTEC
7004976,TCU120
7004944,TCU080
7004927,TCU051
6001864,CVERS
4001354,KANEGASAKI
4022895,FURANO
4040832,UTSUNOMIYA
7004887,TAP106
7004993,TCU155
6002789,GO05
4007291,TAKAYAMA
6001533,CPLAT
7006388,HWA009
7006725,TTN036
7006428,HWA055
7006692,TTN015
7006707,TTN015
7006176,TCU102
4025907,OGUTI
7006207,TCU142
4018428,ERIMO
4001341,KUJI-S
3000390,GCNS
7006508,KAU050
7006556,KAU050
7006650,TCU102
4025866,MAZE
7001823,TAP046
4019978,HAKKOHDA
6000337,GUAC
7001766,ILA022
4024611,OKETO-E
7004704,HWA023
7008187,TCU013
4001999,YOKOTE
7004859,TAP062
4026050,MINOBU
7006649,TCU101
6002252,MT01
4039181,OKETO-E
4017124,KUROISO
4022475,ATSUSHIOKANOU
4031842,FUJIWARA
3001425,BALC
4021941,OSKH01
7007980,HWA016
7001214,TCU041
4007346,SHIZUKUISHI
7006116,TAW
3001293,643
7006067,KAU067
4032889,OKETO-E
4028619,KAMOENAI
1002811,CUT
7010257,MTN139
4017093,NAGAOKA-SHISHO
4007226,ROKKASYO
4016832,CHOHSHI
7001969,HWA028
6001357,PB12
7006415,HWA040
7006220,TTN015
7006235,TTN015
7001204,TCU027
7006414,HWA039
7004685,TCU081
4022944,TOMARI
7004723,HWA044
7006696,TTN004
7006372,CHY121
2000077,RBO
4033722,KUNIMI
4031806,KANAZAWA
4016784,OGA
