storeys,site,tag,group_id,fingerprint,representative_site,representative_tag,is_representative,n_sites_in_group
3,0,3s_cbf_dc2_site0,0,26435b8268ee6bbf,0,3s_cbf_dc2_site0,True,8
3,1,3s_cbf_dc2_site1,1,f401ac831c94d559,1,3s_cbf_dc2_site1,True,6
3,2,3s_cbf_dc2_site2,1,f401ac831c94d559,1,3s_cbf_dc2_site1,False,6
3,3,3s_cbf_dc2_site3,2,84d5e0674089226d,3,3s_cbf_dc2_site3,True,1
3,4,3s_cbf_dc2_site4,0,26435b8268ee6bbf,0,3s_cbf_dc2_site0,False,8
3,5,3s_cbf_dc2_site5,1,f401ac831c94d559,1,3s_cbf_dc2_site1,False,6
3,6,3s_cbf_dc2_site6,1,f401ac831c94d559,1,3s_cbf_dc2_site1,False,6
3,7,3s_cbf_dc2_site7,3,264a066dac41a903,7,3s_cbf_dc2_site7,True,5
3,8,3s_cbf_dc2_site8,0,26435b8268ee6bbf,0,3s_cbf_dc2_site0,False,8
3,9,3s_cbf_dc2_site9,4,7ebd08cb5f289c87,9,3s_cbf_dc2_site9,True,3
3,10,3s_cbf_dc2_site10,3,264a066dac41a903,7,3s_cbf_dc2_site7,False,5
3,11,3s_cbf_dc2_site11,3,264a066dac41a903,7,3s_cbf_dc2_site7,False,5
3,12,3s_cbf_dc2_site12,5,aa8681c1adee3209,12,3s_cbf_dc2_site12,True,1
3,13,3s_cbf_dc2_site13,6,e01d851d6206c032,13,3s_cbf_dc2_site13,True,2
3,14,3s_cbf_dc2_site14,7,62957e1dcb327688,14,3s_cbf_dc2_site14,True,1
3,15,3s_cbf_dc2_site15,8,5799d88e9d6c6619,15,3s_cbf_dc2_site15,True,1
3,16,3s_cbf_dc2_site16,1,f401ac831c94d559,1,3s_cbf_dc2_site1,False,6
3,17,3s_cbf_dc2_site17,9,7beba18db9802c84,17,3s_cbf_dc2_site17,True,2
3,18,3s_cbf_dc2_site18,3,264a066dac41a903,7,3s_cbf_dc2_site7,False,5
3,19,3s_cbf_dc2_site19,0,26435b8268ee6bbf,0,3s_cbf_dc2_site0,False,8
3,20,3s_cbf_dc2_site20,4,7ebd08cb5f289c87,9,3s_cbf_dc2_site9,False,3
3,21,3s_cbf_dc2_site21,9,7beba18db9802c84,17,3s_cbf_dc2_site17,False,2
3,22,3s_cbf_dc2_site22,4,7ebd08cb5f289c87,9,3s_cbf_dc2_site9,False,3
3,23,3s_cbf_dc2_site23,1,f401ac831c94d559,1,3s_cbf_dc2_site1,False,6
3,24,3s_cbf_dc2_site24,3,264a066dac41a903,7,3s_cbf_dc2_site7,False,5
3,25,3s_cbf_dc2_site25,0,26435b8268ee6bbf,0,3s_cbf_dc2_site0,False,8
3,26,3s_cbf_dc2_site26,0,26435b8268ee6bbf,0,3s_cbf_dc2_site0,False,8
3,27,3s_cbf_dc2_site27,0,26435b8268ee6bbf,0,3s_cbf_dc2_site0,False,8
3,28,3s_cbf_dc2_site28,6,e01d851d6206c032,13,3s_cbf_dc2_site13,False,2
3,29,3s_cbf_dc2_site29,0,26435b8268ee6bbf,0,3s_cbf_dc2_site0,False,8
3,30,3s_cbf_dc2_site30,10,2c77f9f840beb2c7,30,3s_cbf_dc2_site30,True,1
3,31,3s_cbf_dc2_site31,11,941758a6f04c3a7e,31,3s_cbf_dc2_site31,True,4
3,32,3s_cbf_dc2_site32,12,f9dfcfedfcd1041a,32,3s_cbf_dc2_site32,True,4
3,33,3s_cbf_dc2_site33,12,f9dfcfedfcd1041a,32,3s_cbf_dc2_site32,False,4
3,34,3s_cbf_dc2_site34,11,941758a6f04c3a7e,31,3s_cbf_dc2_site31,False,4
3,35,3s_cbf_dc2_site35,13,970e0badb461307e,35,3s_cbf_dc2_site35,True,3
3,36,3s_cbf_dc2_site36,12,f9dfcfedfcd1041a,32,3s_cbf_dc2_site32,False,4
3,37,3s_cbf_dc2_site37,14,68d62915d5d2d263,37,3s_cbf_dc2_site37,True,1
3,38,3s_cbf_dc2_site38,15,dcc68e49b636a521,38,3s_cbf_dc2_site38,True,1
3,39,3s_cbf_dc2_site39,13,970e0badb461307e,35,3s_cbf_dc2_site35,False,3
3,40,3s_cbf_dc2_site40,16,de37c0e44d0cf729,40,3s_cbf_dc2_site40,True,1
3,41,3s_cbf_dc2_site41,17,a5a9d6a15c0525ea,41,3s_cbf_dc2_site41,True,3
3,42,3s_cbf_dc2_site42,18,de9b59cf9c4d158d,42,3s_cbf_dc2_site42,True,2
3,43,3s_cbf_dc2_site43,11,941758a6f04c3a7e,31,3s_cbf_dc2_site31,False,4
3,44,3s_cbf_dc2_site44,19,3bb83e364f1a8102,44,3s_cbf_dc2_site44,True,3
3,45,3s_cbf_dc2_site45,20,657b978bd3bd3e6c,45,3s_cbf_dc2_site45,True,2
3,46,3s_cbf_dc2_site46,19,3bb83e364f1a8102,44,3s_cbf_dc2_site44,False,3
3,47,3s_cbf_dc2_site47,21,7daeb08f9e684203,47,3s_cbf_dc2_site47,True,1
3,48,3s_cbf_dc2_site48,22,522d28f1b4590dbf,48,3s_cbf_dc2_site48,True,2
3,49,3s_cbf_dc2_site49,19,3bb83e364f1a8102,44,3s_cbf_dc2_site44,False,3
3,50,3s_cbf_dc2_site50,12,f9dfcfedfcd1041a,32,3s_cbf_dc2_site32,False,4
3,51,3s_cbf_dc2_site51,22,522d28f1b4590dbf,48,3s_cbf_dc2_site48,False,2
3,52,3s_cbf_dc2_site52,20,657b978bd3bd3e6c,45,3s_cbf_dc2_site45,False,2
3,53,3s_cbf_dc2_site53,23,c12ab2b0af2d4fab,53,3s_cbf_dc2_site53,True,1
3,54,3s_cbf_dc2_site54,17,a5a9d6a15c0525ea,41,3s_cbf_dc2_site41,False,3
3,55,3s_cbf_dc2_site55,24,89d8e790e0da04f8,55,3s_cbf_dc2_site55,True,1
