IM,SA,SA,AvgSA_03,AvgSA_03,AvgSA_06,AvgSA_06
parameter,median,dispersion,median,dispersion,median,dispersion
structure,,,,,,
3s_dc2_scA_13,0.9854873892209236,0.4060437898619831,0.3931420206240297,0.21623693178476358,0.17777924534041736,0.2548856967940807
3s_dc2_scA_20,0.9854873892209236,0.4060437898619831,0.3931420206240297,0.21623693178476358,0.17777924534041736,0.2548856967940807
3s_dc2_scA_30,0.9412960594026207,0.42155005870171075,0.3562756440191636,0.18076040471826457,0.16110823011582867,0.2784476993338684
3s_dc2_scA_40,1.4427728010662084,0.5367560915302394,0.46623040775284896,0.19081191701363565,0.21082989275349534,0.3273303872488157
3s_dc2_scA_50,1.3258806634263778,0.5274360800135305,0.4197008613187606,0.17580954289772305,0.18978918171997558,0.3272178787180522
3s_dc2_scA_60,1.3945958562101282,0.5257512554489885,0.43324172574529285,0.17768757150546757,0.195912375204063,0.3302713441664455
3s_dc2_scA_70,1.9440798590881847,0.3962726437458521,0.5873798462652648,0.22587692761871148,0.2656137993884708,0.3889941938234352
3s_dc2_scA_100,2.6252504459226715,0.332585417740724,0.7670476423986333,0.2639359122585532,0.346859770393723,0.41702717519751026
3s_dc2_scA_120,3.172556453530096,0.34654878341354656,0.931034561299986,0.28306232881717713,0.4210148318183647,0.4252404969198745
