IM,info,info,info,info,AvgSA_03_ub,AvgSA_03_ub,AvgSA_03_avg,AvgSA_03_avg
parameter,storeys,site,group,Vb_coeff,median,dispersion,median,dispersion
structure,,,,,,,,
3s_cbf_dc2_site4,3,4,group_3s_00,0.026097668925284,0.42424426168847995,0.21559333467487632,0.4083971673241119,0.21544594408564294
3s_cbf_dc2_site29,3,29,group_3s_00,0.026097668925284,0.42424426168847995,0.21559333467487632,0.4083971673241119,0.21544594408564294
3s_cbf_dc2_site8,3,8,group_3s_00,0.0260976689252841,0.42424426168847995,0.21559333467487632,0.4083971673241119,0.21544594408564294
3s_cbf_dc2_site19,3,19,group_3s_00,0.0260976689252841,0.42424426168847995,0.21559333467487632,0.4083971673241119,0.21544594408564294
3s_cbf_dc2_site27,3,27,group_3s_00,0.0262788423870807,0.42424426168847995,0.21559333467487632,0.4083971673241119,0.21544594408564294
3s_cbf_dc2_site26,3,26,group_3s_00,0.0262832406679841,0.42424426168847995,0.21559333467487632,0.4083971673241119,0.21544594408564294
3s_cbf_dc2_site0,3,0,group_3s_00,0.0285403580874961,0.42424426168847995,0.21559333467487632,0.4083971673241119,0.21544594408564294
3s_cbf_dc2_site25,3,25,group_3s_00,0.0293101457558889,0.42424426168847995,0.21559333467487632,0.4083971673241119,0.21544594408564294
3s_cbf_dc2_site3,3,3,group_3s_02,0.0317283653833444,0.41400492461074856,0.18489819134588478,0.39795499675928503,0.18650056565762424
3s_cbf_dc2_site5,3,5,group_3s_01,0.0346307479727325,0.41241467420845734,0.18201519038791386,0.3969159424570298,0.18572207494450793
3s_cbf_dc2_site2,3,2,group_3s_01,0.0349139581958305,0.41241467420845734,0.18201519038791386,0.3969159424570298,0.18572207494450793
3s_cbf_dc2_site16,3,16,group_3s_01,0.0349462775473123,0.41241467420845734,0.18201519038791386,0.3969159424570298,0.18572207494450793
3s_cbf_dc2_site23,3,23,group_3s_01,0.0356020968258607,0.41241467420845734,0.18201519038791386,0.3969159424570298,0.18572207494450793
3s_cbf_dc2_site6,3,6,group_3s_01,0.0384981232964605,0.41241467420845734,0.18201519038791386,0.3969159424570298,0.18572207494450793
3s_cbf_dc2_site1,3,1,group_3s_01,0.0391225856784778,0.41241467420845734,0.18201519038791386,0.3969159424570298,0.18572207494450793
3s_cbf_dc2_site15,3,15,group_3s_08,0.0399825504654694,0.3936142996383969,0.18320930457524293,0.3767637686891061,0.18361795777531378
3s_cbf_dc2_site20,3,20,group_3s_04,0.0406497269451512,0.3932496781473053,0.1811795823915252,0.376361573307946,0.18133965439271443
3s_cbf_dc2_site22,3,22,group_3s_04,0.0408779798752166,0.3932496781473053,0.1811795823915252,0.376361573307946,0.18133965439271443
3s_cbf_dc2_site9,3,9,group_3s_04,0.0409579212031647,0.3932496781473053,0.1811795823915252,0.376361573307946,0.18133965439271443
3s_cbf_dc2_site13,3,13,group_3s_06,0.041105186191604,0.38411746353657805,0.17349063624865296,0.3699347195121079,0.1762573547741561
3s_cbf_dc2_site12,3,12,group_3s_05,0.0419135318213399,0.3904911369622162,0.17619640821192584,0.3761227921925262,0.18130232266081564
3s_cbf_dc2_site28,3,28,group_3s_06,0.0448001957988619,0.38411746353657805,0.17349063624865296,0.3699347195121079,0.1762573547741561
3s_cbf_dc2_site14,3,14,group_3s_07,0.0460070853151681,0.39038203014949324,0.17615396733586797,0.3762726826745597,0.18161150824501146
