structure,storeys,site,group,median,dispersion,pc_min,pc_max,n_zero,n_full,well_defined
3s_cbf_dc2_site0,3,0,group_3s_00,0.41166515475442733,0.20660187776567962,0.045454545454545456,0.9545454545454546,0,0,True
3s_cbf_dc2_site1,3,1,group_3s_01,0.3927314884260653,0.15977910723457078,0.045454545454545456,0.8181818181818182,0,0,True
3s_cbf_dc2_site2,3,2,group_3s_01,0.3927314884260653,0.15977910723457078,0.045454545454545456,0.8181818181818182,0,0,True
3s_cbf_dc2_site3,3,3,group_3s_02,0.4029971081561219,0.18126567111563333,0.045454545454545456,0.8181818181818182,0,0,True
3s_cbf_dc2_site4,3,4,group_3s_00,0.41166515475442733,0.20660187776567962,0.045454545454545456,0.9545454545454546,0,0,True
3s_cbf_dc2_site5,3,5,group_3s_01,0.3927314884260653,0.15977910723457078,0.045454545454545456,0.8181818181818182,0,0,True
3s_cbf_dc2_site6,3,6,group_3s_01,0.3927314884260653,0.15977910723457078,0.045454545454545456,0.8181818181818182,0,0,True
3s_cbf_dc2_site7,3,7,group_3s_03,0.49429566917784484,0.1697986478752992,0.09090909090909091,0.8181818181818182,0,0,True
3s_cbf_dc2_site8,3,8,group_3s_00,0.41166515475442733,0.20660187776567962,0.045454545454545456,0.9545454545454546,0,0,True
3s_cbf_dc2_site9,3,9,group_3s_04,0.38611449126104463,0.1776826339406378,0.045454545454545456,0.9090909090909091,0,0,True
3s_cbf_dc2_site10,3,10,group_3s_03,0.49429566917784484,0.1697986478752992,0.09090909090909091,0.8181818181818182,0,0,True
3s_cbf_dc2_site11,3,11,group_3s_03,0.49429566917784484,0.1697986478752992,0.09090909090909091,0.8181818181818182,0,0,True
3s_cbf_dc2_site12,3,12,group_3s_05,0.374906652846044,0.20284135766559896,0.13636363636363635,0.8636363636363636,0,0,True
3s_cbf_dc2_site13,3,13,group_3s_06,0.3746444075628903,0.21500011943213337,0.13636363636363635,0.8636363636363636,0,0,True
3s_cbf_dc2_site14,3,14,group_3s_07,0.3754285920415873,0.20359412662435694,0.13636363636363635,0.8636363636363636,0,0,True
3s_cbf_dc2_site15,3,15,group_3s_08,0.3843347288509862,0.17511418314456342,0.045454545454545456,0.8181818181818182,0,0,True
3s_cbf_dc2_site16,3,16,group_3s_01,0.3927314884260653,0.15977910723457078,0.045454545454545456,0.8181818181818182,0,0,True
3s_cbf_dc2_site17,3,17,group_3s_09,0.44538529844692404,0.187704193666922,0.0,0.9090909090909091,1,0,True
3s_cbf_dc2_site18,3,18,group_3s_03,0.49429566917784484,0.1697986478752992,0.09090909090909091,0.8181818181818182,0,0,True
3s_cbf_dc2_site19,3,19,group_3s_00,0.41166515475442733,0.20660187776567962,0.045454545454545456,0.9545454545454546,0,0,True
3s_cbf_dc2_site20,3,20,group_3s_04,0.38611449126104463,0.1776826339406378,0.045454545454545456,0.9090909090909091,0,0,True
3s_cbf_dc2_site21,3,21,group_3s_09,0.44538529844692404,0.187704193666922,0.0,0.9090909090909091,1,0,True
3s_cbf_dc2_site22,3,22,group_3s_04,0.38611449126104463,0.1776826339406378,0.045454545454545456,0.9090909090909091,0,0,True
3s_cbf_dc2_site23,3,23,group_3s_01,0.3927314884260653,0.15977910723457078,0.045454545454545456,0.8181818181818182,0,0,True
3s_cbf_dc2_site24,3,24,group_3s_03,0.49429566917784484,0.1697986478752992,0.09090909090909091,0.8181818181818182,0,0,True
3s_cbf_dc2_site25,3,25,group_3s_00,0.41166515475442733,0.20660187776567962,0.045454545454545456,0.9545454545454546,0,0,True
3s_cbf_dc2_site26,3,26,group_3s_00,0.41166515475442733,0.20660187776567962,0.045454545454545456,0.9545454545454546,0,0,True
3s_cbf_dc2_site27,3,27,group_3s_00,0.41166515475442733,0.20660187776567962,0.045454545454545456,0.9545454545454546,0,0,True
3s_cbf_dc2_site28,3,28,group_3s_06,0.3746444075628903,0.21500011943213337,0.13636363636363635,0.8636363636363636,0,0,True
3s_cbf_dc2_site29,3,29,group_3s_00,0.41166515475442733,0.20660187776567962,0.045454545454545456,0.9545454545454546,0,0,True
3s_cbf_dc2_site30,3,30,group_3s_10,0.47696799929403755,0.252858069363065,0.045454545454545456,0.9545454545454546,0,0,True
3s_cbf_dc2_site31,3,31,group_3s_11,0.8429182366605329,0.1888328370604703,0.045454545454545456,0.8636363636363636,0,0,True
3s_cbf_dc2_site32,3,32,group_3s_12,0.46466636198221284,0.18051058939512618,0.09090909090909091,0.8636363636363636,0,0,True
3s_cbf_dc2_site33,3,33,group_3s_12,0.46466636198221284,0.18051058939512618,0.09090909090909091,0.8636363636363636,0,0,True
3s_cbf_dc2_site34,3,34,group_3s_11,0.8429182366605329,0.1888328370604703,0.045454545454545456,0.8636363636363636,0,0,True
3s_cbf_dc2_site35,3,35,group_3s_13,0.4549006444157165,0.17197718516846994,0.045454545454545456,0.8181818181818182,0,0,True
3s_cbf_dc2_site36,3,36,group_3s_12,0.46466636198221284,0.18051058939512618,0.09090909090909091,0.8636363636363636,0,0,True
3s_cbf_dc2_site37,3,37,group_3s_14,0.4732616203505408,0.2427033294591824,0.13636363636363635,0.9545454545454546,0,0,True
3s_cbf_dc2_site38,3,38,group_3s_15,0.9107833829391119,0.26895505680229664,0.13636363636363635,0.9090909090909091,0,0,True
3s_cbf_dc2_site39,3,39,group_3s_13,0.4549006444157165,0.17197718516846994,0.045454545454545456,0.8181818181818182,0,0,True
3s_cbf_dc2_site40,3,40,group_3s_16,0.46308076862335734,0.22470997272248538,0.045454545454545456,1.0,0,1,True
3s_cbf_dc2_site41,3,41,group_3s_17,0.6028148188155542,0.24290934113727466,0.13636363636363635,0.8181818181818182,0,0,True
3s_cbf_dc2_site42,3,42,group_3s_18,0.5883838179619837,0.2671808300064006,0.09090909090909091,0.8181818181818182,0,0,True
3s_cbf_dc2_site43,3,43,group_3s_11,0.8429182366605329,0.1888328370604703,0.045454545454545456,0.8636363636363636,0,0,True
3s_cbf_dc2_site44,3,44,group_3s_19,0.6018818174555535,0.22975348648906266,0.13636363636363635,0.8636363636363636,0,0,True
3s_cbf_dc2_site45,3,45,group_3s_20,0.6353152663593783,0.21671464197803345,0.09090909090909091,0.8636363636363636,0,0,True
3s_cbf_dc2_site46,3,46,group_3s_19,0.6018818174555535,0.22975348648906266,0.13636363636363635,0.8636363636363636,0,0,True
3s_cbf_dc2_site47,3,47,group_3s_21,0.6353152663593783,0.21671464197803345,0.09090909090909091,0.8636363636363636,0,0,True
3s_cbf_dc2_site48,3,48,group_3s_22,0.8045538434696907,0.28151174494763853,0.18181818181818182,0.8181818181818182,0,0,True
3s_cbf_dc2_site49,3,49,group_3s_19,0.6018818174555535,0.22975348648906266,0.13636363636363635,0.8636363636363636,0,0,True
3s_cbf_dc2_site50,3,50,group_3s_12,0.46466636198221284,0.18051058939512618,0.09090909090909091,0.8636363636363636,0,0,True
3s_cbf_dc2_site51,3,51,group_3s_22,0.8045538434696907,0.28151174494763853,0.18181818181818182,0.8181818181818182,0,0,True
3s_cbf_dc2_site52,3,52,group_3s_20,0.6353152663593783,0.21671464197803345,0.09090909090909091,0.8636363636363636,0,0,True
3s_cbf_dc2_site53,3,53,group_3s_23,0.8404473417197758,0.18658539630358537,0.045454545454545456,0.8636363636363636,0,0,True
3s_cbf_dc2_site54,3,54,group_3s_17,0.6028148188155542,0.24290934113727466,0.13636363636363635,0.8181818181818182,0,0,True
3s_cbf_dc2_site55,3,55,group_3s_24,0.600426105117175,0.2335705807490742,0.13636363636363635,0.8636363636363636,0,0,True
3s_cbf_dc2_site56,3,56,group_3s_18,0.5883838179619837,0.2671808300064006,0.09090909090909091,0.8181818181818182,0,0,True
3s_cbf_dc2_site57,3,57,group_3s_17,0.6028148188155542,0.24290934113727466,0.13636363636363635,0.8181818181818182,0,0,True
3s_cbf_dc2_site58,3,58,group_3s_13,0.4549006444157165,0.17197718516846994,0.045454545454545456,0.8181818181818182,0,0,True
3s_cbf_dc2_site59,3,59,group_3s_11,0.8429182366605329,0.1888328370604703,0.045454545454545456,0.8636363636363636,0,0,True
5s_cbf_dc2_site0,5,0,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site1,5,1,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site2,5,2,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site3,5,3,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site4,5,4,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site5,5,5,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site6,5,6,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site7,5,7,group_5s_01,0.46482275071298496,0.19886623092519612,0.13636363636363635,0.9090909090909091,0,0,True
5s_cbf_dc2_site8,5,8,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site9,5,9,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site10,5,10,group_5s_02,0.44685374297661506,0.20562118475107158,0.13636363636363635,0.9090909090909091,0,0,True
5s_cbf_dc2_site11,5,11,group_5s_03,0.42571383966782084,0.18748432524757302,0.09090909090909091,0.8636363636363636,0,0,True
5s_cbf_dc2_site12,5,12,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site13,5,13,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site14,5,14,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site15,5,15,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site16,5,16,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site17,5,17,group_5s_04,0.42024878255147907,0.20173195826398932,0.13636363636363635,0.8636363636363636,0,0,True
5s_cbf_dc2_site18,5,18,group_5s_02,0.44685374297661506,0.20562118475107158,0.13636363636363635,0.9090909090909091,0,0,True
5s_cbf_dc2_site19,5,19,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site20,5,20,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site21,5,21,group_5s_05,0.46622841101749923,0.16672018080936735,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site22,5,22,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site23,5,23,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site24,5,24,group_5s_02,0.44685374297661506,0.20562118475107158,0.13636363636363635,0.9090909090909091,0,0,True
5s_cbf_dc2_site25,5,25,group_5s_06,0.3299174500691858,0.15281149297945235,0.045454545454545456,0.8181818181818182,0,0,True
5s_cbf_dc2_site26,5,26,group_5s_06,0.3299174500691858,0.15281149297945235,0.045454545454545456,0.8181818181818182,0,0,True
5s_cbf_dc2_site27,5,27,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site28,5,28,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site29,5,29,group_5s_00,0.3518918191330724,0.18281300502665038,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site30,5,30,group_5s_07,0.6120895168351165,0.17736477278934357,0.0,0.8636363636363636,1,0,True
5s_cbf_dc2_site31,5,31,group_5s_08,0.640316370523345,0.16372893621682152,0.045454545454545456,0.8181818181818182,0,0,True
5s_cbf_dc2_site32,5,32,group_5s_09,0.3914371983985894,0.26331750378041774,0.18181818181818182,0.8636363636363636,0,0,True
5s_cbf_dc2_site33,5,33,group_5s_10,0.4689771688322276,0.19408479246514648,0.13636363636363635,0.8181818181818182,0,0,True
5s_cbf_dc2_site34,5,34,group_5s_11,0.7170801860126726,0.16793600725315655,0.045454545454545456,0.8636363636363636,0,0,True
5s_cbf_dc2_site35,5,35,group_5s_09,0.3914371983985894,0.26331750378041774,0.18181818181818182,0.8636363636363636,0,0,True
5s_cbf_dc2_site36,5,36,group_5s_09,0.3914371983985894,0.26331750378041774,0.18181818181818182,0.8636363636363636,0,0,True
5s_cbf_dc2_site37,5,37,group_5s_12,0.6224629866912625,0.2050247135297142,0.0,0.8181818181818182,1,0,True
5s_cbf_dc2_site38,5,38,group_5s_13,0.7329776364799261,0.1751656750908286,0.045454545454545456,0.8636363636363636,0,0,True
5s_cbf_dc2_site39,5,39,group_5s_14,0.42818213031011393,0.21584249986244616,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site40,5,40,group_5s_15,0.41354855765488385,0.19407505232446057,0.09090909090909091,0.9090909090909091,0,0,True
5s_cbf_dc2_site41,5,41,group_5s_16,0.5305415799963101,0.2529405417235104,0.13636363636363635,0.9090909090909091,0,0,True
5s_cbf_dc2_site42,5,42,group_5s_17,0.576152537111371,0.20501197014622502,0.09090909090909091,0.9545454545454546,0,0,True
5s_cbf_dc2_site43,5,43,group_5s_08,0.640316370523345,0.16372893621682152,0.045454545454545456,0.8181818181818182,0,0,True
5s_cbf_dc2_site44,5,44,group_5s_18,0.7531483051471495,0.19579758783453163,0.13636363636363635,0.9090909090909091,0,0,True
5s_cbf_dc2_site45,5,45,group_5s_19,0.626464200810662,0.22861719734792155,0.09090909090909091,0.8636363636363636,0,0,True
