IM,info,info,info,AvgSA_03_ub,AvgSA_03_ub,AvgSA_03_avg,AvgSA_03_avg
parameter,storeys,n_sites,sites,median,dispersion,median,dispersion
group,,,,,,,
group_3s_00,3,8,0 4 8 19 25 26 27 29,0.42424426168847995,0.21559333467487632,0.4083971673241119,0.21544594408564294
group_3s_01,3,6,1 2 5 6 16 23,0.41241467420845734,0.18201519038791386,0.3969159424570298,0.18572207494450793
group_3s_02,3,1,3,0.41400492461074856,0.18489819134588478,0.39795499675928503,0.18650056565762424
group_3s_03,3,5,7 10 11 18 24,0.5026681103483441,0.18220222446244047,0.4841065565059645,0.18588063959591183
group_3s_04,3,3,9 20 22,0.3932496781473053,0.1811795823915252,0.376361573307946,0.18133965439271443
group_3s_05,3,1,12,0.3904911369622162,0.17619640821192584,0.3761227921925262,0.18130232266081564
group_3s_06,3,2,13 28,0.38411746353657805,0.17349063624865296,0.3699347195121079,0.1762573547741561
group_3s_07,3,1,14,0.39038203014949324,0.17615396733586797,0.3762726826745597,0.18161150824501146
group_3s_08,3,1,15,0.3936142996383969,0.18320930457524293,0.3767637686891061,0.18361795777531378
group_3s_09,3,2,17 21,0.4627608557968049,0.16277691153527246,0.44656416857317044,0.16659650046498703
group_3s_10,3,1,30,0.49238828916340643,0.2120635550154843,0.47393650773424456,0.2136555062261143
group_3s_11,3,4,31 34 43 59,0.8389659501398823,0.2679497793031024,0.8136924878918566,0.26303314617563106
group_3s_12,3,4,32 33 36 50,0.4823692140893084,0.1752093455054753,0.4643856706258773,0.1726233608163767
group_3s_13,3,3,35 39 58,0.46980607560375526,0.17296166001862895,0.45115362678382076,0.17499961425288035
group_3s_14,3,1,37,0.4890750874354053,0.21740903128807193,0.47128419669813887,0.21686667199398854
group_3s_15,3,1,38,0.9222711307647037,0.3328009270099949,0.898774045116336,0.3285801716461894
group_3s_16,3,1,40,0.4846711154562111,0.20715612127756947,0.4667754812330345,0.2092235262510548
group_3s_17,3,3,41 54 57,0.6307472375404701,0.22477786442032524,0.6086774313367977,0.22479758600346764
group_3s_18,3,2,42 56,0.5916169661093643,0.23593384670322454,0.572280340002846,0.23327155869707306
group_3s_19,3,3,44 46 49,0.6332415747519134,0.22584074493942785,0.6097461882181339,0.23532076461057122
group_3s_20,3,2,45 52,0.6528075692443488,0.21187494737589452,0.6338901683376298,0.21053555691748876
group_3s_21,3,1,47,0.6526570749024345,0.2044968253648322,0.6338290333020326,0.20673411867940977
group_3s_22,3,2,48 51,0.8220519717165894,0.2573787050955908,0.7940736910604445,0.26019936136520583
group_3s_23,3,1,53,0.8375806622966716,0.2649318447431443,0.8122218081818791,0.2598653006910157
group_3s_24,3,1,55,0.6257529365861865,0.24065886683918175,0.6027478672981784,0.24247018352916141
group_5s_00,5,21,0 1 2 3 4 5 6 8 9 12 13 14 15 16 19 20 22 23 27 28 29,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
group_5s_01,5,1,7,0.48124451807222285,0.19556859883893063,0.46243982766685404,0.19632449744240285
group_5s_02,5,3,10 18 24,0.45985492726847343,0.1869932738880478,0.44302509971111254,0.19151484979621508
group_5s_03,5,1,11,0.4366154203157237,0.170119244577679,0.42105392033578454,0.17339527184325534
group_5s_04,5,1,17,0.4325664453393645,0.16500438250371954,0.416174761134514,0.1702205979112404
group_5s_05,5,1,21,0.474979908934244,0.16931516269100208,0.4576192461911596,0.17329593125357573
group_5s_06,5,2,25 26,0.3405272126647699,0.18524905607859302,0.3265963786036838,0.18654737251596515
group_5s_07,5,1,30,0.6178011027462226,0.1853912207885209,0.5973845865882342,0.19077044857888603
group_5s_08,5,2,31 43,0.6532043268616193,0.19162914546407073,0.6304245256826175,0.191006560245823
group_5s_09,5,3,32 35 36,0.4164648854843564,0.20314950672127918,0.4022143437794156,0.20498800648083887
group_5s_10,5,1,33,0.48914338366212284,0.18398980322013384,0.4683776448939102,0.1821411043257859
group_5s_11,5,2,34 53,0.7277961257438662,0.19000628245061604,0.7032829204436798,0.19288492608773133
group_5s_12,5,1,37,0.629652208981485,0.2114941651675534,0.6074385215342876,0.2136232764310429
group_5s_13,5,1,38,0.7716660880218407,0.175774639951389,0.7440224310585534,0.17406072756990093
group_5s_14,5,1,39,0.4507571573152053,0.224821295810544,0.43223011886977936,0.22222435187607767
group_5s_15,5,1,40,0.44212832164332816,0.19238680643239062,0.42408425452728765,0.19337378195925126
group_5s_16,5,5,41 47 54 55 57,0.5421075158888062,0.22775702609473059,0.5261363571173163,0.22573704423933685
group_5s_17,5,2,42 56,0.5961531724026385,0.20245513438049026,0.5735075169901865,0.20327390538925497
group_5s_18,5,2,44 46,0.7598698404707365,0.20206238076443894,0.7326351675219026,0.19464410417000727
group_5s_19,5,2,45 52,0.6289411468387017,0.2052541093827137,0.610215598418688,0.20611973888611235
group_5s_20,5,1,48,0.6446161331615458,0.20087678701853692,0.6221889791293286,0.1986071248762412
group_5s_21,5,1,49,0.6914935016536768,0.21593008844896852,0.6709949908922497,0.2185721572913561
group_5s_22,5,1,50,0.48911323877171015,0.209830078847374,0.46871174744636523,0.20737811044209115
group_5s_23,5,1,51,0.6543141425876261,0.21687069812478385,0.6327445584652961,0.2126040953296626
group_5s_24,5,1,58,0.4507558890022083,0.22507627622560594,0.4322062909099658,0.2224900854498037
group_5s_25,5,1,59,0.6494625694070606,0.1694437565618717,0.626360669028379,0.16769276724829682
