group,storeys,group_id,n_sites,sites,tail,target_poc,iml,msa_median,msa_dispersion,pc_min,pc_max
group_3s_00,3,0,8,0 4 8 19 25 26 27 29,high,0.85,0.536,0.41818127025014057,0.23965159384864812,0.045454545454545456,0.6818181818181818
group_3s_02,3,2,1,3,high,0.85,0.481,0.40148283033975474,0.17478459129129886,0.045454545454545456,0.7727272727272727
group_3s_04,3,4,3,9 20 22,high,0.85,0.476,0.38945676920541666,0.19263623511757083,0.045454545454545456,0.6818181818181818
group_3s_05,3,5,1,12,high,0.85,0.465,0.37560021599087784,0.2067206912044637,0.13636363636363635,0.7727272727272727
group_3s_06,3,6,2,13 28,high,0.85,0.471,0.37546596903686347,0.21966876724669362,0.13636363636363635,0.7272727272727273
group_3s_07,3,7,1,14,high,0.85,0.466,0.3761228019030263,0.20754419087864767,0.13636363636363635,0.7727272727272727
group_3s_08,3,8,1,15,high,0.85,0.456,0.38279813672525437,0.1687009417930144,0.045454545454545456,0.7727272727272727
group_3s_09,3,9,2,17 21,high,0.85,0.575,0.4384392022818168,0.2619205758234056,0.22727272727272727,0.7272727272727273
group_3s_09,3,9,2,17 21,low,0.15,0.334,0.4384392022818168,0.2619205758234056,0.22727272727272727,0.7272727272727273
group_3s_10,3,10,1,30,high,0.85,0.681,0.4811987596335366,0.33536592563672446,0.22727272727272727,0.7272727272727273
group_3s_10,3,10,1,30,low,0.15,0.34,0.4811987596335366,0.33536592563672446,0.22727272727272727,0.7272727272727273
group_3s_12,3,12,4,32 33 36 50,high,0.85,0.563,0.4654356878791117,0.18388902352156752,0.09090909090909091,0.7727272727272727
group_3s_13,3,13,3,35 39 58,high,0.85,0.538,0.45329302009663003,0.16596173824456528,0.045454545454545456,0.7727272727272727
group_3s_14,3,14,1,37,high,0.85,0.649,0.4817781654780757,0.2880923397784136,0.13636363636363635,0.6818181818181818
group_3s_16,3,16,1,40,high,0.85,0.666,0.473399124936545,0.32886977167334386,0.22727272727272727,0.7272727272727273
group_3s_16,3,16,1,40,low,0.15,0.337,0.473399124936545,0.32886977167334386,0.22727272727272727,0.7272727272727273
group_3s_18,3,18,2,42 56,high,0.85,0.763,0.5853242976198793,0.2563710614952373,0.09090909090909091,0.7272727272727273
group_3s_20,3,20,2,45 52,high,0.85,0.8,0.6364115205699172,0.22029254659166347,0.09090909090909091,0.7727272727272727
group_3s_21,3,21,1,47,high,0.85,0.8,0.6364115205699172,0.22029254659166347,0.09090909090909091,0.7727272727272727
