group,storeys,n_sites,sites,median,dispersion,pc_min,pc_max,n_zero,n_full,well_defined
group_3s_06,3,2,13 28,0.3746444075628903,0.21500011943213337,0.13636363636363635,0.8636363636363636,0,0,True
group_3s_05,3,1,12,0.374906652846044,0.20284135766559896,0.13636363636363635,0.8636363636363636,0,0,True
group_3s_07,3,1,14,0.3754285920415873,0.20359412662435694,0.13636363636363635,0.8636363636363636,0,0,True
group_3s_08,3,1,15,0.3843347288509862,0.17511418314456342,0.045454545454545456,0.8181818181818182,0,0,True
group_3s_04,3,3,9 20 22,0.38611449126104463,0.1776826339406378,0.045454545454545456,0.9090909090909091,0,0,True
group_3s_01,3,6,1 2 5 6 16 23,0.3927314884260653,0.15977910723457078,0.045454545454545456,0.8181818181818182,0,0,True
group_3s_02,3,1,3,0.4029971081561219,0.18126567111563333,0.045454545454545456,0.8181818181818182,0,0,True
group_3s_00,3,8,0 4 8 19 25 26 27 29,0.41166515475442733,0.20660187776567962,0.045454545454545456,0.9545454545454546,0,0,True
group_3s_09,3,2,17 21,0.44538529844692404,0.187704193666922,0.0,0.9090909090909091,1,0,True
group_3s_13,3,3,35 39 58,0.4549006444157165,0.17197718516846994,0.045454545454545456,0.8181818181818182,0,0,True
group_3s_16,3,1,40,0.46308076862335734,0.22470997272248538,0.045454545454545456,1.0,0,1,True
group_3s_12,3,4,32 33 36 50,0.46466636198221284,0.18051058939512618,0.09090909090909091,0.8636363636363636,0,0,True
group_3s_14,3,1,37,0.4732616203505408,0.2427033294591824,0.13636363636363635,0.9545454545454546,0,0,True
group_3s_10,3,1,30,0.47696799929403755,0.252858069363065,0.045454545454545456,0.9545454545454546,0,0,True
group_3s_03,3,5,7 10 11 18 24,0.49429566917784484,0.1697986478752992,0.09090909090909091,0.8181818181818182,0,0,True
group_3s_18,3,2,42 56,0.5883838179619837,0.2671808300064006,0.09090909090909091,0.8181818181818182,0,0,True
group_3s_24,3,1,55,0.600426105117175,0.2335705807490742,0.13636363636363635,0.8636363636363636,0,0,True
group_3s_19,3,3,44 46 49,0.6018818174555535,0.22975348648906266,0.13636363636363635,0.8636363636363636,0,0,True
group_3s_17,3,3,41 54 57,0.6028148188155542,0.24290934113727466,0.13636363636363635,0.8181818181818182,0,0,True
group_3s_20,3,2,45 52,0.6353152663593783,0.21671464197803345,0.09090909090909091,0.8636363636363636,0,0,True
group_3s_21,3,1,47,0.6353152663593783,0.21671464197803345,0.09090909090909091,0.8636363636363636,0,0,True
group_3s_22,3,2,48 51,0.8045538434696907,0.28151174494763853,0.18181818181818182,0.8181818181818182,0,0,True
group_3s_23,3,1,53,0.8404473417197758,0.18658539630358537,0.045454545454545456,0.8636363636363636,0,0,True
group_3s_11,3,4,31 34 43 59,0.8429182366605329,0.1888328370604703,0.045454545454545456,0.8636363636363636,0,0,True
group_3s_15,3,1,38,0.9107833829391119,0.26895505680229664,0.13636363636363635,0.9090909090909091,0,0,True
