group,group_3s_00,group_3s_01,group_3s_02,group_3s_03,group_3s_04,group_3s_05,group_3s_06,group_3s_07,group_3s_08,group_3s_09,group_3s_10,group_3s_11,group_3s_12,group_3s_13,group_3s_14,group_3s_15,group_3s_16,group_3s_17,group_3s_18,group_3s_19,group_3s_20,group_3s_21,group_3s_22,group_3s_23,group_3s_24,group_5s_00,group_5s_01,group_5s_02,group_5s_03,group_5s_04,group_5s_05,group_5s_06,group_5s_07,group_5s_08,group_5s_09,group_5s_10,group_5s_11,group_5s_12,group_5s_13,group_5s_14,group_5s_15,group_5s_16,group_5s_17,group_5s_18,group_5s_19,group_5s_20,group_5s_21,group_5s_22,group_5s_23,group_5s_24,group_5s_25
n_storeys,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.2073512058232277,0.1867471279229446,0.1646491279571464,0.2047965065202054,0.1845642784472366,0.1803749313113094,0.1752215793940001,0.1816378551457015,0.1834988939307345,0.178634437050722,0.2112649843663248,0.3039676520751059,0.1869162112733477,0.1801469795811037,0.2304577732158905,0.3275886848506908,0.2068131541423937,0.2266268805020072,0.2474691145238084,0.2646310086261112,0.2185112915625589,0.2135403929849839,0.29689203473326,0.299380734154069,0.246820540494022,0.1667583201858988,0.1805466975242268,0.2014012125105985,0.1576057486602639,0.1879359787411662,0.1944293016555257,0.1994641528126585,0.2125197540818972,0.2267964200475865,0.2216939913559216,0.2013296413044244,0.1775452530097395,0.2344083153941554,0.1955672122219765,0.2449716202147969,0.2054363453330934,0.2115564971488867,0.2140075416919642,0.2114759364521343,0.2146349594966791,0.2168571065212715,0.2243826780101522,0.2357068037337435,0.2550520268451187,0.2450600367130452,0.1863815553169253
1,0.2118704462962942,0.1636690859834517,0.1493494495754397,0.1674673282987459,0.1455715395458783,0.1477143170056375,0.1395720975219264,0.1470532072779827,0.1448642241476019,0.1626927029429105,0.2147152215826306,0.250564116203348,0.1859626293130139,0.1934879827287109,0.2205310615543309,0.267645749898833,0.20995890185333,0.2467273045858458,0.2549778307999228,0.2301876105742674,0.2240441760710763,0.2207409456692064,0.2434105766272617,0.2462453684433053,0.253865718501068,0.1538123135385279,0.1519995077275163,0.1484829611127046,0.1548578347949606,0.1368982030549805,0.1195212541185406,0.1482415879052881,0.1461607841421788,0.209744694595761,0.1695609890725537,0.1570026096802974,0.2101246627427502,0.1651871571472205,0.1958052727359135,0.1764234318548011,0.1498366966905269,0.214736976741271,0.2255206563114489,0.2529903776765237,0.2018441226113287,0.2291373891301465,0.2383341307497022,0.165837655589471,0.2339190621992527,0.1767936857519709,0.1942495801615721
2,0.2320824444273908,0.1779304289144943,0.2057110659093532,0.160040144228563,0.1625032087196789,0.1754012284400242,0.1701648006217125,0.1749538166422583,0.1632193333398842,0.1721608343244889,0.1903053235903623,0.2749351354688411,0.1344091271603699,0.1672920596271336,0.1917905471168714,0.3193383313576742,0.1871667818317778,0.2667452745791361,0.2587417036735364,0.2365173438024808,0.2444572374273075,0.2350840746362273,0.255574844222693,0.2716161631369022,0.3102035386940424,0.1786314866546902,0.1922611261739786,0.1841366160059321,0.1803844242060532,0.1577321974740582,0.1617082558425665,0.1957348207967982,0.1630901543877307,0.1332262031220776,0.158012190745329,0.1544531087611058,0.188319789919062,0.1861000876653591,0.1665933517597628,0.1961511713517854,0.167182308057556,0.1851027065247994,0.2110503085533869,0.2407230888483977,0.1904866528277122,0.1918030042611535,0.1960551268642311,0.1539333685133045,0.1796673351657116,0.1963848965652457,0.1638542313194686
3,0.1744774476284916,0.1824656179874172,0.163852237188668,0.1989856693319086,0.1619602650337214,0.1761093397568747,0.1687337817221008,0.1755297570676383,0.1691666979359862,0.1610969507006122,0.2172516678451264,0.2670135598159676,0.1728253394101012,0.1693693728652723,0.2116568931813692,0.39312490461307,0.2156142536632703,0.2189150403912533,0.2252208924313612,0.2372376460701021,0.1991209119795174,0.1982399289221399,0.2720273586840158,0.2648739143889141,0.2184642677239694,0.2054220739120594,0.2060214739002869,0.1835383145201733,0.1713305410059553,0.1734587962013214,0.176857103193594,0.1781601107138886,0.1694968655387627,0.2000497714891773,0.2037124037286161,0.1780404029086337,0.199676760204527,0.1907555864355489,0.175104772492656,0.224169948410505,0.1890552177464034,0.2484724930361922,0.2049190022954987,0.1628016147652864,0.2084400503341677,0.2071857829617256,0.2167492825986397,0.1856365581472452,0.2202884695438287,0.2243368996645619,0.1771774114115489
4,0.2247574940320711,0.1891811094463713,0.187232800826068,0.1795319770516922,0.1672420176411202,0.2008499381359475,0.1891182797876489,0.1994525485813866,0.1655957235221808,0.1682509305018616,0.209176692483827,0.2550359004548531,0.1532693239010786,0.1847941443412941,0.2120107756693565,0.2965567523490783,0.2056304229125218,0.2481897140786763,0.2456575826916496,0.2418768688895286,0.2316568573264134,0.2311792328192363,0.2749643110736361,0.2551054430383044,0.2361928070630256,0.1599036651207308,0.2007165150317298,0.1887209585983592,0.190393415038326,0.172390991928049,0.1584654661087715,0.1582518078125603,0.2089480461475169,0.1463574145634919,0.2158806432653352,0.2069123310553913,0.2054885511288382,0.2216139855770499,0.1442331288258858,0.2435681303437972,0.1994231078179325,0.2383665333005306,0.1946664392980668,0.1875951815107553,0.2149903255220961,0.1997382029140582,0.2237431868751554,0.2307004784315958,0.2002473903287364,0.2439379698366164,0.1726259188078177
5,0.2411755738158232,0.2181051279873745,0.2004487281427075,0.1702862744133718,0.1969436958249709,0.1712427316302799,0.1702220710708657,0.1727254164281604,0.1991141008541095,0.1512772201966852,0.2040753714795237,0.3600814244396045,0.1527441044814138,0.1353628376472819,0.2113411168192604,0.4063734327305516,0.2052761970847589,0.2375599970295477,0.2378427161927195,0.32108403595601,0.2391962924698105,0.2293788287736901,0.3396352288349415,0.3572539744032741,0.302189802343471,0.1644148041242682,0.1739001090739809,0.1900663465121036,0.1674097329830706,0.1667789992040459,0.1620414520252892,0.1911377979824483,0.1473614603394127,0.1668353075060421,0.2120628019797,0.1775965396823979,0.1613794504655124,0.1945797417443979,0.162114129883166,0.2408272124223909,0.2101115524403852,0.2097905620711398,0.1858188990299861,0.2018219240478484,0.1960273025772969,0.1664797263149911,0.1694049488116897,0.1910043532427547,0.1640105315120841,0.2409841993271055,0.1214346118707885
6,0.240540223069376,0.1761663875945063,0.2358380073184418,0.1908176625484115,0.2050382400282951,0.1828123974168421,0.1808351301144691,0.1843159265449344,0.2038774371776069,0.1809624055154239,0.2074569993666203,0.2826841331507859,0.1643262632706082,0.1491252104723432,0.2210197882712491,0.316786353456961,0.2057629640987681,0.1934423986903982,0.2187079007294766,0.2546066552260915,0.2066720120127897,0.2048771475149019,0.3130253130398226,0.2800341814592736,0.2040737179887908,0.1825537189629199,0.2230396912431763,0.1907969902915372,0.2018994466074171,0.1785056407477814,0.1555819106520172,0.1583078517073572,0.1909390587065658,0.1944868857316584,0.2296263110338062,0.1865790417395083,0.1911273496082858,0.2182923061973955,0.1483818557883214,0.2387182606393509,0.2063009997398425,0.229910584580928,0.1603391487942834,0.1008863313426083,0.1886916390082064,0.1933302525835354,0.1815148170824574,0.2336675970532254,0.167497805115296,0.2389323251687843,0.1641708613414985
7,0.1956682110970015,0.2044805996984622,0.1570394886264992,0.1977336211723359,0.1941633129309165,0.2059358071838631,0.2037064586269779,0.2072580052435322,0.1932537443596264,0.1578196719397444,0.2149667316018672,0.3284834031270598,0.167550775370407,0.1628506507568889,0.2186676788000987,0.3642989717918303,0.2123530367174832,0.1924614090909669,0.2008493671161134,0.2935225162636605,0.1963566941141946,0.1930593137604336,0.3291552351851779,0.3278076700588573,0.21244062379789,0.1760066422148178,0.2150925977487854,0.2283391430260483,0.1872340000637483,0.2165307910526535,0.2126942876440244,0.2148295776700154,0.2194087558729165,0.1900283289547149,0.2322134161149595,0.2179076061833053,0.1795823308304652,0.2403717339078612,0.1705604305350697,0.2753330849051565,0.2329402914191276,0.2287665248044043,0.1987724615979808,0.1490262568563985,0.2279172673016038,0.1785963790792185,0.1984466246260471,0.2163075115868415,0.2400606659882468,0.275440562126114,0.1734401872125948
