site,n_storeys,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
0,3,5000.0,0.34323619755277013,0.4878147676801228,0.4087001319545278,0.4080453416045917,0.0003295256224985801,0.018154656174291527,0.3751723228041954,0.38018540221513497,0.39054893960335413,0.42707030363260245,0.4395044286972649,0.44513932008323503,0.1905470147926216,-0.028741814517078357
0,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
1,3,5000.0,0.34763070993391315,0.4580007739644368,0.3971344976820349,0.39647699065755837,0.00023718558710621269,0.015402371041919334,0.3686514891922048,0.37292724916962405,0.3817935245992468,0.41272736277138716,0.42363907456656547,0.4283066823116904,0.1969886108695652,-0.02854083186976819
1,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
2,3,5000.0,0.34763070993391315,0.4580007739644368,0.3971344976820349,0.39647699065755837,0.00023718558710621269,0.015402371041919334,0.3686514891922048,0.37292724916962405,0.3817935245992468,0.41272736277138716,0.42363907456656547,0.4283066823116904,0.1969886108695652,-0.02854083186976819
2,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
3,3,5000.0,0.3432784359910664,0.45710399692757386,0.3981216436152928,0.3975915349346124,0.00023558867244041263,0.015350433205624287,0.3702767802298836,0.37379095900849807,0.3830661693065943,0.4135767149526133,0.4243105886204367,0.4295303304918506,0.20954940676895598,-0.02373125457866454
3,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
4,3,5000.0,0.34323619755277013,0.4878147676801228,0.4087001319545278,0.4080453416045917,0.0003295256224985801,0.018154656174291527,0.3751723228041954,0.38018540221513497,0.39054893960335413,0.42707030363260245,0.4395044286972649,0.44513932008323503,0.1905470147926216,-0.028741814517078357
4,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
5,3,5000.0,0.34763070993391315,0.4580007739644368,0.3971344976820349,0.39647699065755837,0.00023718558710621269,0.015402371041919334,0.3686514891922048,0.37292724916962405,0.3817935245992468,0.41272736277138716,0.42363907456656547,0.4283066823116904,0.1969886108695652,-0.02854083186976819
5,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
6,3,5000.0,0.34763070993391315,0.4580007739644368,0.3971344976820349,0.39647699065755837,0.00023718558710621269,0.015402371041919334,0.3686514891922048,0.37292724916962405,0.3817935245992468,0.41272736277138716,0.42363907456656547,0.4283066823116904,0.1969886108695652,-0.02854083186976819
6,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
7,3,5000.0,0.4243388451015156,0.5591678460101209,0.4843781332350467,0.48382534451276404,0.0003520079472294503,0.018763751301433058,0.4500386396702519,0.4544421536564474,0.46571275002269397,0.5032324042473061,0.5165217795989531,0.5223115396725364,0.16946579617198007,-0.026626929757561868
7,5,5000.0,0.39792898221024714,0.5312730949823982,0.46282771564162484,0.46271248376640456,0.000361486668179493,0.019014704309441365,0.4255697115437719,0.4310638083001445,0.44375673493045387,0.4813328581911208,0.49415428282700247,0.5007096796596886,0.041185804196106755,-0.05241982489303254
8,3,5000.0,0.34323619755277013,0.4878147676801228,0.4087001319545278,0.4080453416045917,0.0003295256224985801,0.018154656174291527,0.3751723228041954,0.38018540221513497,0.39054893960335413,0.42707030363260245,0.4395044286972649,0.44513932008323503,0.1905470147926216,-0.028741814517078357
8,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
9,3,5000.0,0.3327213872648147,0.4396515345724762,0.37670070086218166,0.37631615263980844,0.00020631827014511438,0.014365219874875743,0.3501448695269511,0.3537223353437123,0.36215177681895083,0.39097589332070465,0.40095002022712384,0.4063804024414032,0.17791900369224273,0.08234768765257705
9,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
10,3,5000.0,0.4243388451015156,0.5591678460101209,0.4843781332350467,0.48382534451276404,0.0003520079472294503,0.018763751301433058,0.4500386396702519,0.4544421536564474,0.46571275002269397,0.5032324042473061,0.5165217795989531,0.5223115396725364,0.16946579617198007,-0.026626929757561868
10,5,5000.0,0.38694576649677026,0.5088666352030307,0.4430429632119833,0.4430964198584867,0.0003066971007428349,0.017514521187669434,0.4085845884771757,0.4143769039628056,0.425872027956569,0.4602948601034393,0.47225146626878384,0.477436503111311,0.05173875506329055,0.016058015512031787
11,3,5000.0,0.4243388451015156,0.5591678460101209,0.4843781332350467,0.48382534451276404,0.0003520079472294503,0.018763751301433058,0.4500386396702519,0.4544421536564474,0.46571275002269397,0.5032324042473061,0.5165217795989531,0.5223115396725364,0.16946579617198007,-0.026626929757561868
11,5,5000.0,0.3699254694671368,0.4784518191814846,0.4210997650076504,0.42076064760606435,0.00022902986278310901,0.015135246212688209,0.3934486214221283,0.39742734013923614,0.4060650756166512,0.4362063433074182,0.4465491820389664,0.45229349131321755,0.1630782435148334,0.09149075808685359
12,3,5000.0,0.33182099535906856,0.4299809126322493,0.3762942770497056,0.37586292526654613,0.00019925522829127083,0.014117191197569457,0.3499802837315936,0.35398493489370525,0.36201406618609433,0.39048578241941967,0.39987508817730993,0.4044883766260009,0.12995234684403936,0.029782476119566414
12,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
13,3,5000.0,0.3263079509272279,0.42749409811384304,0.3700638256442522,0.3696376399070429,0.00018430685050632053,0.013577323714567999,0.3449405373254121,0.3488414258072039,0.35668073595449773,0.38313467123206263,0.3931361421335541,0.39776435848247016,0.18888585115320178,0.19322088495756162
13,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
14,3,5000.0,0.33244640920167645,0.4324913890501691,0.3764666576166268,0.3761132830255033,0.00020020501279807953,0.014150797214660438,0.3499321885783509,0.3543956220195041,0.36218804822845374,0.3907079751879413,0.4001214191788386,0.40473378224621825,0.1406275173647674,0.04763191087739305
14,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
15,3,5000.0,0.3319170289549385,0.4372015898956324,0.37711139709115415,0.37670743136614115,0.00021165797425502992,0.014549924890455397,0.3498640088440544,0.35402594158301925,0.3624306887050826,0.3915546011927622,0.4016387897921538,0.4067846415723887,0.16646423548653538,0.033772978230277584
15,5,5000.0,0.30693985539651497,0.3988980189030119,0.35289776097201014,0.3526464798745196,0.00018045115953833934,0.013434554588438624,0.3272407906468838,0.3311507747501657,0.3394127119692772,0.3661516844012564,0.3753833323500944,0.3789738884445992,0.019526716805401842,-0.05081957514276647
16,3,5000.0,0.34763070993391315,0.4580007739644368,0.3971344976820349,0.39647699065755837,0.00023718558710621269,0.015402371041919334,0.3686514891922048,0.37292724916962405,0.3817935245992468,0.41272736277138716,0.42363907456656547,0.4283066823116904,0.1969886108695652,-0.02854083186976819
