site,n_storeys,theta,beta
0,3,0.4083971673241119,0.2154459440856429
0,5,0.352807661940145,0.1805098375278922
1,3,0.3969159424570298,0.1857220749445079
1,5,0.352807661940145,0.1805098375278922
2,3,0.3969159424570298,0.1857220749445079
2,5,0.352807661940145,0.1805098375278922
3,3,0.397954996759285,0.1865005656576242
3,5,0.352807661940145,0.1805098375278922
4,3,0.4083971673241119,0.2154459440856429
4,5,0.352807661940145,0.1805098375278922
5,3,0.3969159424570298,0.1857220749445079
5,5,0.352807661940145,0.1805098375278922
6,3,0.3969159424570298,0.1857220749445079
6,5,0.352807661940145,0.1805098375278922
7,3,0.4841065565059645,0.1858806395959118
7,5,0.462439827666854,0.1963244974424028
8,3,0.4083971673241119,0.2154459440856429
8,5,0.352807661940145,0.1805098375278922
9,3,0.376361573307946,0.1813396543927144
9,5,0.352807661940145,0.1805098375278922
10,3,0.4841065565059645,0.1858806395959118
10,5,0.4430250997111125,0.191514849796215
11,3,0.4841065565059645,0.1858806395959118
11,5,0.4210539203357845,0.1733952718432553
12,3,0.3761227921925262,0.1813023226608156
12,5,0.352807661940145,0.1805098375278922
13,3,0.3699347195121079,0.1762573547741561
13,5,0.352807661940145,0.1805098375278922
14,3,0.3762726826745597,0.1816115082450114
14,5,0.352807661940145,0.1805098375278922
15,3,0.3767637686891061,0.1836179577753137
15,5,0.352807661940145,0.1805098375278922
16,3,0.3969159424570298,0.1857220749445079
16,5,0.352807661940145,0.1805098375278922
17,3,0.4465641685731704,0.166596500464987
17,5,0.416174761134514,0.1702205979112404
18,3,0.4841065565059645,0.1858806395959118
18,5,0.4430250997111125,0.191514849796215
19,3,0.4083971673241119,0.2154459440856429
19,5,0.352807661940145,0.1805098375278922
20,3,0.376361573307946,0.1813396543927144
20,5,0.352807661940145,0.1805098375278922
21,3,0.4465641685731704,0.166596500464987
21,5,0.4576192461911596,0.1732959312535757
22,3,0.376361573307946,0.1813396543927144
22,5,0.352807661940145,0.1805098375278922
23,3,0.3969159424570298,0.1857220749445079
23,5,0.352807661940145,0.1805098375278922
24,3,0.4841065565059645,0.1858806395959118
24,5,0.4430250997111125,0.191514849796215
25,3,0.4083971673241119,0.2154459440856429
25,5,0.3265963786036838,0.1865473725159651
26,3,0.4083971673241119,0.2154459440856429
26,5,0.3265963786036838,0.1865473725159651
27,3,0.4083971673241119,0.2154459440856429
27,5,0.352807661940145,0.1805098375278922
28,3,0.3699347195121079,0.1762573547741561
28,5,0.352807661940145,0.1805098375278922
29,3,0.4083971673241119,0.2154459440856429
29,5,0.352807661940145,0.1805098375278922
30,3,0.4739365077342445,0.2136555062261143
30,5,0.5973845865882342,0.190770448578886
31,3,0.8136924878918566,0.263033146175631
31,5,0.6304245256826175,0.191006560245823
32,3,0.4643856706258773,0.1726233608163767
32,5,0.4022143437794156,0.2049880064808388
33,3,0.4643856706258773,0.1726233608163767
33,5,0.4683776448939102,0.1821411043257859
34,3,0.8136924878918566,0.263033146175631
34,5,0.7032829204436798,0.1928849260877313
35,3,0.4511536267838207,0.1749996142528803
35,5,0.4022143437794156,0.2049880064808388
36,3,0.4643856706258773,0.1726233608163767
36,5,0.4022143437794156,0.2049880064808388
37,3,0.4712841966981388,0.2168666719939885
37,5,0.6074385215342876,0.2136232764310429
38,3,0.898774045116336,0.3285801716461894
38,5,0.7440224310585534,0.1740607275699009
39,3,0.4511536267838207,0.1749996142528803
39,5,0.4322301188697793,0.2222243518760776
40,3,0.4667754812330345,0.2092235262510548
40,5,0.4240842545272876,0.1933737819592512
41,3,0.6086774313367977,0.2247975860034676
41,5,0.5261363571173163,0.2257370442393368
42,3,0.572280340002846,0.233271558697073
42,5,0.5735075169901865,0.2032739053892549
43,3,0.8136924878918566,0.263033146175631
43,5,0.6304245256826175,0.191006560245823
44,3,0.6097461882181339,0.2353207646105712
44,5,0.7326351675219026,0.1946441041700072
45,3,0.6338901683376298,0.2105355569174887
45,5,0.610215598418688,0.2061197388861123
46,3,0.6097461882181339,0.2353207646105712
46,5,0.7326351675219026,0.1946441041700072
47,3,0.6338290333020326,0.2067341186794097
47,5,0.5261363571173163,0.2257370442393368
48,3,0.7940736910604445,0.2601993613652058
48,5,0.6221889791293286,0.1986071248762412
49,3,0.6097461882181339,0.2353207646105712
49,5,0.6709949908922497,0.2185721572913561
50,3,0.4643856706258773,0.1726233608163767
50,5,0.4687117474463652,0.2073781104420911
51,3,0.7940736910604445,0.2601993613652058
51,5,0.6327445584652961,0.2126040953296626
52,3,0.6338901683376298,0.2105355569174887
52,5,0.610215598418688,0.2061197388861123
53,3,0.8122218081818791,0.2598653006910157
53,5,0.7032829204436798,0.1928849260877313
54,3,0.6086774313367977,0.2247975860034676
54,5,0.5261363571173163,0.2257370442393368
55,3,0.6027478672981784,0.2424701835291614
55,5,0.5261363571173163,0.2257370442393368
56,3,0.572280340002846,0.233271558697073
56,5,0.5735075169901865,0.2032739053892549
57,3,0.6086774313367977,0.2247975860034676
57,5,0.5261363571173163,0.2257370442393368
58,3,0.4511536267838207,0.1749996142528803
58,5,0.4322062909099658,0.2224900854498037
59,3,0.8136924878918566,0.263033146175631
59,5,0.626360669028379,0.1676927672482968
