k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.39142268005515624,0.38774416162154013,0.38774416162154013,0.3728019962720663,0.39142268005515624,0.38774416162154013,0.38774416162154013,0.47245226575507915,0.39142268005515624,0.35724146419820757,0.47245226575507915,0.47245226575507915,0.36255711322138107,0.35636235828451573,0.3614320045917751,0.3551545720757301,0.38774416162154013,0.4301270093840698,0.47245226575507915,0.39142268005515624,0.35724146419820757,0.4301270093840698,0.35724146419820757,0.38774416162154013,0.47245226575507915,0.39142268005515624,0.39142268005515624,0.39142268005515624,0.35636235828451573,0.39142268005515624,0.47305262652987823,0.8090671708466061,0.4546089411784558,0.4546089411784558,0.8090671708466061,0.4399151558404832,0.4546089411784558,0.47389787598117544,0.8937269635952937,0.4399151558404832,0.4618258313810995,0.6014752744436784,0.5632418358606522,0.8090671708466061,0.5848268027463119,0.6280284763606759,0.5848268027463119,0.6287678855307741,0.7791262837116846,0.5848268027463119,0.4546089411784558,0.7791262837116846,0.6280284763606759,0.8029186928386498,0.6014752744436784,0.5806867512765388,0.5632418358606522,0.6014752744436784,0.4399151558404832,0.8090671708466061
1,0.39826731040019453,0.38725943271873614,0.38725943271873614,0.3821812664008752,0.39826731040019453,0.38725943271873614,0.38725943271873614,0.4763472966158178,0.39826731040019453,0.37463944230136725,0.4763472966158178,0.4763472966158178,0.3699334939989296,0.3584278189560467,0.3717472299344968,0.373265874844569,0.38725943271873614,0.4428738539588986,0.4763472966158178,0.39826731040019453,0.37463944230136725,0.4428738539588986,0.37463944230136725,0.38725943271873614,0.4763472966158178,0.39826731040019453,0.39826731040019453,0.39826731040019453,0.3584278189560467,0.39826731040019453,0.4566846252249038,0.7531053340221848,0.45945896344212867,0.45945896344212867,0.7531053340221848,0.44351620281561316,0.45945896344212867,0.44625352180267075,0.8456094197009196,0.44351620281561316,0.45121003583656183,0.5795978700151138,0.5463321670934831,0.7531053340221848,0.5768482884571596,0.6080541390526282,0.5768482884571596,0.6082615441028828,0.7506037858738487,0.5768482884571596,0.45945896344212867,0.7506037858738487,0.6080541390526282,0.7549425246440076,0.5795978700151138,0.5660458732713458,0.5463321670934831,0.5795978700151138,0.44351620281561316,0.7531053340221848
2,0.43565142847538285,0.4053380384678202,0.4053380384678202,0.4060243975420393,0.43565142847538285,0.4053380384678202,0.4053380384678202,0.4857444883897224,0.43565142847538285,0.3839471352760197,0.4857444883897224,0.4857444883897224,0.37722877060207305,0.36580438571896057,0.37877854807291417,0.38472654032026676,0.4053380384678202,0.4522987028855493,0.4857444883897224,0.43565142847538285,0.3839471352760197,0.4522987028855493,0.3839471352760197,0.4053380384678202,0.4857444883897224,0.43565142847538285,0.43565142847538285,0.43565142847538285,0.36580438571896057,0.43565142847538285,0.48565643025803434,0.7885319601793285,0.47582673910195633,0.47582673910195633,0.7885319601793285,0.4511582140534786,0.47582673910195633,0.4858855842741726,0.8606062139209232,0.4511582140534786,0.47522892615029816,0.6032203483073391,0.5742493903062639,0.7885319601793285,0.5887194527639495,0.6376192770431858,0.5887194527639495,0.637574710656026,0.7861441635680562,0.5887194527639495,0.47582673910195633,0.7861441635680562,0.6376192770431858,0.7943712123682947,0.6032203483073391,0.5837437050605129,0.5742493903062639,0.6032203483073391,0.4511582140534786,0.7885319601793285
3,0.3550257194551037,0.3725614335791269,0.3725614335791269,0.3539004412263851,0.3550257194551037,0.3725614335791269,0.3725614335791269,0.4485612186408081,0.3550257194551037,0.349773151861886,0.4485612186408081,0.4485612186408081,0.35247054293443175,0.34662267821280246,0.35186765565545297,0.351825871245317,0.3725614335791269,0.41011271912155706,0.4485612186408081,0.3550257194551037,0.349773151861886,0.41011271912155706,0.349773151861886,0.3725614335791269,0.4485612186408081,0.3550257194551037,0.3550257194551037,0.3550257194551037,0.34662267821280246,0.3550257194551037,0.43766433540925714,0.7827769278393888,0.4259123315173236,0.4259123315173236,0.7827769278393888,0.41851572303933976,0.4259123315173236,0.4367240473706392,0.8649170635183084,0.41851572303933976,0.43556212706691766,0.574761336941308,0.5447186909897339,0.7827769278393888,0.5941738274588716,0.6094912648968633,0.5941738274588716,0.6088605828377729,0.7754367273609503,0.5941738274588716,0.4259123315173236,0.7754367273609503,0.6094912648968633,0.77927324544537,0.574761336941308,0.5749744829077221,0.5447186909897339,0.574761336941308,0.41851572303933976,0.7827769278393888
4,0.40268335162245417,0.37730246734543604,0.37730246734543604,0.39011745723741,0.40268335162245417,0.37730246734543604,0.37730246734543604,0.4638998968099465,0.40268335162245417,0.3548939858322287,0.4638998968099465,0.4638998968099465,0.3710329370657713,0.35289479482834524,0.37111323195268403,0.353910383904884,0.37730246734543604,0.41960041751228494,0.4638998968099465,0.40268335162245417,0.3548939858322287,0.41960041751228494,0.3548939858322287,0.37730246734543604,0.4638998968099465,0.40268335162245417,0.40268335162245417,0.40268335162245417,0.35289479482834524,0.40268335162245417,0.4239416805180914,0.7759763537623131,0.4279291514168196,0.4279291514168196,0.7759763537623131,0.4084135042080339,0.4279291514168196,0.42395801890203727,0.8577470961450183,0.4084135042080339,0.4199703463346132,0.5519976026355928,0.524166496460454,0.7759763537623131,0.5684846202914567,0.5855689239926384,0.5684846202914567,0.5850154168358523,0.7434442617724335,0.5684846202914567,0.4279291514168196,0.7434442617724335,0.5855689239926384,0.7758908105858714,0.5519976026355928,0.5594612932339867,0.524166496460454,0.5519976026355928,0.4084135042080339,0.7759763537623131
5,0.3721465705240113,0.3824377003931387,0.3824377003931387,0.35647988787607615,0.3721465705240113,0.3824377003931387,0.3824377003931387,0.45901308254805046,0.3721465705240113,0.36124405796198455,0.45901308254805046,0.45901308254805046,0.357010068897167,0.35646353567566735,0.35682140105036886,0.3617063578582784,0.3824377003931387,0.4305963989640011,0.45901308254805046,0.3721465705240113,0.36124405796198455,0.4305963989640011,0.36124405796198455,0.3824377003931387,0.45901308254805046,0.3721465705240113,0.3721465705240113,0.3721465705240113,0.35646353567566735,0.3721465705240113,0.4981617954232109,0.8557826169652397,0.460954363165862,0.460954363165862,0.8557826169652397,0.4523464152556363,0.460954363165862,0.503219739970045,0.9692735069834,0.4523464152556363,0.4878344263061235,0.6250414909397409,0.5881107797729604,0.8557826169652397,0.6592288035093744,0.6602250588704159,0.6592288035093744,0.6610676842903949,0.8623478160688577,0.6592288035093744,0.460954363165862,0.8623478160688577,0.6602250588704159,0.8534072145551814,0.6250414909397409,0.6078672632168362,0.5881107797729604,0.6250414909397409,0.4523464152556363,0.8557826169652397
6,0.3822316918469698,0.37423198892320225,0.37423198892320225,0.37593713106790005,0.3822316918469698,0.37423198892320225,0.37423198892320225,0.4420061703729637,0.3822316918469698,0.3526701381445657,0.4420061703729637,0.4420061703729637,0.36364857003398254,0.36261611975979957,0.36285783673015676,0.3503337341592737,0.37423198892320225,0.41027033940688534,0.4420061703729637,0.3822316918469698,0.3526701381445657,0.41027033940688534,0.3526701381445657,0.37423198892320225,0.4420061703729637,0.3822316918469698,0.3822316918469698,0.3822316918469698,0.36261611975979957,0.3822316918469698,0.43980291156589957,0.8260483311816572,0.40978774024554376,0.40978774024554376,0.8260483311816572,0.40758574192723085,0.40978774024554376,0.43989606560300887,0.9328139068407789,0.40758574192723085,0.4360377462481851,0.5968134236895305,0.5403033280406129,0.8260483311816572,0.6136042339620975,0.6179291672464812,0.6136042339620975,0.6180364993542776,0.7818140664913834,0.6136042339620975,0.40978774024554376,0.7818140664913834,0.6179291672464812,0.8188219000423089,0.5968134236895305,0.6021117525136954,0.5403033280406129,0.5968134236895305,0.40758574192723085,0.8260483311816572
7,0.37501769114658995,0.3753084742281521,0.3753084742281521,0.36229589874663815,0.37501769114658995,0.3753084742281521,0.3753084742281521,0.4793828085262675,0.37501769114658995,0.36059256698157044,0.4793828085262675,0.4793828085262675,0.3591990619037583,0.3581097665881111,0.35949157413312266,0.3580553259140354,0.3753084742281521,0.44061913602947556,0.4793828085262675,0.37501769114658995,0.36059256698157044,0.44061913602947556,0.36059256698157044,0.3753084742281521,0.4793828085262675,0.37501769114658995,0.37501769114658995,0.37501769114658995,0.3581097665881111,0.37501769114658995,0.4749148155740274,0.8106043412469636,0.4541721815343338,0.4541721815343338,0.8106043412469636,0.4476210346289304,0.4541721815343338,0.4737214028721313,0.9248100219990448,0.4476210346289304,0.4683483340464967,0.6218857465643763,0.5996448170799481,0.8106043412469636,0.6030553454217056,0.6500379583340716,0.6030553454217056,0.6505069611033821,0.8066549205182316,0.6030553454217056,0.4541721815343338,0.8066549205182316,0.6500379583340716,0.8109347216276063,0.6218857465643763,0.6144647268175196,0.5996448170799481,0.6218857465643763,0.4476210346289304,0.8106043412469636
8,0.4104806369958019,0.4059676085986954,0.4059676085986954,0.4018778208002888,0.4104806369958019,0.4059676085986954,0.4059676085986954,0.4902673840169225,0.4104806369958019,0.36472837890652343,0.4902673840169225,0.4902673840169225,0.37872973894470335,0.3732401973537029,0.3779443691230436,0.36896752771356967,0.4059676085986954,0.43800737218264896,0.4902673840169225,0.4104806369958019,0.36472837890652343,0.43800737218264896,0.36472837890652343,0.4059676085986954,0.4902673840169225,0.4104806369958019,0.4104806369958019,0.4104806369958019,0.3732401973537029,0.4104806369958019,0.45094932651403985,0.7576762092358705,0.46739353824731383,0.46739353824731383,0.7576762092358705,0.4454965201399634,0.46739353824731383,0.44852885465001013,0.8014219591762944,0.4454965201399634,0.44413435439529236,0.5681198142441356,0.5510046101094647,0.7576762092358705,0.55748025129723,0.5985772527875431,0.55748025129723,0.599083934540948,0.7223790241682814,0.55748025129723,0.46739353824731383,0.7223790241682814,0.5985772527875431,0.7529495652683134,0.5681198142441356,0.5465643004322255,0.5510046101094647,0.5681198142441356,0.4454965201399634,0.7576762092358705
9,0.41328156166131397,0.4013307817920109,0.4013307817920109,0.4020543910550285,0.41328156166131397,0.4013307817920109,0.4013307817920109,0.4863420215760198,0.41328156166131397,0.37542332953335095,0.4863420215760198,0.4863420215760198,0.3881322295052285,0.37483585275077597,0.3872629871187236,0.37414869575259985,0.4013307817920109,0.44275070257974725,0.4863420215760198,0.41328156166131397,0.37542332953335095,0.44275070257974725,0.37542332953335095,0.4013307817920109,0.4863420215760198,0.41328156166131397,0.41328156166131397,0.41328156166131397,0.37483585275077597,0.41328156166131397,0.4342513719106212,0.7160947587419375,0.4436180853473592,0.4436180853473592,0.7160947587419375,0.427944434110279,0.4436180853473592,0.4336704513833014,0.7746496093516837,0.427944434110279,0.4313312594244936,0.5645275520484156,0.535096260229005,0.7160947587419375,0.5467972845684697,0.5934924488722504,0.5467972845684697,0.5932448624918633,0.7059472077155063,0.5467972845684697,0.4436180853473592,0.7059472077155063,0.5934924488722504,0.7133339702242404,0.5645275520484156,0.5577019910824134,0.535096260229005,0.5645275520484156,0.427944434110279,0.7160947587419375
