group,n_storeys,theta,beta
group_3s_00,3,0.3931420206240298,0.2162369317847635
group_3s_01,3,0.3819996601210207,0.1904015439992485
group_3s_02,3,0.3825272841732061,0.1888679656835177
group_3s_03,3,0.4662304077528491,0.1908119170136356
group_3s_04,3,0.3601987280197424,0.1821170422215884
group_3s_05,3,0.3622831388882218,0.188021983927586
group_3s_06,3,0.3562756440191636,0.1807604047182646
group_3s_07,3,0.3626732810239567,0.1887337950288687
group_3s_08,3,0.3606346048078661,0.1845395250739869
group_3s_09,3,0.4309343674068464,0.1716168973663696
group_3s_10,3,0.4561761892123099,0.2159912625390868
group_3s_11,3,0.789180377035858,0.2591154275718457
group_3s_12,3,0.4470725842025201,0.1708311772058258
group_3s_13,3,0.4332417257452942,0.1776875715054676
group_3s_14,3,0.4541404781464053,0.2170945270039956
group_3s_15,3,0.8758756045036302,0.3252593297433471
group_3s_16,3,0.4495406120400749,0.212113422875249
group_3s_17,3,0.5873798462652654,0.2258769276187114
group_3s_18,3,0.5535757192825865,0.231686954513784
group_3s_19,3,0.5871225593363817,0.2453425015012577
group_3s_20,3,0.615520965818806,0.210616845815253
group_3s_21,3,0.6155441485356533,0.2104062017399389
group_3s_22,3,0.7670476423986337,0.2639359122585532
group_3s_23,3,0.7876307266661481,0.2558931634297706
group_3s_24,3,0.5805885522719614,0.2451354153067926
