site,n_storeys,theta,beta
0,3,0.3931420206240298,0.2162369317847635
1,3,0.3819996601210207,0.1904015439992485
2,3,0.3819996601210207,0.1904015439992485
3,3,0.3825272841732061,0.1888679656835177
4,3,0.3931420206240298,0.2162369317847635
5,3,0.3819996601210207,0.1904015439992485
6,3,0.3819996601210207,0.1904015439992485
7,3,0.4662304077528491,0.1908119170136356
8,3,0.3931420206240298,0.2162369317847635
9,3,0.3601987280197424,0.1821170422215884
10,3,0.4662304077528491,0.1908119170136356
11,3,0.4662304077528491,0.1908119170136356
12,3,0.3622831388882218,0.188021983927586
13,3,0.3562756440191636,0.1807604047182646
14,3,0.3626732810239567,0.1887337950288687
15,3,0.3606346048078661,0.1845395250739869
16,3,0.3819996601210207,0.1904015439992485
17,3,0.4309343674068464,0.1716168973663696
18,3,0.4662304077528491,0.1908119170136356
19,3,0.3931420206240298,0.2162369317847635
20,3,0.3601987280197424,0.1821170422215884
21,3,0.4309343674068464,0.1716168973663696
22,3,0.3601987280197424,0.1821170422215884
23,3,0.3819996601210207,0.1904015439992485
24,3,0.4662304077528491,0.1908119170136356
25,3,0.3931420206240298,0.2162369317847635
26,3,0.3931420206240298,0.2162369317847635
27,3,0.3931420206240298,0.2162369317847635
28,3,0.3562756440191636,0.1807604047182646
29,3,0.3931420206240298,0.2162369317847635
30,3,0.4561761892123099,0.2159912625390868
31,3,0.789180377035858,0.2591154275718457
32,3,0.4470725842025201,0.1708311772058258
33,3,0.4470725842025201,0.1708311772058258
34,3,0.789180377035858,0.2591154275718457
35,3,0.4332417257452942,0.1776875715054676
36,3,0.4470725842025201,0.1708311772058258
37,3,0.4541404781464053,0.2170945270039956
38,3,0.8758756045036302,0.3252593297433471
39,3,0.4332417257452942,0.1776875715054676
40,3,0.4495406120400749,0.212113422875249
41,3,0.5873798462652654,0.2258769276187114
42,3,0.5535757192825865,0.231686954513784
43,3,0.789180377035858,0.2591154275718457
44,3,0.5871225593363817,0.2453425015012577
45,3,0.615520965818806,0.210616845815253
46,3,0.5871225593363817,0.2453425015012577
47,3,0.6155441485356533,0.2104062017399389
48,3,0.7670476423986337,0.2639359122585532
49,3,0.5871225593363817,0.2453425015012577
50,3,0.4470725842025201,0.1708311772058258
51,3,0.7670476423986337,0.2639359122585532
52,3,0.615520965818806,0.210616845815253
53,3,0.7876307266661481,0.2558931634297706
54,3,0.5873798462652654,0.2258769276187114
55,3,0.5805885522719614,0.2451354153067926
56,3,0.5535757192825865,0.231686954513784
57,3,0.5873798462652654,0.2258769276187114
58,3,0.4332417257452942,0.1776875715054676
59,3,0.789180377035858,0.2591154275718457
