group,group_3s_00,group_3s_01,group_3s_02,group_3s_03,group_3s_04,group_3s_05,group_3s_06,group_3s_07,group_3s_08,group_3s_09,group_3s_10,group_3s_11,group_3s_12,group_3s_13,group_3s_14,group_3s_15,group_3s_16,group_3s_17,group_3s_18,group_3s_19,group_3s_20,group_3s_21,group_3s_22,group_3s_23,group_3s_24,group_5s_00,group_5s_01,group_5s_02,group_5s_03,group_5s_04,group_5s_05,group_5s_06,group_5s_07,group_5s_08,group_5s_09,group_5s_10,group_5s_11,group_5s_12,group_5s_13,group_5s_14,group_5s_15,group_5s_16,group_5s_17,group_5s_18,group_5s_19,group_5s_20,group_5s_21,group_5s_22,group_5s_23,group_5s_24,group_5s_25
n_storeys,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.2104419722402637,0.186960089221981,0.1632889999907985,0.2006410755450427,0.184736394302466,0.1756314815328888,0.1740329319522521,0.1770481366747093,0.1840866084679298,0.1742975933911437,0.2103024043038263,0.3112431714871312,0.1960863214367923,0.1811710868123681,0.2330439018597308,0.3289652235141261,0.2056336101684313,0.2254552241932413,0.2483076299464824,0.2550538424764635,0.2155357171928371,0.2057621457801846,0.2924175139338924,0.3068859414199582,0.240822528682726,0.1694175852208654,0.1767917035511195,0.1961904287192409,0.1527373616705865,0.1824853521663515,0.1872920987773907,0.2013665444693938,0.2026192981452088,0.2252169054494692,0.216917645115907,0.2061780135924349,0.1721482577846632,0.2283073494256018,0.1994518893153866,0.2462778827280325,0.2053347101168122,0.2140699560405453,0.2091032984697334,0.2226760395125277,0.2140628410959222,0.2186246569530217,0.2240472773545426,0.2407244450353912,0.2580694954339294,0.2463662007740862,0.1858903633222997
1,0.2091129497160901,0.1631021313354939,0.1463817911252434,0.1599971757143285,0.1464335118824845,0.1391452655234411,0.1353847622160643,0.1378291154473587,0.1458534535717071,0.1556495412266534,0.2118251730376876,0.2568487695426339,0.1880379544235776,0.1900741064207245,0.2199056421809494,0.2662671344680341,0.2062906914502227,0.2474999851036192,0.2580285041843951,0.2220283302688179,0.2247982810362183,0.2175538115365974,0.2398335300722237,0.2525841288750791,0.2507813834237187,0.1462763308359661,0.1516117819771661,0.1459373184899254,0.1512781784888405,0.1296859803841482,0.1204529853912719,0.145502595390447,0.1441671874483008,0.211362178856589,0.1699528718159833,0.1549157493962122,0.2098809952589491,0.1643837931903634,0.1947006848317023,0.1785632701838391,0.1472550930007351,0.215478517771588,0.2241754642885811,0.262029213605409,0.2035222540001945,0.2342120613591291,0.2382084541998535,0.1655060198602997,0.2408729119095011,0.1789032100305106,0.1954916795514754
2,0.2336001964113571,0.1740737617069054,0.201329763348014,0.1551380091696107,0.1607058356236868,0.1668165095892084,0.1634538398668699,0.1654925395135768,0.16112013475222,0.1628916519802261,0.1894286075750848,0.2857691761294299,0.1344405961905718,0.1623513020317121,0.1901760290210458,0.3173983556856744,0.1856984378953221,0.2653096978035747,0.2684371058532779,0.2247691007427564,0.2510830468369664,0.2334263761965539,0.2553115119948907,0.2824196022065834,0.308278354535823,0.1781507290932555,0.1913636030513147,0.1828677363684417,0.1792842826805758,0.1467727457484608,0.1544452898723633,0.1932138141361632,0.1567052394908371,0.1282167585874018,0.1605507774204656,0.1546435790697987,0.1913325572430777,0.1826717480806018,0.1701652594735017,0.1970349381985104,0.165911530397816,0.1848624161858931,0.2167723484872485,0.2509953777212151,0.1932942012841068,0.1987511404995942,0.2019115856048413,0.1539270097413561,0.18164015997417,0.1972546210454816,0.1580099117632933
3,0.1745407740567496,0.1760954414348794,0.1643197010420395,0.1934819382740096,0.1620090132062664,0.173110756296055,0.1682533758367286,0.1725382586671223,0.1683489780011415,0.1554323713918384,0.2167869445849428,0.2699126630529344,0.1747609677728336,0.1691346628389956,0.2143469470431672,0.4018073581386626,0.2150284342579744,0.2214755593321333,0.2282182743067758,0.2305522546886322,0.2019567046467752,0.1995689444242382,0.2701909475494716,0.2679935817402838,0.2167075671899644,0.2015854664956916,0.2048686537198734,0.1759465215433395,0.1661856185796121,0.1691666561016462,0.1725038014575636,0.1778761915366138,0.1649497480594614,0.2018594670659826,0.1996444914611845,0.1800933703501741,0.1928120576297038,0.1884345479867943,0.171688628472867,0.2267967424462789,0.1879663520444764,0.2510669512018795,0.2035894333536629,0.1683623571875934,0.2090488044533638,0.2101190489776146,0.2120251204583285,0.1879377769259164,0.2257069674998807,0.2269639398663427,0.18041610347605
4,0.2237261947762079,0.1833022323307264,0.1868736390087139,0.1751103360019588,0.1672298448760369,0.1944841397231793,0.1859972637367689,0.193088212568282,0.1657983626898793,0.1663853580243806,0.2070016207928363,0.2550397281892683,0.1536238033643955,0.1827566787522327,0.2092131748525525,0.2985289297660594,0.2038000847628838,0.2535195759793083,0.2473476694016862,0.2276947962700278,0.2270163731272869,0.2247390671555325,0.2681491162941835,0.2551128803736814,0.2347700344721888,0.1535250834237479,0.1995328660186113,0.1827552281997497,0.1848494295965916,0.1657028994286723,0.1583339590186831,0.155136597855818,0.2046997115064426,0.15093436867205,0.2137869747763154,0.2067997781528231,0.1998276240301657,0.2204731055201309,0.1482851832522286,0.247862621753442,0.1995002735071427,0.2404359999054939,0.1966258249393195,0.1996942764542404,0.2149375178644267,0.2086819617342426,0.2235740746783856,0.2307115171953775,0.208890733905848,0.248222685565278,0.1767120369260928
5,0.2393651890780004,0.2143759721127517,0.1958099581204727,0.165173346776436,0.1968402744051249,0.1669857547296559,0.167063189958132,0.168377082277174,0.1987844109425451,0.1442004089860571,0.2037852343789664,0.3641018643089744,0.1558629561023093,0.1362479994006109,0.2133219662918233,0.4126416197053943,0.2058239755107743,0.2310177072268612,0.236044171502902,0.3056011150639117,0.2413421752846322,0.2231539260328616,0.3311599806946704,0.3612092424444418,0.2949866944064748,0.1644355609977947,0.174473555724403,0.1871622613574033,0.1659895313882061,0.1637230769862165,0.1586791556222345,0.1905608098728937,0.1355476406199697,0.1655285174212542,0.2037274614179671,0.1797627136662244,0.1533246078677783,0.1918835480205188,0.1676339116162038,0.2410831140824441,0.2094217523845941,0.210246202056627,0.1837433366721559,0.21160531367312,0.1962605443396025,0.1682229778560421,0.1663095202741412,0.1932748232754455,0.1643400947819688,0.2412387773447571,0.1215373130749305
6,0.234656108332375,0.1699407157436129,0.2306073010119522,0.1877211967126985,0.2027265825609321,0.173496528259628,0.1735695424902845,0.1747406399241558,0.202278079478357,0.1758672907783207,0.2045754383246604,0.2871203928185809,0.1650746494255656,0.1450993743712966,0.2212417602539405,0.3244178709704076,0.2031065492259105,0.191973740297929,0.2225865153145324,0.2448105662828921,0.2087767429025996,0.2057446008977109,0.3124543118248565,0.2846111484059298,0.2083778872517724,0.1832048739450591,0.2257718334819625,0.1901632371357003,0.2022152408686665,0.1766588434542551,0.1536568751742505,0.1577464842575065,0.1869250255930346,0.2008846891516287,0.2218844159307288,0.1864137567036678,0.1854129820904815,0.2199235361310048,0.1494296494102474,0.2402827491431787,0.2025763609715587,0.2268462711746826,0.1618333946083738,0.0980177358014421,0.1861071130730457,0.1949125438477768,0.1836605469298707,0.2342195574150282,0.1676834317405681,0.2404998556493609,0.1659828549506438
7,0.1970742630716364,0.1997813857734665,0.1547650833548838,0.1924816363190246,0.1948767798321347,0.2020435328771337,0.2003227289445187,0.2036129901827287,0.1944771999044641,0.1522746524873766,0.2145002827383321,0.3336515839948223,0.1700933268744627,0.1640896121497612,0.2175160348764192,0.3712013527004846,0.2116085224829347,0.1861240393338397,0.2031851680345491,0.2819184550413859,0.189542720591697,0.1829853926387718,0.3237255240844457,0.3329640008993347,0.2048762681441107,0.1804748580319334,0.2104873888515862,0.2219169294159828,0.1827434955833444,0.2120459914341832,0.20894794474397,0.2172948648983937,0.2067730702982577,0.1827661363788623,0.2263026723016339,0.2234264898025796,0.1705673547532596,0.2329711963886836,0.172687763057684,0.2778821336508015,0.2338428920184421,0.2320291248914259,0.1927365605243215,0.156088450384697,0.2251837483805987,0.1761550341629602,0.1886815293726783,0.222942548617539,0.2434941861273317,0.2779910881670382,0.1770277918426944
