group,n_storeys,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
group_3s_00,3,5000.0,0.357557377135448,0.5078354951318073,0.4245713682027031,0.42385516121158745,0.0003559212060027606,0.01886776098225906,0.3898907791403418,0.3946395935537678,0.4056742401900424,0.4436210710212308,0.45648561681920863,0.46265650320744306,0.1752640738381028,-0.03939279185182443
group_3s_01,3,5000.0,0.36399849791533484,0.47498916552799825,0.41263618685520986,0.41205037666945543,0.00024610305509953416,0.015689241076503525,0.38395418166505485,0.3882358620981659,0.3969915670152366,0.42850751948100557,0.43937292898479313,0.44452898507329963,0.1970680384849366,-0.03992294426054421
group_3s_02,3,5000.0,0.358937236644327,0.47525874614619407,0.41419339085722456,0.4135714769403168,0.00025062486778503775,0.01583271937430822,0.3853306730380952,0.38897412698674944,0.39862622944563303,0.4303418829136132,0.44114312918262055,0.446315209142493,0.19198326697777252,-0.04245005602024543
group_3s_03,3,5000.0,0.44182721030176114,0.5797153883763649,0.5029198868841155,0.5024320781295069,0.00036333214008115144,0.01906317972021878,0.4678030295122509,0.47255883555799905,0.48390166737367446,0.5219565598036517,0.5355876997593305,0.5410494115260265,0.15774919001628554,-0.022622793284857057
group_3s_04,3,5000.0,0.3478242267541341,0.45824659127656103,0.3936118181881811,0.3931320634124674,0.00022504562374023416,0.015003021091387157,0.3658349403475153,0.3696265624836278,0.3785412992168963,0.40860292089192124,0.4191213911938209,0.424389167092551,0.1842674755164669,0.072935988578827
group_3s_05,3,5000.0,0.34508857949249494,0.4481981307824171,0.39068872399657995,0.39032244100926494,0.00020345221819899456,0.014265094348876597,0.36380150628448255,0.36805342559846854,0.376262701295461,0.4049950521101055,0.41451073007148,0.4191571162687185,0.12261461607069427,0.03966549148955911
group_3s_06,3,5000.0,0.3390418444480761,0.4449013847061836,0.3842799241751367,0.3837807196216009,0.00019289774223623746,0.013890152249062567,0.35866891183526645,0.3623452632261837,0.37046894764490906,0.3977019991153401,0.4078648770677049,0.4129586068061498,0.1874886286289584,0.19119967134370874
group_3s_07,3,5000.0,0.3457731469799593,0.45053879623290605,0.3905966967083121,0.39022740563067626,0.0002033746835350777,0.014262375910359374,0.36382418184848436,0.3680839230525113,0.37615208074687945,0.4049221097083169,0.41438919664852186,0.4191487693622216,0.1367473032990415,0.06346912767648805
group_3s_08,3,5000.0,0.34711237263430733,0.45620152317548507,0.3939834976009144,0.39340491282378887,0.00023027711375902954,0.015176402024020992,0.3656786407579877,0.3698388717203303,0.37862416478204786,0.40909498259861454,0.4197075806488642,0.4250431515988461,0.17318014742623655,0.031939401138504575
group_3s_09,3,5000.0,0.4009644914080794,0.5152705863639776,0.46304369393760497,0.46256123888609746,0.0002495148414021608,0.01579761862918052,0.43304982995425606,0.4379077308554629,0.4473244652203919,0.4783260999627868,0.4899232331117463,0.4960538823139364,0.13224954603096192,0.029238178132999337
group_3s_10,3,5000.0,0.4229003701549559,0.5811140205266718,0.492875531441802,0.4924507675698062,0.0004633526435729678,0.021527780485677005,0.4518724604879146,0.45827451725059637,0.4713220374784528,0.5144964489442477,0.5282637475183579,0.5352081314280607,0.11159204852458075,0.021283611981590234
group_3s_11,3,5000.0,0.678929649664168,1.0567973860671136,0.8401065999346494,0.839542266078985,0.0021181716965494863,0.04602820239410413,0.7541123926480071,0.766007696905019,0.7948572715963512,0.885965575374322,0.9158258073610899,0.9339077534313153,0.1433205184562144,0.17645306086871537
group_3s_12,3,5000.0,0.4241033972013376,0.5435163700501904,0.48270884442235457,0.4825541652783707,0.0003077515078346448,0.017544602316631023,0.44890281606645327,0.454082630971613,0.4652612780260142,0.5003476317512119,0.5114939260423145,0.5172769053141694,0.03976538009611625,-0.010308109241119023
group_3s_13,3,5000.0,0.4141712616900311,0.5322534181606574,0.47013481890960146,0.46968477949899945,0.00028312227923033185,0.016827920697856123,0.43783148291071033,0.4434431716791552,0.4533408568645864,0.48650623081030125,0.498911287056896,0.5044644792274027,0.14157999534185833,0.053492696308807375
group_3s_14,3,5000.0,0.41982947831559353,0.5754742950445652,0.48948933147591717,0.48893972077283254,0.0004814475803693522,0.02194410830148224,0.4478394666816557,0.4538509256000832,0.4677061077247437,0.51137827966857,0.5254681040865655,0.5323292843837563,0.11922246123838169,-0.0024696680863565135
group_3s_15,3,5000.0,0.7229628268165992,1.1521863516292994,0.9245740416313741,0.925373252912228,0.003932115244835903,0.06271285215329425,0.8005770934463474,0.8197537837544884,0.8621342773993375,0.9858817956904299,1.0275726306493795,1.0465128696615302,0.005772485120336835,0.07795784956129648
group_3s_16,3,5000.0,0.418082914188721,0.5757911019034662,0.48510907035307665,0.4846704029486846,0.0004299779705565629,0.02073798407158308,0.4463661635290089,0.45237476555575673,0.464250981291871,0.5058090184010301,0.5190770154885073,0.5266987816004344,0.18088111808090873,0.07396540273549146
group_3s_17,3,5000.0,0.5377511688348079,0.7643041032083115,0.6313403067337645,0.6308585874832858,0.000851245542364498,0.029179030578989493,0.5750534325738766,0.5842900923195224,0.6023903779548172,0.6601873576609479,0.6796223704819409,0.689807157867247,0.12074618764355928,0.12380016745350542
group_3s_18,3,5000.0,0.500558857584372,0.7252014313000994,0.5923099623349042,0.5911348956969352,0.0008464069402940494,0.02909598349506609,0.5366293851675586,0.5450370817353744,0.5633853808013167,0.6216253486033756,0.6415248326540799,0.6511162858430942,0.1719060143369976,0.09827487873512952
