site,n_storeys,theta,beta,theta_bc,beta_bc
0,3,0.4242442616884799,0.2155933346748763,0.4242442616884799,0.21764227778536674
0,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
1,3,0.4124146742084573,0.1820151903879138,0.4124146742084573,0.18458401708067815
1,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
2,3,0.4124146742084573,0.1820151903879138,0.4124146742084573,0.18458401708067815
2,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
3,3,0.4140049246107485,0.1848981913458847,0.4140049246107485,0.18885961912997234
3,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
4,3,0.4242442616884799,0.2155933346748763,0.4242442616884799,0.21764227778536674
4,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
5,3,0.4124146742084573,0.1820151903879138,0.4124146742084573,0.18458401708067815
5,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
6,3,0.4124146742084573,0.1820151903879138,0.4124146742084573,0.18458401708067815
6,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
7,3,0.5026681103483441,0.1822022244624404,0.5026681103483441,0.18483214428500724
7,5,0.4812445180722228,0.1955685988389306,0.4812445180722228,0.1985668866273665
8,3,0.4242442616884799,0.2155933346748763,0.4242442616884799,0.21764227778536674
8,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
9,3,0.3932496781473053,0.1811795823915252,0.3932496781473053,0.18447843820135298
9,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
10,3,0.5026681103483441,0.1822022244624404,0.5026681103483441,0.18483214428500724
10,5,0.4598549272684734,0.1869932738880478,0.4598549272684734,0.19017579008798743
11,3,0.5026681103483441,0.1822022244624404,0.5026681103483441,0.18483214428500724
11,5,0.4366154203157237,0.170119244577679,0.4366154203157237,0.17324036158162218
12,3,0.3904911369622162,0.1761964082119258,0.3904911369622162,0.17978360620871586
12,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
13,3,0.384117463536578,0.1734906362486529,0.384117463536578,0.1774667250974433
13,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
14,3,0.3903820301494932,0.1761539673358679,0.3903820301494932,0.1797968268606865
14,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
15,3,0.3936142996383969,0.1832093045752429,0.3936142996383969,0.18638782873169663
15,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
16,3,0.4124146742084573,0.1820151903879138,0.4124146742084573,0.18458401708067815
16,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
17,3,0.4627608557968049,0.1627769115352724,0.4627608557968049,0.16453159678464596
17,5,0.4325664453393645,0.1650043825037195,0.4325664453393645,0.16745410019099422
18,3,0.5026681103483441,0.1822022244624404,0.5026681103483441,0.18483214428500724
18,5,0.4598549272684734,0.1869932738880478,0.4598549272684734,0.19017579008798743
19,3,0.4242442616884799,0.2155933346748763,0.4242442616884799,0.21764227778536674
19,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
20,3,0.3932496781473053,0.1811795823915252,0.3932496781473053,0.18447843820135298
20,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
21,3,0.4627608557968049,0.1627769115352724,0.4627608557968049,0.16453159678464596
21,5,0.474979908934244,0.169315162691002,0.474979908934244,0.17288144734101885
22,3,0.3932496781473053,0.1811795823915252,0.3932496781473053,0.18447843820135298
22,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
23,3,0.4124146742084573,0.1820151903879138,0.4124146742084573,0.18458401708067815
23,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
24,3,0.5026681103483441,0.1822022244624404,0.5026681103483441,0.18483214428500724
24,5,0.4598549272684734,0.1869932738880478,0.4598549272684734,0.19017579008798743
25,3,0.4242442616884799,0.2155933346748763,0.4242442616884799,0.21764227778536674
25,5,0.3405272126647699,0.185249056078593,0.3405272126647699,0.1899897804636633
26,3,0.4242442616884799,0.2155933346748763,0.4242442616884799,0.21764227778536674
26,5,0.3405272126647699,0.185249056078593,0.3405272126647699,0.1899897804636633
27,3,0.4242442616884799,0.2155933346748763,0.4242442616884799,0.21764227778536674
27,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
28,3,0.384117463536578,0.1734906362486529,0.384117463536578,0.1774667250974433
28,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
29,3,0.4242442616884799,0.2155933346748763,0.4242442616884799,0.21764227778536674
29,5,0.366065905435791,0.1780705108724155,0.366065905435791,0.18090756747074674
30,3,0.4923882891634064,0.2120635550154843,0.4923882891634064,0.21489150694687273
30,5,0.6178011027462226,0.1853912207885209,0.6178011027462226,0.1898745881297707
31,3,0.8389659501398823,0.2679497793031024,0.8389659501398823,0.27353796599547753
31,5,0.6532043268616193,0.1916291454640707,0.6532043268616193,0.19799578113592858
32,3,0.4823692140893084,0.1752093455054753,0.4823692140893084,0.17738497844015302
32,5,0.4164648854843564,0.2031495067212791,0.4164648854843564,0.20597206891672065
