group,n_storeys,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
group_3s_00,3,5000.0,-0.02671906671177915,0.1411856850449818,0.001996667106035495,-0.016592260178845436,-0.0099666988308104,0.1892477038537331,13.381833471895819,0.0,0.0,0.0
group_3s_01,3,5000.0,-0.032311924213532794,0.1904454804216912,0.0026933058130501546,-0.01413056323652967,-0.018134740506524385,0.16966495682641863,11.997124150168343,0.0,0.0,0.0
group_3s_02,3,5000.0,-0.025797647897050746,0.17341484915765273,0.00245245631595637,-0.010650393318499169,-0.015036354954185727,0.1487626233990949,10.519105979260058,0.0,0.0,0.0
group_3s_03,3,5000.0,-0.03783031500068579,0.23014090697255493,0.00325468391897432,-0.011340937496196702,-0.026482418531075094,0.16437892549540173,11.623345290195683,0.0,0.0,0.0
group_3s_04,3,5000.0,-0.03042691356284144,0.16605660283730514,0.002348394998541195,-0.016462092112584287,-0.01378739767293325,0.18323218133429103,12.956471795308033,0.0,0.0,0.0
group_3s_05,3,5000.0,-0.023538405415178376,0.20766433788491656,0.0029368172305807793,-0.0017668103992566134,-0.021562238614590397,0.11334832766626926,8.014937112897375,0.0,0.0,0.0
group_3s_06,3,5000.0,-0.023053454779671023,0.2059731246552493,0.002912899863718177,-0.001606958167384611,-0.021212464040123436,0.11192457665657643,7.914262713529875,0.0,0.0,0.0
group_3s_07,3,5000.0,-0.02450642941745307,0.2080351596730391,0.0029420614426006425,-0.0026634620091878654,-0.021639313830093435,0.11779945974502044,8.329679680581568,0.0,0.0,0.0
group_3s_08,3,5000.0,-0.028882213819160008,0.1904706290397536,0.002693661468217542,-0.010629511665155697,-0.018139530263399713,0.15163604995042007,10.722287919228409,0.0,0.0,0.0
group_3s_09,3,5000.0,-0.02614752510124707,0.14326213957590173,0.0020260326076282755,-0.015809509002355407,-0.010262020317932575,0.18251524916946985,12.905777035768452,0.0,0.0,0.0
group_3s_10,3,5000.0,-0.030302021134917423,0.15256316539999443,0.0021575689762724183,-0.01854290351995633,-0.011637759718433028,0.198619509863149,14.044520230018101,0.0,0.0,0.0
group_3s_11,3,5000.0,-0.04909334733830062,0.20821553521747913,0.0029446123380133175,-0.027299928996976346,-0.021676854552950642,0.23578138531797393,16.672261643589767,0.0,0.0,0.0
group_3s_12,3,5000.0,-0.028963445305726587,0.1875775762493576,0.002652747523289149,-0.011265497370873859,-0.017592673555791787,0.15440782360479924,10.91828191392098,0.0,0.0,0.0
group_3s_13,3,5000.0,-0.02777189133196578,0.18619323392103157,0.0026331699663322905,-0.010430791674084207,-0.01733396017898599,0.14915628644027107,10.546942159851877,0.0,0.0,0.0
group_3s_14,3,5000.0,-0.028311672410482824,0.1694947409834645,0.0023970176144973037,-0.013727078642406477,-0.014364233610525861,0.16703569825358086,11.811207493533699,0.0,0.0,0.0
group_3s_15,3,5000.0,-0.04330452287741715,0.2240635009119586,0.003168736418224882,-0.018665684453485206,-0.025102226220461637,0.19326897375593904,13.666180193578938,0.0,0.0,0.0
group_3s_16,3,5000.0,-0.02867905463172926,0.13688098295157464,0.0019357894252107725,-0.01923024941957833,-0.009368201746894633,0.20951818151302476,14.815172692973375,0.0,0.0,0.0
group_3s_17,3,5000.0,-0.02685003394483987,0.21436056396180259,0.003031516167927265,-0.0034833908075057626,-0.02297522569101103,0.12525640653578585,8.856965444851317,0.0,0.0,0.0
group_3s_18,3,5000.0,-0.025517691951007615,0.1820619946344653,0.0025747454200475846,-0.008745820360102652,-0.016573284945140033,0.1401593561700822,9.91076311946057,0.0,0.0,0.0
group_3s_19,3,5000.0,-0.03413826228034167,0.21219115094000343,0.0030008360347490936,-0.011500204901558028,-0.02251254226862166,0.16088447670465855,11.376250446551321,0.0,0.0,0.0
group_3s_20,3,5000.0,-0.02904802791770611,0.1929690310589377,0.002728994208415447,-0.010273721448358199,-0.018618523473912633,0.1505320711738149,10.644224831306055,0.0,0.0,0.0
group_3s_21,3,5000.0,-0.02904802791770611,0.1929690310589377,0.002728994208415447,-0.010273721448358199,-0.018618523473912633,0.1505320711738149,10.644224831306055,0.0,0.0,0.0
group_3s_22,3,5000.0,-0.028524610324195843,0.22961407231560008,0.0032472333518043825,-0.0018426239065614694,-0.02636131110267681,0.12422849364819992,8.784281027523212,0.0,0.0,0.0
group_3s_23,3,5000.0,-0.04903977045118513,0.20796583639844513,0.0029410810634494535,-0.027298585930662252,-0.02162489455445242,0.23580685799387277,16.67406283377607,0.0,0.0,0.0
group_3s_24,3,5000.0,-0.033797089932790625,0.21762331373150226,0.003077658417676655,-0.010059877371430694,-0.02367995333973993,0.1553008698989326,10.981429822970503,0.0,0.0,0.0
group_5s_00,5,5000.0,-0.027244622654414075,0.19677708116905487,0.0027828481695346876,-0.007645729695304447,-0.019360609836706403,0.13845424727591985,9.7901937132882,0.0,0.0,0.0
group_5s_01,5,5000.0,-0.027860373272596606,0.2020006814741094,0.002856721033492931,-0.007512210760408361,-0.020402137658002306,0.13792217466438347,9.752570498118098,0.0,0.0,0.0
group_5s_02,5,5000.0,-0.026721861104259004,0.18077186874276913,0.002556500284715531,-0.01027198205203893,-0.016339234264376473,0.14782090427069217,10.45251638109339,0.0,0.0,0.0
group_5s_03,5,5000.0,-0.026124261868911924,0.19534248716286215,0.0027625599465341184,-0.006979004144474865,-0.019079343645486482,0.13373568775712086,9.456541169970691,0.0,0.0,0.0
group_5s_04,5,5000.0,-0.0256283670033286,0.20883904025987773,0.002953430030884999,-0.0036304813931855744,-0.021806872368333417,0.12271827610123497,8.677492520670627,0.0,0.0,0.0
group_5s_05,5,5000.0,-0.033158741956989646,0.21865440069059763,0.003092240189292042,-0.009304959483514898,-0.02390487347068221,0.15164909488334624,10.723210335281628,0.0,0.0,0.0
group_5s_06,5,5000.0,-0.03357529727914277,0.19719217143097129,0.0027887184323147993,-0.013990806264215772,-0.019442376236830785,0.1702668875518523,12.039687079944212,0.0,0.0,0.0
group_5s_07,5,5000.0,-0.023967376315807698,0.1534328559747337,0.0021698682583310615,-0.012126882716872796,-0.011770820646281684,0.15620758776565097,11.045544458188457,0.0,0.0,0.0
group_5s_08,5,5000.0,-0.030235207741887926,0.20156802207854002,0.0028506023056419074,-0.010153372462059941,-0.0203148337623274,0.15000002197822293,10.60660327189326,0.0,0.0,0.0
group_5s_09,5,5000.0,-0.025090817792835285,0.21268239970658398,0.003007783341431066,-0.0022601266469896996,-0.022616901572475576,0.11797317421399468,8.34196314848176,0.0,0.0,0.0
group_5s_10,5,5000.0,-0.02372656239486126,0.2104911316418035,0.0029767941312709902,-0.001387033558429261,-0.022153258249923525,0.11272000967355325,7.970508321558274,0.0,0.0,0.0
group_5s_11,5,5000.0,-0.026361345066195696,0.17371490857896946,0.002456699796987809,-0.011300626032288378,-0.015088434731299857,0.15175061991994793,10.730389239465756,0.0,0.0,0.0
group_5s_12,5,5000.0,-0.02191699204648412,0.16126462765368696,0.002280626235588914,-0.008901946628033482,-0.013003140066141148,0.13590700183521018,9.610076260840966,0.0,0.0,0.0
group_5s_13,5,5000.0,-0.020212511463366667,0.1517768926436178,0.002146449400314495,-0.008665901650162618,-0.01151811257027614,0.13317252126663962,9.41671928553506,0.0,0.0,0.0
group_5s_14,5,5000.0,-0.028314535589680334,0.1978712663574024,0.002798322284865776,-0.008530200673698361,-0.019576519024941046,0.14309574154408844,10.118396920474249,0.0,0.0,0.0
group_5s_15,5,5000.0,-0.02692690552881305,0.17820185244417486,0.0025201547656656114,-0.010996983865162471,-0.015877950107267735,0.151103398530879,10.684623776151797,0.0,0.0,0.0
group_5s_16,5,5000.0,-0.024580374546969708,0.1864895772769388,0.002637360894262722,-0.007051478258051134,-0.01738918121646566,0.13180562102120924,9.320064842260122,0.0,0.0,0.0
group_5s_17,5,5000.0,-0.0257756082306575,0.1581085109691263,0.0022359920053915366,-0.01317293308980163,-0.012499150620437166,0.16302479906151718,11.527594091797312,0.0,0.0,0.0
group_5s_18,5,5000.0,-0.022893198215441668,0.17517661059653625,0.0024773713851617197,-0.007536848397951542,-0.015343422450045248,0.13068638637020377,9.240923001113629,0.0,0.0,0.0
group_5s_19,5,5000.0,-0.027643592330552913,0.1869424435642754,0.0026437653907176516,-0.010028203875971635,-0.017473738602891142,0.1478722103097383,10.456144265905927,0.0,0.0,0.0
group_5s_20,5,5000.0,-0.02938341390827448,0.21297242580414083,0.003011884929837137,-0.006870601357076668,-0.022678627076450138,0.13796816088903832,9.75582221524756,0.0,0.0,0.0
group_5s_21,5,5000.0,-0.024894833711176068,0.18182805515947964,0.002571437016264593,-0.008317674822852904,-0.016530720821539384,0.13691415051071765,9.681292426652407,0.0,0.0,0.0
group_5s_22,5,5000.0,-0.03355363223577945,0.21415449998268143,0.003028601983187368,-0.010589892199334216,-0.022931074931416152,0.15667955722850987,11.07891773895851,0.0,0.0,0.0
group_5s_23,5,5000.0,-0.025075998531131294,0.1949004546827592,0.002756308663250409,-0.00612525877344102,-0.018993093617773137,0.12866054402975954,9.097674315459333,0.0,0.0,0.0
group_5s_24,5,5000.0,-0.028314535589680334,0.1978712663574024,0.002798322284865776,-0.008530200673698361,-0.019576519024941046,0.14309574154408844,10.118396920474249,0.0,0.0,0.0
group_5s_25,5,5000.0,-0.028962380300488588,0.20592177230116596,0.0029121736317621323,-0.007736460666702296,-0.021201888153826617,0.14064748946571007,9.945279355806711,0.0,0.0,0.0
