group,group_3s_00,group_3s_01,group_3s_02,group_3s_03,group_3s_04,group_3s_05,group_3s_06,group_3s_07,group_3s_08,group_3s_09,group_3s_10,group_3s_11,group_3s_12,group_3s_13,group_3s_14,group_3s_15,group_3s_16,group_3s_17,group_3s_18,group_3s_19,group_3s_20,group_3s_21,group_3s_22,group_3s_23,group_3s_24,group_5s_00,group_5s_01,group_5s_02,group_5s_03,group_5s_04,group_5s_05,group_5s_06,group_5s_07,group_5s_08,group_5s_09,group_5s_10,group_5s_11,group_5s_12,group_5s_13,group_5s_14,group_5s_15,group_5s_16,group_5s_17,group_5s_18,group_5s_19,group_5s_20,group_5s_21,group_5s_22,group_5s_23,group_5s_24,group_5s_25
n_storeys,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.4144577236949478,0.392391122348847,0.4008581311669158,0.4841157023088855,0.3793534914189483,0.3728332283232262,0.3746444075628903,0.3712487175869775,0.3722224211576609,0.4383800467186104,0.5001135062264975,0.8752951845296866,0.475370361272129,0.4676328339096095,0.5031247029198903,0.9250489582346576,0.4822846688261897,0.6231783610909095,0.6076471448452317,0.5973993285031802,0.6528811372938287,0.6528811372938287,0.8426957990696007,0.8722712215784733,0.6131042388272162,0.3407368345862922,0.4514676304110327,0.4437914506892368,0.4381919084679094,0.4342714041822108,0.4669983094318461,0.334158487115087,0.6293975909972362,0.6550278184605406,0.4086352002395441,0.4814650386914825,0.7251526353973173,0.6583092680189525,0.7572992008728529,0.4381866483294271,0.4230115905661485,0.5376359161733005,0.6038811435749722,0.7483636092875747,0.6498488956995065,0.6308062971224465,0.6975616613849173,0.4725481331065035,0.6647503691790769,0.4381866483294271,0.6286357218490582
1,0.4155735067806846,0.3956174508424294,0.3981284422765117,0.4933447394162142,0.4027737405219218,0.3847185971990349,0.3817535363343897,0.3872419023284242,0.3988620693713921,0.458518964509239,0.4771631190020616,0.8109905664482655,0.4804177684370818,0.4700554224709984,0.4685893042710967,0.8549437522396346,0.4621763392454914,0.5992649429317571,0.5666748722357273,0.5863080230133959,0.6428152612882532,0.6428152612882532,0.7718833408023041,0.8088811420023365,0.5956404115419232,0.3674948292359,0.4886040715579893,0.4533518420959663,0.430918637038784,0.4217006705691323,0.4625923855130885,0.3404675178232,0.6224524432517095,0.6616761194174369,0.4049994145952243,0.4826093519028461,0.7156079184148118,0.6447689205935664,0.7650732413019834,0.4514757652593935,0.4343203537111992,0.5165567652696839,0.5865796775893016,0.7643215543351629,0.625366092989943,0.6775994163741466,0.6956302978196044,0.4672474452678348,0.6440139843856142,0.4514757652593935,0.6524578643928496
2,0.4431899253331521,0.4141624320240807,0.4135260799612941,0.511799053092316,0.417444196368018,0.3936775927284013,0.3891880207406792,0.3987279212775034,0.4151487132367003,0.4736165092518904,0.5048198041579509,0.8642447905201397,0.4994463402753048,0.4773408205757455,0.5077757639484195,0.8922426905266955,0.4830065538720101,0.6420262078768196,0.6069946135367548,0.6111354918993965,0.6739395608775851,0.6739395608775851,0.8328955228638237,0.8614183376786242,0.6169632717524958,0.3611476278885037,0.4762634017601649,0.4673382078205673,0.4437092381883414,0.4226778629920415,0.4608828327559143,0.3430335662799481,0.6027882167016638,0.6834247208605518,0.4003698210457698,0.462192909033206,0.7073426264764717,0.6310209002896381,0.765620245080403,0.4388564609352885,0.417971727199786,0.5428695176034725,0.5755223336653854,0.7040843045169712,0.6298835183217452,0.6655530590032741,0.681807668956318,0.4515576829489777,0.6621347868724149,0.4388564609352885,0.6743203869604594
3,0.3753690199598019,0.383276624760536,0.3737260889125038,0.4695837968567872,0.3782318850716615,0.3647724463872117,0.3617709931651582,0.365294653404803,0.3771329679049357,0.4256514306799244,0.458091194828537,0.8395984804208985,0.4457839259188124,0.4413427264480801,0.4567022818485411,0.918023711399959,0.4497763660253794,0.5875038515147107,0.5729871873244454,0.6191211111727486,0.6179808676274197,0.6179808676274197,0.8234571542344629,0.8372185188416326,0.5936378022947792,0.3551177599488471,0.4631219899372703,0.4340677119335041,0.4096291253393946,0.4089768641775992,0.4559083710524802,0.3192919130616929,0.6018988138837222,0.610981943430048,0.3886242135058382,0.4542030182957704,0.6947239334668885,0.5984687849444379,0.7030036552016133,0.4144642558630346,0.3952979146935061,0.5010588835352735,0.5540862897364385,0.7495618384433995,0.6060544613235164,0.6041864326934896,0.6731782407718715,0.4507436538772099,0.6155221595117616,0.4144642558630346,0.6030022218681874
4,0.4179507190873871,0.3852578301442001,0.4126233538570441,0.498416030049106,0.3798681420618008,0.3692479048438833,0.371995600950133,0.3771576831280984,0.3725653476087878,0.4357653252107287,0.4416204050431523,0.8307553695924673,0.4443473927017755,0.4291999407430421,0.4283597307198379,0.8635395392938815,0.4325377466576611,0.565247770916897,0.5573473145203699,0.5762350106614768,0.5985579311333843,0.5985579311333843,0.772445975493636,0.8284469642760313,0.56653980368341,0.3524305843420609,0.4922524058200492,0.4350650545352747,0.4156230240582312,0.4201592368818661,0.4643452455002759,0.3314415692607556,0.607190424866507,0.6161506052677377,0.3667092227698373,0.4758762859752316,0.7023989179321735,0.6046460788104768,0.6896400247822574,0.4131454361037187,0.4009921364410907,0.4682504987858235,0.5329825250267011,0.7162060776318052,0.5680418062356916,0.6204095130570111,0.6385749601047209,0.4704228387798219,0.596883031452142,0.4131454361037187,0.6054066744405101
5,0.3988982983078843,0.3856460292125515,0.3841915751205782,0.4787386338638171,0.3781868420260766,0.3688749845045841,0.3660133695567993,0.3672817434459092,0.3766724907518312,0.4334937071118475,0.5204844951022041,0.913310397824874,0.4843478818340582,0.4693501995014309,0.52724317189825,1.013285247014288,0.5170279131568521,0.646775515475904,0.6007532047331052,0.698539857793417,0.6869859820011819,0.6869859820011819,0.9193457280902648,0.9098016596421878,0.6382276930595059,0.3398531397118168,0.4362084615549548,0.4446756590995286,0.4279144273449727,0.435434031051255,0.4699728405617578,0.3412606878353521,0.6130874593924984,0.6496329160005896,0.4106956409769366,0.4829574969636761,0.7030736505926083,0.6414729469137849,0.7723697321528569,0.4341758244586032,0.4157143422829645,0.5261826974132054,0.5530465713280143,0.716224391080762,0.607515441419,0.6333502031954313,0.6732421113343936,0.4740740360560203,0.6686003814632084,0.4341758244586032,0.6393368624196255
6,0.3920569696621132,0.3856732074923713,0.3915223451154243,0.473200211249733,0.3754743331451764,0.3691687765453453,0.3752618382434671,0.3697065595915747,0.3719645515939596,0.4218436517696347,0.4570996778565536,0.8991121700289527,0.4337109522831228,0.4359216197778537,0.4525183493977945,0.980583341854314,0.4482109955535154,0.603396527624372,0.5829733797008876,0.6479869876932606,0.6385182195486956,0.6385182195486956,0.8429414994776033,0.895822365717567,0.6097870032088204,0.3559740462311234,0.4704804571221977,0.4475781948275786,0.4312254020830544,0.4262006770973915,0.4580771438181027,0.3316244617859207,0.6078690330390446,0.6088655913376411,0.3642941036339789,0.4634776249531185,0.7197783280138946,0.608002453419442,0.7001524205937287,0.3983302806605988,0.3876046799579949,0.496580195691361,0.5639789269074236,0.7329312049501219,0.6195508730062669,0.5924652633412881,0.6531304565166225,0.4532393583170442,0.6099788694830023,0.3983302806605988,0.6145853271352549
7,0.4005206488061931,0.3856460292125515,0.3936467102048816,0.487822112247627,0.3753625291266289,0.3660893488377091,0.3684159008393131,0.3618039533961312,0.3720882205143517,0.4475814124868635,0.5087488504213913,0.8821853174549216,0.4726362488781283,0.472055216427611,0.4950485456705424,0.9435965291731336,0.4998266868200735,0.6444830572682911,0.6246954320563941,0.6184496970480403,0.6704641624506074,0.6704641624506074,0.8693534752553933,0.8791122596071749,0.6339377087755115,0.3347348886205658,0.4424417194062473,0.4455515452152019,0.4362358359849002,0.4516810892480253,0.470818555675136,0.3313370699136798,0.6599510940348321,0.6513773955227777,0.4400939517533642,0.5186181031059982,0.7305868715462775,0.6732458086331139,0.7651248326148856,0.4503366944767756,0.4306687423756243,0.5490420657263774,0.592011305859191,0.7527818496801356,0.6509258072670427,0.6278594670522225,0.7130643505014386,0.5100987788446925,0.6774586026568697,0.4503366944767756,0.6274633862325262
