group,n_storeys,theta,beta
group_3s_00,3,0.4116651547544273,0.2066018777656796
group_3s_01,3,0.3927314884260653,0.1597791072345707
group_3s_02,3,0.4029971081561219,0.1812656711156333
group_3s_03,3,0.4942956691778448,0.1697986478752992
group_3s_04,3,0.3861144912610446,0.1776826339406378
group_3s_05,3,0.374906652846044,0.2028413576655989
group_3s_06,3,0.3746444075628903,0.2150001194321333
group_3s_07,3,0.3754285920415873,0.2035941266243569
group_3s_08,3,0.3843347288509862,0.1751141831445634
group_3s_09,3,0.445385298446924,0.187704193666922
group_3s_10,3,0.4769679992940375,0.252858069363065
group_3s_11,3,0.8429182366605329,0.1888328370604703
group_3s_12,3,0.4646663619822128,0.1805105893951261
group_3s_13,3,0.4549006444157165,0.1719771851684699
group_3s_14,3,0.4732616203505408,0.2427033294591824
group_3s_15,3,0.910783382939112,0.2689550568022966
group_3s_16,3,0.4630807686233573,0.2247099727224853
group_3s_17,3,0.6028148188155542,0.2429093411372746
group_3s_18,3,0.5883838179619837,0.2671808300064006
group_3s_19,3,0.6018818174555535,0.2297534864890626
group_3s_20,3,0.6353152663593783,0.2167146419780334
group_3s_21,3,0.6353152663593783,0.2167146419780334
group_3s_22,3,0.8045538434696907,0.2815117449476385
group_3s_23,3,0.8404473417197758,0.1865853963035853
group_3s_24,3,0.600426105117175,0.2335705807490742
group_5s_00,5,0.3518918191330724,0.1828130050266503
group_5s_01,5,0.4648227507129849,0.1988662309251961
group_5s_02,5,0.446853742976615,0.2056211847510715
group_5s_03,5,0.4257138396678208,0.187484325247573
group_5s_04,5,0.420248782551479,0.2017319582639893
group_5s_05,5,0.4662284110174992,0.1667201808093673
group_5s_06,5,0.3299174500691858,0.1528114929794523
group_5s_07,5,0.6120895168351165,0.1773647727893435
group_5s_08,5,0.640316370523345,0.1637289362168215
group_5s_09,5,0.3914371983985894,0.2633175037804177
group_5s_10,5,0.4689771688322276,0.1940847924651464
group_5s_11,5,0.7170801860126726,0.1679360072531565
group_5s_12,5,0.6224629866912625,0.2050247135297142
group_5s_13,5,0.7329776364799261,0.1751656750908286
group_5s_14,5,0.4281821303101139,0.2158424998624461
group_5s_15,5,0.4135485576548838,0.1940750523244605
group_5s_16,5,0.5305415799963101,0.2529405417235104
group_5s_17,5,0.576152537111371,0.205011970146225
group_5s_18,5,0.7531483051471495,0.1957975878345316
group_5s_19,5,0.626464200810662,0.2286171973479215
group_5s_20,5,0.6291672084608233,0.1594181378881242
group_5s_21,5,0.6922725826406504,0.2150775982002962
group_5s_22,5,0.4622810831534713,0.1802903252773106
group_5s_23,5,0.6383336838337872,0.2057756721007178
group_5s_24,5,0.4281821303101139,0.2158424998624461
group_5s_25,5,0.6324556635286405,0.1481551704620666
