site,n_storeys,theta,beta,theta_bc,beta_bc
0,3,0.4116651547544273,0.2066018777656796,0.4116651547544273,0.21219649577320018
0,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
1,3,0.3927314884260653,0.1597791072345707,0.3927314884260653,0.16502619283971323
1,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
2,3,0.3927314884260653,0.1597791072345707,0.3927314884260653,0.16502619283971323
2,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
3,3,0.4029971081561219,0.1812656711156333,0.4029971081561219,0.18600273896478456
3,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
4,3,0.4116651547544273,0.2066018777656796,0.4116651547544273,0.21219649577320018
4,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
5,3,0.3927314884260653,0.1597791072345707,0.3927314884260653,0.16502619283971323
5,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
6,3,0.3927314884260653,0.1597791072345707,0.3927314884260653,0.16502619283971323
6,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
7,3,0.4942956691778448,0.1697986478752992,0.4942956691778448,0.17634523316894443
7,5,0.4648227507129849,0.1988662309251961,0.4648227507129849,0.20448462014894017
8,3,0.4116651547544273,0.2066018777656796,0.4116651547544273,0.21219649577320018
8,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
9,3,0.3861144912610446,0.1776826339406378,0.3861144912610446,0.18317205769504286
9,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
10,3,0.4942956691778448,0.1697986478752992,0.4942956691778448,0.17634523316894443
10,5,0.446853742976615,0.2056211847510715,0.446853742976615,0.21118983650170572
11,3,0.4942956691778448,0.1697986478752992,0.4942956691778448,0.17634523316894443
11,5,0.4257138396678208,0.187484325247573,0.4257138396678208,0.192446752505905
12,3,0.374906652846044,0.2028413576655989,0.374906652846044,0.20767255606960908
