k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.25079075663012496,0.2320906495433513,0.2584533759940993,0.2848465398116965,0.26065917381703857,0.2396549215466,0.31340403861599,0.15939719896676285,0.1735354891981848,0.17871021007951698,0.19708859889411603,0.2552434912315493,0.256563715049123,0.2616456583287804,0.21661257070256384,0.24530198505436643,0.21731365252366253,0.22775408328759952,0.15835399007376205,0.25031801743241844,0.21156918610586745,0.16973952571832407,0.2569025955649926,0.23721651111620343,0.1519369598478992,0.29368623090209406,0.2632675349578497,0.26950263421927967,0.17933270647528748,0.1926027626440558,0.19837984905917613,0.2690583689603959,0.23969331542194894,0.139347393480856,0.34079928688239264,0.13872938319396472,0.12711049529697,0.22934572029043948,0.4325142264040184,0.16370463540064592,0.23698864995335456,0.2885166321128785,0.18047837888603718,0.21742101087213075,0.23469482368248493,0.24894521023612512,0.19572167335834834,0.19518950714858666,0.27258574874614383,0.2710080831271098,0.3052204974046112,0.20590737238933815,0.3127439335885692,0.24588579111764408,0.23807865041308035,0.167903084363207,0.15511876628952515,0.19624026384874071,0.15055315244462616,0.18792046189741718
1,0.3400830928552018,0.21948239486984727,0.21753312518296317,0.2478721178946347,0.37659153675662305,0.20396734038962816,0.30009948933962705,0.1428158527171912,0.15555735133515966,0.18262368067706175,0.1998911409714858,0.20679838593438077,0.34037903825752436,0.32888241733890033,0.1720549804688189,0.2748444504929832,0.214839997583057,0.24736918742004513,0.17812611017921945,0.29565098055521943,0.19138880941533035,0.17202448817979415,0.14439861254968644,0.2202175097464672,0.20681984404640333,0.1773951589480764,0.32181060556410435,0.28809316151229225,0.23347255526547028,0.21559504368115912,0.1940606634045815,0.3271431990982055,0.2033996281723453,0.16289182864184495,0.3033759084733906,0.11670344281136039,0.16333883934213114,0.26906348805564384,0.5529657727318766,0.15916512325098572,0.30049702425778396,0.2775643370781472,0.1807771296192953,0.29994554800912754,0.1828962341397679,0.2680435021629094,0.2514762182091367,0.22195215957493858,0.23725571854913163,0.29452765186782937,0.21535515641664438,0.33048663663837946,0.32720210222003476,0.28196022811753174,0.204138337223907,0.13645979132591024,0.1519130367070474,0.2246174863544007,0.16916653050352642,0.19708463296832668
2,0.24449336329193153,0.2308021165448013,0.2120971645053663,0.19651637199780925,0.29543254260323026,0.24817126823743763,0.2607995984243466,0.12904390229086748,0.15379624520727503,0.17963893072097623,0.1836074887602448,0.20576613762474125,0.3017001627514399,0.28121757326960467,0.23379512289135074,0.252549348685789,0.14174797707261605,0.2090609878859544,0.2682614110037681,0.34732521400786887,0.16045619594864471,0.15833199013353833,0.18701524046658036,0.30600784213187543,0.24537365089781804,0.24961146108427817,0.27410378370633903,0.2764395724841736,0.21755974464351338,0.22558649005368298,0.19189477742074867,0.23544725904055702,0.19280978482044164,0.17822577415730295,0.3804499677568682,0.17875780310605388,0.13946401941498757,0.23326248071171019,0.30641865206213,0.21400955503950997,0.20204619290297982,0.24111739270389096,0.20312393819650248,0.2907055432349447,0.23874391449153357,0.25140423452714494,0.27249434915996984,0.18346147301454968,0.4021077595886158,0.21222313479636862,0.14979545406254233,0.2344109734438827,0.2936506553378423,0.24938964434157232,0.23686679483158524,0.15344815594216807,0.1779802968653536,0.17756012831232523,0.15450365997549004,0.21259445156305484
3,0.2275096863845828,0.26620811249602994,0.26189412726074723,0.27648313007504527,0.5780103276679616,0.20267189715756118,0.20445412991870401,0.19981176391027847,0.1862447669348335,0.1814482157729806,0.24434524023701693,0.13598247124144003,0.3075496231717988,0.1925125767165633,0.1631111089584275,0.24923920419943937,0.1762621240787851,0.24373146251397015,0.19886544286564456,0.24786911167644568,0.17581206007846042,0.125503244671844,0.2559500513355827,0.23270024128389113,0.31601653378029354,0.22653002536244493,0.3124112541657089,0.2983986815204846,0.19792025103871977,0.1565812796741728,0.18792766732297334,0.36885411091384906,0.1636015320816213,0.20441263407686117,0.2891324099642217,0.12432908224127341,0.16406565829252837,0.19066459316545514,0.3827170209501283,0.14928058978890996,0.24942369922651741,0.22684874872487787,0.24474084604018526,0.23452350672018715,0.24404976101970555,0.44404652740806344,0.23071518415235928,0.2010892369510841,0.7093388695582059,0.24048256995236822,0.18480202546241403,0.2511545538506472,0.229678032678785,0.2377884847595122,0.19136714433268953,0.1892885518047849,0.21231783696610412,0.261930704769373,0.1667317835068894,0.22499056837521525
4,0.35414708497562947,0.266013522376379,0.24664009659683825,0.2378004893395333,0.3789917392504867,0.18075978977547386,0.16129557228297933,0.1840767081828748,0.19180361566439422,0.16213200967889943,0.19191350551667627,0.2320847209246673,0.302302309001388,0.21498970907559875,0.19562416060631282,0.27740911539876845,0.16687951396352146,0.24751194075714056,0.2326724421215476,0.21047264729766252,0.14888635853574533,0.1423096393239402,0.21831148653142923,0.24893884983273878,0.142009324111514,0.2678679098820434,0.2621818567941586,0.273494021100251,0.13800701659940454,0.23514124510446355,0.18541126314355952,0.29812581547310335,0.14532458942084597,0.17896626793319237,0.2682633786275973,0.16907765704614475,0.14331731533790049,0.26702544915886406,0.4669428804953948,0.12605777687037417,0.25142471726852766,0.239285778058693,0.1973710349574688,0.24789822138089218,0.23418090252875146,0.2099887723373833,0.24316692512715254,0.21219757270766443,0.40119306191802034,0.2345245641854129,0.20085743387626645,0.23538378834200535,0.33450295857852336,0.3041297890052368,0.23944895443290926,0.20270696364357782,0.17183008561355562,0.15445105947728804,0.15068189321799533,0.2069160662870857
5,0.28011341387871636,0.27692483650680466,0.2114960856560723,0.24181457008722596,0.3105662554535226,0.2094259385963233,0.2034903710456274,0.15305983753136343,0.14984323280915104,0.18699361255268782,0.23132050025598722,0.19056580736392753,0.2963097106013447,0.19754329303448712,0.2126243645587236,0.1857654971907316,0.17869198459322172,0.2436763110874925,0.1416095484494151,0.4026436345942785,0.17767042295102214,0.19649687342578553,0.19600241752660535,0.18723174823984717,0.22220828775098203,0.2052175069630907,0.26730929553043137,0.2915585528785549,0.20137535331348816,0.1877862965613886,0.2642751061567099,0.3574324437139681,0.19546924539411417,0.15155362974972297,0.25221119503438927,0.13884494127720254,0.1676434219584091,0.27015459688438603,0.48987177592700226,0.16739236886251846,0.20534925629043452,0.24263901823607759,0.21688957430955264,0.2755887933781195,0.23683441707864428,0.15852980220690416,0.20461166747030865,0.21265401396056438,0.3091390492925351,0.3165018357502414,0.17562997506923728,0.24020081177086444,0.27923892775558623,0.32891950876159115,0.2626952022913329,0.16180005883088786,0.1807275251739887,0.17488871273235462,0.17080360252928484,0.19061629969895266
6,0.29328329604410064,0.1811778494498824,0.20143664797178992,0.23616179808700571,0.3372603302498461,0.19542357657643206,0.23222093852164127,0.13880815387039896,0.1128958973331092,0.1619682902490427,0.17715279587846386,0.20704385361093158,0.3252664505666004,0.1851012729300422,0.23480292393250154,0.2292317323549652,0.16055817504369568,0.2173286771462685,0.17926085403233322,0.28353430105274796,0.15703906470047546,0.14925192897499134,0.18605420992756883,0.28733252231177164,0.21611388916379057,0.26051506136447466,0.31431607297145037,0.40682119854056514,0.20386951698208572,0.1843778138644841,0.210151485280076,0.37997728961217336,0.19378969096749576,0.18448098254388612,0.32860896110534654,0.17431275932365586,0.14150392412503995,0.25324774935492245,0.5530910540150944,0.11275100561985259,0.2333600107956858,0.26377348277990204,0.21902848457859408,0.2607226892537439,0.28987690089390483,0.353998597870559,0.3180935514730752,0.22403048899024747,0.3752960654254999,0.21448088822769967,0.18304067176442976,0.2501935572692311,0.2693885389936616,0.30459116015117593,0.1966758344515256,0.17322708500447392,0.1876712773082051,0.24110694728602583,0.16518562416229593,0.23487412886524817
7,0.25939142536612014,0.21057206846351667,0.2058071455448141,0.2612415642086129,0.37059480694122626,0.23125226812961042,0.2688539841486267,0.16730432327356476,0.2311373886944059,0.19861522921681218,0.1919671955996003,0.19875910410773978,0.3604918934642044,0.2426119556344561,0.2534572757912239,0.22155329882287356,0.13930999453738102,0.2198047687241343,0.26130978900382634,0.2809674646991148,0.1932266881996463,0.16363649497816435,0.2541563084171503,0.23464162744793976,0.22851191788170505,0.26334390539657265,0.27686247033362904,0.2837931125026809,0.2633780233208015,0.20713988904259084,0.24741021007255723,0.3070987443578912,0.17716641193254173,0.1772912914029065,0.28199480494484247,0.18401216396254227,0.1391053298433692,0.23244834383018242,0.3679051475226879,0.16520420949091275,0.29463598266011065,0.2516985537481372,0.2817112395827029,0.2894396293989849,0.2386692868638785,0.2988495016304661,0.22959311721187994,0.1521073950195287,0.26451646761968717,0.23001716871745898,0.2555121305571814,0.23440063252346577,0.2922889950285022,0.27476758075645213,0.2587160142983605,0.19382113235886267,0.19606524537564907,0.15758931646392776,0.14168809219454542,0.19170092214131745
8,0.23100757618635714,0.25624788624562744,0.22650771452817928,0.2511228705639218,0.46136185119161366,0.21722706644657502,0.2388543086627031,0.16545048588539463,0.149291432524115,0.17199414384347678,0.23596177115287012,0.20167105062657403,0.39836147457470367,0.22019291632721483,0.22194593838878923,0.25071166707901327,0.21759457039160565,0.21800044167184687,0.22003798344434478,0.36155734116211535,0.18129156945866615,0.16452561972451824,0.23331257140499462,0.2182817648816719,0.1771687656124053,0.2044841543414518,0.21073373796069067,0.3402004374215904,0.19676837341328793,0.16512398334926198,0.23792220349496296,0.33768201136030207,0.20319528833380904,0.16833729724723423,0.34610870833182916,0.17521569740827445,0.14430460667350303,0.2919531766377621,0.41522589939929994,0.17999490014145836,0.32593090346141235,0.2143669872125612,0.16238321356766416,0.33157358028431194,0.2584203954180706,0.3037597421929241,0.25595308246469406,0.1753951843799407,0.2175327575794653,0.243298606182798,0.30286343240266383,0.22489996948817864,0.3175997117245421,0.30888393858680563,0.23420114970889616,0.21470236460146153,0.21376207520889698,0.2159186536072234,0.15985169184967227,0.23078791735926668
9,0.41738456567032645,0.26717806741191363,0.25887414879703063,0.21921384651985165,0.3726584440894656,0.17718523866380634,0.2757094506981404,0.161347202198164,0.1229182364366738,0.22263346357271124,0.2581740064573024,0.2059957729753404,0.3633180648018606,0.2426997024471703,0.20853632000718703,0.2532952429054425,0.15876291517231975,0.20692375361875803,0.1850782888385587,0.22634200413740452,0.12646153839457927,0.1927390009960624,0.22094352279237672,0.28875171364681546,0.21452371358129363,0.258727216556945,0.2936795892594636,0.30603165473767113,0.24329029069973357,0.21148844480061468,0.26729360081953935,0.3329323821625433,0.19299020091778496,0.11682662533034892,0.33015125907325493,0.1398618050731017,0.1461755903843735,0.274688644282323,0.47200894391330006,0.18867755499737474,0.15398241866492762,0.28649764840491065,0.28127719794148476,0.2691253908894941,0.21056128201886226,0.28234522315702654,0.27544071367068734,0.18898642489199144,0.29933199429688045,0.21329596706413284,0.18760212107257657,0.2855650662051631,0.2583039476226252,0.3042186992045024,0.20519381405814793,0.1570794226030564,0.22579672841005982,0.14840018321279835,0.15816106190366613,0.24773328024164307
