site,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
0,1000.0,0.15096421509276228,0.49792589326246317,0.27451751555353165,0.26853989143834023,0.002125128429297445,0.046122182135957396,0.20323586845079036,0.21026697307679723,0.23076042980215905,0.3160855190087326,0.359568717025923,0.3787970267555855,0.8296177775056756,1.2939047663464338
1,1000.0,0.13874167143293797,0.38721215624558675,0.2243502242111113,0.22226465693146275,0.0012026469787136942,0.03469655356866497,0.1669523657645688,0.1743278524154494,0.1903808602986775,0.2563729256146001,0.2850392852003263,0.3032438802897174,0.5694830681229043,0.8247131074378622
2,1000.0,0.14545676354128464,0.4047420451138169,0.23106802041131413,0.22788649759801077,0.0012680037508763676,0.0356268581817183,0.16585643396187594,0.17766040949190276,0.19795546082127016,0.2656503079297189,0.2924692418394769,0.30455183332243085,0.5879635770725739,1.0956806314555942
3,1000.0,0.14927853892221166,0.36466777224093694,0.2445933110925948,0.24203814049996086,0.0011483919347209848,0.03390488867696194,0.18330364899624932,0.1943056696396061,0.21117369284973173,0.27780890669821573,0.30433234720118923,0.3164719242686393,0.32134079208421906,0.1504869610428785
4,1000.0,0.2004753248661285,0.7502152638175126,0.36228040032229675,0.3499763897914272,0.006079020273109402,0.07800708543772092,0.25098629311555565,0.2611049666350485,0.29014667832604346,0.43018825295667035,0.5034088293158239,0.5597156453576027,1.1826160756560848,2.235338626761557
5,1000.0,0.12211558544619382,0.4507839062856873,0.21406238227431007,0.20975720422317334,0.0013419689350559305,0.036651224362949104,0.15384778586558692,0.1624833872730471,0.18013307902016484,0.2482087472583853,0.27764941428585505,0.29490973471690884,0.9404410743032141,2.5311342423158143
6,1000.0,0.13795358742478206,0.3842200780985876,0.22017574820557054,0.21511705442067977,0.0014380824100445175,0.03794103229982671,0.15895802447400412,0.16593001754264033,0.1845825790282322,0.2594815047476034,0.2906596808233369,0.3081194968454124,0.6700294772675812,0.505213524074585
7,1000.0,0.08864478570955148,0.21605644131835955,0.15561102288774528,0.15518135843277076,0.0003921753474877936,0.01981332671217019,0.1180867946495189,0.12389359751935784,0.13559911226894514,0.17476683436163512,0.19030049744640481,0.1979578428436543,0.09561686737941487,-0.0709621519044994
8,1000.0,0.10040810148024672,0.26704972401696464,0.1677564851804808,0.16596565450243783,0.0007898510454593291,0.028118351430097666,0.11790842544002779,0.12377358603006006,0.1397343082693121,0.19524961767890547,0.2186372259082614,0.22911689232369353,0.3416965940907753,0.04882421496689071
9,1000.0,0.11316925662142113,0.2658083135371542,0.17301786635311725,0.17114131499907717,0.0005550548991948193,0.023571391764266356,0.13168264859432727,0.13817714331352943,0.1505198331590894,0.19553460088248273,0.21416666968918258,0.22322333577231232,0.5574082209112086,0.7076131100565957
10,1000.0,0.11332053302308874,0.3451383573096243,0.20548517809620123,0.20352959486786884,0.001107846648675014,0.03330098503466967,0.14403240132673123,0.15491114747456536,0.17321675247857704,0.23610439207456663,0.26330683088477275,0.2788089175500229,0.34000193281466357,0.335932126194586
11,1000.0,0.13598247124144003,0.372236817618832,0.2300112596036483,0.22825112581852042,0.0012425385818873287,0.03526729879437296,0.16753638721337316,0.17635542832648513,0.19623796386624429,0.2640684071831431,0.29066436945651586,0.30388975498033627,0.44415659336745833,0.4357699633669072
12,1000.0,0.21412643845440524,0.5593631418640228,0.3209256877013261,0.3177164753107715,0.0014471522851539993,0.038060489829218426,0.25880191128377383,0.2669126340704581,0.2822474968717184,0.35630363692749223,0.3867368380240512,0.3995824385470186,0.7829621648092734,2.1832162521311584
13,1000.0,0.15536837279534696,0.373376165946247,0.23847024176084283,0.23494101786480687,0.0011057903279393286,0.03327006500090574,0.1823064401967031,0.1905958120599996,0.20678176001976412,0.2709634001760406,0.2944036126753658,0.31465327959575434,0.5467568394127368,0.593445821204357
14,1000.0,0.13170703952792184,0.3485170653856766,0.21704558837335292,0.2136292411551769,0.0010334185362229835,0.032162913257542385,0.16241601972360104,0.1707065055276674,0.1873964274880173,0.24597986526137317,0.2757426348616646,0.29527107366653205,0.6269475584329456,0.8299305456127413
15,1000.0,0.159252387557339,0.3122196991275995,0.22808486605120037,0.2261956878041384,0.0006142862621347415,0.02479720071496054,0.1825021768210374,0.18974215207124034,0.2031844740879075,0.25319158998112573,0.2701477980782372,0.28233266300189624,0.3075377940146716,-0.015264121866946034
16,1000.0,0.12675791857419352,0.3488665706221944,0.20037750251780254,0.19830497848446996,0.0008364120522358051,0.028935260523059794,0.15068182460343787,0.15786604403664112,0.1718503263679065,0.2279089523442253,0.25107755872007276,0.2652948706761528,0.5185507657620005,0.6973929188765169
17,1000.0,0.15713983113332602,0.3509105297438505,0.2226192029059978,0.2209917717276406,0.0006874073617160978,0.02623157366940213,0.17697902402524945,0.18265850919584575,0.19728418045933163,0.24808247612214174,0.267345371478587,0.28122723876368283,0.5166624097322443,0.7106089988924671
18,1000.0,0.09573596852431407,0.35776147951910386,0.2025296533209563,0.19884805268013628,0.0014612775573195939,0.038245787972235726,0.13872919704415265,0.14722145400019723,0.16557063673779776,0.23747341192946797,0.27067077621453567,0.2884873411618262,0.6218554491170849,0.797016633728322
19,1000.0,0.18009815561134046,0.8974532211256941,0.31933617274633763,0.3050150536760948,0.00643136680602749,0.08023593092024377,0.21048962127489262,0.22409411413769978,0.2500327893440387,0.3833381567234172,0.4613776498002701,0.5353654294864765,1.7986680482541917,6.249312277254411
20,1000.0,0.11979704190884238,0.27963049370358045,0.18121566388597407,0.1797423609812101,0.0007148430716485586,0.026749927668665525,0.13525992891376193,0.14103129445718257,0.15430630531630243,0.20769764492553863,0.22808324793187598,0.24119975028136345,0.5034058317059743,0.3835962958071204
21,1000.0,0.0923872217539615,0.29683502320956945,0.1637334940889187,0.1613888418817424,0.0007594937002290416,0.0275727030626891,0.11616713405069913,0.12427164446446151,0.13800854922393044,0.189919251832777,0.21102809071377837,0.22572729180001544,0.6005412567767382,0.9879442418851765
22,1000.0,0.1261201142733347,0.33056574735157485,0.2084256005550743,0.20548109513457785,0.0010452294699844213,0.032346185953372485,0.1520412055554932,0.15963097554267622,0.17689706473388467,0.23992843145751172,0.26476861048125083,0.2770333525445892,0.4077571416535824,0.203998792944744
23,1000.0,0.1704715132626736,0.366310551248316,0.2458940017907787,0.2435028919026302,0.0009171766108337054,0.030300077649062958,0.19126963363280453,0.20154601213481443,0.217100194654904,0.2736408106991644,0.2993997992210798,0.3114937240644218,0.5350059976343639,0.6341152453607943
24,1000.0,0.11832279757645355,0.46785259457305073,0.21142933604345862,0.20490673664472556,0.0018851458081928518,0.043439991264201304,0.14691633021770187,0.15283099953143645,0.17160333931104568,0.24909620256500187,0.2886608904022795,0.3126195689158765,1.2312853117260412,3.4399209112903177
25,1000.0,0.146560893640317,0.38765246703405865,0.246737320588373,0.24311579395670369,0.0013089805987363406,0.03619794040585688,0.18427998334232065,0.19254258598912383,0.21189031708156225,0.28391271398775286,0.3103513654472701,0.32454589353077096,0.48683282699785146,0.43469268879235834
26,1000.0,0.18320746710674415,0.4154520998219958,0.278527561603287,0.27477575183125,0.0013474704980146297,0.03672627557120327,0.21681503835736932,0.22614469822222624,0.24319771573127894,0.31290997922110775,0.3454691239800887,0.3586344896466105,0.556283470912863,0.35375389674088087
27,1000.0,0.16849393403803017,0.5190562326648068,0.28356801913398805,0.2783874313018757,0.0018854307653931562,0.043443274318087866,0.2107520924322988,0.22372325927539372,0.24193413215569295,0.3250351994706374,0.36089333421267306,0.3840687216488041,0.6380843732231897,0.9176871491136729
28,1000.0,0.10664885087048885,0.36426262032748113,0.1954257701767495,0.19329022813877544,0.001058897615686592,0.032556989622197136,0.1398757949302614,0.14783563542321088,0.16515359718962855,0.22478133664161679,0.2512665144535611,0.2657207400785963,0.6231411877466391,1.3688592486356006
29,1000.0,0.1397748542103876,0.3390213230953668,0.20520940343468483,0.20320749871567068,0.0007487385726715288,0.027376779590234147,0.15580601299213137,0.1625647380087166,0.17917791222053064,0.23087150722063637,0.25240490731176224,0.265473778897425,0.5658463721935753,0.8649026666744617
30,1000.0,0.143788308865556,0.3333846854185688,0.2171894642999601,0.21474226153463116,0.0008473354557887865,0.029123592488362673,0.16743763900922795,0.17372588979357592,0.1881177703819334,0.24476487967585023,0.268295186372497,0.27969647187526137,0.4773484634355661,0.41233666164602845
31,1000.0,0.19172778202919233,0.5537146238238654,0.31387753246368727,0.3098892809511105,0.0021588170404991105,0.04648632076770142,0.23220311514650577,0.24497076870382695,0.27187843884667373,0.3549281942159409,0.3975509449388821,0.420164331992681,0.6743947629267751,1.3763242450386564
32,1000.0,0.10050221356801906,0.2891442628043652,0.18631906354507108,0.18263081086591698,0.0007744433440249739,0.027842747037380516,0.1361977085500883,0.14531457335557965,0.1603429986375809,0.21277008646643614,0.23855133603441941,0.2488969559137358,0.4482403356762695,0.2963747907586112
33,1000.0,0.10314988654418614,0.37867344570870043,0.16704951115577643,0.16503159526344158,0.0006878298567124814,0.026239633669080997,0.12078114188159338,0.12936816321744962,0.14206804549632132,0.1916784508283301,0.2131287550659176,0.22227799211839241,0.9205517397125188,4.094465309703358
34,1000.0,0.18298209779029562,0.4777663028370895,0.3113909739918487,0.30809898922401713,0.0019663203010397887,0.044365398562724735,0.23429856720027856,0.2459418666635308,0.26878050812434945,0.35416535338535843,0.3914212986459015,0.4122465049050612,0.5016138572955223,0.5514690176486274
35,1000.0,0.09390640821329654,0.25914977110702214,0.1638268747678863,0.1616243761049048,0.0006253458111213934,0.025019428109057523,0.12096236193741042,0.12594523974368824,0.1404382862686693,0.18584150901991367,0.20796291017376786,0.22111171098443014,0.47270887432230657,0.6736086253894698
36,1000.0,0.08986892447075998,0.28245462947990746,0.15487860778784335,0.15369165762780523,0.0004992713607455435,0.02235556154243102,0.11474526690258273,0.12070253125730125,0.13405338484524149,0.17642056200217965,0.19360256770886422,0.2007786281603781,0.4940121961413983,1.2160632880400364
37,1000.0,0.15989104178294838,0.3707385288295333,0.23692275126814397,0.23512011942182173,0.0010073086697322726,0.031754007411962853,0.17919591815006458,0.18730418755610448,0.20662770163714697,0.2669932706344233,0.2919823252841305,0.3054273480755016,0.442458981802095,0.44710307426591944
38,1000.0,0.26537000628653984,0.6628278090362429,0.41724145731533496,0.41202585356309945,0.004296749399014121,0.06558239435598234,0.30820627746121265,0.32191197267539984,0.35262410469055394,0.4840038826681568,0.5291034112999695,0.5576599779624272,0.5434823023856457,0.35619387420055615
39,1000.0,0.10083297968085428,0.2949890722881542,0.16530116680125992,0.16387151651864573,0.0006570524188029994,0.02564585987897328,0.11802831088870591,0.12622606214803528,0.1417699381885195,0.18858002542289404,0.21029648227947834,0.2238967049960204,0.5421587926813521,1.0098317937107737
40,1000.0,0.15398241866492762,0.46014470082940506,0.25757546519281266,0.25352736573997736,0.0017087893555003926,0.04135818970114321,0.19149802860145704,0.19932738837388328,0.2183040079173748,0.2957266368550755,0.3301195858207291,0.3466145237365873,0.7287998443606358,1.1237580798406412
41,1000.0,0.11048994450538915,0.4016079176589846,0.22562917255577927,0.22295938331473758,0.0016906004216399315,0.04113748551326741,0.1602917117810741,0.16848916223705876,0.18411161435171577,0.26282125175462573,0.29892468481183837,0.3164438945425073,0.6588220027251253,0.8425298566460628
42,1000.0,0.14006791649710099,0.3055437080604494,0.2158312779366288,0.21504743924757327,0.0008878202685126274,0.029811222341429033,0.16125305387298297,0.17010380449841658,0.18619503056180894,0.24430847347635953,0.26821273569058496,0.28051361387619095,0.2838387026545067,-0.06229730240362752
43,1000.0,0.16681707889084474,0.48467996951795045,0.27396476556371135,0.27123268746269297,0.0015997697828606912,0.04001713575475768,0.20631785000978545,0.2134314068261393,0.23546517880754558,0.3128717471046184,0.34187869106321905,0.3556086228122005,0.5484598681205588,1.0044343434332736
44,1000.0,0.09923299794982114,0.3381556640379132,0.22653647619430697,0.22571009577573511,0.0009032386961836103,0.030068968040533633,0.172355227240694,0.18127280104334384,0.1949604076932536,0.2561563878542746,0.2763492090045184,0.28784173626762666,0.20584940550313377,0.3621499865844231
45,1000.0,0.12357767189485483,0.5505134821381219,0.2552132999202668,0.25292016130734746,0.002385911679798225,0.048870236133847396,0.17337264375918585,0.18346468571215999,0.2089407186701658,0.29937764625129293,0.33722931759335567,0.3579326158839687,0.8005890343843151,2.4804104794737576
46,1000.0,0.15504569283093636,0.4527758013212577,0.2665194589903033,0.26210809843435545,0.002055813953904067,0.045363772172624675,0.18921422262577597,0.19904469051668264,0.22430548730471683,0.3091348147675163,0.35000127280500204,0.36929793269664485,0.5321592705846246,0.3833791826285746
47,1000.0,0.10071690374403292,0.3475851791072635,0.19417559865790315,0.1921363682410091,0.0010565857853803253,0.03252143030078988,0.1325675437548978,0.14293073175630547,0.1637415458412309,0.22593941811902116,0.24762744929498592,0.2590045763412048,0.3888365189689122,0.8331591871689841
48,1000.0,0.19669408328874832,0.7093388695582059,0.339018533183363,0.33027364257875813,0.0045072051179075616,0.06716931468120174,0.2305826413743886,0.24656276181183573,0.2787259837184806,0.39867512746503325,0.46217924455010717,0.49572918767287705,1.0072567739866478,2.368845939090834
49,1000.0,0.16312875457821108,0.36700793277006605,0.2507009567313769,0.24858784015552396,0.0011043810663472593,0.033248857918733984,0.1920198363330493,0.20110058552288726,0.2177007960267696,0.2845402507997207,0.3101821660050193,0.3191811988439877,0.32339318446883686,-0.05563047659346676
50,1000.0,0.11979134360788588,0.3518837765926719,0.20826208062635032,0.20378202621027974,0.0013415178302311668,0.036645063663774534,0.14946116449334818,0.15727124162676556,0.17351654409189166,0.2439608716120184,0.27538314204715025,0.2914468403317489,0.7769151165891082,0.9005049105101568
