k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.43731998587023513,0.4239893256303464,0.40557893258626265,0.4314461219928549,0.41813430288910985,0.39167654613005887,0.37335668828917207,0.45857756335910227,0.42967867473103155,0.38683397346867876,0.4932142470976521,0.4962340559132672,0.34768329774581624,0.3760573420829394,0.3726696852678832,0.39916095481550157,0.4305447607645795,0.40816409825053707,0.46156395644850334,0.40077650029127265,0.37392195506689885,0.4710211989060728,0.30013115474589275,0.34522011089123117,0.457578264540356,0.4370641888697389,0.45496118333831487,0.4045564574905445,0.2959895417219311,0.3977542641424864,0.48212121553761633,0.9637156849495346,0.49094234014183913,0.4572000989311679,0.9574517851793116,0.46216329494135294,0.4583606033691943,0.44445475144199553,1.0795107191772682,0.4656894270113293,0.49047309626417307,0.6258396693953338,0.6122769591935224,0.8518778466663388,0.6382216617007325,0.6291888923546983,0.6340154210852392,0.6507593190364165,0.8876326746607521,0.5960394078446677,0.43978523086934285,0.8548765256326746,0.6009817643433929,0.8744222281023516,0.6770475764058594,0.5298235833827566,0.49953068128577677,0.5092261057995986,0.3815113411677418,0.7482441975840254
1,0.43791976539632127,0.4233987207310415,0.4276367207868102,0.43909638908569837,0.4243423091967637,0.3980417833915824,0.37976430730695787,0.46519046920045093,0.41510936690450906,0.38682280282112647,0.5014240389099345,0.4968798233413006,0.3412504600455897,0.417717228994862,0.3771536883511308,0.39671320786080005,0.4178407515052376,0.4279031839632005,0.4417309419553441,0.41937621087664695,0.37834919650325005,0.46448922690137606,0.29490910357337213,0.325534789228551,0.4582660737696817,0.42599505707077784,0.4338330672184311,0.41327148968560334,0.3049594171700875,0.4156586553063572,0.4697247955194496,0.997485978684002,0.5095696053219719,0.4531496352387015,0.9222165872321941,0.44651048109935293,0.463812790400746,0.4599534728973519,1.054404001709418,0.4827049104641853,0.5060852953732385,0.671185614914784,0.5839139735391717,0.8412195362343609,0.62412769113202,0.6164894942785935,0.6258846049597261,0.6624182849191961,0.8365532210778898,0.5940100189916678,0.435769329157612,0.8287164360589468,0.5826544867303924,0.8780043528442186,0.693557336170186,0.5191859858841348,0.4973273310695707,0.5336151335667505,0.3550813270247398,0.764473575173952
2,0.43429819542387793,0.42023932387168494,0.42119424838385927,0.4355777829688781,0.42676499063051254,0.3817979432021657,0.3981883329194825,0.4714820816798993,0.42823474670002953,0.38097163188504846,0.5015903501182538,0.5013221041103175,0.35874538440336,0.40125116109412556,0.3615394218421376,0.42416359614208937,0.42834431363976994,0.4018146740527149,0.4584994702027572,0.3924424685869557,0.36734726667893924,0.4493613219437567,0.29419273374272786,0.34808175577995915,0.44746073753048127,0.4653490853039215,0.4522320191842979,0.39398640213988495,0.3182528635781765,0.4255163800141676,0.4955160169562247,0.9152113393690144,0.4947749843227594,0.4549273391773716,0.9979492695126465,0.4606365132880061,0.464245252406683,0.4468035041950752,1.0887000093305994,0.457908871942386,0.46556540574772304,0.641638826777887,0.5861347275680695,0.7954948816509821,0.6604789303281376,0.6266193585121004,0.6603502380387599,0.6589569127371111,0.8577993271525531,0.6200621602360454,0.431971007391533,0.8134235471992124,0.5927293474765382,0.8405027498501442,0.6638981589659066,0.511658241913976,0.5149091376429786,0.5050247776179452,0.37122231922188387,0.7657269546061083
3,0.42374525761406734,0.40299244775608245,0.4185419011227255,0.449154397070797,0.4463609637350748,0.40812076790507235,0.39214372000133474,0.47110968548765525,0.4196868733309302,0.3758685452503587,0.4935645933601034,0.47196756227914205,0.366923601242241,0.38641048322647076,0.39210824033118397,0.41408626508244256,0.43396802320143374,0.4240278151814608,0.44055409267046675,0.4064718279931288,0.36024909365820434,0.4727311699047932,0.2934459765436883,0.3287483408201212,0.46788758804912567,0.44963165303767316,0.4390182847385191,0.4239052153858262,0.30508197157911243,0.41287978329871977,0.4649135539416916,0.9599818592547015,0.5065469886788349,0.45368554903335445,0.8766463276800138,0.45517497557066366,0.45695514633677387,0.45552081044722675,1.0896371408752434,0.4536687652730564,0.47482931502752596,0.6609258787069933,0.5821332995368685,0.7978878884046592,0.6634371351512022,0.678060874821926,0.6193334044473744,0.6541295210999988,1.1425907416067933,0.5943295440010722,0.4533202720921999,0.7924617137349782,0.5743358819248697,0.8634517021039616,0.7102038004606006,0.5430164614942239,0.4911237828752617,0.5104664646733473,0.3697827100944127,0.7702201281216363
4,0.4254482994557071,0.41225150725739745,0.42464884463910324,0.45851893721790904,0.40826759637785265,0.37523404775573777,0.39674770433420736,0.4509471550175323,0.4308435569608585,0.3807044398602215,0.5076385378539227,0.5106522724599207,0.3496889946272199,0.39628470178562447,0.3594118567943979,0.40265231694032244,0.42525873226631317,0.40160110008136535,0.43464190932691005,0.4173209392369439,0.35674727214965024,0.4729335380866383,0.3027717278214167,0.3367804614433391,0.4808598653494094,0.46304174499847955,0.4472500561586007,0.40341600645913034,0.3157009977167958,0.4168425455471698,0.4782759264249414,0.8815244859821972,0.4924108882935122,0.4548059838263707,0.9042112446401479,0.4504707665420049,0.45557872405361227,0.455509267822697,1.0676129768453066,0.46840230858793186,0.47971812043901924,0.6553582425884653,0.6160752708150604,0.8219857682534869,0.6357662721466799,0.6451593609267418,0.6807970442455059,0.6440157283925791,0.9463182099906252,0.5950913748143233,0.4159517105815724,0.8812889015892056,0.6159118743234363,0.8600653518993572,0.6889838359708806,0.5397658871413574,0.4867313736259215,0.5150183916401255,0.3642106839818532,0.7416786613165981
5,0.429008918816401,0.40226892721462276,0.42332121587839866,0.4267878618420544,0.41041715513740334,0.39743573013772854,0.3928541268811329,0.4662252454422229,0.4230306905718861,0.3883521667170599,0.5093278807204461,0.49733074325658644,0.33975612640058994,0.39721252638822335,0.3837721794224081,0.42359354046727726,0.4325806824997034,0.39376975544321857,0.44755716652142524,0.37802579516620305,0.3550108718863852,0.4662106386896755,0.2854250190977367,0.34127810971072714,0.446957626934422,0.4479533058267044,0.4555158711159387,0.4018726376497093,0.3155304628827079,0.4046194140758572,0.4426646189703982,0.9802383173586193,0.5089088211238653,0.462874937854251,0.9200428716331807,0.45929659521045185,0.47009265396900207,0.43480476491822356,1.0556772087103186,0.45280704075856726,0.4878178943474374,0.6541879762415506,0.6227875557614041,0.8295163457574998,0.6647687815123086,0.6160799245131882,0.6589555505596183,0.6193408948148477,0.8875208853822315,0.6454746845425412,0.4455500486745479,0.8858637884689131,0.6044294954907524,0.8626646121088026,0.7046394138219504,0.5071023235677574,0.4835646402066498,0.529495273675032,0.37256208478461,0.7863373260989516
6,0.43642525005076027,0.4288954880965693,0.4147452365573712,0.4482049888038257,0.42494600652292114,0.39588116317208916,0.3861698901415844,0.4654795554775086,0.43847062837428585,0.3906074664554158,0.5177750912386071,0.4867444083583532,0.3528429779030062,0.39241554178252197,0.3758158644805173,0.4104600705285117,0.43122156572740916,0.41307740880733307,0.4588873303501732,0.4146805993556654,0.3508887563444546,0.44928312598447806,0.29963468435484825,0.3241868866383183,0.4682142412718503,0.44066711174926165,0.4668204369979195,0.41693367350364136,0.3087227421282107,0.42196876844810144,0.4920592157410118,0.9961448323505633,0.47038709954785496,0.48063300802827036,0.9623319925162442,0.45981288434005746,0.4721054224849481,0.45644840829962763,1.1675217546751737,0.4590421892334571,0.45188311366855727,0.701251525024028,0.5985904327020276,0.8200169781470524,0.5976652271227805,0.6291526880672641,0.7036752372557981,0.6529275281609213,0.8412709512891766,0.6322404988878156,0.42787003659087697,0.815068487294803,0.5965947503439966,0.9056114505344188,0.6811502066489555,0.5596693892180068,0.479630697050434,0.5206850270875466,0.36632601389914543,0.7318333758533433
7,0.43744772213325406,0.4253976589208612,0.4174566735647704,0.45684032098116767,0.41102100918190687,0.4082245021722813,0.3914398358715408,0.47888560486136605,0.45170495990183007,0.3878886212216605,0.5041432459378213,0.5121548579026843,0.3598248906442455,0.4189950215956609,0.3811499385550695,0.3978910670454389,0.44572119110158104,0.4126804774088624,0.4398485620129109,0.3987504730782697,0.35794875994714204,0.4587540364744663,0.2945269995683151,0.3314061240897763,0.4649118784322835,0.4122098991775819,0.4408001482937995,0.422691930321425,0.28923305962054036,0.4067282928263563,0.4776614098784056,0.9378015468541091,0.5145625331820342,0.45776832793125105,0.9151633678879644,0.4608767709628844,0.449883334718807,0.46020594878988996,1.154158952078216,0.46674597183623945,0.4879350926210806,0.6635730246293481,0.6238372762079957,0.8331344677715686,0.6165067182123284,0.6463586108707454,0.6066943764318927,0.6269193243195745,0.9096928131260431,0.661400235238642,0.45250299582970266,0.8522468829838463,0.5826737761328276,0.8354720414975344,0.6893558809845061,0.5251342820216991,0.4886380653611637,0.5319007069211895,0.3684466245892431,0.8100539555952304
8,0.42351138818851264,0.4142002700537511,0.4201229867641934,0.43201335623879744,0.44585119932663864,0.3995489801431515,0.3923099946365238,0.45467570079653036,0.427109397532945,0.3820409372243227,0.49765646593028867,0.4997808785143592,0.3851098453748032,0.3871030699135839,0.36852319435045383,0.403295631717101,0.4621222811799984,0.4021756355060902,0.4355777174306829,0.3899463723423648,0.3561781249024684,0.4458276065407711,0.28919437706164447,0.33699668589079257,0.4478311708657836,0.44103577109195763,0.4622268288985222,0.44082865905342755,0.3117196967024744,0.42668396655485447,0.4776874329388112,1.0393221531357566,0.4909178177222798,0.4564274630131979,1.0324934219233743,0.45514331645269807,0.4547468108013393,0.44450561805668615,1.0482520545206386,0.45365815173957097,0.4758107220693449,0.6579646193109332,0.5975010234666219,0.813221654001397,0.6201835958105009,0.6157674517712902,0.6529460371582805,0.6385685203619178,0.9024396249974485,0.6692092458030205,0.4275118421570099,0.8309589110993637,0.5927058852118223,0.9200047878983373,0.6946157837092196,0.5076201716487705,0.4897448793287386,0.5214164543618003,0.3669202317955063,0.753513140467718
9,0.4482716575630472,0.41743164499377766,0.4049367168952241,0.45301657283369456,0.42056177536915,0.395964939356449,0.4176566660173525,0.4640783789422753,0.4244203280223427,0.38969901060840584,0.480473043081247,0.4954970680386658,0.34833849875032336,0.4135589027346095,0.3638905059996985,0.40072300928397087,0.4244508283760253,0.42509555061967863,0.45330435761480886,0.3945666152891929,0.3689216856350935,0.452422341901649,0.2925959597072278,0.3340542497075318,0.4758896517444381,0.44999779871284185,0.4319762838559137,0.41517289701313626,0.3174571244229594,0.4156987060621662,0.47778040018847623,0.9220038766237987,0.5105938833688476,0.46957110808192354,1.0010561452788722,0.44618129218990615,0.448512710534024,0.4673756519866801,1.0681762087184739,0.46895241091464296,0.47069537105374576,0.6609955606736571,0.6184856362291967,0.8291235701515471,0.6318458550738382,0.6393167837203433,0.6327524405255784,0.6443583215108395,0.8516684663335374,0.6192574759341767,0.430869489191682,0.8466254528137092,0.5968498492778253,0.9039831878867025,0.6747613658384316,0.5292994059381719,0.4996175297612591,0.5251812506346273,0.3694296320628014,0.7819900427992832
