site,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
0,1000.0,0.3754949181460175,0.4692787703798857,0.42258417870266146,0.4226229096588573,0.00019155031132073177,0.013847095485122715,0.39536508186836045,0.39940846195683843,0.4089984723730191,0.43596606001270116,0.44472520077197875,0.45084228624836303,0.07146044761573571,0.17855734676330748
1,1000.0,0.37954706935292143,0.4517875569931552,0.41697754463577874,0.4166861219431871,0.00011628511598737044,0.01078895349442546,0.39598827012742305,0.39949820038665135,0.4067869507242451,0.42778057175749157,0.43425939614206716,0.43876284064383914,0.12233704892227544,0.26958457837036676
2,1000.0,0.37847514552012995,0.44751587345279664,0.41094560072930353,0.41067929497238187,0.00012440794127675933,0.011159411890888777,0.38929437097833913,0.3930279519479777,0.3998721623768535,0.421912753209296,0.4295441763257843,0.4337763173884352,0.0897887675606904,-0.05031788651541147
3,1000.0,0.4008816681759819,0.48958551337847345,0.44611793978667624,0.44610024486029604,0.00018984456846268537,0.013785303880065578,0.42014658939034216,0.4239829374991571,0.43233207058577655,0.45930303151279406,0.4696697533289287,0.47441192437494695,0.1769645213888763,0.07432525698375869
4,1000.0,0.3850656247551381,0.5132180817072194,0.4261346951997155,0.4240773648838707,0.0003588966405122927,0.018954046966510908,0.39577884634644733,0.3989175190192784,0.40851040490154084,0.4440338696376327,0.46066655044028093,0.47055130405920015,0.9284512477768909,1.6965389204372743
5,1000.0,0.34759012543782125,0.42490690466984044,0.3926451034891852,0.39254682206273306,9.352394613311637e-05,0.00967561696724365,0.3744761278392042,0.3774706627520626,0.3828701789789656,0.40217835348837333,0.40901900036598104,0.4126734424109085,0.021749719394603725,0.20771249117524748
6,1000.0,0.35356074464386034,0.4176566660173525,0.3848819854058762,0.38501256769389264,9.520142749895167e-05,0.00976200410895093,0.3653136930707244,0.3686539502365805,0.37507622536127966,0.3946289022288993,0.40050439428420304,0.40407425781726164,-0.03387793158127857,-0.025907253385721418
7,1000.0,0.43520182704191657,0.4973881873706321,0.46728360149027676,0.467246694810619,0.00010727608546311343,0.010362599525796868,0.4465868859350668,0.4500693550994267,0.45741634642332957,0.47716159914510575,0.48467208147136953,0.4885040271615754,-0.04799247309834054,0.1705593167923336
8,1000.0,0.40300973674755564,0.4645444768100661,0.4323235585219019,0.4320227641471205,8.480251187936834e-05,0.009213435802058155,0.4147412516207906,0.4180273768420999,0.42347059346575544,0.44114084758855915,0.4479644645363737,0.45137647994100766,0.10554572559479587,0.23982315327107484
9,1000.0,0.3607060826693958,0.4172246699942077,0.3886813484949298,0.38855663238047067,7.550593592946211e-05,0.008693763134966873,0.3716759478104541,0.37494204603299514,0.3802473416467805,0.39719690799720253,0.40354208339153863,0.4062978023065626,0.1427666933228245,0.12278274406345613
