site,n_storeys,theta,beta,theta_bc,beta_bc
0,3,0.42219613785067,0.2732539428524607,0.42219613785067,0.27397752811423254
0,5,0.3754722582120389,0.2896332538806014,0.3754722582120389,0.2902337074809893
1,3,0.4170793159320563,0.2253254194208615,0.4170793159320563,0.2277604438051846
1,5,0.4029903432538567,0.2871929447562436,0.4029903432538567,0.2885588275537822
2,3,0.4107026567562534,0.2299639010526963,0.4107026567562534,0.23248355784813013
2,5,0.4184021338885793,0.2655514086289989,0.4184021338885793,0.2701603330711638
3,3,0.4458418443580422,0.244984466594723,0.4458418443580422,0.24799751933317618
3,5,0.4342471360665967,0.2557638849638806,0.4342471360665967,0.2614826608547057
4,3,0.423892270005994,0.351250286141294,0.423892270005994,0.349465052383896
4,5,0.3588959049503296,0.4616000405752858,0.3588959049503296,0.4636516847017931
5,3,0.3926525959775994,0.2128562078932014,0.3926525959775994,0.21442121031114184
5,5,0.3679738154437975,0.263159684393922,0.3679738154437975,0.2645110979770701
6,3,0.384952050939589,0.2173290891302294,0.384952050939589,0.21915643197334317
6,5,0.3877252169677996,0.215143226642503,0.3877252169677996,0.2179921303770427
7,3,0.4680056357660659,0.1442799344163655,0.4680056357660659,0.146904295705707
7,5,0.4320406287830305,0.2440817416064967,0.4320406287830305,0.24591815332968947
8,3,0.4311933816832463,0.1677922760218556,0.4311933816832463,0.17050523828299122
8,5,0.4094937908821475,0.2512284555172166,0.4094937908821475,0.2520547510969699
9,3,0.3881322783478034,0.1728025536464344,0.3881322783478034,0.1757819472862824
9,5,0.4094876333497834,0.2914051267335889,0.4094876333497834,0.29308817373364976
10,3,0.496506202316115,0.2043629531381887,0.496506202316115,0.20777032669308598
10,5,0.4506541628992536,0.2064365517818082,0.4506541628992536,0.20949645132791264
11,3,0.5005660200693369,0.2290131409919561,0.5005660200693369,0.23102201545207215
11,5,0.4519953338082595,0.2493811179128345,0.4519953338082595,0.2525848743019386
12,3,0.3528006555198341,0.3133792383638497,0.3528006555198341,0.3162553237973745
12,5,0.337345585634278,0.4264906019467162,0.337345585634278,0.4304207395558756
13,3,0.4018792114770341,0.2378475545257238,0.4018792114770341,0.2406711175754077
13,5,0.4098178120983752,0.2826110670352857,0.4098178120983752,0.2861522422032688
14,3,0.3718911994420027,0.2176824094217229,0.3718911994420027,0.21983818420693496
14,5,0.3677934043865974,0.2710990450267487,0.3677934043865974,0.27213054153802113
15,3,0.4040758718868533,0.2245219270630336,0.4040758718868533,0.22623481105131105
15,5,0.4055096538024482,0.2687122853532303,0.4055096538024482,0.27157868026920695
16,3,0.4329192091982722,0.2008548231609168,0.4329192091982722,0.20382186270932068
16,5,0.4346691134286723,0.3317426786015857,0.4346691134286723,0.33528405483813867
17,3,0.4178173215190569,0.2172271893179463,0.4178173215190569,0.2190901264629071
17,5,0.3694777816849704,0.2606046774530474,0.3694777816849704,0.263270974151059
18,3,0.4474774063007775,0.2010655801797025,0.4474774063007775,0.2027494450130061
18,5,0.3878023992305613,0.3350220492860536,0.3878023992305613,0.339590449524123
19,3,0.4049596889654542,0.3075558580500362,0.4049596889654542,0.3044807563460159
19,5,0.3640368243174662,0.3138466042991328,0.3640368243174662,0.31178186757717596
20,3,0.3643706614141849,0.1814215886225332,0.3643706614141849,0.18363281106940893
20,5,0.3754914774057817,0.2850676908518646,0.3754914774057817,0.28620436043715375
21,3,0.4600140681205683,0.1655352420127351,0.4600140681205683,0.16904164915890277
21,5,0.4396192918671838,0.2091149358611442,0.4396192918671838,0.21191058596266218
22,3,0.2976626204545336,0.2093147004550328,0.2976626204545336,0.2137019712439485
22,5,0.2931870995842663,0.2482611335422684,0.2931870995842663,0.25202429601205356
23,3,0.3349771595606597,0.237086696495061,0.3349771595606597,0.23940804114337141
23,5,0.2905393234345195,0.3397976894513703,0.2905393234345195,0.3429767827502281
24,3,0.4631370933356905,0.2084775101494963,0.4631370933356905,0.21002556173440765
24,5,0.4403180671443242,0.3660272853076456,0.4403180671443242,0.36750599025286196
25,3,0.4396633713002859,0.2457685830979694,0.4396633713002859,0.24991226103305383
25,5,0.3928326696517007,0.2919268943091448,0.3928326696517007,0.294667496653559
26,3,0.4441323399002267,0.2778793517382295,0.4441323399002267,0.2795351448498857
26,5,0.380675560264013,0.294510256367989,0.380675560264013,0.2951776871227455
27,3,0.4170830129919028,0.2728092819180709,0.4170830129919028,0.27336654390522896
