site,n_storeys,structure_id,tag,design_group_id,n_sites_in_group,is_representative,msa_fx_theta,msa_fx_log_theta,msa_fx_theta_bc,msa_fx_log_theta_bc,msa_fx_var_theta,msa_fx_var_log_theta,msa_fx_log_theta_bias,msa_fx_beta,msa_fx_log_beta,msa_fx_beta_bc,msa_fx_log_beta_bc,msa_fx_var_beta,msa_fx_var_log_beta,msa_fx_log_beta_bias,msa_fx_n_obs,ida_fx_theta,ida_fx_log_theta,ida_fx_theta_bc,ida_fx_log_theta_bc,ida_fx_var_theta,ida_fx_var_log_theta,ida_fx_log_theta_bias,ida_fx_beta,ida_fx_log_beta,ida_fx_beta_bc,ida_fx_log_beta_bc,ida_fx_var_beta,ida_fx_var_log_beta,ida_fx_log_beta_bias,ida_fx_n_obs,ida_ub_theta,ida_ub_log_theta,ida_ub_theta_bc,ida_ub_log_theta_bc,ida_ub_var_theta,ida_ub_var_log_theta,ida_ub_log_theta_bias,ida_ub_beta,ida_ub_log_beta,ida_ub_beta_bc,ida_ub_log_beta_bc,ida_ub_var_beta,ida_ub_var_log_beta,ida_ub_log_beta_bias,ida_ub_n_obs,ida_avg_theta,ida_avg_log_theta,ida_avg_theta_bc,ida_avg_log_theta_bc,ida_avg_var_theta,ida_avg_var_log_theta,ida_avg_log_theta_bias,ida_avg_beta,ida_avg_log_beta,ida_avg_beta_bc,ida_avg_log_beta_bc,ida_avg_var_beta,ida_avg_var_log_beta,ida_avg_log_beta_bias,ida_avg_n_obs,msa_ss_theta,msa_ss_log_theta,msa_ss_theta_bc,msa_ss_log_theta_bc,msa_ss_var_theta,msa_ss_var_log_theta,msa_ss_log_theta_bias,msa_ss_beta,msa_ss_log_beta,msa_ss_beta_bc,msa_ss_log_beta_bc,msa_ss_var_beta,msa_ss_var_log_beta,msa_ss_log_beta_bias,msa_ss_n_obs
0,3,0,3s_cbf_dc2_site0,group_3s_00,8,True,0.4116651547544273,-0.8875449912562237,0.4116651547544273,-0.8875449912562237,0.00032383966701769783,0.0019064066843463205,-0.0001054018731223,0.2066018777656796,-1.5769616334430352,0.2121964957732001,-1.5502425667312565,0.0008392385455382553,0.0199333976616208,-0.0267190667117791,5000,0.3931420206240298,-0.9335843567596598,0.3931420206240298,-0.9335843567596598,0.000307860192002602,0.0019805060410604276,-0.0002699935026406,0.2162369317847635,-1.5313805660492947,0.2189614401158104,-1.5188596371987702,0.0005684719126361998,0.013430100308876864,-0.012520928850525,5000,0.4242442616884799,-0.8574459007377554,0.4242442616884799,-0.8574459007377554,0.0003559924044836573,0.0019689377016086887,-0.0002142207817281,0.2155933346748763,-1.5343613556623037,0.2176422777853667,-1.5249024915794127,0.0004354918559616834,0.010413422434807544,-0.0094588640828909,5000,0.4083971673241119,-0.8955151287487076,0.4083971673241119,-0.8955151287487076,0.0003295915408067414,0.0019659239037751407,-0.0002421071421844,0.2154459440856429,-1.5350452404136041,0.2177884920189916,-1.5242309072575877,0.0004921116732119998,0.011745968364913912,-0.0108143331560166,5000,0.42219613785067,-0.8622852912869954,0.42219613785067,-0.8622852912869954,0.00018053894603856175,0.0010094614903658013,-0.000425631298113,0.2732539428524607,-1.2973537225603864,0.2739775281142325,-1.294709190139047,0.0021186987890764713,0.026595942471064542,-0.0026445324213395,5000
1,3,1,3s_cbf_dc2_site1,group_3s_01,6,True,0.3927314884260653,-0.9346291361817431,0.3927314884260653,-0.9346291361817431,0.00021204853629574566,0.0013555537211046667,0.0008178576293814,0.1597791072345707,-1.833962997410551,0.1650261928397132,-1.8016510731970183,0.0009143958686530213,0.03626948101304877,-0.0323119242135327,5000,0.3819996601210207,-0.9623355601115056,0.3819996601210207,-0.9623355601115056,0.00023075228069862177,0.0015732993917946282,-0.0002149337391471,0.1904015439992485,-1.6586200474180013,0.1930099662889395,-1.6450134526076934,0.0004650277223527614,0.014563964927875048,-0.0136065948103081,5000,0.4124146742084573,-0.8857259450076367,0.4124146742084573,-0.8857259450076367,0.00024615228555664547,0.001439908570685539,-0.0001836395368708,0.1820151903879138,-1.703665131718384,0.1845840170806781,-1.6896505420232082,0.00043495941988826316,0.015004101763339373,-0.0140145896951759,5000,0.3969159424570298,-0.924030752559571,0.3969159424570298,-0.924030752559571,0.00023723303371295525,0.001498201362544676,-0.000199286638009,0.1857220749445079,-1.683503943458475,0.1882999361865788,-1.6697191822113937,0.0004468233702770874,0.014757455724310052,-0.0137847612470816,5000,0.4170793159320563,-0.8744788691981396,0.4170793159320563,-0.8744788691981396,0.00012541002288564654,0.0007181247019809316,0.0002422487999803,0.2253254194208615,-1.4902096131373728,0.2277604438051846,-1.4794608874491648,0.0011499467402402027,0.022018410958183895,-0.0107487256882081,5000
2,3,1,3s_cbf_dc2_site2,group_3s_01,6,False,0.3927314884260653,-0.9346291361817431,0.3927314884260653,-0.9346291361817431,0.00021204853629574566,0.0013555537211046667,0.0008178576293814,0.1597791072345707,-1.833962997410551,0.1650261928397132,-1.8016510731970183,0.0009143958686530213,0.03626948101304877,-0.0323119242135327,5000,0.3819996601210207,-0.9623355601115056,0.3819996601210207,-0.9623355601115056,0.00023075228069862177,0.0015732993917946282,-0.0002149337391471,0.1904015439992485,-1.6586200474180013,0.1930099662889395,-1.6450134526076934,0.0004650277223527614,0.014563964927875048,-0.0136065948103081,5000,0.4124146742084573,-0.8857259450076367,0.4124146742084573,-0.8857259450076367,0.00024615228555664547,0.001439908570685539,-0.0001836395368708,0.1820151903879138,-1.703665131718384,0.1845840170806781,-1.6896505420232082,0.00043495941988826316,0.015004101763339373,-0.0140145896951759,5000,0.3969159424570298,-0.924030752559571,0.3969159424570298,-0.924030752559571,0.00023723303371295525,0.001498201362544676,-0.000199286638009,0.1857220749445079,-1.683503943458475,0.1882999361865788,-1.6697191822113937,0.0004468233702770874,0.014757455724310052,-0.0137847612470816,5000,0.4107026567562534,-0.8898857891916223,0.4107026567562534,-0.8898857891916223,0.00012139545076670639,0.0007175811229481331,0.0002690206531226,0.2299639010526963,-1.4698329343219858,0.2324835578481301,-1.4589357753882015,0.0014333522740938081,0.025958765539625825,-0.0108971589337845,5000
3,3,2,3s_cbf_dc2_site3,group_3s_02,1,True,0.4029971081561219,-0.908825892852461,0.4029971081561219,-0.908825892852461,0.00024624671998506645,0.001505078405174942,0.0001840706066201,0.1812656711156333,-1.7077915276572861,0.1860027389647845,-1.6819938797602356,0.0009975775203095014,0.030072709908371454,-0.0257976478970507,5000,0.3825272841732061,-0.960955297087713,0.3825272841732061,-0.960955297087713,0.00022327326498921394,0.0015168531862572185,-0.0003709427363385,0.1888679656835177,-1.6667071023202773,0.193974216196234,-1.6400300349566006,0.0008368786166498834,0.026827598015647356,-0.0266770673636769,5000,0.4140049246107485,-0.8818774100325253,0.4140049246107485,-0.8818774100325253,0.00025067500278559484,0.0014556369967321696,-0.0002733066996373,0.1848981913458847,-1.6879499224330887,0.1888596191299723,-1.6667512958284156,0.0006267510378590611,0.02083572234813881,-0.0211986266046733,5000,0.397954996759285,-0.9214163535601192,0.397954996759285,-0.9214163535601192,0.0002356357996003327,0.001480025491672075,-0.0003221247179879,0.1865005656576242,-1.6793210068861146,0.1910013651843445,-1.6554747033990378,0.0007244296281264651,0.023733399841806738,-0.0238463034870768,5000,0.4458418443580422,-0.80779099891342,0.4458418443580422,-0.80779099891342,0.00018503292981180452,0.0009258039518704229,0.0006066394023148,0.244984466594723,-1.4065604721015716,0.2479975193331761,-1.3943365355559882,0.0011910855212489517,0.019617200704247224,-0.0122239365455838,5000
4,3,0,3s_cbf_dc2_site4,group_3s_00,8,False,0.4116651547544273,-0.8875449912562237,0.4116651547544273,-0.8875449912562237,0.00032383966701769783,0.0019064066843463205,-0.0001054018731223,0.2066018777656796,-1.5769616334430352,0.2121964957732001,-1.5502425667312565,0.0008392385455382553,0.0199333976616208,-0.0267190667117791,5000,0.3931420206240298,-0.9335843567596598,0.3931420206240298,-0.9335843567596598,0.000307860192002602,0.0019805060410604276,-0.0002699935026406,0.2162369317847635,-1.5313805660492947,0.2189614401158104,-1.5188596371987702,0.0005684719126361998,0.013430100308876864,-0.012520928850525,5000,0.4242442616884799,-0.8574459007377554,0.4242442616884799,-0.8574459007377554,0.0003559924044836573,0.0019689377016086887,-0.0002142207817281,0.2155933346748763,-1.5343613556623037,0.2176422777853667,-1.5249024915794127,0.0004354918559616834,0.010413422434807544,-0.0094588640828909,5000,0.4083971673241119,-0.8955151287487076,0.4083971673241119,-0.8955151287487076,0.0003295915408067414,0.0019659239037751407,-0.0002421071421844,0.2154459440856429,-1.5350452404136041,0.2177884920189916,-1.5242309072575877,0.0004921116732119998,0.011745968364913912,-0.0108143331560166,5000,0.423892270005994,-0.8582759362085579,0.423892270005994,-0.8582759362085579,0.000333101249631854,0.0017835415314665505,0.0035600380922476,0.351250286141294,-1.0462562436973775,0.349465052383896,-1.0513517154870478,0.005596669935510833,0.038978525544897794,0.0050954717896702,5000
5,3,1,3s_cbf_dc2_site5,group_3s_01,6,False,0.3927314884260653,-0.9346291361817431,0.3927314884260653,-0.9346291361817431,0.00021204853629574566,0.0013555537211046667,0.0008178576293814,0.1597791072345707,-1.833962997410551,0.1650261928397132,-1.8016510731970183,0.0009143958686530213,0.03626948101304877,-0.0323119242135327,5000,0.3819996601210207,-0.9623355601115056,0.3819996601210207,-0.9623355601115056,0.00023075228069862177,0.0015732993917946282,-0.0002149337391471,0.1904015439992485,-1.6586200474180013,0.1930099662889395,-1.6450134526076934,0.0004650277223527614,0.014563964927875048,-0.0136065948103081,5000,0.4124146742084573,-0.8857259450076367,0.4124146742084573,-0.8857259450076367,0.00024615228555664547,0.001439908570685539,-0.0001836395368708,0.1820151903879138,-1.703665131718384,0.1845840170806781,-1.6896505420232082,0.00043495941988826316,0.015004101763339373,-0.0140145896951759,5000,0.3969159424570298,-0.924030752559571,0.3969159424570298,-0.924030752559571,0.00023723303371295525,0.001498201362544676,-0.000199286638009,0.1857220749445079,-1.683503943458475,0.1882999361865788,-1.6697191822113937,0.0004468233702770874,0.014757455724310052,-0.0137847612470816,5000,0.3926525959775994,-0.9348300377541023,0.3926525959775994,-0.9348300377541023,8.795909076315119e-05,0.0005699234497099437,0.0002150490242116,0.2128562078932014,-1.5471384215556394,0.2144212103111418,-1.539812925988583,0.0012224168710352008,0.025670935923796937,-0.0073254955670563,5000
6,3,1,3s_cbf_dc2_site6,group_3s_01,6,False,0.3927314884260653,-0.9346291361817431,0.3927314884260653,-0.9346291361817431,0.00021204853629574566,0.0013555537211046667,0.0008178576293814,0.1597791072345707,-1.833962997410551,0.1650261928397132,-1.8016510731970183,0.0009143958686530213,0.03626948101304877,-0.0323119242135327,5000,0.3819996601210207,-0.9623355601115056,0.3819996601210207,-0.9623355601115056,0.00023075228069862177,0.0015732993917946282,-0.0002149337391471,0.1904015439992485,-1.6586200474180013,0.1930099662889395,-1.6450134526076934,0.0004650277223527614,0.014563964927875048,-0.0136065948103081,5000,0.4124146742084573,-0.8857259450076367,0.4124146742084573,-0.8857259450076367,0.00024615228555664547,0.001439908570685539,-0.0001836395368708,0.1820151903879138,-1.703665131718384,0.1845840170806781,-1.6896505420232082,0.00043495941988826316,0.015004101763339373,-0.0140145896951759,5000,0.3969159424570298,-0.924030752559571,0.3969159424570298,-0.924030752559571,0.00023723303371295525,0.001498201362544676,-0.000199286638009,0.1857220749445079,-1.683503943458475,0.1882999361865788,-1.6697191822113937,0.0004468233702770874,0.014757455724310052,-0.0137847612470816,5000,0.384952050939589,-0.9546364954645326,0.384952050939589,-0.9546364954645326,9.340900346292881e-05,0.0006327823750509108,-0.0003561733360353,0.2173290891302294,-1.5263425344561674,0.2191564319733431,-1.5179695029092106,0.0013231010833075153,0.026393041174127965,-0.008373031546957,5000
7,3,3,3s_cbf_dc2_site7,group_3s_03,5,True,0.4942956691778448,-0.7046214202333093,0.4942956691778448,-0.7046214202333093,0.0003564580007095731,0.001451765460766396,2.4640083046145733e-05,0.1697986478752992,-1.773141968179592,0.1763452331689444,-1.7353116531789061,0.001533999429228023,0.05296483706215019,-0.0378303150006857,5000,0.4662304077528491,-0.7630753298124323,0.4662304077528491,-0.7630753298124323,0.0003454910021259351,0.001582031196669464,-0.0001592522429535,0.1908119170136356,-1.6564670637756354,0.193488882861519,-1.642535221074829,0.0005156272019083085,0.015774557216987405,-0.0139318427008063,5000,0.5026681103483441,-0.6878251470406922,0.5026681103483441,-0.6878251470406922,0.00036340482104536083,0.0014332566323494835,-0.0002161538003125,0.1822022244624404,-1.702638085326085,0.1848321442850072,-1.688307193964338,0.00047411157804946614,0.01589332852749876,-0.0143308913617474,5000,0.4841065565059645,-0.7254502384265623,0.4841065565059645,-0.7254502384265623,0.000352078362902031,0.0014962704052307496,-0.0001877030216329,0.1858806395959118,-1.682650533863641,0.1885240833497588,-1.6685295171263912,0.000491777914868112,0.015837360753825202,-0.0141210167372503,5000,0.4680056357660659,-0.7592749409018139,0.4680056357660659,-0.7592749409018139,8.84584211709947e-05,0.0004040645882440835,-0.0005531690611065,0.1442799344163655,-1.9359998775049456,0.146904295705707,-1.9179739538492768,0.00026579530483245283,0.013433981765517794,-0.0180259236556687,5000
8,3,0,3s_cbf_dc2_site8,group_3s_00,8,False,0.4116651547544273,-0.8875449912562237,0.4116651547544273,-0.8875449912562237,0.00032383966701769783,0.0019064066843463205,-0.0001054018731223,0.2066018777656796,-1.5769616334430352,0.2121964957732001,-1.5502425667312565,0.0008392385455382553,0.0199333976616208,-0.0267190667117791,5000,0.3931420206240298,-0.9335843567596598,0.3931420206240298,-0.9335843567596598,0.000307860192002602,0.0019805060410604276,-0.0002699935026406,0.2162369317847635,-1.5313805660492947,0.2189614401158104,-1.5188596371987702,0.0005684719126361998,0.013430100308876864,-0.012520928850525,5000,0.4242442616884799,-0.8574459007377554,0.4242442616884799,-0.8574459007377554,0.0003559924044836573,0.0019689377016086887,-0.0002142207817281,0.2155933346748763,-1.5343613556623037,0.2176422777853667,-1.5249024915794127,0.0004354918559616834,0.010413422434807544,-0.0094588640828909,5000,0.4083971673241119,-0.8955151287487076,0.4083971673241119,-0.8955151287487076,0.0003295915408067414,0.0019659239037751407,-0.0002421071421844,0.2154459440856429,-1.5350452404136041,0.2177884920189916,-1.5242309072575877,0.0004921116732119998,0.011745968364913912,-0.0108143331560166,5000,0.4311933816832463,-0.8411986081061464,0.4311933816832463,-0.8411986081061464,8.146116222469316e-05,0.00043530520504657524,0.0009724178730854,0.1677922760218556,-1.7850285168675089,0.1705052382829912,-1.7689892596631123,0.0008070619324547026,0.02863113623065585,-0.0160392572043968,5000
9,3,4,3s_cbf_dc2_site9,group_3s_04,3,True,0.3861144912610446,-0.9516213440126315,0.3861144912610446,-0.9516213440126315,0.0002323799975935195,0.0015509869538054975,0.0004968498696868,0.1776826339406378,-1.7277562754365148,0.1831720576950428,-1.6973293618736736,0.0008625505084794968,0.0275747953458665,-0.0304269135628414,5000,0.3601987280197424,-1.0210993775631672,0.3601987280197424,-1.0210993775631672,0.00019044105414426772,0.0014611231985062387,0.0001547643818298,0.1821170422215884,-1.7031057094689395,0.1854008791164705,-1.6852348841330886,0.0005707154892339448,0.019060316023228628,-0.0178708253358506,5000,0.3932496781473053,-0.9333105554870464,0.3932496781473053,-0.9333105554870464,0.00022509064186860788,0.0014479782145375975,0.0001959884265002,0.1811795823915252,-1.7082665716805918,0.1844784382013529,-1.6902226884482603,0.0005753789972803011,0.019318021692608583,-0.0180438832323317,5000,0.376361573307946,-0.977204966525107,0.376361573307946,-0.977204966525107,0.00020635954205352504,0.0014497193361129176,0.0001753764041652,0.1813396543927144,-1.7073834626185058,0.1846522170089523,-1.6892811312083789,0.0005756654167469078,0.019355126715006905,-0.0181023314101274,5000,0.3881322783478034,-0.9464090738832883,0.3881322783478034,-0.9464090738832883,7.326736061286554e-05,0.00048567624504258333,0.0003531448774062,0.1728025536464344,-1.7556056446748807,0.1757819472862824,-1.738510987932926,0.0005546393360655738,0.018918534066192032,-0.0170946567419547,5000
