,SA(0.01),SA(0.02),SA(0.022),SA(0.025),SA(0.029),SA(0.03),SA(0.032),SA(0.035),SA(0.036),SA(0.04),SA(0.042),SA(0.044),SA(0.045),SA(0.046),SA(0.048),SA(0.05),SA(0.055),SA(0.06),SA(0.065),SA(0.067),SA(0.07),SA(0.075),SA(0.08),SA(0.085),SA(0.09),SA(0.095),SA(0.1),SA(0.11),SA(0.12),SA(0.13),SA(0.133),SA(0.14),SA(0.15),SA(0.16),SA(0.17),SA(0.18),SA(0.19),SA(0.2),SA(0.22),SA(0.24),SA(0.25),SA(0.26),SA(0.28),SA(0.29),SA(0.3),SA(0.32),SA(0.34),SA(0.35),SA(0.36),SA(0.38),SA(0.4),SA(0.42),SA(0.44),SA(0.45),SA(0.46),SA(0.48),SA(0.5),SA(0.55),SA(0.6),SA(0.65),SA(0.667),SA(0.7),SA(0.75),SA(0.8),SA(0.85),SA(0.9),SA(0.95),SA(1.0),SA(1.1),SA(1.2),SA(1.3),SA(1.4),SA(1.5),SA(1.6),SA(1.7),SA(1.8),SA(1.9),SA(2.0),SA(2.2),SA(2.4),SA(2.5),SA(2.6),SA(2.8),SA(3.0),SA(3.2),SA(3.4),SA(3.5),SA(3.6),SA(3.8),SA(4.0),SA(4.2),SA(4.4),SA(4.6),SA(4.8),SA(5.0),SA(5.5),SA(6.0),SA(6.5),SA(7.0),SA(7.5),SA(8.0),SA(8.5),SA(9.0),SA(9.5),SA(10.0),RSD575,RSD595,PGA,PGV
SA(0.01),1,0.998479683,0.997584073,0.99560319,0.991628714,0.990110866,0.986917925,0.980948262,0.978754549,0.971891741,0.967640699,0.963324261,0.960796996,0.957875001,0.952547425,0.948354079,0.938749807,0.928730776,0.919069657,0.915473749,0.910843189,0.904420382,0.899386934,0.895307453,0.892155932,0.889997636,0.888033246,0.888091416,0.88646166,0.890063331,0.889774633,0.891561261,0.890555309,0.88935174,0.887495877,0.887989322,0.887949482,0.888223867,0.886866869,0.878951357,0.871279763,0.864924501,0.856307359,0.852035575,0.848057978,0.836821317,0.824865898,0.818467116,0.811278055,0.796176268,0.784335464,0.770051036,0.755128391,0.74886521,0.743365341,0.730335538,0.718446017,0.681193424,0.648512666,0.620498818,0.614108836,0.597292235,0.576331721,0.555012225,0.536091619,0.517061462,0.498373673,0.482040918,0.450829472,0.431072242,0.414164546,0.402311046,0.381454169,0.372557903,0.356409103,0.339269823,0.330377021,0.321881671,0.314481056,0.311882479,0.315000897,0.313346867,0.307814052,0.306307304,0.302359965,0.299315646,0.292484386,0.288047786,0.273887486,0.268361307,0.265223109,0.262043625,0.258199119,0.249708475,0.24218636,0.228817291,0.218753662,0.203475735,0.208497123,0.198751875,0.215085704,0.218059453,0.206220919,0.195847918,0.209504042,-0.430699861,-0.396098725,0.9999207,0.650911334
SA(0.02),0.998479683,1,0.999612606,0.998225461,0.99499422,0.993798871,0.991190879,0.985716697,0.983590881,0.977097583,0.972914415,0.968809047,0.966399726,0.963618561,0.95862042,0.954453208,0.945222483,0.935199693,0.925587934,0.921929842,0.917127526,0.910437312,0.904783151,0.900169795,0.896599343,0.894102351,0.891841569,0.891113171,0.888418527,0.890934642,0.890367453,0.891351732,0.889219886,0.887371314,0.884846524,0.884539667,0.884112097,0.884346713,0.882471858,0.874029539,0.86602794,0.859392691,0.850301135,0.8459796,0.841910092,0.830097358,0.817729957,0.811277163,0.804027299,0.788689458,0.776855964,0.762440428,0.746937214,0.74063488,0.735107242,0.721952523,0.709944142,0.672553676,0.639783134,0.611848092,0.605474795,0.588724268,0.567802214,0.546734152,0.527866588,0.508793256,0.4899324,0.473355876,0.44205729,0.42260586,0.406230972,0.394613773,0.373373242,0.364164114,0.347699118,0.330742009,0.322248314,0.314628521,0.307820939,0.305948182,0.309343913,0.308085646,0.302886856,0.30150025,0.297937933,0.294882896,0.28817946,0.283784066,0.269557196,0.26410759,0.261105701,0.257864888,0.254056972,0.24574451,0.238325437,0.224905126,0.214297038,0.198530709,0.203639377,0.193654162,0.211023566,0.214028315,0.202004099,0.191741908,0.206602379,-0.429884875,-0.397493085,0.998338623,0.645763977
SA(0.022),0.997584073,0.999612606,1,0.999086654,0.996265543,0.995185491,0.992680331,0.987254622,0.98515196,0.978777917,0.974673503,0.970676875,0.968304247,0.965581319,0.960696563,0.956612152,0.94747373,0.937571112,0.928146592,0.924467573,0.919595617,0.913046646,0.907395557,0.902562409,0.89885913,0.896403266,0.894134568,0.892955988,0.889976292,0.892138104,0.891450908,0.892047387,0.889513848,0.8875274,0.884764029,0.884051993,0.883321784,0.883216863,0.881047816,0.872333715,0.864116056,0.857223304,0.847550286,0.842972225,0.838679664,0.826401394,0.813748411,0.807080948,0.799708301,0.784221234,0.772201574,0.757598848,0.741858378,0.735486143,0.72993993,0.716711662,0.704683085,0.667249455,0.634171799,0.606202696,0.59992824,0.583329143,0.562499634,0.541275569,0.522376106,0.503205672,0.484196531,0.467470381,0.436090068,0.416818758,0.400582374,0.389110784,0.367928131,0.358669737,0.342711826,0.32594963,0.317566188,0.310176327,0.303487733,0.301910977,0.305527952,0.304416452,0.299350761,0.298301058,0.295017582,0.292069594,0.285401877,0.281090147,0.266943065,0.261653509,0.258926935,0.255951797,0.25251394,0.244368829,0.237068178,0.223975318,0.213447137,0.197787507,0.203358085,0.19352001,0.210691725,0.213592887,0.201663897,0.191340462,0.206236451,-0.427305928,-0.396934366,0.99739864,0.641992928
SA(0.025),0.99560319,0.998225461,0.999086654,1,0.998126372,0.997263253,0.995219415,0.990271036,0.988414677,0.982415344,0.978561893,0.974649831,0.972360285,0.969774939,0.965113267,0.961059147,0.951968604,0.942273798,0.932785514,0.928964146,0.923986382,0.917318277,0.911516819,0.906777018,0.902983238,0.900215306,0.897646144,0.895449144,0.891734084,0.892956219,0.891984238,0.891907846,0.888644752,0.886058459,0.882859836,0.881499696,0.880219069,0.879549412,0.876198019,0.866773567,0.857966114,0.850609422,0.840495573,0.835707684,0.83120727,0.818305102,0.805292715,0.798298976,0.790681302,0.775067831,0.763141834,0.748372339,0.732047914,0.725488166,0.719755912,0.706280748,0.694137154,0.656710075,0.623315919,0.595087886,0.588883744,0.572288683,0.551444495,0.530145994,0.51153835,0.492518201,0.473406114,0.456688447,0.425509437,0.407059273,0.391137199,0.380091191,0.359144906,0.350121216,0.334222585,0.317728566,0.309709265,0.302623402,0.296372708,0.295354435,0.29942246,0.298512951,0.293631309,0.292749139,0.289863533,0.287019463,0.280618381,0.276397181,0.262455031,0.257689903,0.255632918,0.252814439,0.24974647,0.241846711,0.234469548,0.221935186,0.211515607,0.195817957,0.201339926,0.191549072,0.208259247,0.211075251,0.199140265,0.188882928,0.204266419,-0.423913052,-0.395170297,0.995350495,0.634287854
SA(0.029),0.991628714,0.99499422,0.996265543,0.998126372,1,0.999767478,0.99844873,0.994719811,0.99333533,0.988258404,0.985031463,0.98159392,0.97954587,0.977241637,0.972975864,0.969090751,0.959827319,0.950341779,0.941012147,0.937228319,0.932125194,0.924865247,0.918571497,0.913529447,0.909100901,0.905294891,0.902192429,0.898345013,0.89303247,0.892320157,0.890886396,0.889757819,0.88559573,0.882120846,0.878272021,0.876084695,0.873839301,0.872351001,0.867390604,0.856437702,0.847112559,0.839346886,0.828907974,0.823909956,0.819196414,0.805523861,0.792054327,0.784769379,0.776956778,0.761353256,0.749299236,0.734421253,0.71770006,0.710942989,0.704954031,0.690833394,0.678441268,0.640486254,0.607300114,0.578879694,0.572735389,0.556234531,0.535038106,0.513328662,0.494757521,0.47577142,0.456627723,0.439982033,0.408849456,0.39152993,0.376130055,0.365325435,0.344244011,0.335615893,0.320059177,0.303817193,0.296460464,0.289268291,0.28401284,0.283983956,0.28824283,0.287910914,0.283712911,0.283278683,0.28077897,0.277588615,0.271424468,0.26728646,0.253493742,0.249711814,0.248124942,0.245465805,0.242551456,0.234895247,0.227703893,0.216000039,0.205844531,0.19019431,0.195705799,0.186202562,0.200901747,0.204419834,0.19228412,0.182010002,0.196591801,-0.417739391,-0.393366436,0.9912878,0.623468032
SA(0.03),0.990110866,0.993798871,0.995185491,0.997263253,0.999767478,1,0.999117806,0.995693686,0.994419705,0.989577742,0.986480793,0.983165855,0.981209154,0.978992964,0.97480396,0.970915924,0.96155589,0.952138415,0.942841458,0.939034461,0.933867977,0.926521027,0.920071349,0.914965847,0.910374768,0.906322155,0.903012555,0.898697241,0.893040694,0.89180741,0.890261713,0.888817649,0.884350617,0.880592701,0.87652847,0.874037012,0.871608622,0.870036286,0.864558612,0.853260551,0.843761081,0.835857475,0.82511254,0.820000578,0.815162341,0.801293576,0.787785183,0.780472659,0.772658537,0.757113521,0.744945654,0.730013045,0.713186359,0.70638663,0.700346879,0.686107096,0.673639078,0.635675798,0.602562613,0.574051368,0.567844225,0.551244142,0.530103244,0.508361759,0.489806184,0.470804664,0.451695718,0.435046219,0.403866123,0.386725002,0.371386113,0.360544055,0.33939935,0.330952502,0.315313946,0.299216018,0.29207037,0.285026594,0.280052361,0.280486302,0.284851528,0.28471628,0.280659217,0.280236411,0.277697714,0.274403416,0.268235476,0.264144736,0.250430663,0.246761533,0.245148568,0.242439601,0.239584913,0.232015599,0.224931651,0.213424857,0.203201853,0.187699794,0.193183354,0.183689829,0.19784547,0.201556919,0.189431056,0.179162976,0.193515523,-0.415372016,-0.391700267,0.989744485,0.619457255
SA(0.032),0.986917925,0.991190879,0.992680331,0.995219415,0.99844873,0.999117806,1,0.997820114,0.996764142,0.992373677,0.989520746,0.986420725,0.984616488,0.982582341,0.978644697,0.974971019,0.965711721,0.956346017,0.947071205,0.943285307,0.938159487,0.930789587,0.9238894,0.918662641,0.913687643,0.909025871,0.905168559,0.89978059,0.893331904,0.890896909,0.889166753,0.887312003,0.882328111,0.877977966,0.873454843,0.870375379,0.867611921,0.865603633,0.859287709,0.847033617,0.837042095,0.828656821,0.817325641,0.81204997,0.80709609,0.792977739,0.779102486,0.771516012,0.763422352,0.747691888,0.735278594,0.719933035,0.702834048,0.695940607,0.689792539,0.6752836,0.662525846,0.624339961,0.591171399,0.562654285,0.556553571,0.540004998,0.51901708,0.497213643,0.478731718,0.459749472,0.440593861,0.42374575,0.39258666,0.375809991,0.360782967,0.349987226,0.328870027,0.320750313,0.305120651,0.28928327,0.282538195,0.275301064,0.270942092,0.272073388,0.276640084,0.276926747,0.27339424,0.273048896,0.270590107,0.267463541,0.261332139,0.257317598,0.243855274,0.240132251,0.23863382,0.235749381,0.233089144,0.225936559,0.21934552,0.207894155,0.197346755,0.181579049,0.186771093,0.177545024,0.191325065,0.195318029,0.183048995,0.172821653,0.186755943,-0.410819478,-0.388055766,0.986481714,0.610886381
SA(0.035),0.980948262,0.985716697,0.987254622,0.990271036,0.994719811,0.995693686,0.997820114,1,0.999618069,0.995867275,0.993309911,0.990495967,0.988894784,0.987180206,0.983456016,0.979880881,0.970796427,0.961528009,0.952379595,0.948699938,0.943845979,0.936124351,0.928792154,0.9233185,0.917605441,0.912198258,0.907774125,0.901129185,0.893742019,0.889319504,0.887168295,0.884586537,0.878836868,0.873361121,0.868181218,0.86385891,0.859971329,0.857293357,0.849758482,0.83599557,0.825631566,0.816878367,0.805286568,0.799686218,0.794386928,0.779857589,0.765539481,0.757640115,0.749177777,0.732963705,0.720187212,0.70449505,0.687218128,0.680419709,0.674447697,0.659676738,0.646537225,0.607580193,0.574344284,0.545660321,0.53953064,0.522792379,0.501691597,0.480274684,0.462241045,0.443280395,0.424142867,0.407466218,0.375777983,0.359291583,0.344435785,0.333998722,0.313047049,0.305527856,0.289849642,0.274815986,0.268826424,0.261705948,0.258583867,0.260800167,0.26600289,0.266839711,0.263707632,0.26309993,0.260643934,0.257775667,0.251751862,0.247887178,0.234488283,0.230554146,0.229120688,0.226481929,0.224162409,0.217410561,0.210925665,0.19942544,0.188812748,0.172616913,0.17766308,0.168805327,0.182044546,0.186479487,0.174292474,0.163660234,0.175645002,-0.404545108,-0.384190541,0.980411264,0.598381272
SA(0.036),0.978754549,0.983590881,0.98515196,0.988414677,0.99333533,0.994419705,0.996764142,0.999618069,1,0.996899275,0.994475612,0.991842289,0.990342599,0.988697641,0.985110266,0.981516845,0.972496285,0.96332473,0.954206877,0.950576885,0.945738353,0.93785054,0.93032409,0.924862039,0.919040758,0.913450361,0.908877764,0.901923573,0.89415629,0.889012026,0.886718292,0.883895082,0.877892836,0.872121608,0.866609259,0.861819403,0.857454342,0.854493594,0.846399789,0.832075342,0.821406561,0.812385276,0.800563109,0.79479327,0.789348795,0.774659492,0.760154961,0.752126266,0.743520039,0.72725331,0.714426986,0.698556772,0.68117569,0.674318488,0.668313892,0.653517414,0.640286239,0.601150433,0.567798917,0.538993006,0.532834505,0.516127289,0.495093409,0.473696973,0.455799134,0.437039468,0.417994615,0.401420981,0.369711149,0.353519936,0.338783651,0.328360567,0.307285275,0.299978814,0.284252342,0.269456462,0.263726931,0.25671315,0.254135784,0.25673788,0.262222909,0.263204821,0.260183856,0.259549268,0.257109227,0.254150086,0.248205695,0.244358254,0.231028257,0.22702579,0.225546641,0.222847812,0.220572478,0.213869164,0.207376662,0.19593697,0.185355602,0.169248791,0.174325827,0.165720132,0.178619491,0.183150166,0.171024267,0.160360756,0.171667933,-0.402576912,-0.382752722,0.978171506,0.593169267
SA(0.04),0.971891741,0.977097583,0.978777917,0.982415344,0.988258404,0.989577742,0.992373677,0.995867275,0.996899275,1,0.99864755,0.996407785,0.99508242,0.993586008,0.990427206,0.987379629,0.979445494,0.970786372,0.961891886,0.958479957,0.953755212,0.945663336,0.937675778,0.931924125,0.925256351,0.91893363,0.913876336,0.905417543,0.896371699,0.889773079,0.887078565,0.883509137,0.876130321,0.869129112,0.862174511,0.856104984,0.850662436,0.846550297,0.836471298,0.82044491,0.809275924,0.799891666,0.787152543,0.781011723,0.775204371,0.759421824,0.744313203,0.736161741,0.727337692,0.71085405,0.697826676,0.681627786,0.66367825,0.656526595,0.650330338,0.635331166,0.621816716,0.58208922,0.547848739,0.51916636,0.513054688,0.496063816,0.474770997,0.453538585,0.435892664,0.417549583,0.398416505,0.381977767,0.350617766,0.334671241,0.320325381,0.309957544,0.2885667,0.280949045,0.264654266,0.250286089,0.244963126,0.238159379,0.236360174,0.240256164,0.24621582,0.247890099,0.245683645,0.244986599,0.24278928,0.239998946,0.234471095,0.231129288,0.218350307,0.2146921,0.213665074,0.210777667,0.208722282,0.202222297,0.196186119,0.184164294,0.173892022,0.158063333,0.163253284,0.15513007,0.166131925,0.171563856,0.159183976,0.148327073,0.15678046,-0.39581078,-0.3763413,0.971196248,0.577158132
