,SA(0.01),SA(0.02),SA(0.022),SA(0.025),SA(0.029),SA(0.03),SA(0.032),SA(0.035),SA(0.036),SA(0.04),SA(0.042),SA(0.044),SA(0.045),SA(0.046),SA(0.048),SA(0.05),SA(0.055),SA(0.06),SA(0.065),SA(0.067),SA(0.07),SA(0.075),SA(0.08),SA(0.085),SA(0.09),SA(0.095),SA(0.1),SA(0.11),SA(0.12),SA(0.13),SA(0.133),SA(0.14),SA(0.15),SA(0.16),SA(0.17),SA(0.18),SA(0.19),SA(0.2),SA(0.22),SA(0.24),SA(0.25),SA(0.26),SA(0.28),SA(0.29),SA(0.3),SA(0.32),SA(0.34),SA(0.35),SA(0.36),SA(0.38),SA(0.4),SA(0.42),SA(0.44),SA(0.45),SA(0.46),SA(0.48),SA(0.5),SA(0.55),SA(0.6),SA(0.65),SA(0.667),SA(0.7),SA(0.75),SA(0.8),SA(0.85),SA(0.9),SA(0.95),SA(1.0),SA(1.1),SA(1.2),SA(1.3),SA(1.4),SA(1.5),SA(1.6),SA(1.7),SA(1.8),SA(1.9),SA(2.0),SA(2.2),SA(2.4),SA(2.5),SA(2.6),SA(2.8),SA(3.0),SA(3.2),SA(3.4),SA(3.5),SA(3.6),SA(3.8),SA(4.0),SA(4.2),SA(4.4),SA(4.6),SA(4.8),SA(5.0),SA(5.5),SA(6.0),SA(6.5),SA(7.0),SA(7.5),SA(8.0),SA(8.5),SA(9.0),SA(9.5),SA(10.0),RSD575,RSD595,PGA,PGV
SA(0.01),1,0.998483881,0.997581659,0.995614656,0.991630654,0.990109301,0.986922643,0.98094626,0.978758585,0.971890711,0.967636132,0.963321435,0.960797252,0.957870769,0.952552765,0.948352903,0.93874512,0.928735284,0.91906992,0.915472384,0.910839128,0.904425975,0.899386326,0.895306619,0.892158941,0.889996531,0.888031568,0.88809127,0.886463088,0.890060784,0.889775938,0.891560596,0.890557729,0.889348254,0.88749715,0.887986316,0.887954483,0.888223614,0.886866318,0.878954365,0.871278146,0.864922218,0.856309887,0.852036379,0.848056896,0.836817249,0.824866279,0.81847099,0.811275777,0.796176724,0.784337324,0.770048732,0.755129124,0.748868517,0.74336027,0.730338885,0.718443256,0.681193625,0.64851137,0.620499816,0.614111126,0.597292016,0.576331249,0.55501219,0.536093411,0.517057975,0.498373791,0.482040593,0.450831743,0.431069827,0.414167711,0.402309546,0.381454162,0.372561904,0.356406416,0.339269842,0.330380055,0.321876657,0.314480856,0.311881629,0.315001967,0.313347277,0.307812879,0.306311909,0.302357549,0.299310736,0.292486282,0.288050509,0.273882254,0.268365863,0.265224251,0.262042805,0.258198186,0.249714821,0.24218235,0.228813881,0.218757967,0.203478624,0.208490395,0.198750369,0.215084933,0.218068049,0.206207321,0.195884209,0.209479302,-0.430701068,-0.396098941,0.999915088,0.650911933
SA(0.02),0.998483881,1,0.999614849,0.99821327,0.994992909,0.993803092,0.991190134,0.985718099,0.983585909,0.977099249,0.972919413,0.968811123,0.966400416,0.96362117,0.958613771,0.954453977,0.945225436,0.935196998,0.925588334,0.921932435,0.917129519,0.910432375,0.904784567,0.90017022,0.896597488,0.894102705,0.891843157,0.891113416,0.888417777,0.890935406,0.890365712,0.891353534,0.889218554,0.887373388,0.884844799,0.884542825,0.884107427,0.88434743,0.882471503,0.874030116,0.866027761,0.859393941,0.850300817,0.845978499,0.841909662,0.830101148,0.817731087,0.811273468,0.804027538,0.788691299,0.776853891,0.762440549,0.746937178,0.740632893,0.735111304,0.721949096,0.709946897,0.6725542,0.639783165,0.611848917,0.605472271,0.58872462,0.567802365,0.546733897,0.527865965,0.508794427,0.489932137,0.473356919,0.442055709,0.422607871,0.406229077,0.394613952,0.37337399,0.364161953,0.347699578,0.330743167,0.322247059,0.314630399,0.307820527,0.305949392,0.309342577,0.308086516,0.302887249,0.301497225,0.29793928,0.294884309,0.288180836,0.283781909,0.269558825,0.264106189,0.261104814,0.257865018,0.254059368,0.245737284,0.238330913,0.224906379,0.214295005,0.198528992,0.203645964,0.193646501,0.211035187,0.214012976,0.202021309,0.191720543,0.206617251,-0.429884671,-0.39749287,0.998343041,0.645763
SA(0.022),0.997581659,0.999614849,1,0.999093422,0.99626721,0.995186592,0.992686542,0.987252813,0.98515377,0.978777703,0.974670874,0.970674375,0.968304982,0.965577247,0.960698912,0.956611033,0.947469277,0.937575448,0.928147264,0.924467596,0.919591299,0.913050748,0.907395785,0.902561508,0.898861969,0.896401916,0.894133365,0.892955942,0.889977729,0.892134991,0.891451365,0.892047845,0.889516254,0.887523982,0.884764451,0.884050148,0.883325189,0.883217043,0.881046699,0.872338516,0.864113532,0.857220958,0.847553669,0.84297246,0.838677717,0.826398418,0.813749847,0.807083559,0.799705157,0.784223354,0.772202559,0.757595574,0.741859384,0.735489312,0.729935822,0.716713728,0.704681264,0.667250146,0.634169919,0.606204789,0.599929505,0.583329086,0.56249905,0.541275292,0.522378185,0.503201538,0.484196471,0.467470733,0.436092072,0.41681686,0.400585423,0.389108736,0.367928712,0.358673787,0.342708284,0.325950581,0.317569567,0.310170553,0.303487096,0.301910709,0.305528417,0.304417738,0.299349365,0.29830529,0.295015151,0.292063595,0.28540573,0.281092347,0.266936776,0.261658982,0.258927858,0.255950702,0.252514512,0.244372198,0.23706677,0.223971372,0.213451736,0.197790308,0.2033536,0.193511627,0.210699859,0.213592685,0.201657386,0.191373868,0.206211953,-0.427307497,-0.396934491,0.997394025,0.641992982
SA(0.025),0.995614656,0.99821327,0.999093422,1,0.998121688,0.997270217,0.995209973,0.990276182,0.988402557,0.982418962,0.978575204,0.97465721,0.972360784,0.969785388,0.965097136,0.961062151,0.951980224,0.942262918,0.932785479,0.928969293,0.92399593,0.917303267,0.911519362,0.906779056,0.902975948,0.900217785,0.897650877,0.895449724,0.891730786,0.892961781,0.891980245,0.891910855,0.888639053,0.886067004,0.882855922,0.881508356,0.880205499,0.879550633,0.876198796,0.866768551,0.857969052,0.850614957,0.840490618,0.835705244,0.831208969,0.81831649,0.805293131,0.798288338,0.790685862,0.775068769,0.763136501,0.748376833,0.732046576,0.725480182,0.719769271,0.706271341,0.694144982,0.656710249,0.623318432,0.595086843,0.58887715,0.572289475,0.551445568,0.53014587,0.511534461,0.49252587,0.473405693,0.456690074,0.425503746,0.407065713,0.391129537,0.380094204,0.359145652,0.350111736,0.334228077,0.317729643,0.309702439,0.302634573,0.296372729,0.295357185,0.299419235,0.298513024,0.293633901,0.292737716,0.289869343,0.287030004,0.280616142,0.276390092,0.262466375,0.257680086,0.255629987,0.252816119,0.24975048,0.241828094,0.234482198,0.221942762,0.211505664,0.195810959,0.201358746,0.191544751,0.208271762,0.211045266,0.199182838,0.188798082,0.204327557,-0.423910643,-0.395169727,0.995365223,0.634285881
SA(0.029),0.991630654,0.994992909,0.99626721,0.998121688,1,0.999765104,0.998441606,0.994721672,0.993334601,0.988258348,0.985033326,0.9815965,0.979545208,0.977245869,0.972974946,0.969091959,0.959831912,0.950337417,0.941011319,0.937227779,0.932129884,0.92486177,0.918570919,0.913530482,0.909098094,0.905296481,0.902193545,0.898345077,0.893031035,0.892323738,0.890886397,0.88975686,0.885593297,0.882124436,0.878272065,0.876086113,0.873836684,0.872350666,0.867392107,0.856431892,0.847115691,0.839349436,0.828904095,0.823910069,0.819198923,0.805526645,0.792052376,0.784767334,0.77696053,0.761350293,0.74929871,0.734425189,0.717698931,0.710939808,0.70495789,0.690831918,0.678442776,0.640485343,0.607302401,0.578877023,0.572734613,0.556234552,0.535038808,0.513329105,0.494755253,0.475776076,0.456627908,0.439981368,0.40884753,0.391531682,0.376126964,0.365327862,0.344243146,0.335611676,0.320063306,0.303815771,0.296456799,0.289274695,0.284013744,0.283983972,0.288242663,0.287909169,0.283714495,0.283274479,0.28078153,0.277595412,0.271419522,0.267284443,0.253500826,0.249705686,0.248124118,0.245467098,0.242550146,0.234893208,0.227704108,0.216004426,0.205839613,0.19019145,0.195709434,0.186214662,0.20088914,0.204424787,0.19228847,0.181979728,0.196618107,-0.417737615,-0.393366378,0.991292192,0.623468291
SA(0.03),0.990109301,0.993803092,0.995186592,0.997270217,0.999765104,1,0.999096318,0.995696935,0.994426225,0.989574404,0.986477554,0.983170164,0.981205607,0.97900159,0.974812911,0.97091824,0.961565044,0.952129254,0.942837962,0.939027901,0.933879179,0.926518741,0.920066815,0.914968247,0.910369047,0.90632645,0.903013104,0.898696874,0.893037351,0.891817308,0.890264735,0.88881121,0.884345147,0.880600259,0.8765316,0.874035696,0.871608582,0.870033801,0.864563919,0.853240877,0.843771258,0.835863214,0.825100639,0.820002804,0.815170995,0.801295453,0.787776812,0.78047271,0.772669943,0.757100647,0.744947616,0.730025259,0.713182727,0.706379991,0.70035173,0.686108487,0.673638802,0.635671857,0.602569752,0.574041287,0.567846233,0.551243492,0.530105132,0.50836356,0.489800014,0.470817308,0.451696715,0.435042155,0.403862788,0.386726895,0.371379638,0.360551408,0.339395192,0.33094293,0.31532622,0.299209353,0.292060921,0.285043557,0.280055942,0.280484126,0.284853371,0.284709107,0.280663509,0.280228446,0.277703392,0.274422475,0.268217194,0.264142171,0.250450244,0.24674451,0.24514751,0.242443448,0.239576375,0.232022126,0.224922407,0.213436534,0.203189834,0.187693761,0.193182992,0.183742184,0.197784257,0.201600324,0.189413636,0.17910469,0.193572278,-0.41536667,-0.391700414,0.989750348,0.619459755
SA(0.032),0.986922643,0.991190134,0.992686542,0.995209973,0.998441606,0.999096318,1,0.997828962,0.996767343,0.992370329,0.989523884,0.986432777,0.984610621,0.982603747,0.97864942,0.974976894,0.965734782,0.956323425,0.947065251,0.943277457,0.938184679,0.930775978,0.923883359,0.918668033,0.913673213,0.909034763,0.90517254,0.899780343,0.893324096,0.890917304,0.889169289,0.887303032,0.882315139,0.877996326,0.873457611,0.870378763,0.867602998,0.86560021,0.859297214,0.846996994,0.83706126,0.828670133,0.817302242,0.812052151,0.807111869,0.792988202,0.779088557,0.771509202,0.763444656,0.747670659,0.735278451,0.719956667,0.70282702,0.695924169,0.689809429,0.675279859,0.66253044,0.62433339,0.591185138,0.562636512,0.556552701,0.540004409,0.519020978,0.497216617,0.478718731,0.459775891,0.440595279,0.423739912,0.392577313,0.375817377,0.360767016,0.350001651,0.328863458,0.320727931,0.305145031,0.289272663,0.282517743,0.275337078,0.270948176,0.27207148,0.276641117,0.276914629,0.273403199,0.27302798,0.270603505,0.267502704,0.261299679,0.25730865,0.243895841,0.240097012,0.238630116,0.235756996,0.233077263,0.22593556,0.219338042,0.207918875,0.197319923,0.181564278,0.186782653,0.177631021,0.191229226,0.195371916,0.183046376,0.172665711,0.186891247,-0.410808845,-0.388055647,0.986501207,0.610889338
SA(0.035),0.98094626,0.985718099,0.987252813,0.990276182,0.994721672,0.995696935,0.997828962,1,0.999618735,0.99586755,0.99330795,0.990493015,0.988895987,0.987175166,0.983456816,0.979879484,0.970790959,0.961533314,0.952380701,0.948700914,0.943840332,0.936128424,0.928793007,0.923317291,0.917608865,0.912196357,0.907772917,0.90112917,0.893743804,0.889315158,0.88716824,0.884587884,0.878839857,0.873356841,0.868181115,0.863857386,0.859974439,0.857293863,0.849756644,0.83600286,0.825627719,0.816875342,0.805291407,0.79968608,0.794383835,0.77985457,0.765542013,0.757642478,0.749173182,0.732967531,0.720187804,0.704490216,0.687219566,0.680423576,0.67444319,0.659678405,0.646535575,0.60758139,0.574341484,0.545663715,0.539531484,0.522792406,0.501690765,0.480274147,0.462243849,0.443274716,0.42414265,0.407467128,0.375780301,0.359289549,0.344439529,0.333995743,0.313048186,0.305532976,0.289844566,0.274817835,0.268830912,0.261698131,0.258582743,0.260800235,0.266003034,0.266841944,0.263705707,0.263104981,0.260640854,0.257767334,0.251758095,0.247889567,0.234479607,0.230561678,0.229121684,0.226480347,0.224164189,0.217412677,0.210925735,0.199420085,0.188818739,0.172620369,0.177659017,0.168789881,0.182061072,0.186472889,0.17428912,0.163699615,0.175614158,-0.404547326,-0.384190622,0.980406133,0.598380933
SA(0.036),0.978758585,0.983585909,0.98515377,0.988402557,0.993334601,0.994426225,0.996767343,0.999618735,1,0.996901368,0.99448065,0.991843374,0.990343893,0.988698415,0.985102729,0.981517114,0.97249727,0.963323975,0.954207864,0.95058039,0.945738114,0.93784655,0.930326167,0.924861985,0.919040134,0.913449905,0.908879086,0.901923857,0.894156222,0.889010926,0.886716196,0.883897847,0.877892632,0.872122098,0.866607159,0.861822455,0.857450198,0.85449468,0.846398518,0.832079395,0.821404571,0.81238536,0.800564966,0.79479189,0.789346855,0.77466255,0.760157474,0.752122963,0.7435182,0.727257267,0.714424787,0.698554682,0.681176311,0.674317911,0.668316641,0.653514109,0.640288746,0.601151609,0.567797661,0.538995555,0.532831894,0.516127719,0.495093203,0.473696422,0.455799689,0.437038238,0.417994201,0.401422642,0.369710339,0.353521388,0.338783127,0.328359404,0.30728669,0.299978609,0.284250544,0.269458693,0.263727512,0.256711772,0.254134772,0.256739351,0.262221387,0.263206886,0.260183435,0.259548005,0.257109406,0.254147917,0.24821021,0.244356792,0.231026187,0.227027603,0.225546041,0.222847236,0.22057615,0.213861549,0.207383206,0.195935987,0.185355951,0.169248346,0.174331766,0.165703886,0.178640873,0.183128713,0.171042805,0.160352373,0.171671029,-0.402577692,-0.382752503,0.97817439,0.593167947
SA(0.04),0.971890711,0.977099249,0.978777703,0.982418962,0.988258348,0.989574404,0.992370329,0.99586755,0.996901368,1,0.998646038,0.996408132,0.995081861,0.993586922,0.990430035,0.987379878,0.979446425,0.970785436,0.961891257,0.958478432,0.953756671,0.945663978,0.937674773,0.931924456,0.925255809,0.918934286,0.913876144,0.905417455,0.896371323,0.889774569,0.887079433,0.883507741,0.876129714,0.869129955,0.862175394,0.856104154,0.850663432,0.846549766,0.83647226,0.820441589,0.809277648,0.799892382,0.787150675,0.781012338,0.775205895,0.759421464,0.744311622,0.73616251,0.727339532,0.710851587,0.697827441,0.681629781,0.663677678,0.656525922,0.650330332,0.635332099,0.621816141,0.582088483,0.547849916,0.519164554,0.513055537,0.496063651,0.474771288,0.453538942,0.435891788,0.41755143,0.398416732,0.381976901,0.350617545,0.334671155,0.320324709,0.309958721,0.288565875,0.280947917,0.264656192,0.250284769,0.244961836,0.238161788,0.236360851,0.240255569,0.246216397,0.247888755,0.245684275,0.244985908,0.242789946,0.240001792,0.234467828,0.231129307,0.218353195,0.214689596,0.21366509,0.210778277,0.208720405,0.202224826,0.196183507,0.184165961,0.173890466,0.158062694,0.163251923,0.155140199,0.166119637,0.171574249,0.15917809,0.148323103,0.156787143,-0.395809957,-0.376341377,0.971196344,0.577158755
