,SA(0.01),SA(0.02),SA(0.022),SA(0.025),SA(0.029),SA(0.03),SA(0.032),SA(0.035),SA(0.036),SA(0.04),SA(0.042),SA(0.044),SA(0.045),SA(0.046),SA(0.048),SA(0.05),SA(0.055),SA(0.06),SA(0.065),SA(0.067),SA(0.07),SA(0.075),SA(0.08),SA(0.085),SA(0.09),SA(0.095),SA(0.1),SA(0.11),SA(0.12),SA(0.13),SA(0.133),SA(0.14),SA(0.15),SA(0.16),SA(0.17),SA(0.18),SA(0.19),SA(0.2),SA(0.22),SA(0.24),SA(0.25),SA(0.26),SA(0.28),SA(0.29),SA(0.3),SA(0.32),SA(0.34),SA(0.35),SA(0.36),SA(0.38),SA(0.4),SA(0.42),SA(0.44),SA(0.45),SA(0.46),SA(0.48),SA(0.5),SA(0.55),SA(0.6),SA(0.65),SA(0.667),SA(0.7),SA(0.75),SA(0.8),SA(0.85),SA(0.9),SA(0.95),SA(1.0),SA(1.1),SA(1.2),SA(1.3),SA(1.4),SA(1.5),SA(1.6),SA(1.7),SA(1.8),SA(1.9),SA(2.0),SA(2.2),SA(2.4),SA(2.5),SA(2.6),SA(2.8),SA(3.0),SA(3.2),SA(3.4),SA(3.5),SA(3.6),SA(3.8),SA(4.0),SA(4.2),SA(4.4),SA(4.6),SA(4.8),SA(5.0),SA(5.5),SA(6.0),SA(6.5),SA(7.0),SA(7.5),SA(8.0),SA(8.5),SA(9.0),SA(9.5),SA(10.0),RSD575,RSD595,PGA,PGV
SA(0.01),1,0.995069587,0.994030706,0.99208764,0.988604808,0.987545963,0.985173033,0.980921633,0.979308889,0.971854968,0.967548731,0.962903021,0.960471169,0.95797893,0.952856631,0.947630923,0.934786689,0.923392065,0.914310479,0.911374336,0.90767019,0.903114164,0.900122399,0.8982135,0.89701728,0.896275658,0.895818507,0.895364261,0.895190941,0.89512261,0.895111363,0.895093654,0.89507971,0.895071706,0.895066229,0.895061966,0.891355105,0.880859447,0.861159742,0.842956057,0.834345045,0.826030001,0.810208474,0.802667211,0.79535185,0.781345795,0.768095454,0.761728298,0.755521229,0.743555646,0.73214099,0.721227497,0.710771946,0.705703902,0.700736547,0.691088066,0.681797112,0.659969269,0.639881174,0.621271236,0.615242648,0.603933331,0.587702064,0.572442635,0.558043691,0.544412153,0.531469404,0.519148423,0.49614904,0.47503805,0.455526605,0.437387865,0.420440357,0.404536584,0.389555007,0.375394268,0.361968936,0.349206328,0.32542828,0.303654111,0.293418419,0.28357285,0.264940965,0.24756412,0.231284727,0.215973206,0.20864598,0.201521704,0.187839482,0.174849469,0.162485645,0.150691016,0.139416041,0.128617383,0.118256914,0.094060601,0.071967684,0.05164632,0.032837446,0.015334929,0.001027993,0.016399496,0.030899616,0.044620768,0.057641391,-0.45,-0.41,0.999661388,0.729158101
SA(0.02),0.995069587,1,0.999005118,0.997362547,0.994602278,0.993772982,0.991912564,0.98855298,0.987267009,0.981236645,0.977689752,0.973813897,0.971765121,0.969651449,0.965262781,0.960723192,0.949278536,0.938713652,0.929890392,0.926922698,0.923058492,0.918019677,0.914390628,0.911785033,0.90989012,0.908478521,0.907394228,0.905827835,0.904719038,0.903862392,0.903638895,0.903163373,0.902574016,0.902066925,0.901624589,0.897120616,0.885620842,0.874642641,0.854071392,0.835102051,0.826142166,0.817498365,0.801073367,0.793254659,0.785676463,0.771184506,0.757495462,0.750924764,0.744523817,0.732197162,0.720453636,0.709239954,0.698509884,0.693313385,0.688223049,0.678343968,0.668841295,0.646556012,0.626096579,0.607185192,0.601067747,0.589603365,0.573176091,0.557760975,0.543240573,0.529516862,0.516507167,0.5041411,0.481106311,0.460018842,0.440576941,0.422544143,0.405731654,0.389986312,0.375182134,0.361214231,0.347994339,0.335447475,0.312124641,0.290828274,0.28083737,0.271239458,0.253109034,0.236238618,0.220467671,0.205664447,0.198590795,0.191719491,0.178540878,0.166050661,0.154182174,0.142877952,0.13208812,0.121769108,0.111882633,0.088846088,0.067876833,0.048643724,0.030888936,0.014407827,0.000964903,0.015409151,0.029062267,0.042006624,0.054312287,-0.431072107,-0.41,0.996968361,0.720270987
SA(0.022),0.994030706,0.999005118,1,0.998417528,0.995801772,0.995018385,0.99326047,0.990079249,0.988858633,0.983112981,0.979717957,0.975996072,0.974023911,0.971985953,0.967744011,0.963341646,0.952176905,0.941777969,0.933006375,0.930032371,0.926136152,0.92100078,0.917244273,0.91449934,0.912464688,0.910919094,0.909709372,0.90792055,0.906624657,0.905610349,0.905344401,0.904777316,0.904072878,0.903465969,0.902936262,0.895699287,0.88405825,0.872948555,0.852139809,0.832961826,0.823906873,0.815173485,0.798584041,0.790689728,0.783039909,0.768415543,0.754606954,0.74798079,0.74152701,0.729101963,0.717268819,0.705973335,0.69516846,0.689936956,0.684813108,0.674871188,0.665310822,0.642900885,0.622340262,0.60334673,0.597205071,0.585698434,0.569217748,0.553760207,0.539206708,0.52545788,0.512429942,0.500051589,0.477007152,0.455926092,0.436503142,0.418499214,0.401723517,0.386021348,0.371265511,0.357350157,0.344186247,0.331698173,0.308499386,0.28733322,0.277409022,0.267878596,0.249884821,0.233152406,0.217520012,0.202855299,0.195850746,0.189048377,0.176006999,0.163652977,0.151919469,0.140748884,0.130091254,0.119902946,0.110145634,0.087425128,0.066762072,0.047825513,0.030357964,0.014155191,0.000947711,0.015139281,0.028561588,0.041294267,0.053405103,-0.428469455,-0.41,0.995929149,0.716570072
SA(0.025),0.99208764,0.997362547,0.998417528,1,0.997601012,0.996886491,0.995282329,0.992368653,0.991246069,0.985927484,0.982760263,0.979269335,0.977412097,0.975487709,0.971465856,0.967269327,0.956524459,0.946374446,0.937680348,0.934696879,0.930752642,0.925472434,0.921524742,0.9185708,0.91632654,0.914579953,0.913182089,0.911059622,0.909483086,0.908232283,0.90790266,0.907198232,0.90632117,0.905564535,0.90490377,0.893351394,0.881477003,0.870150094,0.848949027,0.829426388,0.820214392,0.811333016,0.794471922,0.78645272,0.778684587,0.763841494,0.749835425,0.743117638,0.736576585,0.723989004,0.712007821,0.700577208,0.68964876,0.684359432,0.679180225,0.669134502,0.659478831,0.63686298,0.616135202,0.597005975,0.590824317,0.579247878,0.56267896,0.547151337,0.532543165,0.518752846,0.505694772,0.493296125,0.47023575,0.449165278,0.429773633,0.411817394,0.395102475,0.379471622,0.364795641,0.35096709,0.337895658,0.3255047,0.302510826,0.28155974,0.271745731,0.262326787,0.244558742,0.228054293,0.212650773,0.198214867,0.191324459,0.184635964,0.171821283,0.159692241,0.148181707,0.137231877,0.126792631,0.116820232,0.107276286,0.085077843,0.064920598,0.046473911,0.029480853,0.013737862,0.000919311,0.014693482,0.027734516,0.040117525,0.051906525,-0.424978687,-0.41,0.993989467,0.709565817
SA(0.029),0.988604808,0.994602278,0.995801772,0.997601012,1,0.999377298,0.997978141,0.995421192,0.994429316,0.989680155,0.986816672,0.983633686,0.981929677,0.980156717,0.976428316,0.972506234,0.962321198,0.95250308,0.943912314,0.940916224,0.936907963,0.931434639,0.927232034,0.923999413,0.921475676,0.919461099,0.917812377,0.915245052,0.913294324,0.911728196,0.911313673,0.91042612,0.909318892,0.908362623,0.902699638,0.889845629,0.877622806,0.865971563,0.844184701,0.824147438,0.814700952,0.805598607,0.788331899,0.780126217,0.772181423,0.757011739,0.742710803,0.735856208,0.729184842,0.716354572,0.704152344,0.692519964,0.681407003,0.676031336,0.670769469,0.660568752,0.650770778,0.627847465,0.606870097,0.587538256,0.581296874,0.569616211,0.55291555,0.537283284,0.522593475,0.508741205,0.495638134,0.483209182,0.460125011,0.439070347,0.419725445,0.401840414,0.385216246,0.36969188,0.355135134,0.341436196,0.328502847,0.316256898,0.293568989,0.27293905,0.263289572,0.254037087,0.236606091,0.220442031,0.205380254,0.191285992,0.18456602,0.178047556,0.165571368,0.153778257,0.142600656,0.131980446,0.121867282,0.112217269,0.102991911,0.081572988,0.062170995,0.044455762,0.028171192,0.013114725,0.000876905,0.014027837,0.02649957,0.038360468,0.049668918,-0.420925756,-0.41,0.990660527,0.697595114
SA(0.03),0.987545963,0.993772982,0.995018385,0.996886491,0.999377298,1,0.998652094,0.996184327,0.995225128,0.990618323,0.987830774,0.984724773,0.983059073,0.981323969,0.977668931,0.973815461,0.963770383,0.954035239,0.945470305,0.942471061,0.938446793,0.93292519,0.928658856,0.925356566,0.92276296,0.920681385,0.91896995,0.916291409,0.914247134,0.912602175,0.912166426,0.911233092,0.910068323,0.909062145,0.90186148,0.888906962,0.876590846,0.864852763,0.842909054,0.822734,0.813224731,0.804063221,0.78668791,0.778432298,0.770440203,0.755183074,0.740803188,0.733911963,0.727205706,0.714310456,0.702049043,0.690362639,0.679200275,0.673801491,0.668517492,0.658275275,0.648439199,0.625433563,0.604389369,0.585003277,0.578745904,0.567037335,0.5503014,0.534641116,0.519929449,0.506060591,0.492945472,0.480508407,0.457417863,0.436367432,0.417035046,0.399169081,0.382569211,0.367073357,0.352548536,0.338884302,0.325987924,0.313780802,0.291174815,0.270630863,0.261025438,0.251817522,0.234476771,0.21840385,0.203433575,0.189430788,0.182756451,0.176283512,0.163897956,0.15219479,0.141106331,0.130574377,0.120548521,0.110984827,0.10184477,0.080634564,0.06143479,0.043915404,0.02782053,0.01294788,0.000865551,0.013849611,0.026168914,0.037890017,0.0490698,-0.42,-0.41,0.989695362,0.694181745
SA(0.032),0.985173033,0.991912564,0.99326047,0.995282329,0.997978141,0.998652094,1,0.997710596,0.996816752,0.992494658,0.989858978,0.986906949,0.985317863,0.983658473,0.980150161,0.976433915,0.966668752,0.957099556,0.948586287,0.945580733,0.941524454,0.935906293,0.931512502,0.928070873,0.925337528,0.923121958,0.921285094,0.918384124,0.916152753,0.914350131,0.913871932,0.912847035,0.911567184,0.910461189,0.900123297,0.886960342,0.874450755,0.86253258,0.840263602,0.819802797,0.810163323,0.800879118,0.783278585,0.774919427,0.766829239,0.751390766,0.736847151,0.729879962,0.723101347,0.710071341,0.69768719,0.685888753,0.674623935,0.66917721,0.663847313,0.653519034,0.643603942,0.620427584,0.599244802,0.579746207,0.573455671,0.56168923,0.544880142,0.529161754,0.514404758,0.5005015,0.487361396,0.474907505,0.451803747,0.430762094,0.411455663,0.393629237,0.377079757,0.361643031,0.347184418,0.333592152,0.320772447,0.308645842,0.286209747,0.265844116,0.256330048,0.247214561,0.230060961,0.214177044,0.199396527,0.185583442,0.179003742,0.172625215,0.160427612,0.148910975,0.138007382,0.127658453,0.117813658,0.108428973,0.099465816,0.078688449,0.059908038,0.042794801,0.027093324,0.012601875,0.000842005,0.013480003,0.025483195,0.036914389,0.04782734,-0.418237635,-0.41,0.98761044,0.686936865
SA(0.035),0.980921633,0.98855298,0.990079249,0.992368653,0.995421192,0.996184327,0.997710596,1,0.999204188,0.995309161,0.992901285,0.990180211,0.988706048,0.987160228,0.983872005,0.980361596,0.971016306,0.961696033,0.953260261,0.950245242,0.946140944,0.940377947,0.935792971,0.932142333,0.92919938,0.926782817,0.92475781,0.921523196,0.919011182,0.916972066,0.916430192,0.915267951,0.913815476,0.911617514,0.897372306,0.883879462,0.871063671,0.85886047,0.836076693,0.815163633,0.80531809,0.795839696,0.777882708,0.76935967,0.761114232,0.745388749,0.730586004,0.723498588,0.716605453,0.703362172,0.690783765,0.678808013,0.667381045,0.661858444,0.656455906,0.645991417,0.635951268,0.612504712,0.59110259,0.571425937,0.565082914,0.55322488,0.536300017,0.520489668,0.50566093,0.491703228,0.47852358,0.466043058,0.442918388,0.421890628,0.402625274,0.384861426,0.368391698,0.353048553,0.338694725,0.325216363,0.312518006,0.300518835,0.278351623,0.258268218,0.24889874,0.239929538,0.223072139,0.207487356,0.193007166,0.179494319,0.173064398,0.166835295,0.154935161,0.143713742,0.133102731,0.123043474,0.113485241,0.10438387,0.095700689,0.075608368,0.057491675,0.041021243,0.025942388,0.01205426,0.000804739,0.012895031,0.02439792,0.03537028,0.045860922,-0.41579058,-0.41,0.984118187,0.67526498
SA(0.036),0.979308889,0.987267009,0.988858633,0.991246069,0.994429316,0.995225128,0.996816752,0.999204188,1,0.996247329,0.993915387,0.991271299,0.989835444,0.98832748,0.98511262,0.981670823,0.972465491,0.963228191,0.954818253,0.951800078,0.947679774,0.941868498,0.937219794,0.933499486,0.930486664,0.928003104,0.925915382,0.922569553,0.919963992,0.917846044,0.917282945,0.916074923,0.914564907,0.910788642,0.896420016,0.882812977,0.869891189,0.857589323,0.834627341,0.813557729,0.803640852,0.794095237,0.776014858,0.767435091,0.759135911,0.743311076,0.728418629,0.721289595,0.714356818,0.701039709,0.688394058,0.676356927,0.664873828,0.659324962,0.653897277,0.643385638,0.633302199,0.60976211,0.588284061,0.568545771,0.56218458,0.55029484,0.533329899,0.517487716,0.502634144,0.488657596,0.47546426,0.462974519,0.439842609,0.418819658,0.399568524,0.381826338,0.365384218,0.350073466,0.335755911,0.322316978,0.309660627,0.29770557,0.275631435,0.255645726,0.2463263,0.237407736,0.22065287,0.205171637,0.190795408,0.177386492,0.171008419,0.164831042,0.153033881,0.141914654,0.131404925,0.121445941,0.111986905,0.102983607,0.094397343,0.07454216,0.056655221,0.040407304,0.025543977,0.011864696,0.000791839,0.012692536,0.024022238,0.034835767,0.045180222,-0.415021313,-0.41,0.982864478,0.67122987
SA(0.04),0.971854968,0.981236645,0.983112981,0.985927484,0.989680155,0.990618323,0.992494658,0.995309161,0.996247329,1,0.997971796,0.99563565,0.994353024,0.992996488,0.99007508,0.986907731,0.97826223,0.969356826,0.961050218,0.958019423,0.953835095,0.947830704,0.942927085,0.9389281,0.9356358,0.932884249,0.930545671,0.926754983,0.92377523,0.921341957,0.920693957,0.91930281,0.917562629,0.907337988,0.892455565,0.878373122,0.865010064,0.852297447,0.828593589,0.806872233,0.796658388,0.786832929,0.768238862,0.759422929,0.750900017,0.734661572,0.719395693,0.712093399,0.704995589,0.691371128,0.678445536,0.666152877,0.654436103,0.648777893,0.643245525,0.632537594,0.622273935,0.598344463,0.576550323,0.556555434,0.550118605,0.538096871,0.520965084,0.504990378,0.490033418,0.475978411,0.462728088,0.45019997,0.427037922,0.406034992,0.386843056,0.36919105,0.35286386,0.337687969,0.323521419,0.310246633,0.297765156,0.285993744,0.264307098,0.244728104,0.235617046,0.226909293,0.210581282,0.195531131,0.181587702,0.168611459,0.162449234,0.156487191,0.145118713,0.134424924,0.124336835,0.114795297,0.105749225,0.097154211,0.088971421,0.070103456,0.053173003,0.037851431,0.023885364,0.011075528,0.000738135,0.011849534,0.022458248,0.032610553,0.042346418,-0.412144215,-0.41,0.977468257,0.654844463
