,PGV,0.01,0.02,0.05,0.1,0.2,0.3,0.4,0.6,1,2,3,4,6,10
PGV,1,0.81,0.8,0.7,0.72,0.84,0.87,0.88,0.84,0.77,0.73,0.72,0.73,0.71,0.75
0.01,0.81,1,0.98,0.96,0.95,0.94,0.88,0.78,0.64,0.55,0.54,0.53,0.54,0.51,0.54
0.02,0.8,0.98,1,0.97,0.98,0.94,0.86,0.77,0.62,0.53,0.53,0.52,0.54,0.52,0.57
0.05,0.7,0.96,0.97,1,0.98,0.87,0.76,0.64,0.48,0.4,0.4,0.4,0.41,0.38,0.42
0.1,0.72,0.95,0.98,0.98,1,0.9,0.78,0.67,0.51,0.42,0.43,0.43,0.44,0.41,0.45
0.2,0.84,0.94,0.94,0.87,0.9,1,0.94,0.85,0.7,0.62,0.61,0.6,0.61,0.58,0.63
0.3,0.87,0.88,0.86,0.76,0.78,0.94,1,0.95,0.83,0.76,0.73,0.71,0.72,0.7,0.72
0.4,0.88,0.78,0.77,0.64,0.67,0.85,0.95,1,0.91,0.83,0.78,0.76,0.77,0.75,0.76
0.6,0.84,0.64,0.62,0.48,0.51,0.7,0.83,0.91,1,0.93,0.83,0.79,0.79,0.75,0.75
1,0.77,0.55,0.53,0.4,0.42,0.62,0.76,0.83,0.93,1,0.93,0.89,0.88,0.83,0.78
2,0.73,0.54,0.53,0.4,0.43,0.61,0.73,0.78,0.83,0.93,1,0.97,0.95,0.9,0.83
3,0.72,0.53,0.52,0.4,0.43,0.6,0.71,0.76,0.79,0.89,0.97,1,0.98,0.92,0.84
4,0.73,0.54,0.54,0.41,0.44,0.61,0.72,0.77,0.79,0.88,0.95,0.98,1,0.96,0.89
6,0.71,0.51,0.52,0.38,0.41,0.58,0.7,0.75,0.75,0.83,0.9,0.92,0.96,1,0.96
10,0.75,0.54,0.57,0.42,0.45,0.63,0.72,0.76,0.75,0.78,0.83,0.84,0.89,0.96,1
