,PGV,0.01,0.02,0.05,0.1,0.2,0.3,0.4,0.6,1,2,3,4,6,10
PGV,1,0.81,0.76,0.67,0.65,0.76,0.82,0.81,0.77,0.77,0.77,0.78,0.8,0.82,0.84
0.01,0.81,1,0.94,0.89,0.86,0.85,0.77,0.68,0.55,0.5,0.51,0.55,0.58,0.61,0.65
0.02,0.76,0.94,1,0.96,0.92,0.86,0.73,0.62,0.48,0.43,0.45,0.49,0.52,0.56,0.6
0.05,0.67,0.89,0.96,1,0.93,0.8,0.64,0.53,0.39,0.33,0.36,0.4,0.43,0.46,0.5
0.1,0.65,0.86,0.92,0.93,1,0.82,0.63,0.51,0.36,0.31,0.35,0.39,0.43,0.45,0.5
0.2,0.76,0.85,0.86,0.8,0.82,1,0.82,0.69,0.53,0.47,0.48,0.52,0.56,0.59,0.63
0.3,0.82,0.77,0.73,0.64,0.63,0.82,1,0.9,0.74,0.67,0.64,0.66,0.69,0.71,0.73
0.4,0.81,0.68,0.62,0.53,0.51,0.69,0.9,1,0.86,0.75,0.7,0.7,0.72,0.73,0.75
0.6,0.77,0.55,0.48,0.39,0.36,0.53,0.74,0.86,1,0.86,0.74,0.72,0.72,0.72,0.73
1,0.77,0.5,0.43,0.33,0.31,0.47,0.67,0.75,0.86,1,0.88,0.83,0.8,0.78,0.76
2,0.77,0.51,0.45,0.36,0.35,0.48,0.64,0.7,0.74,0.88,1,0.94,0.91,0.86,0.81
3,0.78,0.55,0.49,0.4,0.39,0.52,0.66,0.7,0.72,0.83,0.94,1,0.97,0.91,0.85
4,0.8,0.58,0.52,0.43,0.43,0.56,0.69,0.72,0.72,0.8,0.91,0.97,1,0.95,0.89
6,0.82,0.61,0.56,0.46,0.45,0.59,0.71,0.73,0.72,0.78,0.86,0.91,0.95,1,0.95
10,0.84,0.65,0.6,0.5,0.5,0.63,0.73,0.75,0.73,0.76,0.81,0.85,0.89,0.95,1
