SA 0.50s [g],MAFE
5.000000000000000104e-04,1.663668466534196366e-01
7.271079999999999644e-04,1.465869953804040116e-01
1.057371000000000092e-03,1.263438937439464449e-01
1.537645999999999935e-03,1.067120790266812280e-01
2.236067999999999910e-03,8.842699506140805354e-02
3.251725000000000015e-03,7.192163036525169029e-02
4.728707999999999870e-03,5.740138511116666536e-02
6.876560000000000311e-03,4.489915800318504402e-02
1.000000000000000021e-02,3.434090790153956907e-02
1.454215399999999984e-02,2.559520269060604897e-02
2.114742500000000094e-02,1.851748010202433278e-02
3.075291200000000030e-02,1.296259677657454236e-02
4.472136000000000167e-02,8.764673623138664535e-03
6.503449099999999983e-02,5.718845069631679073e-03
9.457416100000000381e-02,3.592344336397534314e-03
1.375312039999999902e-01,2.158074938612158759e-03
2.000000000000000111e-01,1.223342879099208018e-03
2.908430870000000001e-01,6.411065193039025166e-04
4.229485049999999746e-01,3.028615973565348149e-04
6.150582439999999762e-01,1.251708778493680087e-04
8.944271910000000103e-01,4.368768061202385640e-05
1.300689825000000077e+00,1.232379611901859287e-05
1.891483218000000077e+00,2.560163853982695144e-06
2.750624087999999912e+00,3.400028900336489416e-07
4.000000000000000000e+00,2.000001000058178289e-08
