SA 0.15s [g],POE 50yr
0.0005,0.999851
0.0007338996,0.999647
0.001077217,0.999125
0.001581139,0.997383
0.002320794,0.994833
0.00340646,0.98832
0.005,0.975384
0.007338996,0.952037
0.010772173,0.913897
0.015811388,0.857531
0.023207944,0.782049
0.0340646,0.69002
0.05,0.587112
0.07338996,0.480313
0.10772173,0.376009
0.158113883,0.279279
0.232079442,0.194373
0.340646035,0.124926
0.5,0.073051
0.7338996,0.038343
1.077217345,0.017803
1.58113883,0.007202
2.320794417,0.002492
3.406460345,0.000718
5,0.000166
