PGA [g],MAFE
0.0005,0.999132
0.000718444,0.997856
0.001032324,0.994902
0.001483334,0.988574
0.002131385,0.976173
0.003062562,0.954063
0.004400559,0.91827
0.006323111,0.865607
0.009085603,0.795004
0.013054995,0.70841
0.018758568,0.610735
0.026953965,0.508444
0.038729833,0.407499
0.055650439,0.312247
0.079963458,0.226029
0.114898547,0.152194
0.165096362,0.093787
0.23722501,0.052106
0.34086581,0.025704
0.489786049,0.011077
0.703767779,0.004091
1.011235596,0.001268
1.453032463,0.0003147
2.087845154,0.00006
3,0.000008
