A;Array microtremor (AM)
A-P-SW;Active and Passive Surface-Wave method
A-SW;Active Surface-Wave method
A-SW_REFR;Active Surface-Wave method and Seismic refraction measurement
AMr;Array microtremor (AM), multi-channel analysis of surface (Raleigh) waves (MASRW)
AMrR;Array microtremor (AM), multi-channel analysis of surface (Raleigh) waves (MASRW), refraction microtremor (ReMiTM).
AMrSR;Array microtremor (AM), multi-channel analysis of surface (Raleigh) waves (MASRW), spectral analysis of surface waves (SASW), refraction microtremor (ReMiTM).
CH;Cross-hole measurement
Cu;Undrained cohesion test
DC;from dispersion curve
DC-RE;inversion of dispersion curves with Rayleigh ellipticity
DH;Downhole measurement
EHVSR;Horizontal to vertical spectral ratio from earthquakes
ESAC;Extended Spatial AutoCorrelation method
ESAC-FK;FK and ESAC
EST;Qualitative estimate
FK;Frequency Wavenumber analysis
GEO;Geological map
GEO_HV;Geological map and horizontal to vertical spectral ratio
LITO;Stratigraphy
MASW;Multichannel Analysis of Surface Waves
MASW-RE;inversion of MASW dispersion curve and Rayleigh ellipticity
MASW-SASW;Multichannel Analysis of Surface Waves and Spectral Analysis of Surface Waves measurement
Ml;Multi-channel analysis of surface (Love) waves (MASLW)
MlMr;Multi-channel analysis of surface (Love) waves (MASLW), multi-channel analysis of surface (Raleigh) waves (MASRW).
Mr;Multi-channel analysis of surface (Raleigh) waves (MASRW)
MrR;Multi-channel analysis of surface (Raleigh) waves (MASRW), refraction microtremor (ReMiTM).
MrS;Multi-channel analysis of surface (Raleigh) waves (MASRW), spectral analysis of surface waves (SASW).
MrSrpSrs;Multi-channel analysis of surface (Raleigh) waves (MASRW), seismic refraction, P-wave, seismic refraction, S-wave.
NHVSR;Horizontal to vertical spectral ratio from noise
P;Passive array measurement
P-MASW;Passive array measurement and Multichannel Analysis of Surface Waves
P-S-MASW;Passive array measurement, Multichannel Analysis of Surface Waves and Spectral Analysis of Surface Waves measurement
P-SW;Passive Surface-Wave method
PEA_db;Obtained by PEA: combination of surface wave. downhole, suspension logging and other methods.
Prp;Seismic refraction, P-wav
PS;PS-suspension logging
R;Refraction microtremor (ReMiTM)
REFL;Seismic reflection measurement
REFR;Seismic refraction measurement
REMI;Refraction Microtremors test
S;Spectral analysis of surface waves (SASW)
SASW;Spectral Analysis of Surface Waves measurement
SCPT;Seismic Cone Penetration Test
SLOPE;Estimated from slope (Wald and Allen, 2007)
SPT;Standard Penetration Test
SrpSrs;Seismic refraction, P-wave, seismic refraction, S-wave.
Srs;Seismic refraction, S-wave
SWDCI;Surface wave dispersion curve inversion.
U;unknown
VS30;from VS30
