event_id;event_time;ISC_ev_id;INGV_ev_id;EMSC_ev_id;ev_nation_code;ev_latitude;ev_longitude;ev_depth_km;ev_hyp_ref;fm_type_code;ML;ML_ref;Mw;Mw_ref;Ms;Ms_ref;network_code;station_code;location_code;instrument_code;sensor_depth_m;proximity_code;housing_code;installation_code;st_nation_code;st_latitude;st_longitude;st_elevation;ec8_code;ec8_code_ref;vs30_m_sec;vs30_ref;vs30_meas_type;slope_deg;vs30_m_sec_WA;epi_dist;epi_az;instrument_type_code;U_hp;V_hp;U_lp;V_lp;U_pga;V_pga;U_pgv;V_pgv;U_T0_025;U_T0_040;U_T0_050;U_T0_070;U_T0_100;U_T0_150;U_T0_200;U_T0_250;U_T0_300;U_T0_350;U_T0_400;U_T0_450;U_T0_500;U_T0_600;U_T0_700;U_T0_750;U_T0_800;U_T0_900;U_T1_000;U_T1_200;U_T1_400;U_T1_600;U_T1_800;U_T2_000;U_T2_500;U_T3_000;U_T3_500;U_T4_000;U_T4_500;U_T5_000;V_T0_025;V_T0_040;V_T0_050;V_T0_070;V_T0_100;V_T0_150;V_T0_200;V_T0_250;V_T0_300;V_T0_350;V_T0_400;V_T0_450;V_T0_500;V_T0_600;V_T0_700;V_T0_750;V_T0_800;V_T0_900;V_T1_000;V_T1_200;V_T1_400;V_T1_600;V_T1_800;V_T2_000;V_T2_500;V_T3_000;V_T3_500;V_T4_000;V_T4_500;V_T5_000
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;AGST;0;EH;0;2;ERR;;IT;37.25652;15.22713;70;A*;ESM;;;;5.690158;619.063449;65.7;337.6;D;0.15;0.15;30;30;0.970491;-0.906398;-0.024118;0.031793;1.03875;1.2105;1.53319;1.97546;3.47224;2.85801;1.1963;0.779674;0.589811;0.625518;0.522646;0.459745;0.435624;0.294972;0.334648;0.314013;0.244194;0.167549;0.2073;0.18958;0.079177;0.045301;0.041261;0.032339;0.020328;0.013692;0.011179;0.008193;0.006448;0.004728;0.91586;1.06009;1.3175;2.02806;2.45756;4.13046;2.14253;1.18437;0.980537;0.654298;0.456803;0.268649;0.261826;0.299872;0.439818;0.489614;0.384628;0.365213;0.386254;0.355825;0.160094;0.113396;0.087929;0.079542;0.050851;0.026481;0.018414;0.013137;0.010401;0.007735
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;ALJA;0;HH;0;;;;IT;37.74897;13.75373;700;B*;ESM;;;;17.444938;1011.233466;104.9;86.3;D;0.04;0.04;30;30;-0.105891;-0.095095;0.009531;0.010829;0.10631;0.107244;0.107612;0.109676;0.125127;0.138807;0.213976;0.223346;0.2706;0.349786;0.279169;0.285962;0.29186;0.262269;0.271522;0.287518;0.273109;0.151837;0.164109;0.157378;0.087449;0.057342;0.037711;0.029738;0.01878;0.010187;0.007404;0.006531;0.005372;0.003769;0.095667;0.096196;0.096913;0.099437;0.110929;0.180209;0.20505;0.33066;0.310027;0.447079;0.419293;0.33856;0.324484;0.297368;0.189946;0.216493;0.189918;0.131741;0.121493;0.107159;0.089844;0.057376;0.049279;0.040929;0.02231;0.023566;0.010841;0.005488;0.004605;0.003258
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;CAGR;0;HH;1;;;;IT;37.622;14.4999;548;B*;ESM;;;;3.194052;505.091836;44;62.5;D;0.04;0.04;30;30;0.492901;-0.399923;-0.041834;-0.0374;0.494971;0.498031;0.500941;0.509377;0.540242;0.721459;1.20363;1.2622;1.27239;1.39213;1.51989;1.45416;1.10129;1.00905;1.3564;1.39241;1.09632;0.570636;0.610992;0.536666;0.22771;0.142497;0.14022;0.178227;0.087533;0.045435;0.04213;0.026011;0.017519;0.013011;0.401096;0.405279;0.403125;0.412162;0.428914;0.480684;0.850056;0.930044;0.944167;1.2798;1.90542;1.19569;0.967731;1.38643;1.22187;1.18642;0.986695;0.664806;0.505068;0.323489;0.213097;0.147245;0.142449;0.114421;0.081891;0.05112;0.028685;0.020615;0.017132;0.013289
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;CAR1;0;HH;0;0;VAU;P;IT;39.2534;16.2114;680;B*;ESM;;;;6.116203;645.043214;195.2;214.9;D;0.04;0.04;30;30;-0.056234;-0.04929;-0.003392;0.002747;0.057459;0.060847;0.06189;0.071882;0.158558;0.155869;0.151307;0.151164;0.126662;0.097901;0.075925;0.084587;0.105364;0.096732;0.140663;0.099392;0.057822;0.045603;0.036358;0.02525;0.013608;0.012233;0.010823;0.010553;0.007116;0.003474;0.001662;0.001218;0.000983;0.000852;0.05017;0.051323;0.055483;0.076199;0.111188;0.138859;0.124845;0.143591;0.126381;0.137393;0.096257;0.068545;0.104402;0.074636;0.094308;0.06367;0.049973;0.050124;0.052576;0.043637;0.018318;0.01038;0.008078;0.007773;0.004648;0.002768;0.001423;0.001141;0.000945;0.000791
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;CORL;0;HH;0;;;;IT;37.8943;13.3038;660;B*;ESM;;;;7.329367;720.183838;144.6;93.5;D;0.04;0.04;30;30;0.114901;0.079405;-0.008705;0.00693;0.115344;0.116742;0.118271;0.117833;0.12375;0.128899;0.213491;0.205923;0.336738;0.309898;0.403659;0.431266;0.287252;0.244087;0.183884;0.174263;0.123168;0.113297;0.123898;0.099897;0.061192;0.038632;0.039996;0.039827;0.02946;0.017054;0.011398;0.005916;0.004447;0.002657;0.079659;0.080573;0.08186;0.083397;0.084941;0.09111;0.135947;0.19194;0.19982;0.247534;0.254059;0.198831;0.262055;0.181499;0.227244;0.241328;0.179216;0.111575;0.119926;0.097421;0.051274;0.040441;0.037569;0.043334;0.021533;0.020597;0.013779;0.006113;0.004579;0.003004
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;ECHR;0;HN;0;;;;IT;37.6863;14.9129;1171;A*;ESM;;;;4.957648;585.534077;13.3;11.5;D;0.04;0.04;30;30;-2.305778;-2.384814;-0.093545;-0.098127;2.33082;2.34028;2.45179;2.36435;3.76896;6.89222;8.32386;4.66851;6.28136;5.65622;4.15567;4.16111;4.43886;1.93752;1.60333;1.38737;1.36407;1.25772;0.973949;1.00813;0.630382;0.481594;0.385262;0.327962;0.239868;0.117557;0.072026;0.047745;0.039842;0.031585;2.43146;2.49513;2.63096;3.08311;4.14122;6.71397;7.64955;8.67489;6.03643;6.41868;4.55387;3.82617;3.26613;2.78436;1.31056;1.18315;1.23734;1.11338;0.886137;0.760162;0.427189;0.302871;0.197148;0.215024;0.154541;0.083564;0.048334;0.029937;0.024882;0.019291
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;ECNV;0;HH;0;;;;IT;37.5956;14.7125;484;B*;ESM;;;;7.504208;731.045228;30.8;41.2;D;0.05;0.05;30;30;0.464783;-0.609002;0.04155;0.047712;0.469232;0.473733;0.490486;0.593236;1.13799;1.34993;1.31839;1.88103;1.50724;1.19518;0.982488;1.072;1.13256;0.610599;0.556934;0.607568;0.760198;0.628747;0.470259;0.431468;0.320298;0.19833;0.212778;0.257971;0.152183;0.094389;0.056255;0.035652;0.02882;0.020457;0.615276;0.638703;0.641778;0.70815;0.953126;1.03749;1.65532;1.48929;1.65837;1.68057;1.90057;1.89256;1.57099;1.73963;1.64609;1.49541;1.1671;0.739165;0.733404;0.659007;0.434792;0.309632;0.251233;0.172285;0.102189;0.082923;0.047926;0.030403;0.023922;0.019405
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;ENIC;0;HN;0;;;;IT;37.6314;15.0216;886;A*;ESM;;;;3.905238;537.489019;20.4;340.1;D;0.1;0.1;30;30;-2.110063;-2.424457;-0.07515;-0.079201;2.16404;2.31417;2.72025;4.51665;6.54169;8.77093;7.76361;8.43713;5.83566;3.4713;3.30671;2.10095;1.21859;1.10649;0.778969;0.819461;0.75974;0.521556;0.448591;0.363613;0.221635;0.122984;0.16194;0.121627;0.067234;0.036718;0.026671;0.021151;0.015047;0.012895;2.52384;2.69999;3.06075;4.04569;7.53065;8.9519;8.25222;6.67403;4.38924;3.06699;2.75179;1.71519;1.69458;1.14391;0.937364;0.913192;0.724836;0.570992;0.357923;0.336699;0.164027;0.12526;0.105466;0.076118;0.054899;0.033274;0.023824;0.017819;0.014037;0.010502
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;ESLN;0;HH;0;;;;IT;37.6934;14.9744;1787;A*;ESM;;;;1.725269;409.240433;12.6;347.3;D;0.1;0.1;30;30;1.82176;1.351384;-0.069755;0.061245;1.88599;2.06243;2.19671;3.41397;5.18125;7.04774;4.50096;4.30113;4.13642;3.9711;2.62629;2.06079;1.58546;1.4862;0.896335;0.855322;0.787071;0.617561;0.604117;0.406734;0.292588;0.163168;0.171661;0.173994;0.08934;0.050484;0.034013;0.024355;0.021764;0.016508;1.37745;1.89372;2.55927;3.01191;2.98053;3.89068;4.23829;2.73662;3.03439;2.69027;2.02375;1.46625;1.42494;0.882097;0.745306;0.900089;1.04501;0.530476;0.478084;0.389131;0.258944;0.202831;0.187355;0.196914;0.100165;0.038011;0.031775;0.023872;0.016285;0.012682
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;EVRN;0;HN;0;0;VAU;P;IT;37.6892;15.1356;421;A*;ESM;;;;6.167782;648.230463;21.2;307;D;0.1;0.1;30;30;1.963142;2.377155;-0.096369;-0.082925;2.01908;2.11896;2.31331;2.61099;4.92159;8.38791;5.03896;6.80434;6.24537;5.21821;3.60021;3.931;3.51469;1.49602;0.814396;0.790548;0.674267;0.58825;0.564319;0.433505;0.267294;0.198474;0.156731;0.130366;0.086936;0.050936;0.033733;0.027955;0.022625;0.016721;2.4472;2.63062;2.87982;3.95029;7.20321;7.25408;10.9563;5.07298;7.41743;4.58349;2.94806;2.79357;2.03242;1.05191;0.834891;0.874941;0.762739;0.699199;0.690112;0.708214;0.356215;0.16676;0.167902;0.121678;0.074931;0.061527;0.045271;0.026624;0.021604;0.016509
