record_id,event_id,station_code,location_code,url,status,http_status,error_type,error_message,timestamp
AL-2014-0005__SDA__00,AL-2014-0005,SDA,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2014-0005&station=SDA&data-type=ACC,downloaded,200,,,2026-04-21T05:29:58.202130+00:00
AL-2014-0005__FIER__00,AL-2014-0005,FIER,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2014-0005&station=FIER&data-type=ACC,downloaded,200,,,2026-04-21T05:29:58.359656+00:00
AL-2016-0001__DURR__00,AL-2016-0001,DURR,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0001&station=DURR&data-type=ACC,downloaded,200,,,2026-04-21T05:29:58.566002+00:00
AL-2014-0005__KKS__00,AL-2014-0005,KKS,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2014-0005&station=KKS&data-type=ACC,downloaded,200,,,2026-04-21T05:29:58.681963+00:00
AL-2016-0001__KBN__00,AL-2016-0001,KBN,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0001&station=KBN&data-type=ACC,downloaded,200,,,2026-04-21T05:29:58.776256+00:00
AL-2016-0001__LACI__00,AL-2016-0001,LACI,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0001&station=LACI&data-type=ACC,downloaded,200,,,2026-04-21T05:29:58.897355+00:00
AL-2016-0001__POGR__00,AL-2016-0001,POGR,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0001&station=POGR&data-type=ACC,downloaded,200,,,2026-04-21T05:29:59.076482+00:00
AL-2016-0002__KBN__00,AL-2016-0002,KBN,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0002&station=KBN&data-type=ACC,downloaded,200,,,2026-04-21T05:29:59.232942+00:00
AL-2016-0002__POGR__00,AL-2016-0002,POGR,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0002&station=POGR&data-type=ACC,downloaded,200,,,2026-04-21T05:29:59.429141+00:00
AL-2016-0002__TPE__00,AL-2016-0002,TPE,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0002&station=TPE&data-type=ACC,downloaded,200,,,2026-04-21T05:29:59.600807+00:00
AL-2016-0003__KBN__00,AL-2016-0003,KBN,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0003&station=KBN&data-type=ACC,downloaded,200,,,2026-04-21T05:29:59.804634+00:00
AL-2016-0004__DURR__00,AL-2016-0004,DURR,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0004&station=DURR&data-type=ACC,downloaded,200,,,2026-04-21T05:29:59.928277+00:00
AL-2016-0004__FIER__00,AL-2016-0004,FIER,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0004&station=FIER&data-type=ACC,downloaded,200,,,2026-04-21T05:30:00.119657+00:00
AL-2016-0004__KBN__00,AL-2016-0004,KBN,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0004&station=KBN&data-type=ACC,downloaded,200,,,2026-04-21T05:30:00.264711+00:00
AL-2016-0004__POGR__00,AL-2016-0004,POGR,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0004&station=POGR&data-type=ACC,downloaded,200,,,2026-04-21T05:30:00.418761+00:00
AL-2016-0004__TPE__00,AL-2016-0004,TPE,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0004&station=TPE&data-type=ACC,downloaded,200,,,2026-04-21T05:30:00.567943+00:00
AL-2016-0004__VLO__00,AL-2016-0004,VLO,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0004&station=VLO&data-type=ACC,downloaded,200,,,2026-04-21T05:30:00.736132+00:00
AL-2016-0011__DURR__00,AL-2016-0011,DURR,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0011&station=DURR&data-type=ACC,downloaded,200,,,2026-04-21T05:30:00.937266+00:00
AL-2016-0011__FIER__00,AL-2016-0011,FIER,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0011&station=FIER&data-type=ACC,downloaded,200,,,2026-04-21T05:30:01.140305+00:00
AL-2016-0011__KBN__00,AL-2016-0011,KBN,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0011&station=KBN&data-type=ACC,downloaded,200,,,2026-04-21T05:30:01.236289+00:00
AL-2016-0011__LACI__00,AL-2016-0011,LACI,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0011&station=LACI&data-type=ACC,downloaded,200,,,2026-04-21T05:30:01.392571+00:00
AL-2016-0011__TIR1__00,AL-2016-0011,TIR1,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0011&station=TIR1&data-type=ACC,downloaded,200,,,2026-04-21T05:30:01.549989+00:00
AL-2016-0011__TPE__00,AL-2016-0011,TPE,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0011&station=TPE&data-type=ACC,downloaded,200,,,2026-04-21T05:30:01.729356+00:00
AL-2016-0011__VLO__00,AL-2016-0011,VLO,00,https://esm-db.eu/esmws/eventdata/1/query?eventid=AL-2016-0011&station=VLO&data-type=ACC,downloaded,200,,,2026-04-21T05:30:01.926409+00:00
