record_id,event_id,station_code,location_code,url,status,http_status,error_type,error_message,timestamp
IT-1997-0137__CSC__0,IT-1997-0137,CSC,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1997-0137&station=CSC&data-type=ACC,downloaded,200,,,2026-03-17T07:25:22.524392+00:00
IR-2005-0044__CMZ__0,IR-2005-0044,CMZ,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2005-0044&station=CMZ&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2005-0044&station=CMZ&data-type=ACC,2026-03-17T07:25:22.565525+00:00
IT-2013-0010__PCRO__0,IT-2013-0010,PCRO,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2013-0010&station=PCRO&data-type=ACC,downloaded,200,,,2026-03-17T07:25:22.977334+00:00
IT-1997-0137__CESM__0,IT-1997-0137,CESM,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1997-0137&station=CESM&data-type=ACC,downloaded,200,,,2026-03-17T07:25:23.048843+00:00
EMSC-20141122_0000066__ODBI__0,EMSC-20141122_0000066,ODBI,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20141122_0000066&station=ODBI&data-type=ACC,downloaded,200,,,2026-03-17T07:25:23.401199+00:00
IT-2013-0005__VLM__0,IT-2013-0005,VLM,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2013-0005&station=VLM&data-type=ACC,downloaded,200,,,2026-03-17T07:25:23.554046+00:00
EMSC-20160824_0000006__VAL__0,EMSC-20160824_0000006,VAL,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=VAL&data-type=ACC,downloaded,200,,,2026-03-17T07:25:23.707205+00:00
EMSC-20161030_0000029__SNO__0,EMSC-20161030_0000029,SNO,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161030_0000029&station=SNO&data-type=ACC,downloaded,200,,,2026-03-17T07:25:23.846410+00:00
IT-2009-0121__AQA__0,IT-2009-0121,AQA,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0121&station=AQA&data-type=ACC,downloaded,200,,,2026-03-17T07:25:24.020405+00:00
EMSC-20161026_0000095__GLT__0,EMSC-20161026_0000095,GLT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=GLT&data-type=ACC,downloaded,200,,,2026-03-17T07:25:24.176719+00:00
EMSC-20160824_0000006__MNF__0,EMSC-20160824_0000006,MNF,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=MNF&data-type=ACC,downloaded,200,,,2026-03-17T07:25:24.391358+00:00
