lat,lon,region,vs30,vs30measured,xvf,z1pt0,z2pt5
34.5,32.28213,2,800,TRUE,150,31.07,0.57
34.5,32.38213,2,800,TRUE,150,31.07,0.57
34.5,32.48213,2,800,TRUE,150,31.07,0.57
34.5,32.58213,2,800,TRUE,150,31.07,0.57
34.5,32.68213,2,800,TRUE,150,31.07,0.57
34.5,32.78213,2,800,TRUE,150,31.07,0.57
34.5,32.88213,2,800,TRUE,150,31.07,0.57
34.5,32.98213,2,800,TRUE,150,31.07,0.57
34.5,33.08213,2,800,TRUE,150,31.07,0.57
34.5,33.18213,2,800,TRUE,150,31.07,0.57
34.5,33.28213,2,800,TRUE,150,31.07,0.57
34.5,33.38213,2,800,TRUE,150,31.07,0.57
34.5,33.48213,2,800,TRUE,150,31.07,0.57
34.5,33.58213,2,800,TRUE,150,31.07,0.57
34.6,23.98213,1,800,TRUE,150,31.07,0.57
34.6,24.08213,1,800,TRUE,150,31.07,0.57
34.6,24.18213,1,800,TRUE,150,31.07,0.57
34.6,24.28213,1,800,TRUE,150,31.07,0.57
34.6,25.68213,1,800,TRUE,150,31.07,0.57
34.6,25.78213,1,800,TRUE,150,31.07,0.57
34.6,32.18213,0,800,TRUE,150,31.07,0.57
34.6,32.28213,0,800,TRUE,150,31.07,0.57
34.6,25.58213,1,800,TRUE,150,31.07,0.57
34.6,32.38213,2,800,TRUE,150,31.07,0.57
34.6,32.48213,2,800,TRUE,150,31.07,0.57
34.6,32.58213,2,800,TRUE,150,31.07,0.57
34.6,32.68213,2,800,TRUE,150,31.07,0.57
34.6,32.78213,2,800,TRUE,150,31.07,0.57
34.6,32.88213,2,800,TRUE,150,31.07,0.57
34.6,32.98213,2,800,TRUE,150,31.07,0.57
34.6,33.08213,2,800,TRUE,150,31.07,0.57
34.6,33.18213,2,800,TRUE,150,31.07,0.57
34.6,33.28213,2,800,TRUE,150,31.07,0.57
34.6,33.38213,2,800,TRUE,150,31.07,0.57
34.6,33.48213,2,800,TRUE,150,31.07,0.57
34.6,33.58213,2,800,TRUE,150,31.07,0.57
34.6,33.68213,2,800,TRUE,150,31.07,0.57
34.6,33.78213,2,800,TRUE,150,31.07,0.57
34.7,23.88213,1,800,TRUE,150,31.07,0.57
34.7,23.98213,1,800,TRUE,150,31.07,0.57
34.7,24.08213,1,800,TRUE,150,31.07,0.57
34.7,24.18213,1,800,TRUE,150,31.07,0.57
34.7,24.28213,1,800,TRUE,150,31.07,0.57
34.7,24.38213,1,800,TRUE,150,31.07,0.57
34.7,24.58213,1,800,TRUE,150,31.07,0.57
34.7,24.68213,1,800,TRUE,150,31.07,0.57
34.7,24.78213,1,800,TRUE,150,31.07,0.57
34.7,24.88213,1,800,TRUE,150,31.07,0.57
34.7,24.98213,1,800,TRUE,150,31.07,0.57
34.7,25.08213,1,800,TRUE,150,31.07,0.57
34.7,25.18213,1,800,TRUE,150,31.07,0.57
34.7,25.28213,1,800,TRUE,150,31.07,0.57
34.7,25.38213,1,800,TRUE,150,31.07,0.57
34.7,25.48213,1,800,TRUE,150,31.07,0.57
34.7,25.58213,1,800,TRUE,150,31.07,0.57
34.7,25.68213,1,800,TRUE,150,31.07,0.57
34.7,25.78213,1,800,TRUE,150,31.07,0.57
34.7,25.88213,1,800,TRUE,150,31.07,0.57
34.7,25.98213,1,800,TRUE,150,31.07,0.57
34.7,26.08213,1,800,TRUE,150,31.07,0.57
34.7,26.18213,1,800,TRUE,150,31.07,0.57
34.7,26.28213,1,800,TRUE,150,31.07,0.57
34.7,32.18213,0,800,TRUE,150,31.07,0.57
34.7,32.28213,0,800,TRUE,150,31.07,0.57
34.7,32.38213,0,800,TRUE,150,31.07,0.57
34.7,32.48213,2,800,TRUE,150,31.07,0.57
34.7,32.58213,2,800,TRUE,150,31.07,0.57
34.7,32.68213,2,800,TRUE,150,31.07,0.57
34.7,32.78213,2,800,TRUE,150,31.07,0.57
34.7,32.88213,2,800,TRUE,150,31.07,0.57
34.7,32.98213,2,800,TRUE,150,31.07,0.57
34.7,33.08213,2,800,TRUE,150,31.07,0.57
34.7,33.18213,2,800,TRUE,150,31.07,0.57
34.7,33.28213,2,800,TRUE,150,31.07,0.57
34.7,33.38213,2,800,TRUE,150,31.07,0.57
34.7,33.48213,2,800,TRUE,150,31.07,0.57
34.7,33.58213,2,800,TRUE,150,31.07,0.57
34.7,33.68213,2,800,TRUE,150,31.07,0.57
34.7,33.78213,2,800,TRUE,150,31.07,0.57
34.7,33.88213,2,800,TRUE,150,31.07,0.57
34.7,33.98213,2,800,TRUE,150,31.07,0.57
34.7,34.08213,2,800,TRUE,150,31.07,0.57
34.7,34.18213,2,800,TRUE,150,31.07,0.57
34.8,23.78213,1,800,TRUE,150,31.07,0.57
34.8,23.88213,1,800,TRUE,150,31.07,0.57
34.8,23.98213,1,800,TRUE,150,31.07,0.57
34.8,24.08213,1,800,TRUE,150,31.07,0.57
34.8,24.18213,1,800,TRUE,150,31.07,0.57
34.8,24.28213,1,800,TRUE,150,31.07,0.57
34.8,24.38213,1,800,TRUE,150,31.07,0.57
34.8,24.48213,1,800,TRUE,150,31.07,0.57
34.8,24.58213,1,800,TRUE,150,31.07,0.57
34.8,24.68213,1,800,TRUE,150,31.07,0.57
34.8,24.78213,1,800,TRUE,150,31.07,0.57
34.8,24.88213,1,800,TRUE,150,31.07,0.57
34.8,24.98213,1,800,TRUE,150,31.07,0.57
34.8,25.08213,1,800,TRUE,150,31.07,0.57
34.8,25.18213,1,800,TRUE,150,31.07,0.57
34.8,25.28213,1,800,TRUE,150,31.07,0.57
34.8,25.38213,1,800,TRUE,150,31.07,0.57
34.8,25.48213,1,800,TRUE,150,31.07,0.57
34.8,25.58213,1,800,TRUE,150,31.07,0.57
34.8,25.68213,1,800,TRUE,150,31.07,0.57
34.8,25.78213,1,800,TRUE,150,31.07,0.57
34.8,25.88213,1,800,TRUE,150,31.07,0.57
34.8,25.98213,1,800,TRUE,150,31.07,0.57
34.8,26.08213,1,800,TRUE,150,31.07,0.57
34.8,26.18213,1,800,TRUE,150,31.07,0.57
34.8,26.28213,1,800,TRUE,150,31.07,0.57
34.8,26.38213,1,800,TRUE,150,31.07,0.57
34.8,32.18213,0,800,TRUE,150,31.07,0.57
34.8,32.28213,0,800,TRUE,150,31.07,0.57
34.8,32.38213,0,800,TRUE,150,31.07,0.57
34.8,32.48213,2,800,TRUE,150,31.07,0.57
34.8,32.58213,2,800,TRUE,150,31.07,0.57
34.8,32.68213,2,800,TRUE,150,31.07,0.57
34.8,32.78213,2,800,TRUE,150,31.07,0.57
34.8,32.88213,2,800,TRUE,150,31.07,0.57
34.8,32.98213,2,800,TRUE,150,31.07,0.57
34.8,33.08213,2,800,TRUE,150,31.07,0.57
34.8,33.18213,2,800,TRUE,150,31.07,0.57
34.8,33.28213,2,800,TRUE,150,31.07,0.57
34.8,33.38213,2,800,TRUE,149.93,31.07,0.57
34.8,33.48213,2,800,TRUE,149.38,31.07,0.57
34.8,33.58213,2,800,TRUE,148.82,31.07,0.57
34.8,33.68213,2,800,TRUE,148.25,31.07,0.57
34.8,33.78213,2,800,TRUE,147.99,31.07,0.57
34.8,33.88213,2,800,TRUE,148.28,31.07,0.57
34.8,33.98213,2,800,TRUE,149.13,31.07,0.57
34.8,34.08213,2,800,TRUE,150,31.07,0.57
34.8,34.18213,2,800,TRUE,150,31.07,0.57
34.8,34.28213,2,800,TRUE,150,31.07,0.57
34.8,32.08213,4,800,TRUE,150,31.07,0.57
34.9,26.48213,0,800,TRUE,150,31.07,0.57
34.9,23.78213,1,800,TRUE,150,31.07,0.57
34.9,23.88213,1,800,TRUE,150,31.07,0.57
34.9,23.98213,1,800,TRUE,150,31.07,0.57
34.9,24.08213,1,800,TRUE,150,31.07,0.57
34.9,24.18213,1,800,TRUE,150,31.07,0.57
34.9,24.28213,1,800,TRUE,150,31.07,0.57
34.9,24.38213,1,800,TRUE,150,31.07,0.57
34.9,24.48213,1,800,TRUE,150,31.07,0.57
34.9,25.78213,1,800,TRUE,150,31.07,0.57
