index,region,seismicity,AvgSA,nearest_town,country,lat,lon,geometry,"S_alpha,475"
1013,0,lowmod,0.0765,Gibraltar,UK,36.1,-5.31787,POINT (-5.31787 36.1),0.2095940633333333
8047,0,lowmod,0.0855,Alicante,ESP,38.4,-0.51787,POINT (-0.51787 38.4),0.27397254
43319,0,lowmod,0.0709,Rottenburg am Neckar,DEU,48.5,9.08213,POINT (9.08213 48.5),0.24449983666666666
38933,0,lowmod,0.067,Székesfehérvár,HUN,47.2,18.48213,POINT (18.48213 47.2),0.22913496333333336
4367,0,lowmod,0.0702,Ömerli,TUR,37.4,40.88213,POINT (40.88213 37.4),0.12575359666666666
49823,1,lowmod,0.0711,Aachen,DEU,50.8,6.08213,POINT (6.08213 50.8),0.2425165366666667
33910,1,lowmod,0.0833,Monza,ITA,45.6,9.28213,POINT (9.28213 45.6),0.26959947666666667
2391,1,lowmod,0.1298,Santa Croce Camerina,ITA,36.8,14.48213,POINT (14.48213 36.8),0.34372996000000006
38647,1,lowmod,0.0509,Graz,AUT,47.1,15.48213,POINT (15.48213 47.1),0.14322816
28426,1,lowmod,0.098,Sarajevo,BIH,43.8,18.38213,POINT (18.38213 43.8),0.3272087666666667
32118,2,lowmod,0.1406,Piacenza,ITA,45.0,9.78213,POINT (9.78213 45),0.39457947666666665
23735,2,lowmod,0.1201,Pescara,ITA,42.4,14.18213,POINT (14.18213 42.4),0.35545709666666664
3398,2,lowmod,0.1249,Naxos,GRE,37.1,25.38213,POINT (25.38213 37.1),0.28735929666666665
2418,2,lowmod,0.1022,Mersin,TUR,36.8,34.58213,POINT (34.58213 36.8),0.28181727666666667
21174,2,lowmod,0.1313,Kardzali,BRG,41.6,25.38213,POINT (25.38213 41.6),0.31311126000000006
29451,3,lowmod,0.1061,La Spezia,ITA,44.1,9.78213,POINT (9.78213 44.1),0.31941662666666665
22262,3,lowmod,0.1171,Rome,ITA,41.9,12.58213,POINT (12.58213 41.9),0.2447261666666667
8873,3,lowmod,0.1518,Panarea,ITA,38.6,15.08213,POINT (15.08213 38.6),0.4033222566666667
2468,3,lowmod,0.155,Kimolos,GRE,36.8,24.58213,POINT (24.58213 36.8),0.3851585133333333
15725,3,lowmod,0.0915,Agropoli,ITA,40.3,14.98213,POINT (14.98213 40.3),0.18126503333333335
7087,4,lowmod,0.1167,Palermo,ITA,38.1,13.38213,POINT (13.38213 38.1),0.32474663333333337
27474,4,lowmod,0.1506,Split,HVR,43.5,16.48213,POINT (16.48213 43.5),0.4283516866666666
30362,4,lowmod,0.1327,Craiova,ROU,44.4,23.88213,POINT (23.88213 44.4),0.3265701233333333
18874,4,lowmod,0.1588,Ordu,TUR,41.0,37.88213,POINT (37.88213 41),0.24931882000000002
1993,4,lowmod,0.1231,Alanya,TUR,36.6,31.98213,POINT (31.98213 36.6),0.39383245000000006
9487,5,lowmod,0.0753,Montemor-o-Novo,PRT,38.7,-8.21787,POINT (-8.21787 38.7),0.21524721333333333
26877,5,lowmod,0.0646,Pau,FRA,43.3,-0.31787,POINT (-0.31787 43.3),0.19301829333333334
29187,5,lowmod,0.081,Vidin,BRG,44.0,22.88213,POINT (22.88213 44),0.19298599333333333
29829,5,lowmod,0.1282,Constanţa,ROU,44.2,28.78213,POINT (28.78213 44.2),0.30715027333333333
19796,5,lowmod,0.0498,Porto,PRT,41.2,-8.61787,POINT (-8.61787 41.2),0.12421821
5405,0,high,0.2974,Lorca,ESP,37.7,-1.71787,POINT (-1.71787 37.7),0.6490430566666667
1016,0,high,0.3253,Lindos,GRE,36.1,28.08213,POINT (28.08213 36.1),0.9716327000000001
2635,0,high,0.1842,Almería,ESP,36.9,-2.41787,POINT (-2.41787 36.9),0.5309644533333333
6200,0,high,0.1907,Siirt,TUR,37.9,41.98213,POINT (41.98213 37.9),0.5168192133333334
164,0,high,0.3363,Paphos,CYP,34.9,32.48213,POINT (32.48213 34.9),0.9357161
2719,1,high,0.2174,Ragusa,ITA,36.9,14.68213,POINT (14.68213 36.9),0.55009328
33919,1,high,0.2304,Brescia,ITA,45.6,10.18213,POINT (10.18213 45.6),0.5347064466666667
35223,1,high,0.2078,Ljubljana,SVN,46.0,14.58213,POINT (14.58213 46),0.6580629133333334
2405,1,high,0.398,Methoni,GRE,36.8,21.68213,POINT (21.68213 36.8),1.1315589
35529,1,high,0.1698,Udine,ITA,46.1,13.18213,POINT (13.18213 46.1),0.5566337
31505,2,high,0.1916,Parma,ITA,44.8,10.28213,POINT (10.28213 44.8),0.6114638533333333
7344,2,high,0.3105,Messina,ITA,38.2,15.58213,POINT (15.58213 38.2),0.6941309233333334
71,2,high,0.2796,Limassol,CYP,34.7,33.08213,POINT (33.08213 34.7),0.72900959
19074,2,high,0.2436,Ohrid,MKD,41.1,20.78213,POINT (20.78213 41.1),0.9690314099999999
6262,2,high,0.2415,Kuşadası,TUR,37.9,27.28213,POINT (27.28213 37.9),0.8921773233333333
29167,3,high,0.2464,Borgo San Lorenzo,ITA,44.0,11.38213,POINT (11.38213 44),0.7740494933333334
23877,3,high,0.329,L'Aquila,ITA,42.4,13.38213,POINT (13.38213 42.4),0.9017500033333334
11546,3,high,0.289,Consenza,ITA,39.3,16.18213,POINT (16.18213 39.3),0.7225553366666667
7413,3,high,0.2713,Patras,GRE,38.2,21.68213,POINT (21.68213 38.2),1.0691934533333332
2814,3,high,0.2703,Kos,GRE,36.9,27.28213,POINT (27.28213 36.9),0.8856680566666667
4885,4,high,0.2286,Catania,ITA,37.5,15.08213,POINT (15.08213 37.5),0.52412698
20069,4,high,0.2688,Tiranë,HVR,41.3,19.78213,POINT (19.78213 41.3),1.0286714666666665
34385,4,high,0.3369,Braşov,ROU,45.7,25.58213,POINT (25.58213 45.7),0.76739778
15377,4,high,0.3244,Bursa,TUR,40.2,29.08213,POINT (29.08213 40.2),0.9233542899999999
14211,4,high,0.2845,Erzurum,TUR,39.9,41.18213,POINT (41.18213 39.9),0.6987111866666668
30384,5,high,0.2524,Bucureşti,ROU,44.4,26.08213,POINT (26.08213 44.4),0.7096730233333334
33469,5,high,0.2609,Galaţi,ROU,45.4,28.08213,POINT (28.08213 45.4),0.74233708
30987,5,high,0.2454,Slobozia,ROU,44.6,27.38213,POINT (27.38213 44.6),0.6910699166666666
36595,5,high,0.2158,Iargara,MDA,46.4,28.38213,POINT (28.38213 46.4),0.58156854
32524,5,high,0.328,Făurei,ROU,45.1,27.28213,POINT (27.28213 45.1),0.9845480000000001
