,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.13461089226573034,-0.1491187103490884,-0.3989184387861349,-0.3983029696013277,-0.40286755771968197,-0.40710858363663066,-0.40252857203083886,-0.40653359777730447,-0.39940757519822495,-0.37776598351659263,-0.3612594726199179,-0.3381270522102317,-0.31910928019728035,-0.3009760064491981,-0.2789321142760632,-0.2603418823894727,-0.2434487931250584,-0.2124760046486297,-0.19754830932566034,-0.17875952798328476,-0.14779314855393832,-0.11997914736082003,-0.08439667025487092,-0.05003456354359095,-0.022115505138116946,0.008699258398225364,0.023185125660120254,0.02538631419217982,0.010400314894658253,0.014799960988797859,0.024510050176666784,-0.019396410477358624,-0.0063078463708337315,-0.02919529168631235,-0.04821769307563566,-0.07374693866034657
rotD50,"AvgSA([0, 3])",3.0,-0.13461089226573036,1.0,0.9525999249731947,0.744191495872974,0.7309988118314966,0.7000613472604457,0.6818270119447362,0.6613908144398057,0.6592509076232475,0.6725560717732267,0.7135484583002674,0.7480360912956981,0.7684577277256879,0.7989556527828312,0.8193522023598172,0.8370625531513889,0.8547520174929545,0.8945624337409402,0.9198312771975389,0.9288458670920331,0.9380343207681316,0.9517253307737654,0.959448815236356,0.9678672327865439,0.9672166691285147,0.9639874625484964,0.956561944395716,0.9488077920703412,0.9268587866428135,0.9002821830662315,0.8692606817049497,0.8516532339941036,0.8408975128700973,0.8334008289669876,0.8044479186026993,0.8076241282632944,0.8197170313764276
rotD50,"AvgSA([0, 6])",6.0,-0.14911871034908844,0.9525999249731946,1.0,0.6942061932596943,0.6874652527391787,0.6697664159773375,0.6574410013493963,0.6349212365031894,0.6174768532816636,0.605244671637628,0.6305515761489089,0.6563960944143851,0.6724699688702412,0.6981924836818203,0.7136932703477921,0.7272553252415169,0.7437179198752959,0.7850470214409364,0.8080277531975725,0.8180520713951156,0.8303750558959524,0.8521264113009894,0.8680280707858818,0.8964802128531975,0.9121676244390423,0.9201172300343752,0.9247133825520971,0.9272562758953831,0.939143699736836,0.9413886820952142,0.9347328860405485,0.9284088725511591,0.9398445169354102,0.9346011629975157,0.9308239456385938,0.9252837046936685,0.9240217459531364
rotD50,PGA,None,-0.3989184387861349,0.744191495872974,0.6942061932596943,1.0,0.998995094531723,0.9919937367956211,0.9866450877718994,0.9804244539930669,0.9801442217806084,0.9776559746817549,0.9739135186582806,0.9620726018910856,0.9517952966039629,0.9391447362619185,0.9247977460666871,0.9111419487420134,0.894357989079821,0.8577444136021909,0.8226487394381617,0.804027232838442,0.7843130513866986,0.7544329590587251,0.7188164257911932,0.665982265972881,0.626551127266422,0.5956380507240937,0.5607692796506969,0.5368361050460849,0.48985076214892,0.4644441011047422,0.4484671438360415,0.4463137662039101,0.4788784651254361,0.493335648883504,0.5223337721755864,0.546326665980811,0.5851732579092723
rotD50,SA,0.025,-0.39830296960132777,0.7309988118314966,0.6874652527391788,0.9989950945317231,1.0,0.9960608063745734,0.9914519469724787,0.9848115679115811,0.9820895900869477,0.9760098396620618,0.9695570117239811,0.9553925926095164,0.9436928431833191,0.9300063418400577,0.914683238936336,0.9006002012635839,0.8832564477786012,0.8455495643203372,0.8095101267880289,0.7905044363060568,0.770549971059137,0.7406485120898965,0.7044798323716286,0.6510615838753754,0.611520370605,0.5804900138782868,0.5459668510302761,0.5218585479827477,0.4756908343997277,0.45184619276033244,0.43739267144586536,0.43565896996790365,0.4723577936422475,0.4871740498892535,0.5186892038533211,0.5428051355978292,0.5815544723968418
rotD50,SA,0.04,-0.402867557719682,0.7000613472604456,0.6697664159773375,0.9919937367956211,0.9960608063745733,1.0,0.9984460910067958,0.9917399490115867,0.9834159789257976,0.967963632658169,0.9544557157656834,0.9347578821442193,0.9200963218668632,0.9046760440018621,0.8873464359402683,0.8721105225099279,0.8534763014932634,0.8142596745586422,0.7761969114885446,0.7564733592768705,0.7361813656701239,0.7060894731059826,0.6694262949192867,0.6151414563752496,0.5755231949468995,0.5441563596782079,0.5104436869271642,0.4864797951692345,0.4435931787329069,0.423751378841856,0.41338896917542045,0.41326282341997417,0.455273351727671,0.47060033466906176,0.5074111200903769,0.5312138097637467,0.5701355136860652
rotD50,SA,0.05,-0.4071085836366307,0.6818270119447362,0.6574410013493964,0.9866450877718995,0.9914519469724787,0.9984460910067958,1.0,0.9954376849654261,0.9849189330110102,0.9640475195483358,0.9456803508416695,0.9222827809213142,0.9057789744048411,0.8884686099563338,0.8697270626300893,0.8536209889965576,0.8341491578223457,0.7934294573585549,0.7543031194730083,0.7342765811368626,0.7138440918959383,0.684008760857001,0.6470198412765051,0.5929730623102216,0.553818258996813,0.5224768681493916,0.4895077117637273,0.4653886387086109,0.42499299693845466,0.4075231021540718,0.39911432685176096,0.3994386943740946,0.4440963779572777,0.45948272081523167,0.49811034376793023,0.5216863855114401,0.5609713404044397
rotD50,SA,0.07,-0.4025285720308389,0.6613908144398056,0.6349212365031894,0.9804244539930668,0.984811567911581,0.9917399490115867,0.995437684965426,1.0,0.9912625828984114,0.9663286886344911,0.9425401312223075,0.9145540844938549,0.8946780362879724,0.8739456950453999,0.8536237767565125,0.8363223920166887,0.8152528630414421,0.7717881162214852,0.7314528535583488,0.7109384277570931,0.6900234044606511,0.659950752958986,0.6223267505537172,0.5683732076279455,0.5294213266094778,0.4979103608611378,0.46537086609858724,0.44122944054807783,0.4027104658180329,0.38673314811575277,0.3799974076904687,0.38088941241907,0.42243718526731217,0.4382258288891349,0.47745590567781937,0.5006422277186885,0.5411280853026177
