,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,0.9999999999999931,-0.4678874502552926,0.7198713743462863,0.6497150757793655,0.9223917536283887,0.9190833921180955,0.905554367585063,0.8940431321798608,0.8805055410651225,0.8700247988111793,0.8725059274383395,0.8760607326362198,0.8685170004743653,0.8571214297776901,0.8441046121026056,0.8254323939479045,0.801713655713467,0.7809983544289116,0.7500022388252469,0.712982945549168,0.6940219003594704,0.68274300070183,0.6549658950901187,0.633161275962569,0.6062103170988938,0.5889570662351192,0.572356308610433,0.5619982279366141,0.5563359565046343,0.5547212750824448,0.5492802370139969,0.5265147234532148,0.5175658105160584,0.5257837079942123,0.5269410794065801,0.519475831539472,0.5328483348558416,0.5579410894111255
GM,RSD595,None,-0.46788745025529266,1.0000000000000004,0.06159744903889579,0.13995962899109746,-0.4056665514842957,-0.41218204178021395,-0.4287669415731655,-0.44868705291338695,-0.4776914796203414,-0.4764920055349367,-0.44362733990758224,-0.3859615094099214,-0.33020286526624937,-0.2770680848010453,-0.22851680231826976,-0.1799019288712036,-0.13016134002778257,-0.08658220171860039,-0.033994004060795696,0.012724292473259203,0.03217130731790824,0.045357202553137445,0.07532393177277238,0.10708200163582972,0.14709584679242407,0.17173879629747188,0.1912979384031919,0.20171634791980964,0.20770046933280267,0.2168649959794982,0.21735034144415133,0.22641244068680763,0.24254326513168206,0.22453851891473078,0.22853652663612606,0.24174797414484583,0.23443956587059867,0.2010341267975363
rotD50,"AvgSA([0, 3])",3.0,0.7198713743462865,0.06159744903889578,1.000000000000002,0.9593167345140597,0.698449423184879,0.6834195061922808,0.6310673811899695,0.596995738424862,0.5578714282537665,0.5522246173435424,0.6014884737923032,0.6622436402084498,0.7206357010912733,0.7780664848698188,0.8242840257353298,0.8559251213003196,0.8815218032501094,0.9013141527416817,0.929610255283521,0.9458405818438519,0.9499572666661786,0.9527265920818998,0.9563245293699824,0.9594581058408633,0.9615260110892464,0.9636078754775294,0.9621181873235998,0.959554203424661,0.9562244500968745,0.9486524122758814,0.9334523731731582,0.9108572845896887,0.8947618112335115,0.8720686854542338,0.8611216526655311,0.8346839439376859,0.8333269674281449,0.8365082162798586
rotD50,"AvgSA([0, 6])",6.0,0.6497150757793655,0.13995962899109746,0.9593167345140595,1.0000000000000004,0.5970437987929308,0.5849625449894797,0.5397059751325811,0.5063762804928179,0.460086429192355,0.4437720150738048,0.47997169497796555,0.5374248839104921,0.5940976906315178,0.651623733715929,0.7046718698656185,0.7452714116416309,0.7803414862279926,0.8066417352396772,0.8426160508204616,0.8655465002855538,0.8734568531874957,0.8798335757030784,0.8911672933047113,0.9007240947275432,0.9149326059411698,0.9291132725408981,0.9401206225113519,0.9479556083269607,0.9541513818202351,0.9627265697532289,0.9625447832566371,0.9609268185769235,0.9550227844015968,0.9541762935011471,0.9464937970502578,0.9378895062651998,0.9325029023301609,0.9295066648565004
rotD50,PGA,None,0.9223917536283888,-0.4056665514842957,0.698449423184879,0.5970437987929309,1.0000000000000009,0.9982747223350504,0.9832889377697311,0.9744009114164154,0.962897364817993,0.9602160230475741,0.9636353892751364,0.9572877184780612,0.9400043409995628,0.9170330351317826,0.8881705455728648,0.8557406351158491,0.8238275772149118,0.7940263001781865,0.74673073769958,0.703254293039916,0.6821716390642163,0.6653740286830159,0.6316527209608943,0.606850554575806,0.5725751257016642,0.5492569202093596,0.5306793704174767,0.521735215684136,0.5153326063826746,0.5088308211123077,0.49516380782823105,0.4590740813652305,0.4481796585536929,0.44237987874213197,0.4468971902314622,0.43624393032505454,0.4580017406046725,0.4828403999003174
rotD50,SA,0.025,0.9190833921180956,-0.41218204178021395,0.6834195061922808,0.5849625449894799,0.9982747223350504,1.0000000000000027,0.9902584835917118,0.9821387105847852,0.9692624949416531,0.9616492687431659,0.959593670026242,0.9494730930334979,0.9291988081582273,0.9042146005167566,0.8739913308508274,0.8404869276520621,0.8079145556156752,0.7777259200515302,0.7298749866310891,0.6863209940852261,0.6652915963887941,0.6485011708810169,0.6147319399382725,0.5899181343081336,0.5557562064720942,0.532787327007171,0.514526014341823,0.5060101711387593,0.5000200620830287,0.49375840761969425,0.48101420643981013,0.445075719576315,0.4340756643389169,0.430353691932271,0.43542884040279317,0.4261355732393009,0.4481118299542514,0.47306227268839374
rotD50,SA,0.04,0.905554367585063,-0.4287669415731655,0.6310673811899694,0.5397059751325812,0.983288937769731,0.9902584835917116,1.000000000000001,0.9951325719011491,0.9785543062255005,0.9589063860602967,0.9403801438927182,0.9187678764419479,0.8900453757917719,0.8581940466353181,0.8239394572785208,0.7878742353076064,0.7531704315229453,0.7220653114221152,0.6738305715259387,0.6298277744901684,0.6088429249899282,0.5923381984287898,0.5580871999124801,0.533412213705678,0.5003658354129834,0.4789700876091006,0.4620494671481606,0.45469546013862683,0.44954188036088744,0.44322563425723466,0.43213765345699967,0.39697924974019616,0.38643847130914166,0.3859372684774885,0.3919894348889306,0.38716234223110596,0.40934349722701086,0.43420070114767256
rotD50,SA,0.05,0.8940431321798608,-0.4486870529133869,0.5969957384248619,0.5063762804928179,0.9744009114164153,0.9821387105847851,0.9951325719011491,1.0000000000000009,0.9876060025009779,0.9630786029953368,0.9341824814771368,0.9058388998315196,0.8713684923879008,0.8362505890706666,0.7994165620638183,0.7607940917517948,0.7241936782729053,0.6916589580729773,0.6416919674714398,0.596524562124095,0.5750478379326686,0.5580485470058707,0.5235640497829378,0.4985515629431531,0.4656877680399639,0.4438007335847566,0.4271274707343737,0.4201168303994523,0.41520208198232605,0.40931210959760034,0.39813370723511265,0.3625775376575959,0.3516786061057467,0.35199841007366167,0.35804017971597857,0.354171296178259,0.37648021682187494,0.40159221022462277
rotD50,SA,0.07,0.8805055410651225,-0.47769147962034136,0.5578714282537663,0.46008642919235504,0.9628973648179929,0.9692624949416531,0.9785543062255004,0.9876060025009779,1.0000000000000007,0.979140346465864,0.9377561030490978,0.8997135080408534,0.8585358834029018,0.818980979736179,0.7793547111914729,0.7377650294429816,0.6984431815391215,0.6642086932416085,0.6119141290276398,0.5651292141752723,0.5430817235680826,0.5252841292238019,0.48998857969477694,0.4639677639590968,0.4291518193533313,0.4057561100664602,0.38774144824583,0.3801969565950482,0.3748266534107011,0.367017208378602,0.35322746102612357,0.3169591429580757,0.3051870643200637,0.30488148411633914,0.30975270776263525,0.3037518946658811,0.3261214597677686,0.3507143175780451
