,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0000000000000004,-0.34205667237296444,-0.2657450258091712,-0.5628274296122187,-0.5502433726151102,-0.5242932311450242,-0.518086484195984,-0.5227810598765319,-0.5340020946292653,-0.5323587647281799,-0.5198130450476044,-0.5051123631328848,-0.4804915536893527,-0.46095068504242254,-0.4356502504311987,-0.4124772817365766,-0.39174377426067136,-0.3684745596427245,-0.3307532587677288,-0.31646317265337504,-0.30589407502536026,-0.2829480992266853,-0.264782259789587,-0.23431174553436637,-0.213922722822452,-0.20144291545405923,-0.19144397385566012,-0.19284170109043167,-0.1893524245848378,-0.18852739575552854,-0.19207753561566704,-0.193036430680674,-0.17990763870461027,-0.17417079707305783,-0.1418713708136688,-0.15969906127651526,-0.1838650036107126
rotD50,"AvgSA([0, 3])",3.0,-0.3420566723729645,0.9999999999999976,0.9180579203766172,0.7401576016864745,0.7257399130984453,0.6842856001060287,0.656881674717575,0.6272941547581109,0.6156799289777045,0.6421271951331499,0.6788345060760581,0.7135353291737233,0.7505193617839206,0.7777332437534783,0.7922984981811246,0.8077904125480851,0.8241226065558167,0.8496998615645948,0.8697388182894289,0.8725995376241167,0.8768183488363904,0.8877503222334001,0.8973953961589185,0.899175751246732,0.9023626590446596,0.9078640215013635,0.9078726497804227,0.9094240279918578,0.8984062993122164,0.8715671522667902,0.8349252000222513,0.8095967833756263,0.7677172652461581,0.7469161051786694,0.6905399934183328,0.6921985283460798,0.6999519145052443
rotD50,"AvgSA([0, 6])",6.0,-0.2657450258091712,0.9180579203766172,1.000000000000002,0.6561552747457277,0.6454905759541055,0.6136645084282251,0.5889250064020652,0.5573935409015699,0.5354195612504384,0.549641945007143,0.5724781337723289,0.5940835856680368,0.6249533335293833,0.6475111198273706,0.6662585129202794,0.683728839215174,0.702744596494725,0.74120079737377,0.7678253408171987,0.7698108850802204,0.7728551641232774,0.7803088693176561,0.7857029451695541,0.8043015293718833,0.8143777237387881,0.8222460108691003,0.8317995957181966,0.8433840133044584,0.8665832985097824,0.8763977776768745,0.8820920513002354,0.8807197685079532,0.8943801999788897,0.8788552815800611,0.8709179850083788,0.8521794428221959,0.8433352227628025
rotD50,PGA,None,-0.5628274296122187,0.7401576016864744,0.6561552747457277,1.0000000000000004,0.9931844618033606,0.9670521627253504,0.9542262882457287,0.9390006262642979,0.9264641108243165,0.9120150844895187,0.8950214600304561,0.8716984282994812,0.8441062426325947,0.8215350170222996,0.7957342193558951,0.7733022491606669,0.7543041004524133,0.7215014048878032,0.6910295343167627,0.6743387435164441,0.6620590468382619,0.6398687718482952,0.6207828825573517,0.5852967260398831,0.5594510300369155,0.5461858972859996,0.533649055259367,0.5300730178020712,0.5253736658903975,0.5110933967617752,0.508457708363955,0.5129140596319312,0.4948168705265476,0.4938139766866715,0.46480368158866775,0.4886811024402718,0.5144770465119087
rotD50,SA,0.025,-0.5502433726151102,0.7257399130984453,0.6454905759541055,0.9931844618033606,1.0,0.9790981190099307,0.9639949372910395,0.9417359169193238,0.9212616712857089,0.8989641893990099,0.8787113547550188,0.8534857206361516,0.8253675858241747,0.8025645042843585,0.7764227880807048,0.7546368205248262,0.7358068341262639,0.7037743718233367,0.6744980217594689,0.658055527109527,0.6464676038592965,0.6246068090855785,0.6062067601656204,0.5720941457193831,0.547038457246062,0.5341514073017775,0.5218766263414857,0.5186984302634114,0.5142849749189412,0.500044820318829,0.49729583724556903,0.5022568056406117,0.48598991180912315,0.48507639587499324,0.45789443824871917,0.48172024657738116,0.5067835921751808
rotD50,SA,0.04,-0.5242932311450242,0.6842856001060286,0.613664508428225,0.9670521627253504,0.9790981190099307,0.9999999999999996,0.9827474387374452,0.9481070250389028,0.9072688939667509,0.8645032289596875,0.833957393255495,0.8036605321325783,0.7725495888421283,0.7490416508255916,0.7236020186143487,0.703216341594875,0.6850475775152921,0.6554679595225779,0.6281428083274907,0.6126790866613734,0.6022965442582089,0.5822561888644323,0.5661402975337612,0.5344438212375681,0.5103489120284284,0.4983985957755579,0.4869700364196828,0.4840288258800921,0.48221256749737457,0.4708870348735786,0.46866441350616855,0.47437317942447577,0.4602096060493573,0.458970117988895,0.434969041032279,0.456973079107427,0.48040640702150533
rotD50,SA,0.05,-0.5180864841959841,0.656881674717575,0.5889250064020654,0.9542262882457287,0.9639949372910395,0.9827474387374453,0.9999999999999996,0.9626454358014185,0.9124415266748539,0.8567885792854201,0.8174683929259238,0.7818897043249569,0.7484471189827869,0.7225082699217745,0.6960501144807959,0.675302738786129,0.6567534142816208,0.6275927827543096,0.6007328461268844,0.5860820895690609,0.5752188651677216,0.55538433097977,0.5396642862043695,0.5086953063149225,0.48564114624124705,0.47404010293795773,0.4626742881757129,0.4597287705722777,0.4597876941801594,0.44879135317274294,0.44731472109878695,0.45294672579317347,0.44056282397131286,0.4394578759546757,0.4152215767128377,0.4356855860999759,0.4584243184056883
rotD50,SA,0.07,-0.5227810598765319,0.6272941547581109,0.5573935409015699,0.9390006262642979,0.9417359169193238,0.9481070250389028,0.9626454358014184,1.0000000000000002,0.9418303756579458,0.8729656453866458,0.8199626797353025,0.7751870932939171,0.734842702924498,0.7025291818563254,0.6723715723531718,0.6487657586911703,0.6295787120641656,0.5988100903339223,0.5690057328891489,0.553843325732959,0.5435733582843508,0.5243449019101376,0.5096249811724732,0.4791230579852883,0.45595714392791736,0.44467077428643514,0.4341742596815692,0.4316145666378328,0.43313887799984513,0.42371694858947934,0.42222428128785966,0.428573405190413,0.41724627815859827,0.41590947868644423,0.3885926384509018,0.40742494704361454,0.4293738148750925
