,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.49469963338060485,0.6907944243079448,0.6485037764129854,0.8449808979424636,0.8413489474031263,0.8291953233382039,0.8188707520365592,0.8054158786327676,0.7948186160324114,0.7938177249146279,0.7950935174238414,0.7913838128637728,0.7811505691087499,0.7710658594388542,0.7581276242842192,0.7421921836681608,0.7275940020783304,0.7051466605999398,0.6784849422970086,0.664805633997012,0.6558763445659382,0.6356309918031272,0.6177354412476479,0.5940854389686357,0.5781843417714385,0.5655085675678942,0.555515398931653,0.5502276271238213,0.5378748406312048,0.5271341005106228,0.5089844482443492,0.5081709251936868,0.5121012712218744,0.5124799154261982,0.5068436634737159,0.5154206276768852,0.5364213877192744
GM,RSD595,None,-0.49469963338060485,1.0,-0.10344546779423507,-0.05740658618422767,-0.43278869552980587,-0.4310059809759296,-0.4291921231183835,-0.43662486928084193,-0.44926728918112074,-0.45262158620006954,-0.4348556232085992,-0.4035895774996667,-0.3739850120377086,-0.33961391051193557,-0.30929051584740813,-0.2765146810433725,-0.24382009559690176,-0.2138281949015307,-0.17966641315531212,-0.14337455329550705,-0.12887849759143905,-0.11707786793224811,-0.09248499758318811,-0.06835748452399425,-0.03656178135154599,-0.013720699101295284,0.0023035118098564196,0.014064710258462421,0.017602281910603028,0.022759895863482954,0.015285018258885756,0.025879485507340736,0.03418492908847174,0.029247173600527452,0.033849293123927655,0.0578003629554778,0.04278809343106251,0.016413652840739562
rotD50,"AvgSA([0, 3])",3.0,0.6907944243079449,-0.10344546779423511,1.0,0.9705870110429533,0.7235034244250498,0.7086587446119745,0.663839856622789,0.6362741388173274,0.6055607856091018,0.6005623470915861,0.6380789988540646,0.6869056928214488,0.733325349816079,0.7771228609041934,0.8127400380352151,0.8366306895231385,0.8566042324869013,0.8749665383005143,0.9044286640060127,0.9242457793401664,0.9302071997964798,0.9353960297276221,0.9441560936171953,0.9506194984180867,0.9549734829506488,0.9571422414746574,0.9571948593347274,0.9540204103997534,0.9507671988132571,0.9354878700735959,0.9121147042075629,0.88589722390884,0.8694201099315992,0.8510722460094827,0.8385054776716561,0.8127278034075556,0.8141209449662862,0.8210203544320902
rotD50,"AvgSA([0, 6])",6.0,0.6485037764129854,-0.05740658618422769,0.9705870110429532,1.0,0.6533049085473428,0.6400792123068578,0.5989837942757605,0.5725339370759662,0.5401194841201958,0.5305002773910784,0.561317009582846,0.6058105342648511,0.649206740537605,0.6894136746161843,0.7245996403228541,0.7523453572227242,0.7755093847158901,0.7959409238834496,0.8301737408028341,0.8541201428127506,0.862355881705427,0.8696020152756183,0.8820160674518676,0.8928615669441858,0.908768987405436,0.9225703979994907,0.9323749215754407,0.9386488191229982,0.9446138183394769,0.9550103554064807,0.9562893646444449,0.9540263656720164,0.9535878576846185,0.946884472823254,0.9409297304951428,0.9213191288274724,0.9149754642510219,0.9111824370386287
rotD50,PGA,None,0.8449808979424636,-0.4327886955298059,0.7235034244250497,0.6533049085473427,1.0,0.9969608547137108,0.9808827271833046,0.9717737180357439,0.9608938204690162,0.9562745119706543,0.9533904557590241,0.9441141464376732,0.9265998492015021,0.9051492002127991,0.881440390315299,0.8559795339956213,0.831553255463494,0.8085494151399397,0.7692190545103993,0.7331846039945846,0.714614002949124,0.699351000175614,0.6712064519789813,0.6459851321191974,0.6079894983047143,0.5806323938541428,0.5608849338283041,0.5453550313499613,0.5347751145440895,0.5167658896013809,0.5032721800854304,0.4837968549634319,0.4811721166088012,0.4863223325752973,0.4929578698883418,0.4992491543344562,0.525256159806034,0.5558268856768503
rotD50,SA,0.025,0.8413489474031263,-0.4310059809759297,0.7086587446119745,0.6400792123068579,0.9969608547137108,1.0,0.9886189910113955,0.9794260731098866,0.9658469281128844,0.9559741143420347,0.9472733159405463,0.934586265867378,0.9144980147800276,0.8914626843409207,0.8667202009976247,0.8404612675339304,0.815783386007587,0.7924979970664561,0.7529803647574291,0.7169801533792249,0.6984153778341279,0.68331854195285,0.6552942810998776,0.6301112830774314,0.592411524775646,0.5654464289875961,0.5459278850677314,0.5307194509674839,0.520470098024563,0.5028764190546721,0.49052889232348007,0.4714902758564761,0.4691009624926556,0.47756354328062484,0.4844883357546452,0.49249952200893093,0.518496126727523,0.5487757996594597
rotD50,SA,0.04,0.8291953233382038,-0.4291921231183835,0.6638398566227888,0.5989837942757605,0.9808827271833045,0.9886189910113954,1.0,0.992569786516517,0.9741388200924781,0.9514985761322939,0.9268020427586856,0.904057790816884,0.8771179406343905,0.8491085755520211,0.8215474371839246,0.7937471506990718,0.7681397398559651,0.7443399643369235,0.7050419354689053,0.6689763547692021,0.650586305907082,0.6359246871276824,0.6082711075310004,0.5836360491098906,0.5469288169073837,0.521089703256065,0.5024160417017436,0.48808666089023156,0.4784258446692061,0.4624903982370318,0.45323012054996514,0.43569704429943934,0.43395998303953176,0.44626783850609425,0.4537552960386842,0.46522564665028526,0.49052553621780004,0.5199994755182007
rotD50,SA,0.05,0.8188707520365592,-0.43662486928084193,0.6362741388173273,0.5725339370759662,0.971773718035744,0.9794260731098866,0.992569786516517,1.0,0.9831595080446688,0.9552509403327769,0.9208937853886954,0.8913151143642298,0.8592720520620968,0.8284698634641798,0.7985684836344316,0.7690068818845991,0.7421711278392455,0.7173873463395076,0.677039351018381,0.6403425763583165,0.6218946041444938,0.6069040581022053,0.579317242772516,0.5546444933359016,0.5184781666858067,0.49290829705441297,0.4745013280100219,0.46056133774226493,0.45106982117113376,0.43697498184875727,0.42910786337265305,0.41217515593302023,0.4104283446142982,0.42322706785693387,0.4307560394051223,0.44319345156300105,0.4680740662627362,0.4974369425557215
rotD50,SA,0.07,0.8054158786327676,-0.44926728918112074,0.6055607856091018,0.540119484120196,0.9608938204690162,0.9658469281128844,0.9741388200924782,0.9831595080446689,1.0,0.9723461101203361,0.9277453143682687,0.888553090482841,0.8498683648899978,0.8142617300535391,0.7804021938940612,0.7480980282079218,0.718817791559643,0.6926052934217966,0.6500912990961594,0.6114748081974577,0.5925116454537821,0.5771487486563995,0.5489970768552612,0.5241389787214891,0.48745277847113666,0.4610655713963079,0.4419546227780312,0.4281935061541394,0.4186694445480924,0.4048816550026536,0.39741062946393113,0.3811709126889896,0.37958971195982527,0.3896466134998723,0.3969263298564693,0.4057042281503782,0.4305100395561357,0.4596771612693709
