,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.455325250591859,0.7556502530179546,0.752564462546143,0.8786415703073028,0.8657214422277626,0.8305636188456311,0.8242802934321601,0.8058003124903308,0.793169214261645,0.7875860770303035,0.7993156923659837,0.801461989689169,0.8111140928576545,0.812475322177016,0.8299746291763003,0.8286557568931994,0.8226832355295098,0.7997641739375948,0.7855645541685847,0.7718556811401068,0.7548100384815185,0.7403968987608823,0.7185737275062546,0.7017697088631415,0.6851151538871749,0.6648574073778639,0.6577773509608162,0.6455304239715883,0.6342213665057802,0.6026402916028188,0.6101138325917336,0.6125160200761175,0.5933017717499692,0.6081332430193578,0.6304166239664922,0.6704749710200698,0.6758342741215195
GM,RSD595,None,-0.455325250591859,1.0,0.027025466468850134,0.06320484572776588,-0.42201044412525335,-0.41210315413165816,-0.3876198424642542,-0.41360866000286806,-0.4388817515236583,-0.4767001105096825,-0.48113608006038394,-0.45431028720227357,-0.43289291257284546,-0.4071913028793701,-0.3563391999263716,-0.3131044451229022,-0.2842701506371344,-0.25230784042349846,-0.1935226078812955,-0.1450304657321535,-0.10651443405670528,-0.06962930317485504,-0.05503102309637047,-0.019442523637712615,0.0027433782707863325,0.03796949017732004,0.07803872099980036,0.09747899837240012,0.11938282905529893,0.14271938048877034,0.22149819964749295,0.214280477746975,0.21882807102746651,0.2355310623388128,0.22651819544094426,0.1972550681579546,0.15303700302977788,0.14145672283693167
rotD50,"AvgSA([0, 3])",3.0,0.7556502530179546,0.02702546646885013,1.0,0.9243943223994852,0.6918388716545215,0.6845802591251829,0.645209425494101,0.6048623516218268,0.5499071170478586,0.5128076708680809,0.49261598844003884,0.549496890646089,0.5859529156182307,0.6325727193381493,0.7111628867278822,0.7785742857530635,0.820611386117018,0.8501826772225357,0.8973870792091106,0.9274760362163493,0.9413372991438266,0.9494554569977022,0.9605920406084166,0.9679365161112548,0.969409637929702,0.9669614675808366,0.9669840553226817,0.9685817181562315,0.9645718851252888,0.958884125951936,0.9501227741667564,0.930526885562302,0.9170198876503912,0.9024867442902397,0.9052699077128984,0.8238490488581934,0.8259057198256696,0.8066876398556562
rotD50,"AvgSA([0, 6])",6.0,0.752564462546143,0.0632048457277659,0.924394322399485,1.0,0.6606956813912684,0.6591376665673777,0.6502721629583881,0.6251765792769612,0.5717654716753163,0.518913437191524,0.48127891218693064,0.5050066006661279,0.5033252362340032,0.514364201689561,0.563312979842897,0.6305629166889803,0.6636870833794646,0.6960662154458843,0.7502624275802247,0.8019581758512341,0.8182310129561791,0.8365254360854573,0.857957146186304,0.8699094709441015,0.8828508492601712,0.8965087247299588,0.9100588761352559,0.9194045448646702,0.9199746522690693,0.9211693967736349,0.9293085387162002,0.9252163921293065,0.9240640701904141,0.9344605324326483,0.9469284398527167,0.9569561609667291,0.9519464639498336,0.9310033743873501
rotD50,PGA,None,0.8786415703073028,-0.42201044412525335,0.6918388716545214,0.6606956813912684,1.0,0.9987404233033846,0.9862988758094744,0.9791221621528629,0.9698410192096708,0.9641336486701757,0.9534970670749038,0.9540848870863746,0.948843200975537,0.937181333295476,0.9242386620963456,0.9111564366987414,0.8923571820754418,0.8763973631832661,0.8110207011502499,0.7642199250313758,0.7406053764544798,0.7175712148645268,0.6999989215846267,0.6765967237348335,0.6401541579679734,0.6019264132463997,0.5823684773201127,0.5787575968056601,0.5731803417374367,0.5463553380489029,0.5107643978335147,0.5310456630203144,0.5401403568865611,0.4808542002876791,0.4966774228883543,0.5303361433390289,0.5742584029826293,0.5895153076108129
rotD50,SA,0.025,0.8657214422277626,-0.41210315413165816,0.6845802591251829,0.6591376665673777,0.9987404233033846,1.0,0.9917433785001716,0.9836207674218066,0.972422637063304,0.9651090895143537,0.9516960827756057,0.9509669626664744,0.9434466316865285,0.9301137054960759,0.9152297264503081,0.900775524471881,0.8829544968713726,0.8666527850606812,0.8001134003345979,0.7535586797008723,0.7303220923272712,0.7075747593901672,0.690584930996503,0.6682361107436561,0.6316754182576352,0.5927287422352938,0.5741509010250285,0.5710087327400728,0.5665369642903443,0.5409357328746804,0.5089353360969544,0.5320608673954074,0.5417311046935099,0.4823105268529346,0.4976604595341517,0.5324762760046581,0.5754401601789636,0.5895334076897568
rotD50,SA,0.04,0.8305636188456311,-0.3876198424642542,0.645209425494101,0.6502721629583881,0.9862988758094744,0.9917433785001716,1.0,0.9942766117079725,0.9826226550768365,0.9656235969150195,0.9477252131107322,0.9415417190552655,0.923558944743018,0.900126063504846,0.8792064434789887,0.8637075447357321,0.8400161422741993,0.8233383417337431,0.7525993509890373,0.705970784188848,0.6811156377272349,0.6604997377079878,0.646100780653427,0.6249588954385435,0.5877482627759777,0.5502602968761348,0.5345738613026092,0.5349836372448701,0.5342205904750776,0.5083986678545256,0.4814416581252714,0.5090994116456133,0.5215368047543077,0.46565436018058276,0.4814995316034161,0.5369481359121454,0.578681149193576,0.5910389613433301
rotD50,SA,0.05,0.8242802934321602,-0.41360866000286806,0.6048623516218268,0.6251765792769614,0.979122162152863,0.9836207674218066,0.9942766117079727,1.0,0.9892928388015659,0.9729960374842578,0.9509295209877973,0.9398517295629827,0.9177958471688472,0.8894976436867352,0.8630716588881899,0.8435285461535437,0.8152863038500456,0.796400665285372,0.7212696597516722,0.6734239338385086,0.645288115441892,0.6233015374080064,0.608475775035941,0.5858804007339131,0.5471991001660835,0.5107473708643603,0.4954312351492731,0.49660458540199937,0.49460295954765077,0.4662961514888402,0.4374451621673492,0.4667785671110363,0.4817118805120228,0.42756523324503454,0.4450523418199659,0.5140600423136057,0.5550581033382957,0.5675376110379216
rotD50,SA,0.07,0.8058003124903308,-0.4388817515236583,0.5499071170478584,0.5717654716753163,0.9698410192096708,0.972422637063304,0.9826226550768365,0.9892928388015658,1.0,0.9863220334855729,0.965745021946665,0.9458577781800239,0.9174499073748745,0.8860669714427611,0.8541139436962835,0.8271501579085871,0.7934228376153005,0.7712993041971935,0.688981372565552,0.6338321796349575,0.6035150924359867,0.5783008183378634,0.5598862775434823,0.536880895571343,0.4980955143341504,0.45986420335711775,0.4385990608355081,0.43600187641757804,0.4321015097312708,0.40341368680669587,0.37096844369743515,0.4066565525392399,0.4228271258051941,0.3633501438279132,0.38198653894687573,0.45746664715530144,0.5001047369273132,0.518264387412462
