,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,0.9999999999999993,-0.6093354700893858,0.5497760337466451,0.24061510023332505,0.7257367060745874,0.6967065671729519,0.6590208715380236,0.6640592626220531,0.6540681721556405,0.6371683159638194,0.6245811134121091,0.6183127212760748,0.6218633006140689,0.6567958653721279,0.676485515465623,0.6633142089855694,0.6536412941142274,0.6348380663297432,0.6184614056406439,0.6249249768477949,0.6114754320658431,0.5766778187763323,0.5633400309639532,0.5407392998177851,0.5064742046847917,0.4805768076555482,0.4879624204174261,0.4476404782616154,0.3848499716867606,0.40338795967427576,0.32155414716206643,0.288715076732642,0.3109511798537579,0.24834190133628012,0.21464537490195004,0.0809098249704003,0.06494294395310923,0.0677366312457901
GM,RSD595,None,-0.6093354700893858,0.9999999999999986,-0.31277395804236385,-0.12966021160813573,-0.4015227536513799,-0.36337413640377164,-0.33014585811295544,-0.3356781270633776,-0.34953854262793665,-0.35299089940298267,-0.34651779946060185,-0.33577619450473883,-0.3391786446881546,-0.3583162500230401,-0.35625829944280435,-0.3481271323435372,-0.33736246166656225,-0.351436437867631,-0.3680857453122755,-0.3459990454731302,-0.35843158717706214,-0.3365263004883552,-0.2858965415664145,-0.2762271265147067,-0.2791949637391993,-0.2395328761934048,-0.24328899365487597,-0.22334395435065846,-0.203573462108625,-0.21923293943644656,-0.17104886334125396,-0.14529252124132586,-0.17659222393944615,-0.13987404639013498,-0.10737634885338758,0.001263132972010261,0.0032686586715258577,-0.007137414979404759
rotD50,"AvgSA([0, 3])",3.0,0.5497760337466451,-0.31277395804236385,1.000000000000001,0.8252933957060177,0.7313806052135109,0.7137170597697082,0.6724274568972586,0.6628956094429086,0.6191671741470193,0.5778882985607553,0.5377455940188256,0.5897851426356844,0.6300482756583087,0.7067447926996092,0.6761113337117004,0.7177271314668473,0.7373547924448784,0.7371979777992562,0.765427382571168,0.7868396119427049,0.7908381789825626,0.7964539381158222,0.8173365984835796,0.8249302485605654,0.8312729627001455,0.8467381107524121,0.8607338368540657,0.856798370293982,0.8579953251648046,0.8677873321357321,0.8812861792948875,0.8345979675643725,0.8138790017747369,0.7827458497189017,0.7446853248816255,0.6563381605403618,0.6332459563955043,0.6163481219615886
rotD50,"AvgSA([0, 6])",6.0,0.24061510023332508,-0.12966021160813573,0.8252933957060177,0.9999999999999989,0.5885027201256747,0.5726543555519845,0.5327479197379428,0.5246864507427135,0.49902627781710335,0.4653791273834106,0.4069065537075755,0.46892022021019303,0.4934139606765233,0.5265864258515266,0.5037038382963881,0.5457714367357747,0.5692507227940292,0.5646356720261283,0.5653379855544752,0.5438837183225596,0.5616465793774433,0.5759089471052203,0.6056282811865027,0.6238997097083638,0.6658228212633767,0.6868521535110048,0.7120273711954046,0.7299610805854514,0.7635167930779132,0.8078853669297358,0.8452624115175352,0.8867928704878222,0.8911763994071766,0.9035177431118222,0.8798418946379016,0.9136819946030913,0.880589602959931,0.8523091676089244
rotD50,PGA,None,0.7257367060745874,-0.40152275365137996,0.7313806052135109,0.5885027201256747,1.0000000000000004,0.984817415167783,0.9453267051294973,0.9378693450267561,0.9313418487753063,0.9178769164844084,0.8912063872025437,0.8999229101885804,0.8899976592375032,0.8750493290199785,0.8378714341745763,0.814422267641578,0.782615718237911,0.7420745413380259,0.6793267846816269,0.6372126028158305,0.6036562096136308,0.6009509742157166,0.589405524624069,0.5811961843431748,0.5482317482361324,0.550726424759156,0.55997157234155,0.5204559366354847,0.5053142071952332,0.545013237640806,0.5245321616830836,0.5353589502694461,0.5762165046103513,0.5482237246857815,0.5346259626566031,0.4961426637903914,0.5031190385875844,0.5048385505468767
rotD50,SA,0.025,0.6967065671729519,-0.36337413640377164,0.7137170597697081,0.5726543555519844,0.9848174151677829,1.0000000000000002,0.9687926113792676,0.9475259778607716,0.928145477889901,0.9048273376058209,0.8666621118773561,0.8738394023360422,0.8637752192342832,0.8491131679003703,0.8073218143557256,0.7838520882636612,0.7532637996942048,0.709214869400701,0.6547389164156364,0.615844876420159,0.5836347195439918,0.586524612639038,0.5710045878429144,0.5619390466327888,0.5240560450281457,0.5288246507716376,0.5465247142096881,0.5046732591448957,0.4952457201625567,0.5310006481103833,0.5079607576220266,0.5272983607023631,0.5745279433998236,0.5523015838887485,0.5350666144628686,0.48897896715254513,0.49159812488380616,0.49406680138985276
rotD50,SA,0.04,0.6590208715380236,-0.33014585811295544,0.6724274568972586,0.5327479197379428,0.9453267051294972,0.9687926113792678,1.0000000000000013,0.9673540499217843,0.9214335314885389,0.8803667542494408,0.8207789808798432,0.8253744011874885,0.8104258325446362,0.7925856908925519,0.7494911512791687,0.7188314632745134,0.6877585846042292,0.6456483165508601,0.6085341836628356,0.5644316609458268,0.5362311750932435,0.5437393927388434,0.5337130008892534,0.5302734113202554,0.4951959893882196,0.5020666199003934,0.5173847121335363,0.48315199190754776,0.4733856432476797,0.5021645802410658,0.4900081953998078,0.5173132719785887,0.5664725370315211,0.5420030926275574,0.5251408828692291,0.4794252790451976,0.48002416822158195,0.482405904053736
rotD50,SA,0.05,0.6640592626220531,-0.3356781270633776,0.6628956094429086,0.5246864507427135,0.937869345026756,0.9475259778607718,0.9673540499217844,0.9999999999999999,0.9436428741625468,0.8907592120555169,0.8178372186225118,0.816857610638276,0.8025302838539201,0.7800981769548693,0.7374156909287429,0.7030760732237417,0.6691949855322175,0.6292232913006819,0.5883996769100421,0.5457581282956875,0.5193466379224265,0.5229245128670531,0.5233309545374079,0.5311875106500362,0.4972131912970059,0.504333268930114,0.509678302207914,0.4808670388035811,0.4633573835414507,0.5031501345310901,0.4853171138993591,0.5108600772995785,0.5557018441479169,0.533891784340048,0.5305832304748481,0.4787743417602949,0.4821815236835513,0.48065326699155925
rotD50,SA,0.07,0.6540681721556405,-0.34953854262793665,0.6191671741470193,0.49902627781710335,0.9313418487753063,0.9281454778899011,0.9214335314885389,0.9436428741625468,1.0000000000000002,0.9457216198727919,0.864869869490262,0.8399570026612222,0.8068325350375407,0.7782559960168574,0.7186783135502122,0.6751732042904245,0.63606942741588,0.5886177735924086,0.5402351205090007,0.4931715692058242,0.46693397748396115,0.48114235943546113,0.4768173447232084,0.4886791363989104,0.4609743724652046,0.46271352667228505,0.4647751794568512,0.43457368425131676,0.41317511651268496,0.4608851352615347,0.4441139511200646,0.47274883886418123,0.5154759422123915,0.5039931520979669,0.5060364636408933,0.4566014426395737,0.47389648920524297,0.4817290171128269
