,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.21805699349788044,-0.2012829682202407,-0.4665454789159758,-0.4601954347111596,-0.4518862941636251,-0.4631925249132433,-0.48060171090710213,-0.49467070120490114,-0.47816765476546297,-0.44539262136986135,-0.40682602862564815,-0.3717866806945955,-0.33584101165368613,-0.3180192935411946,-0.30719878424886643,-0.2881731811173432,-0.26328890007344175,-0.227150373368371,-0.21197129380794785,-0.1894834591741262,-0.15970839440322024,-0.13889413532063546,-0.11793753907142432,-0.11050557003976892,-0.11786862904448289,-0.10684112593323498,-0.11094953841029917,-0.07140967018582518,-0.006777492267298666,-0.006646162379001245,-0.028180541204863005,-0.006512722697101559,-0.019206196604810877,-0.04668018391504297,-0.06332327814145822,-0.07791674498902959
rotD50,"AvgSA[0,3]",3.0,-0.21805699349788044,1.0,0.9874893278702154,0.802635393542732,0.7919811822417052,0.7596404116319492,0.7399169667506789,0.6975685987920185,0.6794192709839777,0.6909858692146089,0.7443021905086451,0.7800774289286637,0.8099870048409721,0.8330701009597228,0.8630456248031763,0.8857195434242556,0.9012890846527781,0.9229867336425803,0.9362074334748313,0.9429878706602745,0.9452372227292108,0.9495103656473421,0.9520721016013786,0.9551949401703035,0.9571733735854271,0.9627816097154204,0.962561501228171,0.9588342467742282,0.9428149586032375,0.9192416521503133,0.9104959479061058,0.9051016473761444,0.8842060449807982,0.883652964796425,0.8481171664967594,0.8406259543953147,0.8253439247319803
rotD50,"AvgSA[0,6]",6.0,-0.20128296822024072,0.9874893278702154,1.0,0.7747932088235675,0.7663659294337197,0.7385767822358879,0.7196976107698825,0.6768833082695233,0.6531712601682819,0.6559294668751886,0.7032600093414301,0.7296959139599626,0.7544841160144052,0.7705163933191519,0.8025851799617321,0.8253347011074864,0.8379643309161087,0.859572996055135,0.8755935110924283,0.8858718212553531,0.8906851085584934,0.899427552042256,0.907879431653303,0.9205842084775715,0.9313175476000469,0.9490995749843615,0.9582680932153028,0.9640871468279368,0.9625429126444822,0.9509658346443046,0.950672946013084,0.9518585281048311,0.9391152960924402,0.941307989327997,0.9182784375115153,0.9110504637201782,0.8963895378717098
rotD50,PGA,None,-0.4665454789159758,0.802635393542732,0.7747932088235674,1.0,0.9980312396236629,0.9866608109345266,0.9817022839270082,0.9733904936800934,0.9697025969509472,0.9687671837194141,0.9689587822855598,0.9554832162307781,0.9382550174228002,0.9199532059819249,0.9112332047088637,0.8990530044265732,0.8762420401492562,0.8290815869281368,0.7901652120895493,0.7689168370094799,0.7528710251012332,0.7296470585755979,0.7067089529807831,0.6800257124477985,0.6581727746094492,0.6523123031397872,0.6465038295394636,0.638592220729815,0.6041990766473316,0.5690963898566982,0.57857682565868,0.5941526517728308,0.5773855847267122,0.5976191724723389,0.5958188501593914,0.6286290063628048,0.6466415155875834
rotD50,SA,0.025,-0.4601954347111596,0.7919811822417052,0.7663659294337196,0.9980312396236628,1.0,0.9924101345352055,0.9860474169155578,0.9762466554422998,0.9709234437406399,0.9662391611558587,0.9639425540976304,0.9480071992949638,0.9290531856798335,0.9090906455302412,0.9000910274480477,0.8878143918586396,0.8639179328043368,0.8161105945654137,0.7774978183331113,0.7566160448751414,0.740920478221731,0.7172083331102072,0.6946774197155907,0.6676357059074031,0.6451703653123902,0.6409688177831434,0.6355940603293796,0.6287927923347987,0.5942430861431112,0.5605369228191115,0.5727144469605131,0.5898730747920949,0.5753833685435885,0.5948542232217162,0.5931493013746095,0.6252746958182097,0.6439928505318511
rotD50,SA,0.04,-0.4518862941636251,0.7596404116319492,0.7385767822358879,0.9866608109345266,0.9924101345352054,1.0,0.993926864527678,0.9832488584606255,0.9714931650575305,0.9576128776841516,0.9467027259993992,0.9231804067542768,0.8988448953215745,0.876079501698208,0.866114909477821,0.8537474357118063,0.8291131369652626,0.7802432508237352,0.7412811171175763,0.7200899329046708,0.7060523887396917,0.6832268645798366,0.6612869619829838,0.6344859409434538,0.6115346273796504,0.6071081231759592,0.6041444517377398,0.5991611286135946,0.5622388980818485,0.5282216003922368,0.5460941186050186,0.5665125065727945,0.5561661872678267,0.5779056159281993,0.5811438342785509,0.6136499756691034,0.6329146262613569
rotD50,SA,0.05,-0.46319252491324325,0.7399169667506789,0.7196976107698824,0.9817022839270082,0.9860474169155578,0.993926864527678,1.0,0.9886277160917986,0.9749626441016258,0.9560224684923326,0.9410733532645633,0.9138158812574256,0.8873922911615852,0.8625172957332207,0.8517145142720036,0.8384879376580288,0.813239906765591,0.762563687093609,0.722544701542383,0.7003872395767623,0.6853036151919923,0.6625527218597324,0.6408068547546782,0.6141946165900477,0.5906168942492194,0.5851175874673302,0.5830474980992176,0.5773098252203468,0.5384213142357862,0.5023749223798913,0.5211376181384652,0.5434388267300309,0.5348199451181084,0.5606782306242889,0.5675870613513624,0.600814631291793,0.6199580390395786
rotD50,SA,0.07,-0.4806017109071022,0.6975685987920185,0.6768833082695233,0.9733904936800934,0.9762466554422998,0.9832488584606255,0.9886277160917986,1.0,0.988115741089561,0.9656223866750623,0.93948319658801,0.9031300895028095,0.8726467276168473,0.8422169821868979,0.8281405575851644,0.8116690468832514,0.7827950703498829,0.7286838737856026,0.6840237305971986,0.6599533709501145,0.6437055669652735,0.618560080558717,0.5955070988579243,0.5677143586423484,0.5427489273304011,0.5364757416809683,0.5349304023414191,0.5288103515328283,0.48775454700661597,0.4466024272408319,0.46969729802884164,0.49226838276983476,0.4858247772106195,0.5153374720952485,0.5261818597785647,0.5636180136902498,0.5876094139199393
