,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.4401531247772301,0.7987450599849674,0.7178221392474297,0.9100372066707394,0.9045118769930283,0.8809373602697247,0.8709298896101061,0.8464571609579513,0.8346195117623023,0.8713819727660372,0.9096728215794225,0.911381914420058,0.9127432131014941,0.9024215070811581,0.901832242458286,0.8936534955844164,0.8755870655412217,0.854060611955495,0.8308565975585225,0.8217314046502516,0.813616708842678,0.7993787111440573,0.7961069668040068,0.7733543808702867,0.766678957899537,0.7554926534304152,0.7458363584553609,0.7462523239870421,0.7253325985027053,0.6926033228176385,0.7117487244970538,0.709451213647406,0.7175093564480962,0.720551736401422,0.6504017519729712,0.6596613062685406,0.6624410204138836
GM,RSD595,None,-0.4401531247772301,1.0,-0.028147868817635265,-0.02302619359384422,-0.2795644549122011,-0.2752154919565893,-0.25821892739419344,-0.2738972632008675,-0.25213033176383604,-0.24701413716027856,-0.2660511452132045,-0.31649558906351505,-0.28489242273582305,-0.23733346760759677,-0.19092606320566705,-0.17973696470777595,-0.16345469800596094,-0.13222733823307936,-0.07518009309211507,-0.052113684788721894,-0.04518977129610441,-0.03655992028079393,-0.022931795731906245,-0.017478390406057708,0.011577590225447803,0.017562392233211523,0.012249566057019759,0.010877179770498648,0.008938139084758996,0.01527080049119229,0.02678189640343466,-0.0027238580629996047,-0.016624569802768354,-0.15293653864642368,-0.16758995187505688,-0.08858201355840845,-0.1374319356137692,-0.18117511672871445
rotD50,"AvgSA([0, 3])",3.0,0.7987450599849674,-0.028147868817635247,1.0,0.9636022716407832,0.8359423020348541,0.8305202854076584,0.8019894253940872,0.7741144854893803,0.7479949393722917,0.7336215258962687,0.7721408291740304,0.7902813043789612,0.8162772259258178,0.8527274857958795,0.8743671172574736,0.8953430844564172,0.9125764840264535,0.9331507176310652,0.9558225787113858,0.968826307332324,0.9708633154551083,0.9739069885952115,0.9778473790768335,0.9817537626263197,0.9818174328573587,0.982844211512538,0.984257686207299,0.9827920293081355,0.9831119644640132,0.9785371400223749,0.9702599403886671,0.9583988054921284,0.9466707561630162,0.931490507344902,0.9207804318218941,0.8733473741628994,0.843173784077969,0.8137617181877869
rotD50,"AvgSA([0, 6])",6.0,0.7178221392474297,-0.023026193593844217,0.9636022716407832,1.0,0.7757947451964613,0.774892299753658,0.7609957904835549,0.7340930710789105,0.7143880239023326,0.6855023235199874,0.7113848351697519,0.7117334064651046,0.7212582754860928,0.7427947847200529,0.7553292804353848,0.7823747272307624,0.8101850465834408,0.8431277852325336,0.8774795287446756,0.8997963370284879,0.9060763311106697,0.9152183532803482,0.9268895068056837,0.9355407572794094,0.9389745408417256,0.9470709509165589,0.9558900969651736,0.9623098533808894,0.9651126133787707,0.9737173916298947,0.9723749549773546,0.9779293153793397,0.9701654055950727,0.9754020125081664,0.9671805543836932,0.9518316119044515,0.9248455130847338,0.8976573869641715
rotD50,PGA,None,0.9100372066707395,-0.2795644549122011,0.8359423020348542,0.7757947451964613,1.0,0.9993319843293121,0.9898351569833556,0.9849680754047794,0.9717402004902481,0.9671591159090785,0.9788372331026339,0.9727008950705505,0.9626848048612748,0.9605682169092692,0.9449380770120022,0.9316296129222413,0.9153914596450554,0.9002083046947146,0.8742418568936008,0.8490836392048635,0.8428324924130001,0.8415516517782454,0.8288114028420053,0.8246682302194758,0.8032696606000942,0.7921669994368302,0.7765840179525226,0.7630508307070861,0.7653031682286966,0.7534967934174437,0.7398220894587396,0.757645635545217,0.7602520936486156,0.749842445476026,0.7560500449584268,0.7137958853783878,0.711381541068633,0.7121294581153687
rotD50,SA,0.025,0.9045118769930284,-0.2752154919565893,0.8305202854076585,0.774892299753658,0.9993319843293121,1.0,0.9935883457033927,0.9887684100710536,0.9742572399872717,0.9682330108056679,0.9782377042764128,0.9687457175324841,0.9565904233072245,0.9531067267060073,0.9377434958381774,0.9241533484023972,0.9076616168380349,0.8919009894304935,0.865647604983048,0.8412649614738839,0.8352597895951029,0.834302004385732,0.8221438682050491,0.8183802909297546,0.7978676720407504,0.7869336981711847,0.7711474381704605,0.7575613208790104,0.7597039401288063,0.7489848344383717,0.736077883091431,0.7545930377767124,0.7573722424385055,0.7475996020658691,0.7541896288558378,0.7144852403621458,0.7123159294862786,0.7128119508493388
rotD50,SA,0.04,0.8809373602697248,-0.2582189273941935,0.8019894253940874,0.7609957904835549,0.9898351569833556,0.9935883457033927,1.0,0.9977487247066218,0.984570119817395,0.9711087319732521,0.9713467737450883,0.948441327749854,0.9315761540965457,0.926243393893255,0.9110678187440605,0.8964291083593192,0.8789828031322248,0.8618088810873519,0.8324066115033346,0.8072437845715218,0.8009224723669595,0.8010304070980763,0.7890959766155528,0.7868722889421081,0.7670400469955855,0.7562194673416248,0.7407125894199396,0.7283389198332728,0.7315300091705423,0.7247589509991144,0.7133868599200607,0.7339449971621824,0.738363602084793,0.7309379920867451,0.740305779098869,0.7149028378592869,0.7163469222977615,0.7196758959877836
rotD50,SA,0.05,0.8709298896101061,-0.2738972632008675,0.7741144854893803,0.7340930710789105,0.9849680754047794,0.9887684100710536,0.9977487247066217,1.0,0.989490471918653,0.9761063642976217,0.9721656070591428,0.9436861653738465,0.923219827515118,0.9166118114963939,0.8981666447675628,0.8812498213277459,0.8610419789481912,0.8418316610755617,0.8090740204815209,0.7813965260832088,0.7746534479083286,0.7742237936135048,0.7612972954024355,0.7587568807418021,0.7383078763806541,0.7262103203074503,0.7107086496068504,0.6982512626124568,0.7020479963371401,0.6954347703586055,0.6845196497689441,0.7061378565690045,0.7114563368249458,0.7059905291867783,0.7168464119194438,0.6941155265610194,0.6976858808966442,0.7044210996139082
rotD50,SA,0.07,0.8464571609579513,-0.25213033176383604,0.7479949393722917,0.7143880239023327,0.9717402004902481,0.9742572399872715,0.9845701198173948,0.989490471918653,1.0,0.9871224024182149,0.9697604932023781,0.9337560961114211,0.9069423852845694,0.8974399434867646,0.8709931430810826,0.8554343641104981,0.833849727940562,0.8154275636257634,0.7840633681235641,0.7553648772481901,0.7477417554395839,0.7472602002458977,0.7341526379457658,0.7324581254624029,0.7121263221399812,0.7005467243734746,0.6831309644941851,0.6712211151209645,0.6763790492682257,0.6695326290656255,0.660091575223433,0.6880534370409289,0.6944554647519472,0.6840757957645196,0.6958824460929636,0.6828115238177118,0.6858900680176301,0.6933254613468209
