,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.44270884402155575,0.8477673303240253,0.8317722427747114,0.8039208424325709,0.7905169041257578,0.7674125237571774,0.7622047679170713,0.7358262580387683,0.7308151833167412,0.7642088179290868,0.7850707681782996,0.8058387582090139,0.8167813446825719,0.8075957489154469,0.8240708172108029,0.8379434651450437,0.8351662971173487,0.833408602447804,0.8315990174043356,0.8346425028067529,0.834598619844955,0.8257058832506975,0.8118191349336157,0.7911975402697714,0.7882668209766531,0.7927720456090246,0.7915850114625551,0.7934789590297612,0.8047025706266812,0.7889147101121682,0.8019108597029918,0.8091715745250411,0.8143114376376904,0.8216527066646986,0.8170285651376658,0.8334031821355411,0.8471355786548668
GM,RSD595,None,-0.44270884402155575,1.0,-0.1716734428854135,-0.17432111089160177,-0.3204262830600898,-0.31194072681137675,-0.3007972052810915,-0.3082247344584132,-0.2924658722941003,-0.2807137711026703,-0.28702216888431553,-0.2837071986579498,-0.2626430096751553,-0.24649306121396267,-0.2319754349346407,-0.22708712997264743,-0.23842676546246336,-0.23231073726216328,-0.23435906874073362,-0.2096760121587305,-0.21225745576487154,-0.20492848534776853,-0.18316514342477974,-0.15890236251581943,-0.13043963763041494,-0.12076125622599226,-0.12622695037531956,-0.13499317151943402,-0.14598574101515477,-0.1623410346781825,-0.13150836159384915,-0.1538592848407782,-0.1618574805592152,-0.08719215380163624,-0.09424130751286719,-0.18491481923122538,-0.21249641200652647,-0.22521327515057174
rotD50,"AvgSA([0, 3])",3.0,0.8477673303240253,-0.1716734428854135,1.0,0.9506130176283428,0.809285709331729,0.7928178407055928,0.7497878232879666,0.7284478787026977,0.7017317736992298,0.7002656826548079,0.7558654686806354,0.8045356833228574,0.8538533692396535,0.8914729646470858,0.9084309004713996,0.9257234533024093,0.9341303381078556,0.9410637038917209,0.956045209301228,0.9637524993964112,0.9665395099703882,0.9681726120190091,0.968569624511612,0.9645833919739047,0.9582255019828673,0.9574795402443158,0.9589196824708314,0.9592660788970236,0.9601413582099309,0.9619430889653721,0.9595618743948052,0.951211308259583,0.9496674908682485,0.921567704622441,0.9259973771501933,0.9045748861914632,0.902374305290022,0.8998387879224848
rotD50,"AvgSA([0, 6])",6.0,0.8317722427747115,-0.17432111089160177,0.9506130176283427,1.0,0.7097593629364097,0.6893251664528992,0.6467079759333444,0.6303072962608887,0.5984405866795204,0.5872938120229144,0.6442094641403774,0.6961366370606223,0.7438625457674705,0.7903660469433464,0.8147598084683875,0.8425668996543659,0.8642971216625608,0.8733671468985481,0.8963809485048714,0.9125665518889821,0.9202536417565848,0.9266289502854093,0.9301937247940443,0.920753349087512,0.9233271388282028,0.9266983964163302,0.9259040584758121,0.9238442772068459,0.9209100979847861,0.9296043627259907,0.929139242564594,0.9375083475666816,0.9411073092991116,0.9701386196913268,0.9729577734705145,0.9809778759014123,0.9773121956846336,0.9747716068003749
rotD50,PGA,None,0.803920842432571,-0.3204262830600898,0.8092857093317292,0.7097593629364098,1.0,0.9987655758156041,0.9882705168473304,0.9809593770445023,0.9728732094710683,0.9724226459827576,0.9824316141293279,0.9799293863399577,0.9608021313791093,0.9443050011259441,0.9224679361600473,0.9051699717359726,0.890196849412702,0.8728917749571413,0.8379164631819161,0.8113280235753569,0.7919862360898169,0.782306528268636,0.7625876867406861,0.7385684702734532,0.699344401072618,0.6838885191120506,0.678274163618549,0.6797580140192027,0.6856114037071378,0.6892202692615422,0.6931356005812904,0.7016102110639449,0.7083796515789966,0.6520412076294899,0.6699649184985752,0.6568006747268541,0.6730247883071393,0.6755492025688782
rotD50,SA,0.025,0.7905169041257578,-0.31194072681137675,0.7928178407055927,0.6893251664528992,0.998765575815604,1.0,0.9931583988064652,0.9862663076071431,0.9784069059069802,0.9758533784510589,0.9809258940621657,0.9750312714140662,0.9520256312205492,0.9330048634107456,0.9102575688632196,0.8920821087706404,0.8767924392485406,0.8590337720143174,0.8230299962309358,0.7959060887804487,0.775487046751486,0.7652525455068602,0.7443140145708874,0.7202632188347871,0.6812693389413789,0.6660509729679938,0.6604176919529013,0.662406951481428,0.6683190372895617,0.6715352659426281,0.6769336906993862,0.6854229126551966,0.692133086544871,0.6334240666685661,0.6516579075996011,0.6382358424748052,0.6546722058758606,0.6559238014513836
rotD50,SA,0.04,0.7674125237571775,-0.3007972052810915,0.7497878232879666,0.6467079759333445,0.9882705168473302,0.9931583988064652,1.0,0.9958615201940777,0.9882458659894423,0.9796523794049827,0.9721484857882402,0.9549446121049998,0.922537581441832,0.8994323232741727,0.8751367298854723,0.8561890702564111,0.8416650058500891,0.822537634841748,0.7844316862231944,0.7586922470295888,0.7377345017076863,0.7275724650481755,0.7034386784991122,0.678407337893047,0.6391340006345158,0.6247727049545366,0.6194923172453831,0.6221723912686493,0.628120997472357,0.627883366854753,0.6333311825752875,0.6433819844734514,0.650171670931256,0.5952511265306324,0.6136270828597016,0.601046644170168,0.6199379430359216,0.6213627135693977
rotD50,SA,0.05,0.7622047679170713,-0.3082247344584132,0.7284478787026977,0.6303072962608887,0.9809593770445022,0.9862663076071431,0.9958615201940776,1.0,0.9930091558599008,0.9819600667079907,0.9655016438709207,0.9419677975948881,0.904621178004067,0.8817553865220852,0.8549295959300999,0.8367833828554128,0.8221427304104134,0.8027860762182472,0.764559265300485,0.7412317211470617,0.7207758391373427,0.7114246612864422,0.6860651567564778,0.6618822299995863,0.6208005736864843,0.605729130692106,0.6003878340275746,0.6028605808891467,0.6090197779503652,0.6072560893377928,0.6119773533169343,0.622222301260375,0.6294222801044347,0.5801463980261271,0.5981352238863838,0.5855990092832263,0.6040168113717781,0.60766352803185
rotD50,SA,0.07,0.7358262580387683,-0.2924658722941003,0.7017317736992297,0.5984405866795204,0.9728732094710681,0.9784069059069802,0.9882458659894422,0.9930091558599007,1.0,0.9903517902111154,0.9670433433656461,0.9357911977621137,0.8928354788297075,0.8651420022942067,0.8334262804647402,0.8116920303010762,0.7948965019162134,0.7750019895258502,0.7361711582847864,0.7119876801139169,0.6900339412282029,0.6809639189067859,0.656015401447471,0.6321334807231641,0.5921967269235963,0.5760782004876223,0.5699890681765993,0.5726386848561826,0.5778979457477692,0.576602270005133,0.5849095821513135,0.592201754113142,0.599603073106095,0.5507040672118925,0.5689746253249676,0.5548868129973226,0.5741821370905983,0.577176962643196
