,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.45793293380581457,0.8312975747829161,0.8170170660892955,0.8759933551158071,0.8679585829894167,0.8478329286895594,0.8408776678580533,0.8219847338108857,0.8157155048331518,0.8370695299835429,0.8506162442133275,0.8637864882379309,0.8667664981287915,0.8576002121731403,0.8588486841044984,0.8587456370777385,0.852029443506295,0.8405137784929342,0.8216681626773259,0.8170365450331448,0.8136626141486519,0.8015361741447994,0.7889182299265798,0.7693383108119071,0.7611970556443728,0.7536369135705504,0.748798569224602,0.7484750496365885,0.7446449521416704,0.7263636036002216,0.7246086946167142,0.7356277567375501,0.7261966733812287,0.729380678541572,0.7194330276796507,0.7402705661469389,0.7525016596833028
GM,RSD595,None,-0.45793293380581457,1.0,-0.2172514298805902,-0.2138507723926508,-0.38816813197742617,-0.3791711050228833,-0.3529244836646819,-0.36038598756576073,-0.3548458805088556,-0.35473146376315406,-0.3706437493064893,-0.3941813841741872,-0.3819831737961215,-0.3531734071908889,-0.3216829282168733,-0.305622169713551,-0.2916826156446164,-0.2794487161177377,-0.24898776926367916,-0.21855158672247996,-0.21058157019695406,-0.20250704693074437,-0.19335822271549152,-0.18233693765749096,-0.15046173198858154,-0.13626594352737031,-0.13612074763572657,-0.13801224003261395,-0.14141077777596675,-0.14412579840338055,-0.14483035684945403,-0.16800317154295843,-0.18675171375418181,-0.21016902471588914,-0.21810590630423438,-0.19801151516589266,-0.23650734648439664,-0.2679504605874371
rotD50,"AvgSA([0, 3])",3.0,0.8312975747829162,-0.21725142988059018,1.0,0.9899936272378954,0.8346407666203426,0.8247219947537775,0.7921114335041928,0.7698458891030964,0.7476521205073661,0.738639386636335,0.7745941710432593,0.8011158948904036,0.8356842338364051,0.8676872907443148,0.8904926169133952,0.9090473125987489,0.9208876116045795,0.9340646840757743,0.9535316027295438,0.9653202804202105,0.9689331978932031,0.9713367967268475,0.9736681322650265,0.9749727851508656,0.9736634402847044,0.9744303929980694,0.9750799976662415,0.9743269679468483,0.9732243866740321,0.967778092205331,0.9599112512248987,0.9534103882619099,0.9497138917580996,0.9393275707963037,0.9336160663511814,0.9075919335634933,0.8940266950680772,0.8797219205826375
rotD50,"AvgSA([0, 6])",6.0,0.8170170660892956,-0.21385077239265077,0.9899936272378954,1.0,0.8167538414077102,0.8076648797471812,0.7773522017168182,0.7558591667443363,0.7334135856929032,0.7208612476280832,0.7555306602719886,0.7783724283106973,0.8081077651371751,0.8353223100578536,0.855412634173975,0.8763966871975726,0.8904452446585768,0.9027152665802949,0.921219466570422,0.934428032229205,0.9390237454651419,0.9416723522623036,0.9438414349649064,0.9469989910518222,0.9490483179736797,0.9559574740002852,0.9614056223621767,0.9660144438883916,0.9685129241849729,0.9755084418801686,0.9758284623121377,0.977378829015343,0.9791675237456263,0.9743068139593307,0.9722240299707182,0.9555066499536896,0.9438582833740072,0.9299199564579516
rotD50,PGA,None,0.8759933551158071,-0.38816813197742617,0.8346407666203425,0.8167538414077101,1.0,0.9986045603257211,0.9870714879602633,0.9796618651424943,0.9717058058672883,0.9698967286057149,0.9755883503513739,0.970531553907529,0.9561106253745274,0.9468746029607781,0.929030964010584,0.9136598723440869,0.9008872469392097,0.8877821137601036,0.8582292715040506,0.8302453315743422,0.8170054380366524,0.809675017093261,0.7921986060019358,0.7772942396361363,0.7468089236556308,0.7294914096251065,0.7181810816003341,0.7138834444640305,0.7145020559823972,0.7104945033331311,0.7120134273001212,0.7207677435486973,0.729531184116388,0.728060502798632,0.7377005994928386,0.733708989096269,0.7497635144446703,0.7617605042675878
rotD50,SA,0.025,0.8679585829894169,-0.37917110502288337,0.8247219947537775,0.8076648797471812,0.9986045603257212,1.0,0.992250051514468,0.985289756556346,0.976093972583466,0.9720778272298348,0.9739188492029798,0.9649361603379649,0.9470093189149178,0.9365369516992018,0.918604610173845,0.9030410773043407,0.89046882156136,0.8771553892897742,0.8467473490430185,0.8187514370977401,0.8054063355147529,0.7982347390608742,0.7804120295813439,0.7660181283609607,0.7356921885652594,0.7186894328194459,0.7076228870823,0.7038570297049481,0.7045512727737852,0.7010522038953811,0.7026974832511732,0.7113413138723478,0.7202109470844179,0.7203044524069626,0.7304988116622448,0.7262132622424816,0.7419884772379673,0.753237020604868
rotD50,SA,0.04,0.8478329286895595,-0.3529244836646819,0.7921114335041928,0.7773522017168183,0.9870714879602634,0.992250051514468,1.0,0.9949489780460098,0.9830416146443183,0.9716095130759547,0.9626203580131065,0.9435623911924476,0.9181135436033985,0.9053324657154268,0.8874370447584418,0.871498188048057,0.8592820474341284,0.8450436298342527,0.813094543962669,0.7844075381065597,0.7711284283123595,0.7645349465589468,0.7451120206673058,0.7309869874193606,0.7014420933452588,0.6842436178871655,0.6728819460764921,0.669790458275803,0.6710361460489096,0.6677502553499144,0.6696500335100556,0.6794037935847795,0.6878019855542743,0.6904426293721504,0.7021708107436336,0.6996303895665291,0.7169262390542224,0.7292572082913469
rotD50,SA,0.05,0.8408776678580533,-0.3603859875657607,0.7698458891030963,0.7558591667443363,0.9796618651424943,0.9852897565563459,0.9949489780460097,1.0,0.988495930951518,0.9737491543154774,0.9581051426608249,0.9341500914332496,0.9048797998690293,0.8905981363255173,0.8690517445500121,0.8523948684652098,0.8399596770342588,0.8251958900361004,0.7911247053063554,0.7630797236424314,0.7496470973753896,0.7426791646382859,0.7226358935213311,0.7083056757021203,0.6781538442436885,0.6603485522577499,0.6484714821768588,0.6451649158837284,0.6466193374561243,0.6425256176809101,0.6454763441680678,0.6563121059047711,0.6656758827896979,0.6701860597564109,0.6823928183576093,0.6785988506094063,0.6975935953183185,0.7121577373126657
rotD50,SA,0.07,0.8219847338108857,-0.35484588050885557,0.747652120507366,0.7334135856929032,0.9717058058672883,0.976093972583466,0.9830416146443182,0.988495930951518,1.0,0.984373535517712,0.9600438578858304,0.9317781146446878,0.8986653442025372,0.8803479392444554,0.8533385629449417,0.8352709008073447,0.8211545906918303,0.8055454783241868,0.7717785299991801,0.7425352208013919,0.7280423306175963,0.7204687468337125,0.6999871303488377,0.6856864725323676,0.6550737019688594,0.6372472836240838,0.623575997914351,0.6198523502174983,0.6207441721219822,0.6159136439719072,0.6220469491915518,0.6353022749177043,0.6446058189226719,0.6495368541902143,0.6614282160360184,0.6580214140486147,0.6778915601377457,0.6919969094750883
