,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0000000000000016,-0.4052769350157066,0.7863996283093757,0.6648049524286642,0.837396931387171,0.8275421942970834,0.802949045976326,0.7955827831294756,0.7701145157704145,0.7623680141917488,0.7929959039405995,0.8163846366539064,0.8271347381886135,0.8296846345315323,0.8217061457098315,0.8280131417160713,0.8306916435720292,0.8208197827428202,0.8086692751544309,0.7904794419803571,0.78519826551976,0.7785960374022184,0.758357234987084,0.7417399616644729,0.71957830423257,0.7111977141939865,0.7005145425226357,0.6959695710135438,0.6930300177722727,0.692473110070086,0.679369173974556,0.6811094005703011,0.6896047514838444,0.6392467279659122,0.64312609595041,0.600356700081475,0.6230363257855089,0.6310572650750496
GM,RSD595,None,-0.4052769350157066,0.9999999999999963,-0.14927485655774617,-0.12109169434240313,-0.3289209733291385,-0.3180892254561214,-0.2931054318380374,-0.29845806125922625,-0.29027753516483273,-0.2911727344823357,-0.3025191117318368,-0.33265667937451504,-0.32005330212710487,-0.29989579820575013,-0.27064050779265825,-0.2625436801429824,-0.25091337457561697,-0.23716338925747435,-0.20242043471911822,-0.1770629054829815,-0.1686159439296483,-0.16003128127431837,-0.14570189784368862,-0.13418334984200087,-0.09821730003265011,-0.08798950715839608,-0.08618174550687834,-0.08513839149026033,-0.08726771460067613,-0.08605575194276992,-0.08328389923752202,-0.11208674692564201,-0.12394547954387962,-0.14903357973646228,-0.15998552468602936,-0.13774197487827405,-0.17704131223182346,-0.20700156791306637
rotD50,"AvgSA([0, 3])",3.0,0.7863996283093757,-0.14927485655774617,1.0000000000000013,0.8625336889792892,0.7926205684149168,0.778630969267268,0.7353640603688663,0.7119146179185205,0.6861489396237176,0.6812647985050834,0.7267749228460751,0.7582325211081694,0.796806418708407,0.8365637155533097,0.8600779085545137,0.8820023021634841,0.8975495310915165,0.9160285737839036,0.9401060379892475,0.9547475590869492,0.9580053533165631,0.9607006415892589,0.9652367630941141,0.9657875663776097,0.967901433032703,0.9659328905986415,0.963672838282001,0.9610366859573353,0.9579694324904482,0.9587099164423335,0.955614908933506,0.9379580506045961,0.9304716963372373,0.867860656222711,0.861600266443313,0.7819688114342386,0.7692054259705682,0.7522457064017284
rotD50,"AvgSA([0, 6])",6.0,0.6648049524286643,-0.12109169434240313,0.8625336889792893,0.9999999999999988,0.664827524617427,0.6581660207726737,0.6333202521731733,0.6134114483607995,0.5924330514029971,0.570143699549423,0.6079681274775719,0.6173570255925364,0.6381297815694765,0.6588477234149263,0.6743074021871268,0.699784662085546,0.7258232527918156,0.7423251824651271,0.7623826822342697,0.7802260469589867,0.7885124277442763,0.7991694286999652,0.8146011804151065,0.821355543283182,0.8330419060610333,0.8266553204635905,0.8292028838509884,0.8326456530189504,0.8293600115222135,0.8486985923527861,0.8656336461050513,0.8820483448506611,0.885761584903217,0.9181139261285096,0.909045548484597,0.9536459126390642,0.9391801598949852,0.9206730548067493
rotD50,PGA,None,0.837396931387171,-0.32892097332913844,0.7926205684149167,0.6648275246174269,0.9999999999999991,0.9982330841459649,0.984147842423443,0.9756528626496245,0.9649843400359296,0.9632995397042073,0.9726484809882767,0.9672009997868991,0.9491542596091126,0.9378779805240499,0.9190974897209744,0.8997055987588409,0.8835452726615283,0.8681926092530745,0.8359825526450847,0.8049378312816639,0.7896140235064653,0.7801415038295709,0.7568333926973856,0.7378366211176451,0.7043210077973971,0.6872358993938082,0.6708791747491339,0.6644462714563548,0.6642184304023054,0.6632970380004264,0.6625983274396131,0.6743352519829114,0.6820033140720181,0.6216650347095166,0.6323452326369201,0.6002742664602584,0.6162273056633668,0.6223848588529161
rotD50,SA,0.025,0.8275421942970834,-0.3180892254561214,0.778630969267268,0.6581660207726737,0.998233084145965,0.9999999999999989,0.9907103530378096,0.9824839053929608,0.970374912123585,0.9665431455551886,0.9713417694426812,0.9616802878652745,0.9390785769055517,0.9252250442358742,0.9064226095943958,0.8862173354015671,0.86986550506234,0.8539408277201174,0.8209642162573338,0.7893899363409882,0.7738746965236712,0.7642948886250336,0.740330328270031,0.721570548011389,0.6883716145349499,0.671636982580249,0.6555106124070383,0.6496745501149568,0.6493644881421692,0.6495365257973541,0.6505226647976295,0.6633195126180775,0.6710935297165925,0.6130761386756713,0.6241362797778536,0.5956651195284768,0.6115577854854048,0.6168346626193709
rotD50,SA,0.04,0.802949045976326,-0.2931054318380374,0.7353640603688663,0.6333202521731732,0.9841478424234431,0.9907103530378096,0.9999999999999984,0.9938638119919097,0.9790316655072047,0.9666999222553792,0.9595036200595062,0.938755898970294,0.9062851303890542,0.8875809326112895,0.8685726635025413,0.8469296067398311,0.8304657977123302,0.812771786979076,0.7780522111179887,0.7449691993392826,0.7292923975914624,0.7198704368741805,0.693922289353576,0.6756397867322937,0.6429901298139967,0.6269495020314847,0.610763078382819,0.6062987820151912,0.6063939368009609,0.6076042731648024,0.6114964974359325,0.6276506768276161,0.6361858080615582,0.5846384909822165,0.5974864506205344,0.5792958887869017,0.5973842446325219,0.6035260357763333
rotD50,SA,0.05,0.7955827831294756,-0.29845806125922625,0.7119146179185206,0.6134114483607995,0.9756528626496246,0.9824839053929609,0.9938638119919098,0.999999999999998,0.9856500639110503,0.9695814916368649,0.9551715488371695,0.9277672845979787,0.8910292664472055,0.8712086993779995,0.848012068579369,0.8258300086159797,0.8095437024552262,0.7915095597031092,0.7544225509999818,0.7227203387069397,0.707266403611761,0.6976874033405961,0.6710611008273774,0.652803523272424,0.6197986147604075,0.6035107022371216,0.58713702031257,0.5824165755156644,0.582758135725396,0.5828025952751538,0.5876705146868034,0.6052265747061374,0.6139285178694998,0.5675465058816889,0.580793996777951,0.5620708700024151,0.5808849838569765,0.5891125553811793
rotD50,SA,0.07,0.7701145157704145,-0.29027753516483273,0.6861489396237176,0.5924330514029971,0.9649843400359297,0.970374912123585,0.9790316655072048,0.9856500639110503,0.9999999999999972,0.981698737973161,0.9553409110728899,0.9211042749196674,0.8800967436966747,0.8571515227104655,0.8279949835690907,0.8046084511374072,0.7862006101260247,0.7680155954460457,0.7315680205688071,0.6990431607820202,0.6826059330892762,0.673099085234404,0.6466341121548733,0.6289115251174372,0.5959096363644527,0.5804382767841403,0.562336988847949,0.5571892510048928,0.5575237680337903,0.5562554439398347,0.5625288177976939,0.5819760154918446,0.5907943519722035,0.5485147752965278,0.561762250591974,0.5454093578545222,0.5642420577911748,0.572111271505574
