,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.509315240086505,0.950284769010516,0.9242546865864225,0.9709791444783598,0.9693331554400271,0.9619437366248943,0.9669441368647838,0.9439532839574157,0.9255940795371738,0.9403451107662252,0.9547005941500308,0.9581638546175434,0.9692396825291867,0.9761885794131087,0.9737347559976108,0.9688475336040042,0.9700998686678044,0.9626468565652244,0.9616820303564273,0.9560418749262479,0.9513237264134999,0.9417095524609821,0.941558231803622,0.9325390521908993,0.9260983322523942,0.9268945228837981,0.9257527365957682,0.9225085816004474,0.9176842572354853,0.9230696121224736,0.8974515185070053,0.8698399550209752,0.8343218654594177,0.7895785141929573,0.6943018388124251,0.631936487337869,0.5799212853211426
GM,RSD595,None,-0.509315240086505,1.0,-0.5577739630796391,-0.5242547078168129,-0.49052977118434077,-0.48431634228410925,-0.46820967391929047,-0.45224602351627324,-0.44346407301268287,-0.45844079819346484,-0.4611761693031881,-0.457373242560881,-0.46573601127221115,-0.4639182117308321,-0.46295750841944544,-0.48068245865999376,-0.4668227902576587,-0.4765612698671262,-0.5124613820425781,-0.5272385394457513,-0.5288445001896237,-0.5227171470975946,-0.5202017375317397,-0.51716294808523,-0.5165230842359095,-0.5244216505968832,-0.5241478404346037,-0.5253146105532568,-0.5182358854285998,-0.5042273944659732,-0.5353671622128608,-0.4994961331311636,-0.4672120737200329,-0.4536596815453635,-0.4084207784399648,-0.3160112135504366,-0.2681484971318803,-0.2301019797908314
rotD50,"AvgSA([0, 3])",3.0,0.9502847690105161,-0.5577739630796391,1.0,0.9624159320070078,0.9453899926437145,0.9431857383645822,0.9362129627553487,0.9272348618661798,0.8962814938981499,0.87682600980832,0.8966932868955703,0.9246490853578173,0.9411932776052521,0.9535005867752702,0.9563451602943024,0.962976354352526,0.9703526863436723,0.977917612293154,0.9808343483274706,0.987093335043273,0.9890591994839109,0.9892191349073652,0.9900306030698485,0.9902933576016337,0.9899581385560425,0.9884790718132791,0.9882846343151773,0.9878774838871354,0.9868548102795629,0.9880294991857278,0.9900899939600954,0.9676602146781356,0.938107338895494,0.8848591001564104,0.8402751460419465,0.7420151329576518,0.6767473518308861,0.6249186323004211
rotD50,"AvgSA([0, 6])",6.0,0.9242546865864226,-0.5242547078168129,0.9624159320070079,1.0,0.9625853000727866,0.9616582840302762,0.9559260654079402,0.9406097248349611,0.9234413439074756,0.9140917373479736,0.9472549002399696,0.9613391325640509,0.963875051035985,0.9520498304642756,0.9325595435074261,0.9310430372386718,0.9323404309315654,0.9264214085783924,0.9182721195978163,0.9272363934731995,0.9304140535926283,0.92985597809086,0.9361232509950658,0.9381513975192081,0.9382988797011225,0.9319006217081895,0.9308625540976225,0.9335261967703296,0.9368880900160895,0.9525514736990279,0.9761583995161751,0.9896368905215861,0.9858024065852478,0.9721103255686987,0.9471698515048724,0.8848642878519473,0.8375611576404628,0.7975187997149809
rotD50,PGA,None,0.9709791444783598,-0.49052977118434077,0.9453899926437145,0.9625853000727865,1.0,0.9998055568648503,0.9948525740385462,0.9924524032142524,0.9831011110492391,0.9703708119885291,0.977858888956714,0.988448152836981,0.9851258257819242,0.9758834577886794,0.9686410542658325,0.9653800462572704,0.9619290113228974,0.9538264187804593,0.9403165597628371,0.9411367001439533,0.9361481791130217,0.9317685194041858,0.9266087784702668,0.9265659319586064,0.9192705986162711,0.9104878895038724,0.9095919749666358,0.9097695565915284,0.9093936148157687,0.911030914092772,0.9337579604590138,0.9359928920217262,0.9293499631914436,0.9155301585007439,0.8863709397148377,0.8147772634556893,0.7639994894921993,0.7208959321764585
rotD50,SA,0.025,0.9693331554400272,-0.48431634228410925,0.9431857383645822,0.9616582840302761,0.9998055568648502,1.0,0.996333491871158,0.993935246115265,0.9848449821253588,0.9719073142620572,0.9776449595717471,0.9873581998888431,0.983186512439459,0.9738661891828356,0.9672834334239949,0.9639967846655229,0.9608665643882164,0.9526283764886802,0.9388025673139315,0.9393268317662035,0.9341166531785555,0.9296925702583563,0.9242277561411895,0.9240564233897777,0.9165097521887958,0.9075377032793315,0.9068063207738022,0.9071119475834972,0.906901839630343,0.9092595718900285,0.9325672604093111,0.9352597087729705,0.9291463815755753,0.9157844467262659,0.8871272014103224,0.8160430514391622,0.7653888818813823,0.722573243718157
rotD50,SA,0.04,0.9619437366248944,-0.46820967391929047,0.9362129627553487,0.9559260654079402,0.9948525740385462,0.996333491871158,1.0,0.9965733428076103,0.9881746630851699,0.9751702020754519,0.9708477376375043,0.9783810569838948,0.9732334974312054,0.9650681832884022,0.9617248162912574,0.9602885613202244,0.9585718578856783,0.9501847385968626,0.9365517913809094,0.9357551593582252,0.9299658198899051,0.9256055662015109,0.9194895139478979,0.918696400666823,0.9102100318704082,0.9010775858452241,0.9002297502028274,0.9007650247298226,0.9010794429427651,0.9052715591809881,0.928793554247296,0.9314545550935807,0.926238899457193,0.9122532587581346,0.8844109373446275,0.8124638409847995,0.7610546594606823,0.7186557843647818
rotD50,SA,0.05,0.9669441368647838,-0.4522460235162732,0.9272348618661796,0.940609724834961,0.9924524032142524,0.9939352461152648,0.9965733428076102,1.0,0.9907235156307763,0.97621736962786,0.9707946665435746,0.974562421005224,0.9665237003233106,0.9598400432446406,0.9602575239470921,0.9580683445119569,0.9559805295443297,0.9482791043298647,0.9337627736649274,0.9316372653323949,0.92445516815016,0.919575251834183,0.9108107148978355,0.9097993442601381,0.8995950488763126,0.8896447516038535,0.8889806723504657,0.8881708232111148,0.8875813481324334,0.8902352332025809,0.9144529988741821,0.9123751001079285,0.9052181468586086,0.8905693120262592,0.8613610896603034,0.7870351670084506,0.7345191821958863,0.691232639904551
rotD50,SA,0.07,0.9439532839574158,-0.44346407301268287,0.89628149389815,0.9234413439074756,0.9831011110492391,0.9848449821253589,0.9881746630851699,0.9907235156307764,1.0,0.9874256172787613,0.9680371817482604,0.9678313013688888,0.954851214464615,0.9405279944420133,0.9388998878691831,0.9358912161573635,0.9317494252300795,0.9198689222374001,0.9041638148371653,0.9027396174073342,0.8948036624170238,0.8887712780500522,0.8793700906094576,0.8780195737599538,0.8681710458891544,0.8578416519076514,0.8571064618549799,0.856987464324391,0.8573736502592563,0.8603756198106629,0.8897501806625334,0.8947581905984402,0.8956172806437845,0.8914583488285981,0.8681256221592145,0.7999622524823474,0.7522868239643988,0.7127917966344509
