,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.31689679893386313,0.8484475548165095,0.7953869994832578,0.8815775226032919,0.8716748868602713,0.8333579872817689,0.8305268269416668,0.8127061042921433,0.8202010145271105,0.8709450522182447,0.8625297699601824,0.8703400561460191,0.8665717028998081,0.875150481942363,0.8756433964222228,0.8617908062831577,0.8425450136547199,0.8200268143880565,0.8027006784620762,0.7941513158973557,0.7930028442768131,0.7941176962919316,0.7881437687307844,0.7761612951774516,0.7677515629882703,0.7703250715478973,0.7834867096896714,0.7943591530114131,0.8002017183213727,0.8061862845621496,0.7907950756733985,0.8013905657280903,0.7581088352651629,0.771498502767653,0.7895719053673378,0.8146252060898866,0.8387034809099091
GM,RSD595,None,-0.31689679893386313,1.0,-0.2893853495612611,-0.34551103083117607,-0.2301007547121175,-0.2142848922600406,-0.15192092905135382,-0.16212159434614817,-0.20691169755871794,-0.23050899872686959,-0.22012754260008593,-0.2383231461458912,-0.23357005692902572,-0.22513960687257611,-0.21988210341755854,-0.21186028896574263,-0.22466826058566858,-0.24572046118627133,-0.2515629801624737,-0.24046375026598674,-0.22691042498188954,-0.20754884883176639,-0.19961950276760873,-0.21083851286098027,-0.23805048884429744,-0.25486908745666376,-0.2583687888710806,-0.2605712663159873,-0.2611425176069088,-0.27741311347051284,-0.3160983385321092,-0.3355728952519413,-0.3467090983807167,-0.35267222550372784,-0.3590192666578138,-0.33688788595624364,-0.3398967325833632,-0.35596970687192714
rotD50,"AvgSA([0, 3])",3.0,0.8484475548165095,-0.2893853495612611,1.0,0.9682397078416828,0.7960831794120915,0.7794752431172544,0.7264243117217981,0.7173470913122809,0.7016761664976854,0.7109689538249494,0.7856884188087955,0.8000705422568535,0.825321331615583,0.856729836035944,0.899123948742821,0.9215591188033521,0.93364310609426,0.9388799402615906,0.940433430203746,0.9465201371839023,0.9490167138393255,0.9513337738616021,0.9612677725433822,0.9632583509523301,0.964527677964649,0.9595508217650208,0.9635077161677927,0.9720899327258066,0.9774890799509621,0.9771410765676081,0.9830630879104612,0.9755618425272637,0.968700074177143,0.9446969478730098,0.9440360401068584,0.9373146783906018,0.9405265954884818,0.9399665987228096
rotD50,"AvgSA([0, 6])",6.0,0.7953869994832578,-0.34551103083117607,0.9682397078416828,1.0,0.8030654108291293,0.7907119472210907,0.7492209648107031,0.7420049662851419,0.7268196678019541,0.7309922996342626,0.7943912602518162,0.7760828007544078,0.768616055448609,0.7643761849222099,0.80300459893789,0.8275034990752349,0.8440544144004436,0.8474052176803706,0.8509288446698448,0.8604826492515234,0.8658759493227927,0.871323652248926,0.8941063157483626,0.9000070561451307,0.9062774200805023,0.9040049299066537,0.9129857001084001,0.926191112543027,0.936805333152806,0.9512292478139273,0.9701076152723789,0.9767651817707064,0.9751021465159337,0.9844999184647506,0.9847105381962317,0.9843032644804195,0.9820814250895046,0.9776972846560285
rotD50,PGA,None,0.8815775226032919,-0.23010075471211752,0.7960831794120915,0.8030654108291293,1.0,0.9989681988201119,0.9811684267070951,0.9847809146210226,0.9772310399848971,0.9829129050622636,0.9813463001607104,0.9544829489640433,0.9222077734515218,0.8490945827385273,0.8036885391589197,0.7611353821471967,0.7163941198290512,0.68253621991428,0.6524043416306586,0.6427101816314599,0.6410892243837787,0.6501633927707154,0.6754528401671736,0.6760612616511494,0.6785466631688227,0.6605548887078915,0.6677898767750229,0.6882759149576384,0.7097631771817607,0.7457949067820631,0.7685742323510603,0.7805383886056981,0.797379050399756,0.7831377404804039,0.8058333182022362,0.8350855932108989,0.8529819076744497,0.8653385044358163
rotD50,SA,0.025,0.8716748868602713,-0.21428489226004063,0.7794752431172544,0.7907119472210907,0.998968198820112,1.0,0.9884946819135877,0.9905583808041842,0.9816981946512969,0.9850237145613634,0.9765555478682574,0.9451928345124019,0.9101905399967609,0.8333123182245363,0.7850051787278359,0.7410031760279937,0.6950973086899357,0.6607606014334017,0.6312489053839874,0.6220229860105715,0.6204811726430276,0.6301595384993023,0.656480119192577,0.6580916914203623,0.6615562059098322,0.643688444137943,0.6509118912715068,0.6715810381780696,0.6930467644747316,0.7299938309296695,0.7529511337121673,0.7652677194496106,0.7827245043321658,0.770715365233544,0.7936750203064876,0.8250059904829055,0.8427352499229044,0.8549664697062788
rotD50,SA,0.04,0.8333579872817689,-0.15192092905135382,0.726424311721798,0.7492209648107031,0.981168426707095,0.9884946819135876,1.0,0.9954755521309722,0.9817739583777746,0.9769416232306614,0.9478132642435487,0.90333278542515,0.8615115284318908,0.7768450917391946,0.722270662274807,0.6766914082195569,0.6298176314665106,0.5945518591079452,0.5673328193038182,0.5612981590431164,0.5608502125444306,0.5722044463111013,0.6006408433575754,0.6044890004816114,0.609294413622789,0.5920054428833835,0.5991959609813743,0.6209397612347397,0.6412558025588907,0.6794856693719221,0.7010211369382116,0.7138250670058859,0.7337240533165427,0.7282549558875363,0.7517766515165648,0.7893208321841322,0.8066499989089614,0.8176232787873197
rotD50,SA,0.05,0.8305268269416668,-0.16212159434614815,0.7173470913122808,0.7420049662851419,0.9847809146210225,0.990558380804184,0.9954755521309722,1.0,0.9877347796396467,0.9842105930484304,0.958639144231923,0.9138244638313008,0.8672172063240249,0.7748816114274159,0.7162570962174112,0.6668057519299571,0.6184734879144826,0.5828733900135349,0.555285565042921,0.5469316919670506,0.5456547401283945,0.5566319121355383,0.5865812740177347,0.5895706262735707,0.5951615031071783,0.5781955855591622,0.5861518269343431,0.6079348466459306,0.6286250619134421,0.6687726194107158,0.6926012704917753,0.7091962430400385,0.7287042335669808,0.7223209696207646,0.746045843460474,0.7826139519342815,0.7999480324044269,0.8107484577486038
rotD50,SA,0.07,0.8127061042921432,-0.2069116975587179,0.7016761664976853,0.726819667801954,0.977231039984897,0.9816981946512968,0.9817739583777745,0.9877347796396466,1.0,0.9904097766414606,0.9483985689584747,0.9008839997722337,0.8534099486925519,0.7543521958402696,0.6960550040658738,0.6479668099348618,0.602194244419519,0.570971366921104,0.5405894572943571,0.5301244406203077,0.5265234123792814,0.5360546368163066,0.5638273820001777,0.5675320230448037,0.5789471201175059,0.5638349692784478,0.5707056498457537,0.5915940025214241,0.6132167976795022,0.6529792086129901,0.6811809662220989,0.6975408011136729,0.7176257667917416,0.7098653695632147,0.7327267141726599,0.766899657031969,0.7818301134107573,0.7926291825924475
