,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0000000000000022,-0.6623362882865913,0.7431024676014252,0.731714702766813,0.9376611218383099,0.9387417515010473,0.9135684932487546,0.8956803998755812,0.8693973360931471,0.8569907197015975,0.8509406699791403,0.8488654988420146,0.8105559572247681,0.7855110475490054,0.7459780457403105,0.7119922115483253,0.6989409150704371,0.6981953870653802,0.6887568791234256,0.6624001457033788,0.646353539382831,0.6388630358442983,0.6329693569908033,0.6319734838750357,0.6362275573353359,0.6408388403623121,0.657542069895528,0.68226538319368,0.6796772323006028,0.6837936005246732,0.6733295756651274,0.6635846602701917,0.6919696949926285,0.6981935579667576,0.707491444706703,0.7115818843537575,0.7261821683155455,0.7363647130186726
GM,RSD595,None,-0.6623362882865913,1.0000000000000053,-0.6051004010474141,-0.5802642528496458,-0.6816955062000011,-0.6758426813333206,-0.6241577403121089,-0.6203668193938128,-0.570195128075408,-0.5964630732788762,-0.6381659376553996,-0.6246200874686472,-0.6295703748340439,-0.6258105200774594,-0.5900995898302551,-0.5739545812259637,-0.5594437423270454,-0.5583513552678162,-0.5529570630596474,-0.5607927834645007,-0.5477397927704085,-0.5433830680802008,-0.538917298646081,-0.5437487222278616,-0.5419122450067583,-0.5535414371592509,-0.556986249554724,-0.5746499946100676,-0.565177177514703,-0.5538725663168225,-0.5437206080116045,-0.5456935365504245,-0.565588967248606,-0.5392956168849709,-0.5453583406045631,-0.5651754291464647,-0.5804523963715099,-0.581605504028903
rotD50,"AvgSA([0, 3])",3.0,0.7431024676014252,-0.6051004010474142,1.0000000000000009,0.9193034987567554,0.7371415865707138,0.7220046007112526,0.6411449169317235,0.639362192173774,0.5774379022753524,0.6019497163072418,0.6500770664221335,0.7202142525014051,0.7471748951307485,0.7694899381544671,0.7811666716076026,0.7885322998136787,0.8045348595720895,0.8254684741197281,0.8671181197449963,0.8714763072931079,0.8740376805779688,0.8720959856811245,0.8823383038504976,0.8881528332999907,0.8935359643441264,0.905792545925798,0.9198642096898153,0.925537417874926,0.9232179751069428,0.9277245119758933,0.9454417738271308,0.9189227191585561,0.9229881187694988,0.8744822037366399,0.8707827238953829,0.8633550203545279,0.8678183389370008,0.867323111481837
rotD50,"AvgSA([0, 6])",6.0,0.7317147027668129,-0.5802642528496458,0.9193034987567553,1.0000000000000016,0.7069946953079944,0.69515168055292,0.6282453164073927,0.6053822723057704,0.5353526883177848,0.5371797787680733,0.6111218901034784,0.6638139864434657,0.656547948132017,0.6784997546045465,0.698143719840338,0.7287063624339963,0.7534969225722765,0.7877790705498833,0.8191875279862818,0.802355473027238,0.8075176927848904,0.8078850483032016,0.8032164345487169,0.8116053829635196,0.822882987972691,0.8201691954196915,0.8286237321305303,0.8273323011416035,0.8293614998845362,0.8472565770905892,0.8753345583679433,0.912926315054258,0.9285984820220972,0.9691028314830556,0.9671889342711648,0.9717744537515316,0.9675656970936567,0.9628334374968383
rotD50,PGA,None,0.9376611218383099,-0.6816955062000011,0.7371415865707137,0.7069946953079944,1.0000000000000013,0.998118453255276,0.9569075435392178,0.9419976029554703,0.9060915952785544,0.9089013366120481,0.8969565555976154,0.879012971767174,0.8384267542444206,0.8174568306816326,0.776787252318734,0.7337845468221879,0.7128379116302604,0.7054922730625284,0.690777562696572,0.6552895126365936,0.6370635087867733,0.6315421904022291,0.6226831138134135,0.6218575548642854,0.624221616625242,0.6385900096668449,0.6514821465212648,0.6690769708780347,0.6650050413638692,0.6675686379896922,0.6539634938344471,0.6476877656122629,0.6794621448682806,0.6760287592290675,0.6877645109838946,0.6918837313033808,0.7124003600124835,0.7219812642993575
rotD50,SA,0.025,0.9387417515010472,-0.6758426813333205,0.7220046007112525,0.69515168055292,0.998118453255276,1.0000000000000022,0.9672951401078113,0.9517585518730374,0.9130492115647405,0.9096342720687909,0.8899026681473226,0.8684650620554205,0.8285689353882311,0.8069947476861317,0.7644681713321634,0.7214896270038026,0.7003705984943848,0.6933026400756379,0.6790492493667595,0.6426445129057363,0.6239418534788714,0.617597766683748,0.6085807906392756,0.6072142640937649,0.6094853021921859,0.6240585476938617,0.6365580609635767,0.6544945365949703,0.6504773133182358,0.6537884995845715,0.6391466377146089,0.6337761565525745,0.6650817219585288,0.6642429229176442,0.6762540285679175,0.6790943115622021,0.6998016053711473,0.7095404980147658
rotD50,SA,0.04,0.9135684932487546,-0.624157740312109,0.6411449169317235,0.6282453164073927,0.9569075435392179,0.9672951401078114,1.0000000000000007,0.9578677448928551,0.9171509414850032,0.8804082807990374,0.8390467481546636,0.8015251142091475,0.7630490196030911,0.7415823310337114,0.6950970883494724,0.6514955866059239,0.6296243303560308,0.6249677255266423,0.6158421369823364,0.5744016700979865,0.5532076388009671,0.5439169093321138,0.5360875212686184,0.5314679375064366,0.5347798090091318,0.5488735242406964,0.559274202594611,0.5804774972697625,0.5749154331557903,0.5843767404107492,0.5639449630049336,0.5642412588241659,0.5941888344925741,0.6018381699246045,0.6134401885264594,0.6117942638419189,0.63191865613782,0.6425012285519401
rotD50,SA,0.05,0.8956803998755811,-0.6203668193938127,0.6393621921737739,0.6053822723057704,0.9419976029554703,0.9517585518730374,0.957867744892855,1.000000000000002,0.9380398280427952,0.8962072758323074,0.8335050602077896,0.7874830747352587,0.74356732159569,0.7200746226647522,0.6707369409247994,0.6304643975820081,0.6157689896005804,0.6085467208279624,0.6018188284932123,0.5660745247540551,0.5463748753122708,0.5383298296398668,0.5305706035872237,0.5282766081639688,0.5314193371631637,0.5419159890288386,0.5511579130294826,0.5731670339446807,0.5672641240606887,0.5835617969602751,0.5634656576734328,0.5602815046569402,0.5843969488747857,0.5739823512493825,0.5855268532160396,0.5827907711434124,0.6028793240954188,0.6126162219255262
rotD50,SA,0.07,0.8693973360931471,-0.570195128075408,0.5774379022753523,0.5353526883177848,0.9060915952785545,0.9130492115647405,0.9171509414850032,0.9380398280427953,1.0000000000000009,0.898229574078018,0.8147353750336516,0.747959937839424,0.6997782546230098,0.6708692664266457,0.6190971916955463,0.5744409688195375,0.5591546586174958,0.5422574519174203,0.5336467797807233,0.5105253552050065,0.49027801338627647,0.48160542797737843,0.467416207829775,0.46040881512738013,0.4652811505971044,0.4756115900823112,0.4908214729318065,0.511192391526136,0.5031008392229482,0.5156132881255863,0.5091215768113216,0.4946205993919408,0.5274021994440303,0.5136248835132646,0.5239847746455943,0.518735179392176,0.5369414800935017,0.5515233959349637
