,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.000000000000004,-0.3698622544950016,0.8574566414876383,0.7727205913205893,0.895505354256474,0.886280337027693,0.8437361142015894,0.8384012078764174,0.808515797703196,0.8176982137405867,0.8677443065113708,0.8712202221728637,0.8743394162437818,0.8745684067965004,0.8758607593907355,0.8681329046907114,0.8556425126152125,0.8503800475114137,0.8387513094637781,0.8279398643366327,0.8194567289682504,0.8163938176126252,0.8146233116997356,0.8112370296877546,0.8005561523537478,0.7929084103710815,0.7954409495157073,0.8004419314211483,0.80549173679596,0.8021500879010234,0.8212379513768149,0.7856125627392017,0.7851162438413181,0.7366233961008655,0.7297016877708208,0.6912490693602028,0.6873915174124582,0.6846003500706461
GM,RSD595,None,-0.3698622544950016,0.999999999999993,-0.3533995191096584,-0.37753212469138436,-0.3578272625350111,-0.34345037703813114,-0.2799374866981454,-0.27794279679371275,-0.2903174437466956,-0.3211903702884999,-0.34591785424521915,-0.3687641048085263,-0.3708102508590286,-0.3611307212250681,-0.34318522944461327,-0.33696347247981956,-0.3332849240125764,-0.33781870545160253,-0.3343800250827025,-0.32892565988409933,-0.31983769895515346,-0.30760177713251746,-0.29961280323562994,-0.30145225725725955,-0.31074035955554846,-0.3207190949311692,-0.32283816322491105,-0.3304049688300582,-0.33041425544546527,-0.3372254253931527,-0.355773689028552,-0.37739859536952913,-0.38982608543204605,-0.3776141666437963,-0.37886539552808235,-0.362040839706163,-0.3604587192264188,-0.364586959255967
rotD50,"AvgSA([0, 3])",3.0,0.8574566414876384,-0.3533995191096584,1.0000000000000027,0.876465729727006,0.7863474172839431,0.7707998093845811,0.709119688926648,0.6971427516558223,0.657240174932802,0.6758811033550147,0.7540175160007183,0.8012490286848922,0.8426202765326737,0.8673864701918115,0.8908071321779052,0.9055292603938604,0.9173876345709414,0.9273393608503854,0.9421644816681548,0.9494806275746582,0.9499206036725829,0.9493208450628094,0.9541984639371283,0.9551212628527052,0.9581057118609122,0.9576032345443569,0.9588878193877239,0.9618929625738523,0.962402692306585,0.9801540496826572,0.9804022661323877,0.9361631221900468,0.9187531764066994,0.8438270683385095,0.8248368317991713,0.7679785466550253,0.7469525035461337,0.7280217569182154
rotD50,"AvgSA([0, 6])",6.0,0.7727205913205893,-0.3775321246913843,0.876465729727006,1.000000000000002,0.7689813222200816,0.7583901347292755,0.7124198868367656,0.7017701222207332,0.6681302536857763,0.6828102046695739,0.7499578560062224,0.7654591885328197,0.7714565785240124,0.7641762305038333,0.7667802100333496,0.7760720654254802,0.7875992413825595,0.7933764809737932,0.8084728137017142,0.8112304913725382,0.81345247978556,0.813792552127464,0.8247095149421397,0.8240283234787699,0.8263575224977331,0.8167991188585431,0.8152490773017499,0.816114685482857,0.8188897641081779,0.8492595711543086,0.8671890613062555,0.9106239834926784,0.91250459730725,0.9645491242333432,0.958155294222722,0.9459166329936031,0.9280225281139428,0.9112125514893143
rotD50,PGA,None,0.8955053542564742,-0.3578272625350111,0.7863474172839431,0.7689813222200818,1.0000000000000018,0.9987889819181376,0.9761304932904225,0.9750446256229747,0.959150159029848,0.9659460817599493,0.9666908802146901,0.94063979239067,0.9045988151914794,0.8539282210341801,0.8141792801604242,0.7787571414220754,0.7463798314643523,0.7271268382383235,0.7042530516467426,0.6922989818472118,0.6863070863074543,0.6877772396595263,0.6976870552311797,0.6954577883598506,0.6913630968043264,0.6804169667253737,0.6847306779685086,0.6964807089307771,0.7093671831560744,0.7309363966585019,0.7639844739035555,0.7661725008367369,0.7815193003982044,0.7539387991968223,0.7621666256473918,0.7510095471932539,0.7528206080565083,0.7507002210119438
rotD50,SA,0.025,0.8862803370276932,-0.34345037703813114,0.7707998093845813,0.7583901347292755,0.9987889819181376,0.9999999999999996,0.9844266022279771,0.9824471837553703,0.9659716856756612,0.9695619156943459,0.9623290558651976,0.9306956489728607,0.8919916022518316,0.8384253803797445,0.7965057794621767,0.7600976211704735,0.7269662348422081,0.7072448173396889,0.6846168822826093,0.6728067843101811,0.6668593587325552,0.6686083652567593,0.6792353335231204,0.6773449983672295,0.6736865661905479,0.6626767002792308,0.666962760460087,0.6790907668583123,0.692182865138155,0.7155481367291121,0.7493852378787669,0.7524345254453396,0.7685773879585831,0.7431458541350158,0.7521627501668153,0.7428784436806057,0.7450743486547342,0.743308832252297
rotD50,SA,0.04,0.8437361142015894,-0.2799374866981454,0.709119688926648,0.7124198868367657,0.9761304932904226,0.9844266022279771,1.000000000000001,0.9907481915167508,0.9732728254950391,0.9641239620061092,0.9305374417096096,0.8805829131729087,0.8341516982023556,0.773948583628714,0.7270850451184419,0.6890090589044464,0.6544764756756866,0.6345555006187742,0.6142231072714202,0.6032619695453788,0.5976668117657759,0.6003214271616627,0.612886277527596,0.6117417104584142,0.6088547247074568,0.597841681342924,0.6018849123099315,0.6155200023388441,0.6283537385426791,0.6561825052533353,0.6910103365355068,0.6969127137643044,0.7155990726089893,0.6974054029402251,0.7084372260917076,0.7053017232865267,0.7086308158924222,0.7074214478553685
rotD50,SA,0.05,0.8384012078764175,-0.27794279679371275,0.6971427516558224,0.7017701222207333,0.9750446256229748,0.9824471837553703,0.9907481915167508,1.000000000000001,0.9816087927318621,0.9721066711900523,0.9359711225240507,0.8814747680203411,0.829405413507322,0.763922987657284,0.7144543508919355,0.674667285455357,0.640223083410427,0.6196886437305569,0.5996521112283645,0.588282442918603,0.5821200873651335,0.5847844406817986,0.5978907405569313,0.5966192899078606,0.5937820630207249,0.5821499527061548,0.5864076034746735,0.5993273662079404,0.6122496067112517,0.6417918473647647,0.6784302387141102,0.6860490809974107,0.7035922872405519,0.684417617876484,0.695443823484304,0.6922806554356397,0.6954985700436219,0.693707355636319
rotD50,SA,0.07,0.808515797703196,-0.2903174437466956,0.657240174932802,0.6681302536857763,0.959150159029848,0.9659716856756612,0.973272825495039,0.981608792731862,1.0000000000000007,0.9777864240077461,0.9219630095204532,0.8575090350285277,0.8005476947127027,0.7272061620779102,0.6757022471772351,0.6348068425942406,0.6001223755065219,0.5797038886558795,0.5571388688292632,0.5464585121763618,0.5391581695798361,0.5409420005447899,0.5527403765456063,0.5509506333740405,0.5511848551220837,0.540187803469539,0.5445823435633571,0.5573373856561677,0.571415025081079,0.6024075138144876,0.6435312010405824,0.6536074377127401,0.675088480958119,0.6561490324694638,0.6689175617358184,0.6687412604196974,0.67244915185215,0.6731359697110919
