,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.3073702715453852,0.6090524088524842,0.5079299336297799,0.7185738359310989,0.7138203081594449,0.7048041200715326,0.6961151255019806,0.6873704258496431,0.690076149713072,0.6932915834605883,0.7031094465997733,0.7102227000488265,0.7059259237083342,0.7076497905572865,0.7037643273943555,0.6974527063233257,0.6862983097217171,0.6660300647161453,0.6465513742042959,0.6341203192463051,0.6219655787104231,0.5978559072698855,0.5780723804216329,0.5536450721264585,0.536604719845487,0.5237398452185649,0.5102048843344751,0.5042920752325704,0.47284726528976134,0.4419827664978846,0.43025538418566844,0.44385719898904347,0.41646845488630935,0.4199262386287985,0.42660835149738685,0.42497254412188656,0.44907956944455685
GM,RSD595,None,-0.3073702715453852,1.0,-0.138594156272847,-0.16101765450114489,-0.3669563414595655,-0.3663101465388315,-0.3719201679465578,-0.376445816486055,-0.3704564098694325,-0.3712151176247228,-0.3613733901553716,-0.3415329010235942,-0.3276768436044641,-0.30568093586266665,-0.28974011789037374,-0.2734570384624248,-0.25284187053701224,-0.23609330882546053,-0.2259757109452503,-0.1994675566114128,-0.1868797240559601,-0.17120844698279544,-0.14558122179294714,-0.12252664119950928,-0.09252687564123788,-0.061489628701312735,-0.03554796265829424,-0.007292407615904362,0.00595874545408059,0.0016818817364299306,-0.020549453836216675,-0.020190726859511104,-0.011512725671083354,-0.05528391619168872,-0.040685009378806695,-0.056636877117323806,-0.0735326890673684,-0.09527665965713827
rotD50,"AvgSA([0, 3])",3.0,0.6090524088524844,-0.13859415627284702,1.0,0.953125147091624,0.7437356250904623,0.7307503584787871,0.6998708988237058,0.6817225054794096,0.6610641069533488,0.6586503559519996,0.671931846674678,0.7130987954999415,0.7475470007355468,0.7683237531481137,0.7987324665905061,0.8189398902714377,0.8364942712200588,0.8544761523892307,0.8943933627719434,0.9196607582462067,0.9285952496242574,0.9377639291582147,0.9515950676683005,0.959389894870431,0.9680109464248461,0.9673739670914091,0.964079879607181,0.9565991066625709,0.9487748492397619,0.9274110933356569,0.9007643349079631,0.8696426147250031,0.85105454317197,0.8419116776682299,0.8338915869212535,0.8049358672712434,0.808033623556751,0.8197656689862691
rotD50,"AvgSA([0, 6])",6.0,0.5079299336297799,-0.1610176545011449,0.9531251470916239,1.0,0.6920504248504556,0.6847033127736681,0.6657768791919451,0.6535089990490445,0.6324480236537239,0.6169437513476851,0.6066593576007654,0.6318830048441412,0.6567395833693508,0.672266723120518,0.6974780735967638,0.7130424187655302,0.726813809605482,0.7431626208526749,0.7847040474066086,0.8079178210986936,0.8183102361596482,0.830706866527225,0.8531449320240712,0.8687554489997642,0.8958301033912005,0.9104986333424806,0.9180107048312133,0.9217193308011402,0.9229914608318851,0.9347582837171861,0.9392940931673883,0.9326365247072524,0.9242514445956975,0.9377627153950832,0.9325359863741731,0.9282464833678918,0.925708921630465,0.9254998121318573
rotD50,PGA,None,0.7185738359310989,-0.36695634145956557,0.7437356250904623,0.6920504248504558,1.0,0.9991119610067589,0.9923363914527403,0.9868747776295068,0.9806033399587,0.9801589194757472,0.9775336914695842,0.9738048899696035,0.9620366031629285,0.9518127136247642,0.9391882118541115,0.9248250808490939,0.9111463287010092,0.8943842414026891,0.8577564971773683,0.8226466542754816,0.8039971240258807,0.7842687488215168,0.7543478899378524,0.718758763798,0.6660306432314502,0.6266655312383588,0.595777572601677,0.5609896033922953,0.5371121894169427,0.49018156927510903,0.46461358606703185,0.4486128488756908,0.4465566130003839,0.47907517054568877,0.4935143048501503,0.5224815088337307,0.5463289357097169,0.5850749408284858
rotD50,SA,0.025,0.7138203081594449,-0.3663101465388315,0.730750358478787,0.684703312773668,0.9991119610067588,1.0,0.996260092685099,0.9918614270940879,0.9849983147010377,0.9821497578517614,0.9758962345113155,0.9694407604584154,0.955358953885176,0.9436809656688148,0.9300476642997685,0.914737685972069,0.9006405038092691,0.8832858910763575,0.8455559483319605,0.8094968233806267,0.7904640227193654,0.7705108536298636,0.740534369027308,0.7043918996544584,0.6510819764269259,0.6116428101023171,0.5806598983800598,0.5461949495879517,0.5222593413294816,0.4760517020536271,0.45200767369897654,0.43758082788058844,0.4361373787383447,0.47246836427052513,0.48737076967198484,0.518945952488367,0.5427622479830584,0.581468636134014
rotD50,SA,0.04,0.7048041200715327,-0.37192016794655786,0.6998708988237058,0.6657768791919452,0.9923363914527404,0.9962600926850992,1.0,0.9988164905248859,0.992063851308983,0.9835172238609367,0.967816486933071,0.9542866098327479,0.9347214824740024,0.9200773181453608,0.904734915331564,0.8874183374606194,0.8721877641971384,0.853523749893523,0.8142588123536643,0.776176806202808,0.7564200343596398,0.7361180395965112,0.70592985023994,0.6692938973567043,0.6151668794153824,0.5756915003414349,0.5443963553946758,0.5108428095431733,0.487014863412077,0.44410075139213906,0.42401059261519614,0.41367333830322434,0.41391992391490046,0.45550410106890554,0.4708421565186315,0.5077637508620603,0.5311942089887367,0.5700060118458141
rotD50,SA,0.05,0.6961151255019806,-0.3764458164860551,0.6817225054794095,0.6535089990490445,0.9868747776295068,0.9918614270940879,0.9988164905248857,1.0,0.9957202904982253,0.98503004525677,0.9639120775261599,0.9455226445089867,0.922247082993847,0.9057478469288368,0.8885216826891766,0.8698090500077419,0.8537033023460325,0.8341927794202023,0.7934290174767756,0.7542797924987392,0.7342213028420784,0.7137912462314732,0.683845907945072,0.6468850769642834,0.5929834857266904,0.5539785875144856,0.5227134107014302,0.4898542932686974,0.465954974619449,0.4254779973244792,0.4077472818593116,0.39939172720934324,0.40016958018486803,0.44424202361608794,0.45972632721705,0.498490890119176,0.5216326108255399,0.5608608546935954
rotD50,SA,0.07,0.6873704258496431,-0.3704564098694325,0.6610641069533487,0.6324480236537239,0.9806033399586999,0.9849983147010378,0.9920638513089829,0.9957202904982253,1.0,0.9913108337737989,0.966219407789709,0.9424298246488511,0.9145268115972117,0.894677603713722,0.87398730992482,0.8536682534996111,0.8363547804566721,0.815282539544415,0.7717936287515558,0.7314446504319928,0.7109057113038353,0.6899815695188658,0.6598477247473554,0.6222502113964566,0.5684021144872965,0.5295348962190217,0.49806379521586447,0.4656130788060882,0.44157035020166324,0.40305826003951123,0.3869039779425118,0.38016681106215133,0.3812769348307468,0.4225895514328076,0.4384134799305546,0.47763930840362645,0.5006286171284061,0.5410415436827744
