,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,0.9999999999999952,-0.7011172028604018,0.6690159605665409,0.6044012249989844,0.8293380571732217,0.8242114375614332,0.8072014948982574,0.7960472013391303,0.7779587792817785,0.7604939244534455,0.7470163062080474,0.7367967964010138,0.7302508416019984,0.7160506723667952,0.7036515764892177,0.6869979628361672,0.6702273457903813,0.6574088554754837,0.6428802137695706,0.6171729241153568,0.6059609526999794,0.599187446029073,0.5834376267249325,0.5708658916277173,0.5462537367768859,0.5259918346589953,0.5144110694875557,0.5013990093320314,0.49933567024928655,0.4988394370228477,0.4907783992599687,0.4946671565601188,0.49810055620411253,0.48144773816515574,0.4770661451293298,0.4456114223579812,0.46451914210316003,0.4876221704780254
GM,RSD595,None,-0.7011172028604018,1.0000000000000027,-0.340527139443514,-0.264321060279539,-0.5603146776210299,-0.5478801058503,-0.5222464729938652,-0.5160015965461036,-0.5205500017066651,-0.5314804183884299,-0.5299822640765037,-0.5176218014731171,-0.5031747187092893,-0.4787146435302665,-0.45931043328036963,-0.4341916688683414,-0.4110616494454805,-0.39040231229230354,-0.367294903848965,-0.32970849664160845,-0.3154878368443059,-0.304956379658929,-0.28208490809972286,-0.26404151338551995,-0.23381698964381667,-0.21347762286475347,-0.20110644053218713,-0.19120452883739783,-0.19262913845780918,-0.18885368680284081,-0.1877811096718624,-0.19106931924767498,-0.1920899336764597,-0.1789549938231287,-0.17318309085737463,-0.14133315498344834,-0.15931699059197,-0.1836485522329891
rotD50,"AvgSA([0, 3])",3.0,0.6690159605665409,-0.34052713944351404,0.999999999999998,0.918058530488994,0.7399451572667961,0.7255312865228468,0.6840923175613934,0.6566926504022756,0.6270959530277544,0.6154748246011214,0.6418981630415296,0.6785803096766593,0.7132266526587153,0.7501693219386365,0.7776014069769683,0.792144695965902,0.8075991078514327,0.8238989219414676,0.8494181277145713,0.8696982306881879,0.8725489564644758,0.8767369073252572,0.8876215442531016,0.8972119872948134,0.898928278781487,0.9023321235980819,0.9077710692479852,0.9078252444301768,0.9093268414307571,0.8987052740015288,0.8721259144371382,0.8354231581451672,0.8100356682011832,0.7681564031615025,0.7473271877860543,0.690926919573559,0.6925260575371653,0.700229023190047
rotD50,"AvgSA([0, 6])",6.0,0.6044012249989844,-0.264321060279539,0.9180585304889939,0.9999999999999987,0.6559663300993345,0.6453059072928717,0.6134881435010758,0.5887591921599956,0.5572335099693742,0.5352766555170146,0.5494836656516813,0.5722968895310657,0.5938704502137953,0.6247114571201973,0.6472401671114633,0.6659694307293379,0.6834258799460357,0.7024039442901051,0.7407983197255084,0.7676777740780754,0.7696617112997685,0.7726707274999802,0.7800716508959525,0.7854277030161194,0.8039740692236755,0.8143065292081859,0.8221224863396375,0.8316151835143099,0.8431521005187947,0.8662579807831178,0.8764024706663804,0.882274505348313,0.880838610067717,0.8944615020797221,0.8790586071726777,0.8713893657775946,0.8525975126273131,0.8436847297860035
rotD50,PGA,None,0.8293380571732218,-0.5603146776210299,0.7399451572667961,0.6559663300993346,1.0000000000000002,0.9931844618033588,0.9670521627253501,0.954226288245728,0.9390006262642974,0.9264641108243161,0.9120150844895186,0.8950214600304571,0.8716984282994807,0.8441062426325948,0.8215350170223,0.7957342193558953,0.773302249160668,0.7543041004524136,0.7215014048878029,0.6910295343167636,0.674338743516444,0.6620590468382618,0.639868771848295,0.6207828825573514,0.5852967260398841,0.5594510300369155,0.5461858972860005,0.5336490552593667,0.5300730178020712,0.5253736658903968,0.5110933967617746,0.5084577083639544,0.5129140596319313,0.49481687052654716,0.4938139766866718,0.46480368158866764,0.4886811024402712,0.5144770465119078
rotD50,SA,0.025,0.8242114375614332,-0.5478801058503,0.7255312865228468,0.6453059072928717,0.9931844618033588,0.9999999999999992,0.9790981190099308,0.9639949372910387,0.9417359169193236,0.9212616712857086,0.8989641893990092,0.8787113547550189,0.8534857206361514,0.8253675858241734,0.8025645042843584,0.776422788080704,0.7546368205248271,0.7358068341262647,0.7037743718233372,0.6744980217594693,0.6580555271095272,0.6464676038592959,0.6246068090855775,0.6062067601656197,0.5720941457193829,0.5470384572460613,0.5341514073017768,0.5218766263414856,0.5186984302634109,0.5142849749189411,0.500044820318828,0.4972958372455685,0.5022568056406106,0.4859899118091231,0.4850763958749936,0.4578944382487188,0.4817202465773807,0.50678359217518
rotD50,SA,0.04,0.8072014948982574,-0.5222464729938652,0.6840923175613934,0.6134881435010759,0.9670521627253502,0.9790981190099309,1.0000000000000004,0.9827474387374446,0.9481070250389024,0.9072688939667515,0.8645032289596872,0.8339573932554963,0.8036605321325794,0.7725495888421284,0.749041650825592,0.7236020186143495,0.7032163415948766,0.6850475775152934,0.6554679595225796,0.6281428083274923,0.6126790866613745,0.6022965442582088,0.5822561888644323,0.5661402975337608,0.5344438212375687,0.5103489120284285,0.49839859577555756,0.48697003641968356,0.48402882588009233,0.4822125674973737,0.470887034873578,0.4686644135061682,0.47437317942447554,0.4602096060493576,0.45897011798889686,0.43496904103228007,0.4569730791074266,0.48040640702150517
rotD50,SA,0.05,0.7960472013391302,-0.5160015965461036,0.6566926504022756,0.5887591921599956,0.9542262882457279,0.9639949372910387,0.9827474387374445,0.9999999999999987,0.9626454358014185,0.9124415266748541,0.8567885792854198,0.8174683929259235,0.7818897043249563,0.7484471189827866,0.7225082699217733,0.6960501144807949,0.6753027387861295,0.6567534142816221,0.6275927827543106,0.6007328461268854,0.5860820895690606,0.5752188651677215,0.5553843309797689,0.5396642862043692,0.5086953063149233,0.4856411462412476,0.4740401029379573,0.46267428817571354,0.4597287705722785,0.459787694180159,0.44879135317274216,0.44731472109878634,0.45294672579317363,0.44056282397131274,0.4394578759546762,0.41522157671283694,0.43568558609997554,0.45842431840568837
rotD50,SA,0.07,0.7779587792817785,-0.5205500017066651,0.6270959530277544,0.5572335099693742,0.9390006262642974,0.9417359169193236,0.9481070250389023,0.9626454358014185,0.9999999999999996,0.9418303756579454,0.8729656453866461,0.8199626797353023,0.7751870932939174,0.7348427029244973,0.7025291818563246,0.6723715723531712,0.6487657586911703,0.6295787120641675,0.5988100903339234,0.5690057328891501,0.5538433257329592,0.5435733582843507,0.5243449019101373,0.509624981172473,0.4791230579852881,0.45595714392791736,0.4446707742864354,0.43417425968156964,0.43161456663783343,0.43313887799984496,0.4237169485894788,0.4222242812878589,0.4285734051904125,0.4172462781585994,0.41590947868644534,0.3885926384509017,0.4074249470436145,0.42937381487509196
