,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.10144044817673882,-0.05255515040077986,-0.4405067618515725,-0.4387469391377868,-0.4365872229315795,-0.4436860910247445,-0.4563884082334757,-0.46086216325928486,-0.44327667107043,-0.41147665957852947,-0.3811481324954466,-0.34608493962814324,-0.31503304460731246,-0.28163196340993035,-0.24844925920664399,-0.21784986391741284,-0.18216975336617125,-0.14469638214833777,-0.12943628840407706,-0.11686953933783824,-0.09089129377950655,-0.06581041042715287,-0.0329731078314955,-0.009518926103838242,0.006982523021569734,0.01925331639716278,0.022922464148167416,0.02928755139574491,0.023615587680552795,0.03465424875192764,0.04281722651182374,0.03847315219818082,0.04242105745075198,0.06412720487384801,0.04821341467237211,0.020620323960342607
rotD50,"AvgSA([0, 3])",3.0,-0.10144044817673882,1.0,0.9706256392878728,0.72342904884982,0.7085457917633922,0.6636928850387331,0.636076420190922,0.6054080643485766,0.6005322034499558,0.63815182812341,0.6869736491047134,0.7334350992763813,0.7772676906495324,0.8128505730625012,0.8367450656679615,0.8567328007890971,0.8751124071335944,0.9046140740432533,0.9243484907871914,0.930301722507997,0.935505091804227,0.9442889326625343,0.9507586182651401,0.9551132295516467,0.9571772935452653,0.9571739938237698,0.9539387043080232,0.9506911586724728,0.9352816121125082,0.9118098566667039,0.8855912128644199,0.8691148536334627,0.8508269838164063,0.8382949096179576,0.8125470173921086,0.8139756037627163,0.8209101435346694
rotD50,"AvgSA([0, 6])",6.0,-0.05255515040077987,0.9706256392878728,1.0,0.6530702748304312,0.6397975568200432,0.5985925636097362,0.5721139224223449,0.5397587505219261,0.5303220196875074,0.5612519394509018,0.6057582646831191,0.6492025114148247,0.6894808317973105,0.7247380312164495,0.7524995652196547,0.7757071776268633,0.7961786815316286,0.8304632482081404,0.8544022043157824,0.8626359026125701,0.869878361336326,0.8823423503003057,0.8931953559453304,0.9091127148618655,0.9228117858622964,0.9325171851753982,0.9387264811255017,0.944683445446732,0.9550615234436548,0.9563017708687587,0.9540697338908831,0.9535620728008104,0.9468436923409266,0.9408763657352145,0.9211522901508556,0.9148715567284328,0.9110885290454216
rotD50,PGA,None,-0.4405067618515725,0.7234290488498198,0.6530702748304312,1.0,0.9969694025373932,0.9808915610511949,0.9717357494423167,0.9608552835657634,0.9562905237675183,0.9533876531712946,0.9440478492264031,0.9264591786827612,0.9049468397954145,0.8811716924152394,0.855668618465147,0.8312013434084314,0.8081556926139974,0.7688653453065394,0.7328619692062484,0.7142820647997993,0.6989909903273512,0.6708308856931129,0.6456247865125704,0.6076283052592917,0.5802770094903819,0.5604717756249139,0.5449292130609499,0.5344127873151356,0.5164654416997199,0.502899777790839,0.48345551543765125,0.4808264861706424,0.4859905226013598,0.4927040175394571,0.49907680297028467,0.5251982536278212,0.5558646365190428
rotD50,SA,0.025,-0.43874693913778684,0.7085457917633922,0.6397975568200432,0.9969694025373932,1.0,0.9886044934644427,0.9793913719563181,0.9658485582092492,0.9560156744319139,0.9473082358684426,0.9345513064258023,0.9143790915404877,0.8912757721218859,0.8664629185226209,0.8401540120585055,0.8154340650988252,0.792102438337297,0.7526180854788027,0.7166453683541826,0.6980651408698964,0.6829373625245703,0.6549031980373323,0.6297289597261966,0.592024195823667,0.565066689487165,0.54547478626594,0.5302486779728702,0.520049055529013,0.5025079425037196,0.490109991105175,0.47109200843837346,0.4686990565043202,0.47717142735033063,0.48418025606959475,0.49232259622480223,0.5184345798395205,0.5488084937142882
rotD50,SA,0.04,-0.43658722293157953,0.6636928850387332,0.5985925636097362,0.980891561051195,0.9886044934644428,1.0,0.992562994138651,0.9741729131216097,0.9515303410837583,0.926824424685999,0.9040092940742378,0.8769857660199049,0.8489016776956767,0.8212626466622203,0.7934069409854893,0.7677574435169814,0.7439159765155334,0.7046467116058958,0.668608890852693,0.6502012419666898,0.6355146380071462,0.6078549066809207,0.5832244121536341,0.546518599326544,0.5206898768913101,0.5019349732666607,0.48759022991193307,0.47796637447122614,0.4620936223895717,0.45280118499335986,0.4352710975772891,0.4335355668536611,0.4458562678027724,0.4534403043208642,0.46509017059732827,0.49051785888029037,0.5200781251954665
rotD50,SA,0.05,-0.4436860910247445,0.636076420190922,0.5721139224223449,0.9717357494423168,0.9793913719563181,0.992562994138651,1.0,0.9831600677130895,0.9552303970906797,0.9208300882175078,0.8911756137167884,0.8590513978648227,0.8281722391490604,0.7981898762981203,0.768575889222106,0.7416993552592928,0.716883009727677,0.6765722615483547,0.6399154702572196,0.6214533493854509,0.6064396840486254,0.5788433885295211,0.5541789802475424,0.5180173883439178,0.49245514043486266,0.4739794129874612,0.4600313962999904,0.4505845620049854,0.43657401993037986,0.42866135318747234,0.411728195075212,0.40997904765164483,0.4227850861399433,0.430405389855295,0.44302268535229206,0.46803132915231155,0.4974835132055406
rotD50,SA,0.07,-0.45638840823347576,0.6054080643485766,0.5397587505219261,0.9608552835657634,0.9658485582092493,0.9741729131216097,0.9831600677130895,1.0,0.9723017045163768,0.9276137224065679,0.8883614196525235,0.8496112495862106,0.813934282126453,0.7799968377201665,0.7476368547623913,0.7183190742816746,0.6920911555476631,0.6496234226110528,0.6110670811849291,0.5920948493414433,0.5767179181903331,0.5485441195417661,0.5237033065900761,0.4870311478851692,0.4606514611361005,0.44148509376268136,0.4277167026518239,0.4182481149410296,0.4045729248770586,0.39701414526398726,0.38077958225877356,0.3791864126350956,0.3892280271309495,0.3965942985308337,0.4055107346014331,0.4304684954731646,0.4597407610076312
